date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,11,14,14,6,15,17,11,176,1019,18,0.2,0.0,7.3,12,79,4,Allen Parish,Louisiana
2020-03-02,23,23,16,19,19,6,20,21,9,217,1012,15,3.4,0.0,5.9,17,89,5,Allen Parish,Louisiana
2020-03-03,25,25,19,21,23,5,23,23,6,181,1010,9,4.7,0.0,5.9,19,90,5,Allen Parish,Louisiana
2020-03-04,21,21,13,18,18,5,19,19,9,62,1010,13,12.7,0.0,5.9,17,95,4,Allen Parish,Louisiana
2020-03-05,19,19,11,13,13,4,14,15,9,122,1018,14,1.0,0.0,8.8,10,81,3,Allen Parish,Louisiana
2020-03-06,17,17,9,11,11,6,12,14,9,21,1029,15,0.0,0.0,8.8,5,62,3,Allen Parish,Louisiana
2020-03-07,15,15,7,9,9,6,10,11,7,89,1030,11,0.0,0.0,10.2,4,66,3,Allen Parish,Louisiana
2020-03-08,20,20,6,12,12,6,12,14,6,137,1028,10,0.0,0.0,11.6,7,71,4,Allen Parish,Louisiana
2020-03-09,22,22,12,17,17,5,18,19,11,175,1024,18,6.9,0.0,5.9,15,86,4,Allen Parish,Louisiana
2020-03-10,25,25,17,20,20,5,20,22,4,229,1024,7,11.6,0.0,6.0,17,86,5,Allen Parish,Louisiana
2020-03-11,25,25,16,20,20,4,20,21,8,215,1019,12,0.2,0.0,8.8,17,85,5,Allen Parish,Louisiana
2020-03-12,26,26,17,20,21,3,21,22,9,205,1015,13,0.0,0.0,10.2,18,86,5,Allen Parish,Louisiana
2020-03-13,25,25,17,21,22,3,22,22,6,170,1017,9,1.1,0.0,7.4,19,88,5,Allen Parish,Louisiana
2020-03-14,26,26,18,21,22,4,22,23,7,180,1021,11,0.6,0.0,7.4,19,88,5,Allen Parish,Louisiana
2020-03-15,27,27,18,21,22,3,22,23,6,63,1023,9,3.2,0.0,6.0,19,87,5,Allen Parish,Louisiana
2020-03-16,25,25,14,19,19,4,20,21,6,126,1022,8,0.3,0.0,7.4,16,81,5,Allen Parish,Louisiana
2020-03-17,26,26,18,21,22,4,22,23,4,144,1020,8,23.6,0.0,6.0,18,84,5,Allen Parish,Louisiana
2020-03-18,27,27,18,22,23,4,23,24,9,177,1018,13,4.6,0.0,6.0,19,86,5,Allen Parish,Louisiana
2020-03-19,27,27,19,23,24,4,24,24,10,177,1018,15,1.6,0.0,6.0,20,86,5,Allen Parish,Louisiana
2020-03-20,27,27,18,22,24,3,24,24,7,240,1021,12,23.8,0.0,6.0,20,89,5,Allen Parish,Louisiana
2020-03-21,17,17,14,15,15,5,16,16,9,38,1025,13,5.3,0.0,6.1,14,91,4,Allen Parish,Louisiana
2020-03-22,25,25,15,19,19,4,20,20,8,150,1020,11,12.2,0.0,6.1,17,90,5,Allen Parish,Louisiana
2020-03-23,27,27,18,22,23,3,23,24,8,211,1019,13,1.4,0.0,6.1,20,86,5,Allen Parish,Louisiana
2020-03-24,27,27,20,22,23,5,23,24,11,215,1014,16,0.7,0.0,6.1,20,86,5,Allen Parish,Louisiana
2020-03-25,30,30,19,25,25,4,25,26,4,265,1013,7,0.1,0.0,11.6,17,73,7,Allen Parish,Louisiana
2020-03-26,30,30,19,23,25,3,25,25,8,190,1013,12,0.0,0.0,11.6,19,81,7,Allen Parish,Louisiana
2020-03-27,30,30,20,25,27,4,27,26,9,193,1011,14,0.0,0.0,11.6,20,82,7,Allen Parish,Louisiana
2020-03-28,29,29,22,25,27,6,27,26,11,198,1011,16,1.3,0.0,10.2,21,81,7,Allen Parish,Louisiana
2020-03-29,25,25,13,19,19,5,20,20,8,50,1018,12,4.8,0.0,10.2,13,70,6,Allen Parish,Louisiana
2020-03-30,25,25,16,20,20,5,21,20,7,120,1017,12,4.9,0.0,6.1,15,76,5,Allen Parish,Louisiana
2020-03-31,23,23,14,20,20,5,22,22,10,335,1012,15,5.7,0.0,8.9,16,80,5,Allen Parish,Louisiana
2020-04-01,22,22,9,15,15,6,15,16,5,108,1017,7,0.0,0.0,11.6,9,70,5,Allen Parish,Louisiana
2020-04-02,24,24,12,17,17,6,18,19,5,133,1016,8,0.0,0.0,10.3,12,72,4,Allen Parish,Louisiana
2020-04-03,24,24,15,19,19,6,19,20,5,96,1015,9,1.1,0.0,7.7,15,81,4,Allen Parish,Louisiana
2020-04-04,21,21,17,19,19,5,19,20,3,134,1015,6,1.6,0.0,9.0,16,86,4,Allen Parish,Louisiana
2020-04-05,25,25,15,20,20,4,20,21,4,77,1017,7,0.7,0.0,11.6,16,81,6,Allen Parish,Louisiana
2020-04-06,27,27,16,21,22,4,22,23,5,145,1016,8,0.9,0.0,9.0,18,81,5,Allen Parish,Louisiana
2020-04-07,29,29,20,24,26,4,26,26,7,216,1015,11,4.4,0.0,7.7,21,86,6,Allen Parish,Louisiana
2020-04-08,31,31,21,25,27,3,27,26,8,225,1011,12,0.6,0.0,11.6,22,84,6,Allen Parish,Louisiana
2020-04-09,30,30,21,24,27,3,27,26,6,152,1010,11,14.1,0.0,6.4,21,86,6,Allen Parish,Louisiana
2020-04-10,20,20,13,17,17,5,17,18,9,46,1016,14,12.6,0.0,11.6,12,74,5,Allen Parish,Louisiana
2020-04-11,24,24,11,17,17,6,19,19,8,134,1013,13,2.0,0.0,10.3,12,72,4,Allen Parish,Louisiana
2020-04-12,27,27,21,24,26,6,26,25,13,204,1003,21,2.8,0.0,6.5,19,79,6,Allen Parish,Louisiana
2020-04-13,21,21,10,15,15,6,16,15,9,16,1016,13,0.0,0.0,11.6,10,73,5,Allen Parish,Louisiana
2020-04-14,20,20,7,11,11,6,13,14,10,25,1019,15,0.0,0.0,11.6,8,73,4,Allen Parish,Louisiana
2020-04-15,19,19,6,11,11,6,12,13,9,39,1020,13,0.0,0.0,11.6,5,66,4,Allen Parish,Louisiana
2020-04-16,22,22,6,13,13,6,15,16,7,119,1021,11,0.0,0.0,11.6,6,62,5,Allen Parish,Louisiana
