date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,-3,-2,-2,6,1,3,9,285,1022,12,0.0,0.0,11.2,-8,52,2,Atlantic County,New Jersey
2020-03-02,14,14,1,5,5,6,8,10,10,211,1016,17,0.0,0.0,11.2,1,62,3,Atlantic County,New Jersey
2020-03-03,16,16,7,10,10,4,11,12,8,190,1006,13,1.0,0.0,10.1,9,85,3,Atlantic County,New Jersey
2020-03-04,12,12,5,6,6,6,9,10,11,266,1010,18,0.0,0.0,11.3,0,57,3,Atlantic County,New Jersey
2020-03-05,12,12,3,5,5,6,7,8,6,158,1019,9,0.0,0.0,10.1,-2,53,2,Atlantic County,New Jersey
2020-03-06,10,10,3,3,3,5,6,8,7,67,1010,11,6.9,0.0,7.1,3,83,2,Atlantic County,New Jersey
2020-03-07,8,8,2,2,2,5,5,6,9,339,1022,13,4.5,2.5,10.1,-4,62,2,Atlantic County,New Jersey
2020-03-08,12,12,0,3,3,6,6,8,7,256,1031,12,0.0,0.0,11.4,-4,51,3,Atlantic County,New Jersey
2020-03-09,18,18,6,10,10,6,12,14,9,238,1029,15,0.0,0.0,11.6,3,61,4,Atlantic County,New Jersey
2020-03-10,17,17,11,13,13,5,14,15,13,225,1020,21,1.3,0.0,5.9,10,74,4,Atlantic County,New Jersey
2020-03-11,14,14,6,8,8,6,9,10,5,102,1019,8,0.0,0.0,8.8,4,70,3,Atlantic County,New Jersey
2020-03-12,12,12,5,7,7,6,8,10,6,106,1019,10,0.0,0.0,5.9,4,75,2,Atlantic County,New Jersey
2020-03-13,21,21,11,14,14,6,16,17,13,261,1013,21,2.6,0.0,7.4,9,72,4,Atlantic County,New Jersey
2020-03-14,12,12,4,6,6,6,8,9,7,292,1027,11,0.0,0.0,11.6,-2,48,3,Atlantic County,New Jersey
2020-03-15,11,11,4,5,5,6,7,8,5,71,1031,7,0.8,0.0,10.2,1,70,3,Atlantic County,New Jersey
2020-03-16,10,10,2,3,3,6,6,7,7,115,1032,10,0.0,0.0,11.6,0,66,3,Atlantic County,New Jersey
2020-03-17,15,15,6,8,8,4,9,10,5,271,1023,8,0.3,0.0,6.0,7,87,2,Atlantic County,New Jersey
2020-03-18,12,12,4,5,5,6,7,9,7,110,1031,10,0.0,0.0,8.8,2,68,2,Atlantic County,New Jersey
2020-03-19,16,16,9,12,12,3,12,14,6,202,1024,9,7.9,0.0,6.0,11,92,3,Atlantic County,New Jersey
