date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,-7,-4,-4,6,0,2,13,183,1018,24,0.0,0.0,11.2,-2,79,2,Auglaize County,Ohio
2020-03-02,9,9,1,4,4,5,7,7,10,253,1008,18,14.1,0.0,5.6,5,91,2,Auglaize County,Ohio
2020-03-03,11,11,4,4,4,4,7,8,11,277,1004,17,5.4,0.0,8.6,3,79,2,Auglaize County,Ohio
2020-03-04,7,7,1,0,0,5,4,5,12,286,1013,19,0.4,0.0,8.6,-1,71,2,Auglaize County,Ohio
2020-03-05,11,11,-1,1,1,6,4,6,9,197,1017,14,0.1,0.0,7.1,-3,62,2,Auglaize County,Ohio
2020-03-06,3,3,-1,-4,-4,3,1,2,15,330,1020,21,2.2,0.3,5.7,-1,82,1,Auglaize County,Ohio
2020-03-07,8,8,-3,-1,-1,6,1,3,6,243,1033,10,0.1,0.0,11.4,-5,66,2,Auglaize County,Ohio
2020-03-08,13,13,1,3,3,6,6,8,13,207,1028,22,0.0,0.0,10.2,0,62,2,Auglaize County,Ohio
2020-03-09,15,15,8,9,9,5,11,12,17,210,1023,27,0.4,0.0,11.6,6,70,3,Auglaize County,Ohio
2020-03-10,11,11,4,7,7,5,10,9,13,313,1018,18,11.9,0.0,5.9,7,82,2,Auglaize County,Ohio
2020-03-11,12,12,4,6,6,6,7,9,5,231,1018,7,0.0,0.0,5.9,3,78,2,Auglaize County,Ohio
2020-03-12,14,14,4,8,8,5,10,10,7,170,1011,11,4.0,0.0,5.9,7,82,3,Auglaize County,Ohio
2020-03-13,7,7,3,2,2,5,6,6,14,283,1019,19,5.9,0.0,11.6,0,65,3,Auglaize County,Ohio
2020-03-14,5,5,0,0,0,4,3,4,6,94,1032,9,1.8,0.7,8.8,-3,69,1,Auglaize County,Ohio
2020-03-15,6,6,-2,-3,-3,5,1,2,10,50,1035,14,0.9,0.9,10.2,-2,79,1,Auglaize County,Ohio
2020-03-16,8,8,-1,1,1,4,3,5,5,197,1027,8,1.9,0.0,8.8,-1,76,1,Auglaize County,Ohio
2020-03-17,11,11,2,3,3,5,6,7,7,305,1024,10,0.1,0.0,11.6,1,74,3,Auglaize County,Ohio
2020-03-18,7,7,2,2,2,5,5,6,6,115,1023,10,22.1,0.0,7.4,3,89,2,Auglaize County,Ohio
2020-03-19,15,15,6,8,8,4,10,11,12,157,1017,18,18.9,0.0,6.0,10,94,3,Auglaize County,Ohio
2020-03-20,17,17,1,9,9,5,11,13,17,301,1017,25,9.1,0.0,6.1,8,79,3,Auglaize County,Ohio
2020-03-21,4,4,-2,-5,-5,6,0,1,9,39,1033,13,0.0,0.0,8.8,-6,66,1,Auglaize County,Ohio
2020-03-22,5,5,-4,-3,-3,5,0,2,8,111,1031,10,4.4,0.0,8.8,-5,71,1,Auglaize County,Ohio
2020-03-23,6,6,2,2,2,4,3,4,5,313,1022,7,0.1,0.0,6.1,2,90,1,Auglaize County,Ohio
2020-03-24,12,12,0,3,3,4,5,7,6,105,1020,9,0.1,0.0,10.2,2,80,2,Auglaize County,Ohio
2020-03-25,15,15,1,6,6,6,8,9,6,300,1014,9,0.0,0.0,11.6,3,73,3,Auglaize County,Ohio
2020-03-26,17,17,8,10,10,6,12,13,9,238,1011,15,4.7,0.0,7.5,9,82,3,Auglaize County,Ohio
2020-03-27,12,12,8,8,8,5,10,10,9,75,1012,14,20.3,0.0,6.1,9,91,3,Auglaize County,Ohio
2020-03-28,22,22,11,16,16,4,17,19,10,244,1006,17,47.9,0.0,6.2,15,92,4,Auglaize County,Ohio
2020-03-29,15,15,10,11,11,5,13,12,20,239,1007,30,16.3,0.0,6.4,9,76,3,Auglaize County,Ohio
2020-03-30,7,7,3,2,2,6,6,6,15,292,1017,20,0.6,0.0,6.4,1,74,2,Auglaize County,Ohio
2020-03-31,7,7,1,1,1,6,4,4,7,21,1016,9,0.4,0.0,6.4,2,86,1,Auglaize County,Ohio
2020-04-01,9,9,4,4,4,5,6,7,7,120,1016,9,1.3,0.0,6.4,3,84,2,Auglaize County,Ohio
2020-04-02,13,13,3,6,6,6,8,9,6,331,1020,9,0.0,0.0,10.3,3,74,3,Auglaize County,Ohio
2020-04-03,16,16,6,10,10,6,11,12,4,218,1018,7,0.0,0.0,11.6,4,66,4,Auglaize County,Ohio
2020-04-04,16,16,8,10,10,6,12,13,7,228,1017,11,2.3,0.0,6.5,7,79,3,Auglaize County,Ohio
2020-04-05,12,12,5,6,6,5,8,9,6,29,1020,9,0.9,0.0,9.0,5,83,2,Auglaize County,Ohio
2020-04-06,16,16,2,8,8,6,9,11,6,189,1019,10,0.1,0.0,10.3,3,69,3,Auglaize County,Ohio
2020-04-07,22,22,11,16,16,5,17,18,9,252,1008,15,8.9,0.0,7.8,13,83,4,Auglaize County,Ohio
2020-04-08,20,20,12,15,15,5,16,16,6,183,1003,9,16.1,0.0,9.1,12,82,4,Auglaize County,Ohio
2020-04-09,9,9,3,3,3,5,7,7,17,296,1005,22,4.7,0.5,10.3,1,67,2,Auglaize County,Ohio
2020-04-10,7,7,0,-1,-1,6,3,4,13,300,1014,18,0.3,0.0,7.8,-3,65,1,Auglaize County,Ohio
2020-04-11,13,13,1,5,5,6,7,9,8,234,1015,12,0.0,0.0,9.1,1,67,2,Auglaize County,Ohio
2020-04-12,15,15,5,9,9,5,11,12,13,187,1008,19,3.5,0.0,6.6,8,83,3,Auglaize County,Ohio
2020-04-13,11,11,2,4,4,5,8,8,14,290,1005,19,2.4,0.0,6.6,4,78,2,Auglaize County,Ohio
2020-04-14,6,6,0,-1,-1,6,2,4,10,267,1022,14,0.0,0.0,7.8,-6,55,1,Auglaize County,Ohio
2020-04-15,7,7,-3,-3,-3,5,2,4,12,257,1018,17,4.6,1.4,8.0,-4,66,1,Auglaize County,Ohio
2020-04-16,7,7,-3,-1,-1,6,2,4,9,279,1025,13,0.0,0.0,11.6,-6,55,2,Auglaize County,Ohio
