date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,2,8,8,6,9,10,5,194,1026,8,0.0,0.0,11.6,-1,50,4,Barnwell County,South Carolina
2020-03-02,19,19,7,12,12,5,13,15,9,212,1020,15,6.0,0.0,7.3,6,66,3,Barnwell County,South Carolina
2020-03-03,19,19,14,16,16,5,17,17,11,209,1012,19,16.8,0.0,5.9,15,92,4,Barnwell County,South Carolina
2020-03-04,17,17,14,15,15,3,15,15,6,66,1015,9,19.8,0.0,5.9,14,94,4,Barnwell County,South Carolina
2020-03-05,11,11,9,9,9,4,11,10,11,63,1017,17,54.4,0.0,5.9,9,92,3,Barnwell County,South Carolina
2020-03-06,15,15,7,8,8,6,10,12,14,301,1018,20,1.9,0.0,11.6,3,64,4,Barnwell County,South Carolina
2020-03-07,13,13,3,5,5,6,7,9,10,12,1029,14,0.0,0.0,11.6,-2,50,3,Barnwell County,South Carolina
2020-03-08,16,16,4,9,9,6,10,11,5,129,1035,8,0.0,0.0,7.3,-1,50,3,Barnwell County,South Carolina
2020-03-09,20,20,8,13,13,6,14,16,6,157,1033,10,0.0,0.0,11.6,8,69,4,Barnwell County,South Carolina
2020-03-10,20,20,13,16,16,6,16,18,7,227,1027,12,1.1,0.0,5.9,13,82,4,Barnwell County,South Carolina
2020-03-11,23,23,14,18,18,5,19,20,7,224,1020,12,4.3,0.0,6.0,15,82,4,Barnwell County,South Carolina
2020-03-12,24,24,14,19,19,5,19,20,6,222,1016,11,8.7,0.0,6.0,15,80,5,Barnwell County,South Carolina
2020-03-13,26,26,16,20,20,6,21,22,8,256,1019,13,1.6,0.0,8.8,16,78,5,Barnwell County,South Carolina
2020-03-14,18,18,12,16,16,6,16,16,8,82,1026,12,0.4,0.0,6.0,11,70,4,Barnwell County,South Carolina
2020-03-15,22,22,14,17,17,4,18,19,7,217,1024,10,0.7,0.0,6.0,15,84,4,Barnwell County,South Carolina
2020-03-16,14,14,10,10,10,3,12,11,8,65,1028,11,3.0,0.0,6.0,8,77,3,Barnwell County,South Carolina
2020-03-17,21,21,12,16,16,6,17,18,4,233,1024,6,1.3,0.0,6.0,14,85,4,Barnwell County,South Carolina
2020-03-18,24,24,14,19,19,5,19,21,6,107,1025,10,5.3,0.0,10.2,16,84,5,Barnwell County,South Carolina
2020-03-19,28,28,17,23,24,3,24,24,8,206,1025,12,0.0,0.0,10.2,17,79,5,Barnwell County,South Carolina
2020-03-20,28,28,18,23,24,6,24,24,10,227,1024,15,0.0,0.0,11.6,18,77,6,Barnwell County,South Carolina
2020-03-21,28,28,19,23,23,5,23,24,8,278,1022,12,0.1,0.0,11.6,16,69,6,Barnwell County,South Carolina
2020-03-22,17,17,9,13,13,5,15,15,11,55,1025,15,13.6,0.0,6.1,11,83,3,Barnwell County,South Carolina
2020-03-23,20,20,13,16,16,4,16,17,6,186,1022,8,3.1,0.0,6.1,14,91,4,Barnwell County,South Carolina
2020-03-24,23,23,17,20,20,5,20,20,5,159,1016,9,18.6,0.0,6.1,18,88,5,Barnwell County,South Carolina
2020-03-25,26,26,18,22,23,5,23,23,11,299,1010,16,7.4,0.0,11.6,16,74,6,Barnwell County,South Carolina
2020-03-26,24,24,12,17,17,6,18,18,7,147,1018,10,0.0,0.0,11.6,11,70,5,Barnwell County,South Carolina
2020-03-27,28,28,15,21,22,4,22,24,8,232,1015,13,0.0,0.0,10.2,17,78,6,Barnwell County,South Carolina
2020-03-28,29,29,19,24,25,6,25,26,9,238,1015,14,0.0,0.0,11.6,18,74,7,Barnwell County,South Carolina
2020-03-29,29,29,19,23,24,6,24,25,10,242,1017,15,0.7,0.0,10.2,19,79,5,Barnwell County,South Carolina
2020-03-30,25,25,16,20,20,6,21,22,5,327,1018,9,0.5,0.0,11.6,9,49,6,Barnwell County,South Carolina
2020-03-31,21,21,14,16,16,5,16,17,10,197,1008,14,36.5,0.0,8.9,10,68,4,Barnwell County,South Carolina
2020-04-01,17,17,8,11,11,6,12,14,9,353,1011,13,0.4,0.0,8.9,6,65,3,Barnwell County,South Carolina
2020-04-02,19,19,8,12,12,6,13,15,6,232,1017,10,0.0,0.0,11.6,4,56,4,Barnwell County,South Carolina
2020-04-03,23,23,10,16,16,6,17,18,4,192,1016,8,0.0,0.0,11.6,6,56,5,Barnwell County,South Carolina
