date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,-1,5,5,6,7,9,12,197,1020,20,0.0,0.0,10.1,1,66,2,Barren County,Kentucky
2020-03-02,16,16,10,10,10,5,12,13,15,216,1011,23,20.9,0.0,5.6,10,88,3,Barren County,Kentucky
2020-03-03,15,15,8,11,11,5,13,14,12,270,1008,20,13.7,0.0,7.1,9,82,3,Barren County,Kentucky
2020-03-04,15,15,6,8,8,6,10,11,8,245,1015,12,0.0,0.0,11.3,4,67,4,Barren County,Kentucky
2020-03-05,15,15,5,7,7,6,9,10,9,216,1018,15,0.0,0.0,11.3,4,72,4,Barren County,Kentucky
2020-03-06,6,6,0,-1,-1,5,3,3,14,317,1025,20,0.1,0.0,8.6,-2,70,1,Barren County,Kentucky
2020-03-07,10,10,-3,0,0,6,3,4,6,72,1034,9,0.0,0.0,11.4,-4,65,2,Barren County,Kentucky
2020-03-08,15,15,1,5,5,6,7,9,10,198,1031,18,0.0,0.0,8.7,1,64,2,Barren County,Kentucky
2020-03-09,16,16,8,10,10,5,12,13,16,195,1027,26,0.5,0.0,10.1,7,71,4,Barren County,Kentucky
2020-03-10,16,16,9,12,12,5,13,15,12,279,1021,19,8.6,0.0,5.7,11,87,3,Barren County,Kentucky
2020-03-11,15,15,6,10,10,5,11,11,4,228,1018,6,0.0,0.0,7.4,8,83,3,Barren County,Kentucky
2020-03-12,20,20,10,15,15,4,16,17,11,201,1011,18,10.5,0.0,6.0,13,87,4,Barren County,Kentucky
2020-03-13,12,12,8,9,9,5,11,11,10,350,1022,16,4.7,0.0,11.6,6,71,4,Barren County,Kentucky
2020-03-14,8,8,4,2,2,5,6,6,12,71,1027,18,30.8,0.0,7.4,2,77,2,Barren County,Kentucky
2020-03-15,9,9,3,2,2,6,5,6,11,39,1030,15,1.6,0.0,6.0,3,87,2,Barren County,Kentucky
2020-03-16,10,10,2,5,5,3,6,7,4,140,1026,7,1.7,0.0,7.4,4,89,2,Barren County,Kentucky
2020-03-17,12,12,7,7,7,5,8,9,5,138,1024,8,14.3,0.0,6.0,7,90,2,Barren County,Kentucky
2020-03-18,17,17,7,12,12,3,13,15,10,197,1021,18,31.0,0.0,6.0,12,94,3,Barren County,Kentucky
2020-03-19,21,21,15,18,18,4,18,18,13,197,1019,22,6.4,0.0,7.4,16,92,4,Barren County,Kentucky
2020-03-20,22,22,14,19,19,6,20,20,16,253,1019,26,1.4,0.0,7.4,15,84,5,Barren County,Kentucky
2020-03-21,11,11,3,4,4,6,6,7,9,121,1030,13,0.0,0.0,11.6,2,71,3,Barren County,Kentucky
2020-03-22,16,16,1,5,5,5,7,9,8,131,1026,12,0.5,0.0,8.8,4,78,3,Barren County,Kentucky
2020-03-23,16,16,9,11,11,5,12,13,7,321,1020,10,5.4,0.0,7.5,9,86,3,Barren County,Kentucky
2020-03-24,14,14,7,9,9,4,10,12,8,124,1015,13,9.5,0.0,6.1,9,91,3,Barren County,Kentucky
2020-03-25,16,16,5,9,9,4,10,11,5,88,1014,8,0.0,0.0,9.0,7,85,3,Barren County,Kentucky
2020-03-26,22,22,9,14,14,4,16,16,12,195,1012,19,0.0,0.0,11.6,12,81,5,Barren County,Kentucky
2020-03-27,22,22,16,19,19,5,20,20,9,214,1010,16,1.6,0.0,6.3,18,88,5,Barren County,Kentucky
2020-03-28,24,24,15,20,20,6,21,21,13,211,1010,21,2.3,0.0,6.3,18,87,5,Barren County,Kentucky
2020-03-29,17,17,13,15,15,6,16,16,16,249,1014,23,3.1,0.0,10.3,12,77,4,Barren County,Kentucky
2020-03-30,16,16,9,12,12,6,12,14,7,296,1021,12,0.0,0.0,10.3,6,68,3,Barren County,Kentucky
2020-03-31,9,9,5,6,6,5,8,8,8,257,1014,13,13.5,0.0,6.4,5,80,2,Barren County,Kentucky
2020-04-01,10,10,1,4,4,5,6,7,6,127,1017,10,0.1,0.0,9.0,2,79,2,Barren County,Kentucky
2020-04-02,15,15,4,8,8,6,9,10,4,59,1020,7,0.0,0.0,9.0,4,74,3,Barren County,Kentucky
2020-04-03,18,18,7,12,12,6,12,14,4,79,1018,6,0.0,0.0,11.6,7,70,4,Barren County,Kentucky
2020-04-04,20,20,11,15,15,6,15,17,4,193,1017,7,0.6,0.0,9.0,10,74,4,Barren County,Kentucky
2020-04-05,19,19,11,14,14,4,14,16,5,296,1019,8,0.0,0.0,9.0,12,85,4,Barren County,Kentucky
2020-04-06,22,22,12,16,16,6,17,18,4,257,1018,6,2.2,0.0,11.6,13,83,5,Barren County,Kentucky
2020-04-07,23,23,14,18,18,5,19,20,10,233,1013,16,3.4,0.0,7.7,16,87,5,Barren County,Kentucky
2020-04-08,25,25,17,20,20,5,21,22,10,254,1006,16,6.3,0.0,9.0,18,88,5,Barren County,Kentucky
2020-04-09,13,13,8,10,10,5,12,12,14,303,1009,21,3.6,0.0,11.6,6,69,4,Barren County,Kentucky
2020-04-10,10,10,0,2,2,6,5,6,9,314,1019,14,0.0,0.0,11.6,-2,63,3,Barren County,Kentucky
2020-04-11,15,15,3,8,8,6,9,11,6,187,1017,10,0.0,0.0,11.6,2,64,3,Barren County,Kentucky
2020-04-12,15,15,10,11,11,4,13,13,16,169,1007,26,23.5,0.0,6.5,11,86,3,Barren County,Kentucky
2020-04-13,10,10,5,7,7,5,9,8,13,288,1011,19,3.1,0.0,7.8,7,83,2,Barren County,Kentucky
2020-04-14,6,6,1,1,1,6,4,5,7,132,1023,10,1.3,0.0,7.8,-1,71,1,Barren County,Kentucky
2020-04-15,12,12,-1,3,3,6,5,8,7,240,1021,12,0.0,0.0,11.6,-2,61,3,Barren County,Kentucky
2020-04-16,13,13,-1,4,4,6,6,8,6,92,1026,10,0.0,0.0,11.6,-1,62,3,Barren County,Kentucky
2020-04-17,19,19,6,10,10,5,12,15,16,217,1017,25,2.9,0.0,11.6,6,69,4,Barren County,Kentucky
2020-04-18,13,13,0,4,4,5,7,8,7,115,1018,10,1.9,0.9,11.6,2,74,3,Barren County,Kentucky
2020-04-19,14,14,4,8,8,6,9,11,5,218,1011,9,0.2,0.0,9.1,5,75,3,Barren County,Kentucky
2020-04-20,18,18,7,11,11,6,12,14,7,185,1008,11,0.2,0.0,11.6,8,78,4,Barren County,Kentucky
2020-04-21,16,16,8,10,10,6,12,13,11,310,1013,17,1.7,0.0,11.6,8,78,4,Barren County,Kentucky
2020-04-22,18,18,5,11,11,6,12,14,7,183,1017,11,0.0,0.0,13.7,7,72,4,Barren County,Kentucky
2020-04-23,18,18,11,13,13,5,14,16,14,195,1004,22,11.7,0.0,8.6,13,91,4,Barren County,Kentucky
2020-04-24,18,18,11,13,13,6,14,15,7,221,1009,10,1.5,0.0,9.8,12,87,4,Barren County,Kentucky
2020-04-25,17,17,9,12,12,4,13,15,12,174,1007,18,5.6,0.0,9.8,12,89,4,Barren County,Kentucky
2020-04-26,9,9,4,5,5,4,8,8,16,304,1014,24,14.7,0.0,8.6,8,93,2,Barren County,Kentucky
2020-04-27,17,17,4,10,10,6,11,13,5,221,1022,9,0.0,0.0,13.8,6,75,4,Barren County,Kentucky
2020-04-28,19,19,11,15,15,6,16,17,11,203,1016,19,0.0,0.0,13.8,10,71,5,Barren County,Kentucky
2020-04-29,17,17,5,12,12,5,13,13,13,260,1006,22,13.1,0.0,8.6,12,90,3,Barren County,Kentucky
2020-04-30,11,11,8,7,7,6,9,10,11,291,1010,17,1.4,0.0,8.6,8,88,3,Barren County,Kentucky
2020-05-01,19,19,6,12,12,6,13,15,6,290,1017,9,0.0,0.0,13.8,9,76,4,Barren County,Kentucky
2020-05-02,25,25,12,18,18,6,19,20,10,217,1017,16,0.0,0.0,13.9,15,81,6,Barren County,Kentucky
2020-05-03,22,22,16,19,19,5,20,20,11,247,1014,18,5.9,0.0,8.7,17,92,5,Barren County,Kentucky
2020-05-04,21,21,12,16,16,5,17,18,8,71,1015,12,1.4,0.0,13.9,12,78,5,Barren County,Kentucky
2020-05-05,20,20,11,16,16,3,16,18,10,274,1009,15,4.4,0.0,8.7,14,92,4,Barren County,Kentucky
2020-05-06,14,14,7,7,7,4,9,10,11,337,1017,16,4.4,0.0,8.7,6,81,3,Barren County,Kentucky
2020-05-07,17,17,4,10,10,6,11,13,8,267,1019,12,0.4,0.0,14.0,7,78,3,Barren County,Kentucky
2020-05-08,11,11,1,6,6,4,9,10,10,282,1014,16,13.8,0.0,8.7,7,86,2,Barren County,Kentucky
2020-05-09,13,13,-1,5,5,6,7,9,5,312,1025,8,0.0,0.0,14.0,-1,60,3,Barren County,Kentucky
2020-05-10,15,15,4,7,7,6,9,12,11,238,1021,18,0.9,0.0,13.4,5,77,3,Barren County,Kentucky
2020-05-11,12,12,2,5,5,5,7,9,7,299,1024,11,0.2,0.0,12.2,3,78,2,Barren County,Kentucky
2020-05-12,14,14,5,9,9,6,9,11,4,231,1025,6,0.0,0.0,9.9,5,73,3,Barren County,Kentucky
2020-05-13,13,13,6,8,8,2,10,11,8,138,1023,13,14.3,0.0,8.8,11,96,3,Barren County,Kentucky
