date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-4,-4,-10,-9,-9,6,-7,-7,4,300,1021,6,0.0,0.0,11.1,-11,77,2,Beaverhead County,Montana
2020-03-02,-2,-2,-15,-13,-13,6,-8,-7,6,198,1023,12,0.0,0.0,11.2,-12,76,2,Beaverhead County,Montana
2020-03-03,1,1,-11,-10,-10,6,-5,-4,8,176,1021,15,0.0,0.0,11.2,-8,86,2,Beaverhead County,Montana
2020-03-04,3,3,-10,-10,-10,6,-3,-2,13,243,1021,22,0.0,0.0,11.2,-8,75,2,Beaverhead County,Montana
2020-03-05,2,2,-12,-9,-9,6,-4,-4,8,158,1028,14,0.0,0.0,11.2,-9,77,2,Beaverhead County,Montana
2020-03-06,5,5,-6,-5,-5,6,-1,0,10,164,1018,18,0.0,0.0,11.3,-5,76,2,Beaverhead County,Montana
2020-03-07,4,4,-4,-3,-3,5,0,2,7,174,1008,13,1.3,1.1,10.2,-3,82,1,Beaverhead County,Montana
2020-03-08,1,1,-4,-4,-4,5,-1,-1,5,225,1013,8,1.0,0.9,10.2,-5,76,1,Beaverhead County,Montana
2020-03-09,4,4,-4,-5,-5,5,-1,0,7,214,1019,11,1.1,0.9,10.2,-6,74,1,Beaverhead County,Montana
2020-03-10,1,1,-10,-7,-7,4,-4,-4,6,200,1025,9,1.7,1.4,11.6,-9,78,2,Beaverhead County,Montana
2020-03-11,5,5,-9,-8,-8,5,-3,-2,11,206,1017,19,0.5,0.4,11.6,-7,76,2,Beaverhead County,Montana
2020-03-12,-1,-1,-10,-9,-9,5,-6,-6,5,269,1022,9,1.4,1.2,11.6,-12,63,2,Beaverhead County,Montana
2020-03-13,-2,-2,-10,-9,-9,6,-6,-6,4,49,1015,5,0.0,0.0,7.4,-11,67,1,Beaverhead County,Montana
2020-03-14,-2,-2,-6,-7,-7,4,-4,-4,4,29,1015,5,1.2,1.0,8.8,-6,86,1,Beaverhead County,Montana
2020-03-15,-3,-3,-10,-10,-10,5,-7,-7,4,101,1020,5,2.8,2.4,6.0,-8,88,1,Beaverhead County,Montana
2020-03-16,-2,-2,-8,-6,-6,4,-5,-5,2,22,1022,3,0.0,0.0,8.8,-6,91,1,Beaverhead County,Montana
2020-03-17,4,4,-5,-2,-2,4,-1,0,3,141,1013,4,0.2,0.1,10.2,-3,87,1,Beaverhead County,Montana
2020-03-18,1,1,-6,-5,-5,3,-2,-2,3,26,1010,5,1.3,1.1,6.0,-3,90,1,Beaverhead County,Montana
2020-03-19,-1,-1,-9,-8,-8,5,-6,-4,5,21,1018,7,0.8,0.6,8.8,-7,87,1,Beaverhead County,Montana
2020-03-20,1,1,-11,-8,-8,6,-6,-4,3,192,1024,5,0.2,0.1,11.6,-7,86,2,Beaverhead County,Montana
2020-03-21,3,3,-8,-7,-7,6,-3,-2,5,185,1022,9,0.0,0.0,11.6,-7,79,2,Beaverhead County,Montana
2020-03-22,3,3,-8,-5,-5,5,-2,-1,5,238,1019,8,0.6,0.5,8.8,-7,74,1,Beaverhead County,Montana
2020-03-23,5,5,-8,-6,-6,6,-1,0,9,185,1013,15,0.0,0.0,8.9,-8,66,1,Beaverhead County,Montana
