date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-4,-3,-3,3,-1,0,4,221,1022,5,1.3,1.1,8.6,-3,84,1,Benewah County,Idaho
2020-03-02,2,2,-4,-3,-3,4,-1,0,5,190,1021,7,1.1,0.9,5.6,-2,89,1,Benewah County,Idaho
2020-03-03,5,5,-2,0,0,4,3,3,7,225,1016,11,0.7,0.0,5.6,3,92,1,Benewah County,Idaho
2020-03-04,5,5,1,0,0,5,4,4,9,261,1019,12,0.4,0.2,8.6,-1,75,1,Benewah County,Idaho
2020-03-05,12,12,-2,2,2,6,4,6,4,141,1021,6,0.0,0.0,11.2,-1,76,3,Benewah County,Idaho
2020-03-06,7,7,0,3,3,5,4,4,3,228,1013,5,0.4,0.0,5.6,1,81,1,Benewah County,Idaho
2020-03-07,2,2,-7,0,0,3,1,1,3,235,1007,4,23.9,14.1,5.6,2,98,1,Benewah County,Idaho
2020-03-08,3,3,-5,-3,-3,3,-1,0,4,197,1016,6,4.5,0.7,5.7,-2,93,1,Benewah County,Idaho
2020-03-09,1,1,-6,-4,-4,5,-2,-3,2,207,1022,4,0.9,0.0,8.6,-4,84,1,Benewah County,Idaho
2020-03-10,5,5,-5,-3,-3,6,0,0,5,206,1024,9,0.2,0.0,10.1,-4,73,1,Benewah County,Idaho
2020-03-11,3,3,-1,0,0,5,2,2,6,249,1015,12,2.3,0.3,5.7,-1,82,1,Benewah County,Idaho
2020-03-12,3,3,-5,-3,-3,6,-1,-1,3,218,1023,6,0.5,0.0,8.7,-5,72,1,Benewah County,Idaho
2020-03-13,-1,-1,-5,-7,-7,5,-3,-3,6,72,1015,11,0.3,0.3,5.7,-6,81,1,Benewah County,Idaho
2020-03-14,-10,-10,-15,-16,-16,2,-10,-12,8,58,1019,11,9.0,7.7,5.8,-12,81,1,Benewah County,Idaho
2020-03-15,2,2,-12,-10,-10,6,-6,-6,5,62,1026,6,0.0,0.0,11.6,-9,78,2,Benewah County,Idaho
2020-03-16,6,6,-7,-4,-4,4,-1,-1,4,54,1025,6,0.0,0.0,11.6,-4,82,2,Benewah County,Idaho
2020-03-17,7,7,-7,-1,-1,4,0,1,3,37,1014,5,0.0,0.0,11.6,-2,81,2,Benewah County,Idaho
2020-03-18,5,5,-6,-1,-1,4,0,0,3,176,1012,6,0.3,0.0,8.8,-2,84,1,Benewah County,Idaho
2020-03-19,5,5,-2,1,1,5,2,2,3,68,1017,6,0.7,0.0,8.8,-1,83,1,Benewah County,Idaho
2020-03-20,7,7,-4,1,1,4,3,3,4,222,1023,6,1.9,0.0,8.9,0,83,1,Benewah County,Idaho
2020-03-21,7,7,-3,1,1,4,3,3,5,242,1021,9,1.5,0.0,7.6,0,81,1,Benewah County,Idaho
