date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,10,11,11,5,13,13,17,191,1010,28,3.2,0.0,5.8,10,82,3,Benton County,Arkansas
2020-03-02,16,16,9,12,12,5,13,14,7,231,1008,11,7.4,0.0,5.8,12,91,3,Benton County,Arkansas
2020-03-03,16,16,7,10,10,5,11,12,5,288,1012,8,0.0,0.0,10.2,5,70,3,Benton County,Arkansas
2020-03-04,14,14,8,10,10,6,10,12,5,32,1017,8,0.0,0.0,5.9,3,58,3,Benton County,Arkansas
2020-03-05,16,16,5,9,9,6,10,11,9,302,1023,14,0.0,0.0,11.6,1,57,4,Benton County,Arkansas
2020-03-06,12,12,1,4,4,6,6,7,8,11,1033,13,0.0,0.0,11.6,-3,53,3,Benton County,Arkansas
2020-03-07,14,14,4,6,6,6,9,10,11,173,1030,18,0.0,0.0,11.6,1,59,4,Benton County,Arkansas
2020-03-08,16,16,6,8,8,6,11,12,17,185,1024,26,0.0,0.0,11.6,4,61,4,Benton County,Arkansas
2020-03-09,15,15,10,11,11,5,14,14,19,193,1017,29,10.9,0.0,5.9,11,86,3,Benton County,Arkansas
2020-03-10,17,17,2,7,7,5,9,10,6,113,1024,9,0.0,0.0,10.2,5,77,2,Benton County,Arkansas
2020-03-11,21,21,12,14,14,5,15,16,8,162,1015,14,10.2,0.0,5.9,12,84,4,Benton County,Arkansas
2020-03-12,24,24,14,18,18,6,19,21,15,248,1008,22,0.2,0.0,8.8,14,80,5,Benton County,Arkansas
2020-03-13,11,11,6,6,6,5,9,10,16,83,1023,22,5.0,0.0,8.8,3,68,2,Benton County,Arkansas
2020-03-14,9,9,6,5,5,4,8,9,11,90,1024,16,70.8,0.0,6.0,7,94,2,Benton County,Arkansas
2020-03-15,12,12,5,5,5,6,8,8,10,76,1030,13,0.0,0.0,6.0,5,83,2,Benton County,Arkansas
2020-03-16,11,11,5,6,6,4,8,8,6,168,1024,8,2.1,0.0,6.0,7,91,2,Benton County,Arkansas
2020-03-17,16,16,8,10,10,4,11,12,8,108,1023,11,1.0,0.0,7.4,9,87,3,Benton County,Arkansas
2020-03-18,21,21,12,15,15,5,16,17,13,197,1015,20,33.7,0.0,6.0,15,91,4,Benton County,Arkansas
2020-03-19,22,22,18,19,19,5,19,20,19,209,1011,30,33.4,0.0,6.0,17,87,4,Benton County,Arkansas
2020-03-20,10,10,4,7,7,6,10,9,14,119,1024,21,0.3,0.0,7.4,7,80,2,Benton County,Arkansas
2020-03-21,12,12,-1,3,3,6,6,7,7,76,1031,11,0.0,0.0,11.6,0,68,3,Benton County,Arkansas
2020-03-22,13,13,5,6,6,5,9,9,10,165,1022,14,13.6,0.0,6.1,7,87,2,Benton County,Arkansas
2020-03-23,18,18,8,11,11,5,12,13,7,115,1019,10,0.0,0.0,11.6,9,83,4,Benton County,Arkansas
2020-03-24,21,21,12,14,14,4,15,16,10,165,1011,17,23.9,0.0,8.8,12,86,4,Benton County,Arkansas
2020-03-25,21,21,8,13,13,4,14,15,10,181,1012,17,0.0,0.0,11.6,11,83,5,Benton County,Arkansas
2020-03-26,27,27,15,21,21,6,22,21,15,208,1006,24,0.0,0.0,11.6,18,84,5,Benton County,Arkansas
2020-03-27,23,23,19,21,21,5,22,22,14,205,1005,22,0.5,0.0,6.1,19,89,5,Benton County,Arkansas
2020-03-28,20,20,13,18,18,5,18,19,18,226,1005,28,8.2,0.0,8.9,12,71,4,Benton County,Arkansas
2020-03-29,18,18,6,10,10,6,12,13,9,257,1019,14,0.0,0.0,11.6,5,63,4,Benton County,Arkansas
2020-03-30,19,19,9,13,13,5,14,15,8,145,1020,12,7.2,0.0,8.9,6,64,4,Benton County,Arkansas
2020-03-31,17,17,9,10,10,5,12,13,10,239,1016,14,23.3,0.0,6.2,9,81,3,Benton County,Arkansas
2020-04-01,19,19,9,13,13,6,14,15,8,174,1015,13,0.0,0.0,7.5,8,73,3,Benton County,Arkansas
2020-04-02,19,19,12,14,14,6,15,16,16,173,1013,24,1.1,0.0,7.6,11,74,4,Benton County,Arkansas
2020-04-03,14,14,2,7,7,5,10,11,11,339,1017,16,8.9,0.0,6.2,9,94,3,Benton County,Arkansas
2020-04-04,11,11,2,4,4,5,7,7,8,43,1020,10,0.4,0.0,6.4,5,88,2,Benton County,Arkansas
2020-04-05,16,16,10,12,12,4,12,13,6,196,1018,9,0.4,0.0,6.4,11,92,3,Benton County,Arkansas
2020-04-06,20,20,11,15,15,4,16,17,11,200,1016,17,0.2,0.0,6.4,14,88,4,Benton County,Arkansas
2020-04-07,25,25,16,20,20,6,21,21,12,207,1010,19,0.3,0.0,9.0,18,88,5,Benton County,Arkansas
2020-04-08,27,27,16,21,22,4,22,23,9,218,1007,15,0.9,0.0,11.6,17,80,6,Benton County,Arkansas
2020-04-09,17,17,8,11,11,6,12,14,11,254,1016,17,0.0,0.0,11.6,6,67,4,Benton County,Arkansas
2020-04-10,16,16,1,7,7,6,9,9,7,181,1021,11,0.0,0.0,11.6,-1,53,3,Benton County,Arkansas
2020-04-11,18,18,7,10,10,6,12,13,16,185,1011,26,3.5,0.0,7.8,7,71,3,Benton County,Arkansas
2020-04-12,23,23,15,18,18,4,19,20,17,173,1000,27,23.2,0.0,6.5,13,88,5,Benton County,Arkansas
2020-04-13,7,7,-2,-1,-1,5,3,4,14,235,1022,19,1.4,0.0,7.8,-4,59,1,Benton County,Arkansas
2020-04-14,9,9,1,3,3,5,5,6,6,57,1026,8,0.6,0.2,7.8,-1,67,2,Benton County,Arkansas
2020-04-15,14,14,0,5,5,6,7,8,7,248,1022,11,0.0,0.0,11.6,0,65,3,Benton County,Arkansas
2020-04-16,17,17,5,8,8,6,10,12,13,181,1019,23,0.0,0.0,11.6,4,63,3,Benton County,Arkansas
2020-04-17,12,12,6,7,7,6,10,9,13,351,1018,21,4.7,0.0,6.6,6,82,2,Benton County,Arkansas
2020-04-18,16,16,-1,6,6,6,8,10,8,179,1018,14,0.0,0.0,11.6,2,69,3,Benton County,Arkansas
2020-04-19,16,16,10,12,12,5,13,14,6,105,1008,9,13.3,0.0,6.6,11,93,3,Benton County,Arkansas
2020-04-20,20,20,10,15,15,5,15,17,7,228,1011,11,8.2,0.0,9.1,11,81,4,Benton County,Arkansas
2020-04-21,22,22,11,16,16,6,17,18,4,75,1015,7,2.2,0.0,11.6,10,69,4,Benton County,Arkansas
2020-04-22,19,19,14,15,15,5,16,17,19,167,1007,32,17.0,0.0,6.6,13,83,4,Benton County,Arkansas
2020-04-23,21,21,12,16,16,5,17,17,11,322,1003,16,6.6,0.0,6.6,13,84,4,Benton County,Arkansas
2020-04-24,20,20,13,15,15,4,15,17,9,139,1006,15,24.1,0.0,6.8,13,85,4,Benton County,Arkansas
2020-04-25,18,18,10,12,12,5,13,14,17,328,1013,24,5.3,0.0,8.0,10,81,3,Benton County,Arkansas
2020-04-26,20,20,9,14,14,6,14,16,4,280,1021,7,0.1,0.0,11.6,8,68,5,Benton County,Arkansas
2020-04-27,18,18,14,15,15,6,16,16,13,189,1018,22,3.6,0.0,8.1,11,73,4,Benton County,Arkansas
2020-04-28,23,23,15,18,18,5,18,19,15,188,1010,25,28.0,0.0,6.9,16,90,4,Benton County,Arkansas
2020-04-29,17,17,9,12,12,5,13,14,15,320,1013,23,13.9,0.0,10.4,10,80,3,Benton County,Arkansas
2020-04-30,20,20,8,14,14,6,14,16,6,303,1017,10,0.0,0.0,11.6,10,77,5,Benton County,Arkansas
2020-05-01,24,24,12,17,17,6,19,19,12,181,1013,21,0.1,0.0,11.6,13,76,5,Benton County,Arkansas
2020-05-02,26,26,16,20,20,5,21,21,13,193,1013,20,0.8,0.0,9.3,17,83,5,Benton County,Arkansas
2020-05-03,25,25,20,22,23,5,23,23,9,221,1012,14,5.0,0.0,6.9,20,93,5,Benton County,Arkansas
2020-05-04,25,25,19,21,21,5,22,22,14,173,1010,21,7.8,0.0,6.9,20,92,5,Benton County,Arkansas
