date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-3,-1,-1,6,4,4,14,193,1014,25,0.9,0.0,10.1,1,82,2,Benton County,Indiana
2020-03-02,8,8,2,3,3,5,6,5,9,329,1008,14,12.4,0.0,8.6,3,83,1,Benton County,Indiana
2020-03-03,10,10,1,3,3,6,6,7,11,267,1006,17,0.1,0.0,11.3,0,67,3,Benton County,Indiana
2020-03-04,8,8,4,1,1,6,5,6,10,313,1015,16,0.0,0.0,8.6,-1,66,2,Benton County,Indiana
2020-03-05,11,11,2,2,2,6,5,7,13,229,1016,20,0.0,0.0,11.3,-1,64,3,Benton County,Indiana
2020-03-06,3,3,-2,-6,-6,5,0,1,17,342,1025,23,0.1,0.0,8.6,-4,73,1,Benton County,Indiana
2020-03-07,9,9,-3,-1,-1,6,2,3,8,190,1033,12,0.0,0.0,11.4,-5,60,2,Benton County,Indiana
2020-03-08,14,14,3,4,4,6,8,8,17,200,1025,26,0.0,0.0,10.1,0,58,3,Benton County,Indiana
2020-03-09,14,14,10,9,9,5,12,12,21,198,1019,32,10.0,0.0,5.7,8,79,3,Benton County,Indiana
2020-03-10,9,9,3,5,5,5,8,7,10,115,1020,13,11.3,0.0,5.7,5,82,2,Benton County,Indiana
2020-03-11,12,12,3,6,6,6,7,8,5,248,1018,6,0.0,0.0,10.1,3,76,3,Benton County,Indiana
2020-03-12,14,14,5,8,8,5,10,11,9,176,1009,13,4.3,0.0,7.2,8,87,3,Benton County,Indiana
2020-03-13,8,8,1,1,1,6,5,5,14,296,1022,20,0.0,0.0,11.5,-3,59,2,Benton County,Indiana
2020-03-14,2,2,0,-1,-1,3,2,2,7,81,1033,11,5.7,4.3,5.8,-1,80,1,Benton County,Indiana
2020-03-15,6,6,-2,-1,-1,6,2,3,8,54,1035,12,0.0,0.0,10.1,-1,79,1,Benton County,Indiana
2020-03-16,5,5,2,1,1,6,3,4,6,213,1027,9,0.6,0.0,6.0,1,86,1,Benton County,Indiana
2020-03-17,10,10,0,2,2,6,5,6,6,313,1025,10,0.0,0.0,11.6,-1,68,3,Benton County,Indiana
2020-03-18,7,7,1,3,3,4,5,6,7,106,1021,12,5.4,0.0,7.6,4,89,2,Benton County,Indiana
2020-03-19,16,16,5,8,8,4,10,11,12,156,1014,20,14.8,0.0,6.2,10,95,3,Benton County,Indiana
2020-03-20,12,12,-1,5,5,6,8,8,16,334,1019,23,1.1,0.0,6.3,5,78,2,Benton County,Indiana
2020-03-21,5,5,-3,-4,-4,6,0,1,8,48,1034,12,0.0,0.0,11.6,-7,60,2,Benton County,Indiana
2020-03-22,3,3,-2,-4,-4,4,0,1,8,122,1030,11,6.4,2.9,8.9,-4,79,1,Benton County,Indiana
2020-03-23,5,5,1,1,1,4,2,3,4,335,1022,5,0.5,0.0,7.6,1,92,1,Benton County,Indiana
2020-03-24,11,11,0,3,3,6,5,6,6,107,1019,9,0.0,0.0,11.6,2,81,3,Benton County,Indiana
2020-03-25,15,15,2,7,7,6,8,10,6,205,1014,10,0.0,0.0,11.6,4,77,3,Benton County,Indiana
2020-03-26,16,16,8,10,10,5,11,12,9,153,1009,14,2.0,0.0,9.0,9,87,3,Benton County,Indiana
2020-03-27,12,12,5,7,7,4,9,10,11,93,1010,18,14.5,0.0,6.3,9,92,3,Benton County,Indiana
2020-03-28,22,22,13,17,17,4,18,18,10,239,1003,17,16.9,0.0,6.4,16,90,4,Benton County,Indiana
2020-03-29,10,10,9,7,7,6,11,9,21,247,1006,31,0.2,0.0,6.4,6,72,2,Benton County,Indiana
2020-03-30,10,10,3,3,3,6,7,7,12,312,1020,17,0.0,0.0,10.3,2,71,2,Benton County,Indiana
2020-03-31,6,6,2,1,1,6,4,5,9,130,1018,13,0.1,0.0,6.4,1,78,1,Benton County,Indiana
2020-04-01,10,10,2,4,4,6,6,7,6,352,1018,9,0.0,0.0,7.7,2,76,2,Benton County,Indiana
2020-04-02,15,15,4,8,8,6,9,10,4,126,1021,6,0.0,0.0,11.6,2,65,4,Benton County,Indiana
2020-04-03,19,19,9,13,13,6,14,15,6,174,1017,8,0.2,0.0,9.0,7,64,3,Benton County,Indiana
2020-04-04,10,10,5,6,6,5,9,8,8,225,1018,11,5.2,0.0,6.5,6,83,2,Benton County,Indiana
2020-04-05,15,15,2,6,6,6,8,9,6,48,1021,10,0.0,0.0,10.3,1,65,3,Benton County,Indiana
2020-04-06,17,17,6,11,11,6,12,13,7,192,1017,11,0.0,0.0,7.8,8,79,3,Benton County,Indiana
2020-04-07,23,23,14,18,18,5,19,19,11,229,1007,18,9.8,0.0,7.8,15,83,4,Benton County,Indiana
2020-04-08,23,23,12,17,17,5,19,18,8,189,1005,12,9.5,0.0,11.6,12,76,5,Benton County,Indiana
2020-04-09,9,9,3,2,2,6,6,7,18,297,1009,24,1.3,0.0,9.1,-1,61,2,Benton County,Indiana
2020-04-10,9,9,-1,0,0,6,4,5,12,294,1017,17,0.0,0.0,11.6,-3,60,2,Benton County,Indiana
2020-04-11,15,15,5,7,7,6,10,11,11,195,1013,16,0.8,0.0,9.1,3,62,3,Benton County,Indiana
2020-04-12,15,15,10,11,11,5,12,13,11,180,1004,17,0.6,0.0,6.6,10,86,3,Benton County,Indiana
2020-04-13,6,6,2,1,1,5,5,4,17,298,1009,22,1.6,0.0,10.3,-1,67,1,Benton County,Indiana
2020-04-14,6,6,-1,-2,-2,6,2,3,10,275,1022,14,0.0,0.0,9.1,-7,53,1,Benton County,Indiana
2020-04-15,4,4,0,-3,-3,5,1,2,9,311,1019,13,2.0,0.7,7.8,-4,69,1,Benton County,Indiana
2020-04-16,7,7,-1,0,0,6,3,4,7,280,1026,10,0.0,0.0,10.4,-6,52,1,Benton County,Indiana
2020-04-17,1,1,0,-3,-3,4,1,1,9,148,1018,14,18.9,8.5,6.6,0,95,1,Benton County,Indiana
2020-04-18,12,12,0,3,3,6,6,8,12,236,1016,18,0.0,0.0,11.6,1,71,3,Benton County,Indiana
2020-04-19,13,13,6,6,6,5,9,10,10,205,1010,15,1.1,0.0,7.9,4,74,2,Benton County,Indiana
2020-04-20,16,16,4,8,8,6,9,11,9,239,1007,14,1.3,0.0,11.6,2,61,4,Benton County,Indiana
2020-04-21,10,10,2,3,3,6,7,6,13,306,1013,19,0.3,0.0,11.6,-2,55,3,Benton County,Indiana
2020-04-22,18,18,4,10,10,6,11,12,8,195,1014,13,0.0,0.0,11.6,4,64,3,Benton County,Indiana
2020-04-23,12,12,10,10,10,4,11,12,7,98,1005,11,6.7,0.0,6.9,10,93,3,Benton County,Indiana
2020-04-24,17,17,8,11,11,4,12,13,6,45,1010,9,0.2,0.0,6.9,9,84,3,Benton County,Indiana
