date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,1,1,1,6,5,7,11,249,1008,20,0.0,0.0,11.2,3,89,3,Benton County,Iowa
2020-03-02,4,4,-2,-3,-3,6,0,0,7,311,1011,11,0.0,0.0,11.6,-4,78,2,Benton County,Iowa
2020-03-03,8,8,0,0,0,6,3,5,11,291,1005,17,0.0,0.0,11.6,-2,70,2,Benton County,Iowa
2020-03-04,7,7,-1,-1,-1,5,3,3,8,293,1015,13,1.4,0.4,11.6,-1,76,2,Benton County,Iowa
2020-03-05,9,9,1,0,0,6,5,7,21,292,1015,29,0.0,0.0,8.7,-1,68,2,Benton County,Iowa
2020-03-06,5,5,-3,-4,-4,6,1,1,12,348,1031,17,0.0,0.0,11.6,-8,57,2,Benton County,Iowa
2020-03-07,14,14,0,2,2,6,6,7,15,190,1026,24,0.0,0.0,11.6,-2,56,3,Benton County,Iowa
2020-03-08,17,17,7,9,9,6,11,12,18,202,1016,27,0.1,0.0,11.6,5,65,4,Benton County,Iowa
2020-03-09,10,10,3,6,6,3,9,10,14,236,1013,20,17.8,0.0,5.9,7,91,2,Benton County,Iowa
2020-03-10,9,9,-1,1,1,5,4,4,8,87,1022,11,0.4,0.0,8.8,0,75,1,Benton County,Iowa
2020-03-11,12,12,2,4,4,6,6,7,6,274,1016,10,0.0,0.0,11.6,2,77,3,Benton County,Iowa
2020-03-12,13,13,3,4,4,5,8,10,14,246,1007,23,1.0,0.0,5.9,4,81,2,Benton County,Iowa
2020-03-13,7,7,0,-1,-1,6,3,4,11,303,1025,16,0.0,0.0,11.6,-5,58,1,Benton County,Iowa
2020-03-14,5,5,-2,-2,-2,4,1,1,6,58,1034,9,1.3,1.0,8.8,-3,74,1,Benton County,Iowa
2020-03-15,5,5,-3,-3,-3,5,0,1,7,103,1037,10,0.0,0.0,10.2,-3,80,2,Benton County,Iowa
2020-03-16,6,6,-1,0,0,5,2,3,6,250,1026,9,0.1,0.0,6.0,0,87,1,Benton County,Iowa
2020-03-17,8,8,-2,1,1,6,3,3,6,272,1025,9,0.0,0.0,11.6,-3,66,2,Benton County,Iowa
2020-03-18,7,7,1,2,2,3,5,5,8,133,1019,12,6.9,0.0,6.0,4,91,1,Benton County,Iowa
2020-03-19,9,9,1,4,4,5,7,8,11,94,1010,18,10.6,0.0,6.0,7,97,2,Benton County,Iowa
2020-03-20,3,3,-2,-5,-5,5,1,0,16,345,1026,21,2.9,0.0,10.2,-4,74,1,Benton County,Iowa
2020-03-21,4,4,-2,-4,-4,6,0,1,8,149,1034,11,0.1,0.0,7.5,-4,72,1,Benton County,Iowa
2020-03-22,3,3,-1,-4,-4,4,1,1,12,149,1027,16,1.6,1.1,8.8,-3,79,1,Benton County,Iowa
2020-03-23,8,8,1,1,1,4,4,5,6,209,1022,8,0.4,0.5,6.1,2,90,1,Benton County,Iowa
2020-03-24,10,10,2,2,2,6,5,6,8,151,1017,11,0.0,0.0,7.5,2,82,2,Benton County,Iowa
2020-03-25,16,16,4,7,7,6,9,10,10,195,1010,15,0.0,0.0,8.9,6,82,3,Benton County,Iowa
2020-03-26,11,11,6,6,6,4,8,9,9,46,1010,13,0.6,0.0,6.1,6,87,2,Benton County,Iowa
2020-03-27,10,10,3,4,4,4,7,8,11,98,1010,16,1.4,0.0,7.7,5,87,2,Benton County,Iowa
2020-03-28,17,17,9,10,10,5,12,13,13,116,999,21,9.1,0.0,7.7,10,87,3,Benton County,Iowa
2020-03-29,8,8,5,3,3,6,7,7,20,291,1005,27,0.1,0.0,6.4,3,76,2,Benton County,Iowa
2020-03-30,13,13,1,5,5,6,7,8,9,234,1022,15,0.0,0.0,11.6,2,69,3,Benton County,Iowa
2020-03-31,11,11,2,3,3,6,6,6,7,41,1019,11,0.0,0.0,10.3,1,75,2,Benton County,Iowa
2020-04-01,12,12,1,3,3,5,6,7,9,140,1017,14,0.5,0.0,10.3,2,79,2,Benton County,Iowa
2020-04-02,15,15,6,8,8,4,10,11,14,152,1016,20,1.5,0.0,6.4,7,78,3,Benton County,Iowa
2020-04-03,11,11,-2,1,1,3,5,5,13,325,1018,18,3.2,0.0,6.5,3,89,1,Benton County,Iowa
2020-04-04,7,7,-4,-4,-4,5,0,2,10,121,1024,14,0.7,0.8,11.6,-4,71,2,Benton County,Iowa
2020-04-05,13,13,-1,4,4,6,6,7,7,148,1021,11,0.0,0.0,10.3,0,69,3,Benton County,Iowa
2020-04-06,12,12,5,6,6,6,9,9,9,160,1014,15,1.0,0.0,6.5,7,87,2,Benton County,Iowa
2020-04-07,23,23,12,16,16,4,17,18,9,235,1005,15,1.5,0.0,6.5,14,84,4,Benton County,Iowa
2020-04-08,17,17,4,11,11,6,12,14,9,292,1008,13,0.6,0.0,10.3,8,76,3,Benton County,Iowa
2020-04-09,7,7,1,0,0,5,4,5,16,309,1014,23,0.7,0.1,7.8,-4,57,2,Benton County,Iowa
2020-04-10,9,9,-1,1,1,6,4,5,9,285,1018,13,0.0,0.0,10.3,-4,57,2,Benton County,Iowa
2020-04-11,13,13,3,6,6,5,8,9,8,161,1008,13,1.5,0.0,7.8,4,78,2,Benton County,Iowa
2020-04-12,11,11,1,4,4,3,7,9,13,154,1002,18,20.6,0.0,6.6,6,93,2,Benton County,Iowa
2020-04-13,5,5,-4,-6,-6,5,0,1,18,305,1017,24,0.0,0.0,9.1,-7,59,1,Benton County,Iowa
