date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-4,0,0,6,3,4,5,252,1022,8,0.0,0.0,11.6,-8,51,2,Berkeley County,West Virginia
2020-03-02,15,15,-1,4,4,5,7,9,8,196,1014,13,2.6,0.0,8.7,2,73,2,Berkeley County,West Virginia
2020-03-03,15,15,6,8,8,5,10,11,8,184,1005,14,5.3,0.0,5.8,7,86,3,Berkeley County,West Virginia
2020-03-04,14,14,2,5,5,6,8,10,9,267,1011,15,0.0,0.0,11.6,1,62,3,Berkeley County,West Virginia
2020-03-05,10,10,1,4,4,6,6,7,6,180,1019,10,0.0,0.0,11.6,-1,63,3,Berkeley County,West Virginia
2020-03-06,10,10,2,3,3,6,5,7,10,320,1011,15,0.9,0.0,7.3,0,70,2,Berkeley County,West Virginia
2020-03-07,8,8,-1,0,0,6,5,5,12,330,1027,18,0.0,0.0,11.6,-4,60,2,Berkeley County,West Virginia
2020-03-08,15,15,-1,6,6,6,8,9,5,205,1032,8,0.0,0.0,11.6,-2,58,3,Berkeley County,West Virginia
2020-03-09,19,19,4,11,11,6,13,14,6,219,1028,11,0.0,0.0,11.6,3,58,4,Berkeley County,West Virginia
2020-03-10,18,18,9,11,11,5,13,14,10,218,1019,18,1.6,0.0,5.9,9,78,3,Berkeley County,West Virginia
2020-03-11,9,9,4,6,6,6,7,7,4,121,1019,6,0.0,0.0,7.4,2,75,2,Berkeley County,West Virginia
2020-03-12,16,16,5,9,9,6,10,12,6,148,1016,9,0.0,0.0,8.8,6,79,3,Berkeley County,West Virginia
2020-03-13,17,17,8,11,11,4,13,15,11,288,1014,16,9.7,0.0,6.0,6,69,3,Berkeley County,West Virginia
2020-03-14,11,11,2,4,4,5,6,8,7,300,1029,11,2.7,0.0,11.6,-3,56,3,Berkeley County,West Virginia
2020-03-15,8,8,3,3,3,4,5,6,6,28,1031,8,8.2,0.0,7.4,2,83,2,Berkeley County,West Virginia
2020-03-16,9,9,-1,2,2,6,4,5,8,152,1030,12,0.0,0.0,7.4,-1,70,2,Berkeley County,West Virginia
2020-03-17,16,16,5,8,8,6,10,11,7,267,1023,11,0.1,0.0,10.2,5,82,3,Berkeley County,West Virginia
2020-03-18,12,12,2,5,5,5,7,8,8,147,1029,12,0.6,0.0,8.8,3,73,2,Berkeley County,West Virginia
2020-03-19,22,22,9,15,15,4,17,18,6,233,1021,9,5.4,0.0,8.8,12,84,4,Berkeley County,West Virginia
2020-03-20,23,23,14,18,18,6,19,20,8,234,1015,16,1.7,0.0,10.2,15,82,5,Berkeley County,West Virginia
2020-03-21,9,9,3,4,4,6,6,6,8,24,1027,11,0.3,0.0,7.4,0,63,2,Berkeley County,West Virginia
2020-03-22,9,9,-1,1,1,5,4,5,8,101,1033,12,0.2,0.0,11.6,-3,59,3,Berkeley County,West Virginia
2020-03-23,8,8,4,4,4,4,6,6,6,101,1024,9,1.7,0.0,6.1,5,93,2,Berkeley County,West Virginia
2020-03-24,13,13,3,6,6,6,7,9,5,192,1020,9,0.0,0.0,10.2,3,77,2,Berkeley County,West Virginia
