date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,5,10,10,6,11,12,5,196,1025,7,0.0,0.0,10.1,2,54,3,Bibb County,Georgia
2020-03-02,17,17,9,11,11,5,13,14,8,193,1019,13,9.0,0.0,5.7,8,73,3,Bibb County,Georgia
2020-03-03,21,21,15,17,17,4,17,18,9,225,1013,16,23.9,0.0,5.7,16,91,4,Bibb County,Georgia
2020-03-04,16,16,13,14,14,3,15,14,6,45,1015,10,79.3,0.0,5.9,13,93,3,Bibb County,Georgia
2020-03-05,12,12,10,9,9,4,11,11,10,60,1016,15,33.0,0.0,5.9,9,89,3,Bibb County,Georgia
2020-03-06,14,14,8,8,8,6,10,12,12,308,1021,17,0.0,0.0,11.6,2,61,4,Bibb County,Georgia
2020-03-07,15,15,2,7,7,6,8,9,6,36,1030,9,0.0,0.0,11.6,-2,50,3,Bibb County,Georgia
2020-03-08,16,16,5,9,9,6,10,12,5,124,1034,9,0.0,0.0,10.2,1,55,3,Bibb County,Georgia
2020-03-09,20,20,8,13,13,6,14,16,6,161,1032,9,0.1,0.0,8.8,9,73,4,Bibb County,Georgia
2020-03-10,19,19,11,15,15,6,15,17,6,223,1027,10,0.3,0.0,5.9,14,87,4,Bibb County,Georgia
2020-03-11,23,23,13,18,18,3,18,20,6,236,1020,10,4.3,0.0,7.4,15,82,4,Bibb County,Georgia
2020-03-12,24,24,15,19,19,5,19,20,6,239,1016,9,1.2,0.0,7.4,16,84,4,Bibb County,Georgia
2020-03-13,25,25,15,20,20,5,20,21,6,254,1019,10,1.8,0.0,7.4,16,80,5,Bibb County,Georgia
2020-03-14,24,24,17,20,20,5,21,21,5,98,1024,7,2.4,0.0,7.4,17,81,5,Bibb County,Georgia
2020-03-15,21,21,17,19,19,6,19,19,4,231,1024,6,0.2,0.0,10.2,16,82,4,Bibb County,Georgia
2020-03-16,16,16,13,14,14,4,15,14,8,77,1026,11,5.4,0.0,6.0,12,87,3,Bibb County,Georgia
2020-03-17,24,24,12,18,18,6,18,20,3,253,1023,5,2.9,0.0,6.0,14,82,4,Bibb County,Georgia
2020-03-18,27,27,15,20,21,5,21,22,6,165,1024,10,4.7,0.0,8.8,16,78,5,Bibb County,Georgia
2020-03-19,28,28,18,22,23,5,23,24,7,189,1024,10,0.6,0.0,11.6,18,76,6,Bibb County,Georgia
2020-03-20,27,27,17,22,23,6,23,23,8,228,1024,13,0.3,0.0,10.2,16,72,5,Bibb County,Georgia
2020-03-21,27,27,17,22,23,6,23,23,6,296,1023,9,0.7,0.0,11.6,15,69,6,Bibb County,Georgia
2020-03-22,19,19,13,15,15,5,16,17,7,52,1024,10,21.9,0.0,8.8,12,80,4,Bibb County,Georgia
2020-03-23,21,21,13,17,17,4,17,18,5,198,1022,8,12.6,0.0,6.1,16,91,4,Bibb County,Georgia
2020-03-24,27,27,18,22,22,4,22,23,9,219,1015,14,8.9,0.0,7.5,17,78,5,Bibb County,Georgia
2020-03-25,26,26,18,22,22,5,22,23,10,290,1011,14,7.0,0.0,10.2,15,69,6,Bibb County,Georgia
2020-03-26,27,27,14,20,20,6,21,21,5,167,1016,7,0.0,0.0,10.2,13,66,5,Bibb County,Georgia
2020-03-27,29,29,17,23,24,6,24,24,6,213,1015,10,0.0,0.0,11.6,17,74,6,Bibb County,Georgia
2020-03-28,29,29,18,24,25,5,25,25,10,222,1015,15,0.0,0.0,11.6,18,73,7,Bibb County,Georgia
2020-03-29,28,28,19,23,24,6,24,25,9,258,1018,14,1.1,0.0,6.1,17,72,5,Bibb County,Georgia
2020-03-30,25,25,16,20,20,6,21,22,5,337,1019,9,0.0,0.0,11.6,7,43,6,Bibb County,Georgia
2020-03-31,19,19,12,16,16,5,16,17,8,220,1008,12,12.5,0.0,6.2,9,65,4,Bibb County,Georgia
2020-04-01,18,18,8,11,11,6,13,14,10,330,1013,15,0.0,0.0,11.6,3,53,4,Bibb County,Georgia
2020-04-02,22,22,8,14,14,6,15,17,4,140,1017,6,0.0,0.0,11.6,5,56,5,Bibb County,Georgia
2020-04-03,25,25,11,18,18,6,18,20,3,190,1016,5,0.0,0.0,11.6,6,51,5,Bibb County,Georgia
2020-04-04,25,25,16,19,19,6,19,21,5,233,1015,8,0.0,0.0,11.6,9,51,6,Bibb County,Georgia
2020-04-05,26,26,15,20,20,6,21,22,4,149,1017,7,0.8,0.0,11.6,12,61,6,Bibb County,Georgia
2020-04-06,27,27,16,21,21,6,21,23,4,213,1018,7,0.0,0.0,11.6,14,68,6,Bibb County,Georgia
2020-04-07,27,27,14,20,20,6,20,22,7,241,1017,12,2.1,0.0,11.6,15,73,5,Bibb County,Georgia
2020-04-08,28,28,18,22,24,6,24,25,8,274,1010,13,8.7,0.0,6.4,19,83,5,Bibb County,Georgia
2020-04-09,29,29,20,23,24,6,24,26,11,299,1007,17,0.2,0.0,10.3,15,64,7,Bibb County,Georgia
2020-04-10,18,18,12,15,15,6,15,16,10,343,1014,15,0.0,0.0,11.6,0,35,5,Bibb County,Georgia
2020-04-11,22,22,8,14,14,6,15,16,5,158,1018,8,0.0,0.0,11.6,1,41,5,Bibb County,Georgia
2020-04-12,22,22,12,16,16,5,17,18,8,130,1014,15,10.1,0.0,7.8,14,78,4,Bibb County,Georgia
2020-04-13,26,26,20,23,25,5,25,24,12,265,1012,18,50.1,0.0,11.6,15,66,6,Bibb County,Georgia
2020-04-14,26,26,14,20,21,6,21,22,5,173,1015,7,0.0,0.0,11.6,13,65,6,Bibb County,Georgia
2020-04-15,21,21,11,15,15,6,17,16,8,342,1016,13,0.0,0.0,11.6,3,45,5,Bibb County,Georgia
2020-04-16,21,21,8,14,14,6,15,16,7,61,1023,11,0.0,0.0,11.6,2,43,5,Bibb County,Georgia
2020-04-17,23,23,11,16,16,6,17,18,6,166,1022,9,0.0,0.0,10.3,8,58,4,Bibb County,Georgia
2020-04-18,25,25,16,20,22,6,22,22,8,300,1015,12,0.0,0.0,9.1,12,64,5,Bibb County,Georgia
2020-04-19,18,18,11,14,14,4,15,14,6,87,1012,10,93.2,0.0,6.5,11,80,3,Bibb County,Georgia
2020-04-20,24,24,15,18,18,5,19,20,8,298,1006,12,109.9,0.0,9.2,13,72,5,Bibb County,Georgia
