date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-6,-6,-6,5,-2,-1,9,244,1018,14,0.2,0.2,8.7,-6,71,1,Big Horn County,Wyoming
2020-03-02,-2,-2,-10,-11,-11,6,-6,-6,7,154,1015,11,0.0,0.0,11.6,-9,78,2,Big Horn County,Wyoming
2020-03-03,1,1,-8,-7,-7,5,-3,-2,6,153,1014,11,0.3,0.3,8.7,-7,78,1,Big Horn County,Wyoming
2020-03-04,3,3,-5,-5,-5,6,-2,-1,8,184,1015,15,1.1,0.0,11.6,-5,72,2,Big Horn County,Wyoming
2020-03-05,1,1,-8,-7,-7,5,-3,-3,7,156,1028,12,1.1,0.9,11.6,-7,76,2,Big Horn County,Wyoming
2020-03-06,6,6,-3,-3,-3,6,1,2,9,147,1019,17,0.0,0.0,8.7,-4,69,1,Big Horn County,Wyoming
2020-03-07,9,9,1,1,1,6,4,5,11,149,1009,20,0.0,0.0,11.6,-2,64,3,Big Horn County,Wyoming
2020-03-08,7,7,2,2,2,6,4,5,6,320,1010,9,0.1,0.0,10.2,0,76,1,Big Horn County,Wyoming
2020-03-09,9,9,2,2,2,6,5,5,7,138,1017,10,0.0,0.0,11.6,0,73,3,Big Horn County,Wyoming
2020-03-10,8,8,0,1,1,5,4,4,6,135,1020,8,0.2,0.2,11.6,-1,73,2,Big Horn County,Wyoming
2020-03-11,10,10,1,2,2,6,5,5,8,160,1011,12,0.0,0.0,10.2,-4,55,2,Big Horn County,Wyoming
2020-03-12,4,4,-3,-4,-4,4,1,1,12,324,1019,17,2.2,0.4,11.6,-7,55,2,Big Horn County,Wyoming
2020-03-13,5,5,-2,-2,-2,6,1,2,6,203,1021,8,0.0,0.0,10.2,-7,56,1,Big Horn County,Wyoming
2020-03-14,9,9,0,1,1,6,3,4,7,153,1015,9,0.0,0.0,10.2,-3,61,1,Big Horn County,Wyoming
2020-03-15,3,3,-4,-6,-6,6,-1,-1,10,313,1023,12,0.1,0.1,10.2,-5,73,1,Big Horn County,Wyoming
2020-03-16,3,3,-5,-5,-5,6,-2,-1,6,315,1026,7,0.0,0.0,8.8,-7,64,1,Big Horn County,Wyoming
2020-03-17,11,11,0,3,3,6,5,6,6,149,1013,9,0.0,0.0,11.6,-3,57,3,Big Horn County,Wyoming
2020-03-18,6,6,-3,-1,-1,6,2,1,7,302,1013,9,0.1,0.0,10.2,-3,69,1,Big Horn County,Wyoming
2020-03-19,3,3,-2,-5,-5,6,0,1,14,321,1022,17,0.0,0.0,11.6,-6,61,2,Big Horn County,Wyoming
2020-03-20,5,5,-4,-3,-3,6,0,0,4,149,1027,5,0.0,0.0,11.6,-8,54,2,Big Horn County,Wyoming
2020-03-21,10,10,-1,3,3,6,5,5,4,133,1019,6,0.0,0.0,11.6,-6,47,3,Big Horn County,Wyoming
2020-03-22,8,8,0,2,2,6,5,5,6,331,1016,9,0.0,0.0,10.2,-3,57,2,Big Horn County,Wyoming
2020-03-23,12,12,1,5,5,6,6,7,5,154,1011,7,0.0,0.0,11.6,-5,45,3,Big Horn County,Wyoming
2020-03-24,13,13,3,7,7,6,9,9,8,255,1009,12,0.0,0.0,10.2,-5,43,2,Big Horn County,Wyoming
2020-03-25,10,10,2,3,3,6,6,6,7,271,1009,9,1.4,0.0,6.1,-3,57,2,Big Horn County,Wyoming
2020-03-26,8,8,1,3,3,6,5,5,5,320,1009,7,0.0,0.0,11.6,-6,48,3,Big Horn County,Wyoming
2020-03-27,8,8,-1,1,1,6,4,4,7,312,1010,9,0.0,0.0,11.6,-12,30,2,Big Horn County,Wyoming
2020-03-28,9,9,1,3,3,6,5,5,5,254,1013,7,0.0,0.0,11.6,-10,35,3,Big Horn County,Wyoming
2020-03-29,11,11,2,6,6,6,7,7,4,200,1014,6,0.0,0.0,11.6,-7,37,3,Big Horn County,Wyoming
2020-03-30,14,14,4,8,8,6,9,10,4,207,1014,6,0.0,0.0,11.6,-6,35,3,Big Horn County,Wyoming
2020-03-31,13,13,3,6,6,6,9,9,9,204,1008,13,0.1,0.0,6.4,-3,41,2,Big Horn County,Wyoming
2020-04-01,4,4,0,-3,-3,4,2,2,15,318,1014,19,0.9,0.6,9.0,-6,57,1,Big Horn County,Wyoming
2020-04-02,-3,-3,-9,-10,-10,3,-6,-6,7,124,1027,9,8.2,6.8,6.5,-9,77,1,Big Horn County,Wyoming
2020-04-03,3,3,-10,-8,-8,6,-3,-2,10,143,1024,15,0.0,0.0,11.6,-12,52,2,Big Horn County,Wyoming
2020-04-04,8,8,-4,-1,-1,6,2,3,8,138,1012,12,0.0,0.0,11.6,-9,43,2,Big Horn County,Wyoming
2020-04-05,14,14,1,6,6,6,7,8,5,154,1005,8,0.0,0.0,11.6,-5,41,3,Big Horn County,Wyoming
2020-04-06,18,18,6,10,10,6,12,13,9,205,1003,13,0.1,0.0,9.1,-1,46,3,Big Horn County,Wyoming
2020-04-07,17,17,5,11,11,6,11,13,8,230,1009,11,0.0,0.0,11.6,-1,46,4,Big Horn County,Wyoming
2020-04-08,10,10,4,4,4,6,7,6,10,312,1020,14,0.0,0.0,11.6,-2,49,3,Big Horn County,Wyoming
2020-04-09,11,11,2,5,5,6,7,7,7,182,1020,10,0.0,0.0,11.6,-3,47,3,Big Horn County,Wyoming
2020-04-10,18,18,6,11,11,6,12,13,4,174,1009,6,0.2,0.0,11.6,-1,43,4,Big Horn County,Wyoming
2020-04-11,7,7,1,2,2,4,6,6,12,250,1010,15,5.0,2.8,7.8,0,67,2,Big Horn County,Wyoming
2020-04-12,-1,-1,-5,-8,-8,4,-2,-2,13,344,1027,16,5.3,4.5,11.6,-12,47,1,Big Horn County,Wyoming
2020-04-13,0,0,-8,-8,-8,5,-5,-4,7,281,1031,8,0.2,0.1,7.9,-15,45,1,Big Horn County,Wyoming
2020-04-14,3,3,-7,-6,-6,5,-2,-2,6,148,1023,8,0.1,0.1,7.9,-10,54,1,Big Horn County,Wyoming
2020-04-15,7,7,-2,-1,-1,4,2,3,9,338,1019,11,3.3,1.4,7.9,-4,66,1,Big Horn County,Wyoming
2020-04-16,4,4,-3,-2,-2,4,1,1,5,326,1027,6,1.0,0.9,9.1,-9,50,1,Big Horn County,Wyoming
2020-04-17,10,10,-2,0,0,6,4,4,8,143,1017,11,0.0,0.0,11.6,-8,42,2,Big Horn County,Wyoming
2020-04-18,14,14,3,7,7,6,8,9,4,250,1011,5,0.0,0.0,11.6,-5,39,3,Big Horn County,Wyoming
2020-04-19,13,13,5,7,7,6,9,10,8,334,1012,10,0.3,0.0,9.3,1,57,2,Big Horn County,Wyoming
2020-04-20,16,16,5,10,10,6,11,11,4,323,1013,6,0.0,0.0,11.6,-2,42,4,Big Horn County,Wyoming
2020-04-21,19,19,7,13,13,6,13,14,4,213,1011,6,0.0,0.0,11.6,-2,36,4,Big Horn County,Wyoming
2020-04-22,18,18,8,14,14,6,14,15,5,301,1012,8,0.0,0.0,11.6,-1,38,4,Big Horn County,Wyoming
2020-04-23,15,15,9,11,11,6,12,12,9,335,1009,11,1.2,0.0,9.3,1,48,3,Big Horn County,Wyoming
2020-04-24,15,15,5,8,8,6,10,11,10,327,1018,12,0.2,0.0,10.4,-1,49,3,Big Horn County,Wyoming
2020-04-25,17,17,7,11,11,6,12,12,6,143,1018,8,0.0,0.0,11.6,-1,41,4,Big Horn County,Wyoming
2020-04-26,19,19,9,14,14,6,14,15,3,180,1013,5,0.0,0.0,10.5,0,38,4,Big Horn County,Wyoming
2020-04-27,20,20,9,14,14,5,14,16,5,182,1011,6,0.6,0.0,9.3,2,47,4,Big Horn County,Wyoming
2020-04-28,16,16,9,11,11,6,12,12,14,335,1019,18,5.1,0.0,11.6,-2,42,4,Big Horn County,Wyoming
2020-04-29,22,22,7,14,14,6,15,16,7,145,1019,11,0.0,0.0,11.6,-2,32,5,Big Horn County,Wyoming
2020-04-30,23,23,16,18,18,6,18,19,5,161,1008,7,1.0,0.0,9.3,5,42,4,Big Horn County,Wyoming
2020-05-01,18,18,12,14,14,6,15,15,10,331,1012,13,0.0,0.0,11.6,3,45,5,Big Horn County,Wyoming
2020-05-02,20,20,9,14,14,6,15,15,4,140,1014,6,0.0,0.0,14.2,1,40,5,Big Horn County,Wyoming
2020-05-03,19,19,12,16,16,6,16,17,5,196,1011,7,0.6,0.0,11.3,1,37,4,Big Horn County,Wyoming
2020-05-04,15,15,6,8,8,6,11,11,12,319,1018,16,0.5,0.0,11.3,-3,38,3,Big Horn County,Wyoming
2020-05-05,18,18,6,12,12,6,12,13,7,327,1022,9,0.0,0.0,14.5,-4,33,4,Big Horn County,Wyoming
2020-05-06,21,21,8,14,14,6,15,16,11,144,1018,15,0.0,0.0,13.4,-2,32,4,Big Horn County,Wyoming
2020-05-07,10,10,3,4,4,5,8,7,16,254,1022,19,4.1,0.0,10.3,-2,48,2,Big Horn County,Wyoming
2020-05-08,16,16,2,6,6,6,9,10,12,234,1024,17,0.0,0.0,13.4,-2,49,3,Big Horn County,Wyoming
2020-05-09,14,14,4,6,6,5,9,10,15,327,1027,21,0.6,0.0,13.4,-4,42,4,Big Horn County,Wyoming
2020-05-10,13,13,3,7,7,6,9,10,7,308,1026,11,0.0,0.0,14.5,-4,42,3,Big Horn County,Wyoming
2020-05-11,7,7,2,4,4,5,6,5,10,321,1019,12,4.0,0.0,9.3,1,70,2,Big Horn County,Wyoming
2020-05-12,12,12,4,6,6,4,8,9,3,199,1008,4,22.1,2.5,9.3,5,76,2,Big Horn County,Wyoming
2020-05-13,17,17,11,14,14,5,14,15,6,237,1004,8,1.1,0.0,10.3,4,52,3,Big Horn County,Wyoming
2020-05-14,17,17,8,11,11,6,13,13,6,258,1011,8,1.0,0.0,13.5,1,48,4,Big Horn County,Wyoming
2020-05-15,14,14,8,9,9,5,11,11,11,275,1011,13,13.0,0.0,9.3,5,66,3,Big Horn County,Wyoming
2020-05-16,18,18,6,11,11,6,12,13,6,138,1012,8,0.0,0.0,14.5,3,55,4,Big Horn County,Wyoming
2020-05-17,26,26,12,19,19,6,19,20,6,163,1006,9,0.0,0.0,14.5,4,37,5,Big Horn County,Wyoming
2020-05-18,30,30,14,22,22,6,22,24,9,170,1004,12,0.0,0.0,12.4,4,36,5,Big Horn County,Wyoming
2020-05-19,30,30,16,23,23,6,23,24,9,185,1003,12,0.0,0.0,14.5,0,24,6,Big Horn County,Wyoming
2020-05-20,25,25,15,20,20,6,20,21,15,154,1002,19,0.0,0.0,14.5,2,36,6,Big Horn County,Wyoming
2020-05-21,20,20,9,15,15,6,15,16,6,245,1006,8,0.0,0.0,13.5,-2,32,5,Big Horn County,Wyoming
2020-05-22,23,23,13,17,17,6,18,19,10,228,1006,14,0.0,0.0,14.5,-1,29,5,Big Horn County,Wyoming
2020-05-23,13,13,6,7,7,4,10,11,18,311,1011,22,3.2,0.0,9.4,4,66,3,Big Horn County,Wyoming
2020-05-24,13,13,5,6,6,4,9,9,12,319,1018,15,1.0,0.0,11.5,2,65,2,Big Horn County,Wyoming
2020-05-25,20,20,6,12,12,6,13,14,5,116,1016,7,0.0,0.0,14.5,2,49,4,Big Horn County,Wyoming
2020-05-26,24,24,12,18,18,6,19,19,4,192,1012,6,0.0,0.0,14.5,2,35,5,Big Horn County,Wyoming
2020-05-27,23,23,16,19,19,6,20,19,7,324,1015,11,0.0,0.0,14.5,7,43,5,Big Horn County,Wyoming
2020-05-28,22,22,11,16,16,6,17,17,8,171,1022,13,0.1,0.0,14.5,7,52,5,Big Horn County,Wyoming
2020-05-29,30,30,13,21,21,6,21,23,5,153,1017,7,0.6,0.0,13.5,9,49,5,Big Horn County,Wyoming
2020-05-30,31,31,16,24,25,5,25,25,7,201,1013,10,1.2,0.0,13.5,10,48,5,Big Horn County,Wyoming
2020-05-31,33,33,19,26,26,6,26,27,11,206,1008,15,0.6,0.0,12.5,8,38,6,Big Horn County,Wyoming
2020-06-01,33,33,19,26,26,6,26,27,6,252,1010,9,0.1,0.0,14.5,5,29,7,Big Horn County,Wyoming
2020-06-02,26,26,16,22,22,6,22,22,9,250,1016,13,0.3,0.0,13.5,8,42,5,Big Horn County,Wyoming
2020-06-03,28,28,16,22,22,6,22,23,8,259,1013,10,0.3,0.0,13.5,5,36,6,Big Horn County,Wyoming
2020-06-04,26,26,14,20,20,6,20,22,6,246,1009,9,0.1,0.0,14.5,7,45,6,Big Horn County,Wyoming
2020-06-05,32,32,13,23,23,6,23,24,6,142,1008,10,0.0,0.0,14.5,7,40,6,Big Horn County,Wyoming
2020-06-06,30,30,22,25,26,6,26,26,17,171,997,23,0.5,0.0,12.5,7,32,6,Big Horn County,Wyoming
2020-06-07,26,26,15,20,20,5,20,21,11,232,999,14,1.8,0.0,13.5,4,43,5,Big Horn County,Wyoming
2020-06-08,17,17,11,13,13,5,14,14,7,261,1008,9,5.7,0.0,11.5,-1,40,3,Big Horn County,Wyoming
2020-06-09,19,19,7,11,11,6,13,14,9,182,1017,12,0.0,0.0,14.5,-2,37,4,Big Horn County,Wyoming
2020-06-10,23,23,10,16,16,6,17,18,5,311,1018,7,0.0,0.0,14.5,2,39,5,Big Horn County,Wyoming
2020-06-11,28,28,13,21,21,6,21,22,4,175,1020,6,0.0,0.0,14.5,2,31,6,Big Horn County,Wyoming
2020-06-12,34,34,15,25,25,6,25,28,8,170,1017,12,0.0,0.0,14.5,0,21,7,Big Horn County,Wyoming
2020-06-13,34,34,22,29,28,6,28,30,17,202,1004,24,0.0,0.0,14.5,-2,16,8,Big Horn County,Wyoming
2020-06-14,27,27,18,22,23,6,23,23,10,264,1005,13,0.3,0.0,12.5,0,25,5,Big Horn County,Wyoming
2020-06-15,28,28,12,20,20,6,20,21,7,185,1011,11,0.0,0.0,15.7,-1,24,6,Big Horn County,Wyoming
2020-06-16,23,23,15,19,19,6,20,20,8,242,1006,10,1.8,0.0,15.5,6,44,4,Big Horn County,Wyoming
2020-06-17,15,15,6,11,11,4,12,12,9,199,1012,11,14.7,0.0,12.7,6,64,3,Big Horn County,Wyoming
2020-06-18,19,19,9,13,13,5,14,15,7,306,1019,9,0.5,0.0,15.5,5,57,5,Big Horn County,Wyoming
2020-06-19,22,22,10,16,16,6,17,17,4,116,1016,6,0.1,0.0,15.7,5,49,5,Big Horn County,Wyoming
2020-06-20,26,26,13,20,20,6,20,22,4,139,1012,5,0.7,0.0,15.7,5,41,6,Big Horn County,Wyoming
2020-06-21,25,25,15,20,20,6,21,21,7,301,1011,8,0.8,0.0,13.7,8,46,5,Big Horn County,Wyoming
2020-06-22,26,26,15,21,21,6,21,22,7,331,1016,10,0.0,0.0,15.7,7,43,6,Big Horn County,Wyoming
