date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,8,8,8,4,11,11,10,194,1010,18,0.9,0.0,5.8,8,83,3,Boone County,Missouri
2020-03-02,10,10,3,6,6,6,7,7,6,240,1010,9,0.4,0.0,11.6,2,71,3,Boone County,Missouri
2020-03-03,14,14,4,6,6,6,8,9,9,289,1010,14,0.0,0.0,11.6,1,63,3,Boone County,Missouri
2020-03-04,13,13,6,7,7,6,9,9,7,324,1016,12,0.0,0.0,11.6,2,65,3,Boone County,Missouri
2020-03-05,13,13,4,5,5,6,8,10,12,296,1020,20,0.0,0.0,11.6,0,60,3,Boone County,Missouri
2020-03-06,10,10,0,1,1,6,4,5,8,339,1032,13,0.0,0.0,11.6,-4,58,2,Boone County,Missouri
2020-03-07,15,15,1,5,5,6,8,9,11,176,1029,18,0.0,0.0,8.7,0,61,2,Boone County,Missouri
2020-03-08,19,19,6,10,10,6,12,13,14,197,1021,22,0.0,0.0,11.6,4,60,4,Boone County,Missouri
2020-03-09,14,14,9,10,10,5,12,13,15,195,1015,24,14.8,0.0,5.9,10,86,3,Boone County,Missouri
2020-03-10,13,13,2,4,4,6,7,7,7,280,1023,10,0.0,0.0,11.6,2,75,3,Boone County,Missouri
2020-03-11,18,18,6,10,10,6,11,13,3,301,1016,5,0.0,0.0,11.6,6,75,4,Boone County,Missouri
2020-03-12,16,16,9,10,10,6,12,14,9,232,1008,16,2.7,0.0,5.9,10,88,3,Boone County,Missouri
2020-03-13,11,11,2,4,4,6,7,7,8,38,1026,12,0.0,0.0,8.8,-1,60,2,Boone County,Missouri
2020-03-14,3,3,-4,-1,-1,4,3,3,12,78,1030,18,3.4,0.0,6.0,1,86,1,Boone County,Missouri
2020-03-15,6,6,1,0,0,6,3,4,8,72,1034,11,0.0,0.0,6.0,0,80,1,Boone County,Missouri
2020-03-16,7,7,1,2,2,6,4,4,5,172,1026,7,0.8,0.0,6.0,2,88,1,Boone County,Missouri
2020-03-17,11,11,3,6,6,6,7,8,5,85,1025,8,0.0,0.0,7.4,4,81,2,Boone County,Missouri
2020-03-18,17,17,8,9,9,4,11,11,7,104,1017,11,1.8,0.0,8.8,9,92,3,Boone County,Missouri
2020-03-19,23,23,13,17,17,5,18,19,14,196,1009,23,17.0,0.0,6.0,15,87,4,Boone County,Missouri
2020-03-20,8,8,2,4,4,6,7,6,12,350,1024,18,0.3,0.0,8.8,3,74,2,Boone County,Missouri
2020-03-21,9,9,-1,1,1,6,3,5,5,108,1033,8,0.0,0.0,10.2,-3,67,2,Boone County,Missouri
2020-03-22,3,3,-4,-2,-2,4,2,2,9,136,1025,14,3.8,0.0,6.1,1,90,1,Boone County,Missouri
2020-03-23,13,13,1,6,6,4,7,8,4,117,1021,6,0.0,0.0,8.8,4,84,2,Boone County,Missouri
2020-03-24,13,13,5,6,6,5,8,9,8,93,1015,11,0.3,0.0,6.1,6,85,2,Boone County,Missouri
2020-03-25,19,19,4,9,9,4,11,12,8,174,1012,14,0.0,0.0,10.2,8,84,3,Boone County,Missouri
2020-03-26,24,24,10,16,16,5,18,18,9,224,1006,15,0.1,0.0,8.9,12,83,4,Boone County,Missouri
2020-03-27,24,24,12,16,16,5,17,17,7,119,1005,11,2.9,0.0,7.5,15,91,4,Boone County,Missouri
2020-03-28,23,23,16,19,19,4,21,21,13,203,1001,20,6.0,0.0,7.7,14,76,5,Boone County,Missouri
2020-03-29,17,17,8,9,9,6,11,12,17,276,1013,23,0.0,0.0,11.6,4,60,4,Boone County,Missouri
2020-03-30,18,18,6,12,12,6,12,14,4,23,1021,6,0.0,0.0,11.6,3,56,4,Boone County,Missouri
2020-03-31,16,16,7,10,10,6,11,13,7,234,1016,11,0.0,0.0,10.3,5,65,3,Boone County,Missouri
2020-04-01,19,19,5,10,10,6,11,13,8,144,1016,13,0.0,0.0,11.6,7,76,4,Boone County,Missouri
2020-04-02,21,21,11,14,14,6,15,16,12,159,1014,18,0.1,0.0,10.3,10,74,5,Boone County,Missouri
2020-04-03,14,14,1,7,7,4,9,10,10,314,1017,13,1.1,0.0,6.4,7,85,3,Boone County,Missouri
2020-04-04,12,12,0,2,2,5,5,6,8,23,1022,11,0.5,0.0,11.6,0,70,3,Boone County,Missouri
2020-04-05,17,17,6,9,9,6,11,12,6,133,1020,9,0.0,0.0,7.7,6,74,3,Boone County,Missouri
2020-04-06,20,20,11,15,15,6,16,17,10,193,1015,15,0.2,0.0,6.5,13,84,4,Boone County,Missouri
2020-04-07,23,23,15,19,19,4,19,20,9,232,1008,14,0.0,0.0,7.8,17,88,4,Boone County,Missouri
2020-04-08,27,27,15,21,22,4,22,22,9,221,1007,13,1.1,0.0,11.6,14,77,6,Boone County,Missouri
2020-04-09,13,13,4,6,6,6,9,11,12,298,1016,18,0.3,0.0,11.6,1,58,4,Boone County,Missouri
2020-04-10,12,12,-2,4,4,6,6,6,6,278,1021,9,0.0,0.0,11.6,-3,55,3,Boone County,Missouri
2020-04-11,18,18,5,10,10,6,12,12,10,186,1009,17,0.4,0.0,6.5,6,71,3,Boone County,Missouri
2020-04-12,21,21,11,15,15,4,17,17,13,176,1000,19,12.8,0.0,6.5,12,90,4,Boone County,Missouri
2020-04-13,8,8,-2,-2,-2,5,3,4,13,315,1019,18,0.8,0.0,11.6,-6,56,2,Boone County,Missouri
2020-04-14,9,9,0,1,1,6,4,5,7,281,1024,10,0.0,0.0,10.3,-6,49,2,Boone County,Missouri
2020-04-15,10,10,2,2,2,6,5,7,8,326,1020,13,0.0,0.0,11.6,-2,59,3,Boone County,Missouri
2020-04-16,11,11,2,3,3,5,6,7,11,102,1022,17,1.6,0.0,6.6,1,70,2,Boone County,Missouri
2020-04-17,6,6,1,1,1,4,4,5,9,351,1018,13,2.1,0.0,6.6,2,85,1,Boone County,Missouri
2020-04-18,16,16,-1,5,5,6,7,9,8,209,1017,13,0.0,0.0,11.6,1,71,3,Boone County,Missouri
