date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,-2,2,2,6,5,8,10,192,1021,16,0.0,0.0,10.1,0,66,3,Boyle County,Kentucky
2020-03-02,13,13,9,8,8,4,11,11,13,214,1011,22,22.6,0.0,5.6,9,88,3,Boyle County,Kentucky
2020-03-03,15,15,7,9,9,5,12,13,14,260,1007,22,16.5,0.0,5.6,9,82,3,Boyle County,Kentucky
2020-03-04,15,15,4,7,7,6,9,11,9,238,1015,14,0.0,0.0,11.3,3,68,4,Boyle County,Kentucky
2020-03-05,14,14,3,6,6,6,8,9,7,182,1018,12,0.0,0.0,11.3,3,73,3,Boyle County,Kentucky
2020-03-06,3,3,-1,-2,-2,3,3,2,14,307,1023,19,1.1,0.1,5.7,-1,74,1,Boyle County,Kentucky
2020-03-07,9,9,-3,0,0,6,2,4,5,66,1034,7,0.1,0.0,11.4,-4,66,2,Boyle County,Kentucky
2020-03-08,14,14,0,4,4,6,7,9,9,208,1031,15,0.0,0.0,11.4,0,64,3,Boyle County,Kentucky
2020-03-09,16,16,6,9,9,6,11,12,14,209,1027,23,0.0,0.0,8.8,5,68,3,Boyle County,Kentucky
2020-03-10,15,15,8,11,11,4,13,14,13,272,1020,20,9.6,0.0,5.9,11,87,3,Boyle County,Kentucky
2020-03-11,15,15,7,10,10,4,10,11,5,248,1018,7,0.0,0.0,8.8,8,85,3,Boyle County,Kentucky
2020-03-12,19,19,9,14,14,5,14,15,8,188,1011,14,18.2,0.0,8.8,12,87,3,Boyle County,Kentucky
2020-03-13,11,11,6,9,9,5,10,10,10,317,1021,15,15.5,0.0,7.4,5,73,2,Boyle County,Kentucky
2020-03-14,6,6,-1,1,1,4,4,5,10,76,1029,15,17.8,0.0,6.0,0,75,1,Boyle County,Kentucky
2020-03-15,7,7,2,1,1,5,4,5,9,44,1031,13,0.6,0.0,6.0,2,88,1,Boyle County,Kentucky
