date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-9,-6,-6,5,-3,-1,6,293,1020,10,0.2,0.1,10.1,-7,73,1,Bradford County,Pennsylvania
2020-03-02,10,10,-3,1,1,5,4,7,7,201,1011,12,0.0,0.0,8.6,0,74,2,Bradford County,Pennsylvania
2020-03-03,10,10,3,4,4,3,6,9,7,185,1003,10,11.4,0.0,5.8,5,91,2,Bradford County,Pennsylvania
2020-03-04,8,8,-2,-1,-1,5,3,5,10,279,1008,15,2.9,0.0,10.2,-2,74,2,Bradford County,Pennsylvania
2020-03-05,9,9,-4,1,1,6,3,4,4,263,1019,7,0.2,0.0,10.2,-5,67,1,Bradford County,Pennsylvania
2020-03-06,4,4,-3,-1,-1,3,1,2,5,69,1012,7,8.0,5.9,5.9,-1,86,1,Bradford County,Pennsylvania
2020-03-07,2,2,-6,-6,-6,4,-2,-1,9,334,1027,11,3.4,3.7,11.6,-6,80,2,Bradford County,Pennsylvania
2020-03-08,11,11,-6,2,2,6,4,6,6,241,1029,9,0.0,0.0,11.6,-4,69,3,Bradford County,Pennsylvania
2020-03-09,16,16,1,8,8,6,10,11,7,227,1025,12,0.0,0.0,11.6,2,67,4,Bradford County,Pennsylvania
2020-03-10,12,12,5,7,7,5,9,11,10,230,1017,14,4.9,0.0,5.9,6,82,3,Bradford County,Pennsylvania
2020-03-11,7,7,-2,1,1,5,2,4,3,73,1021,4,0.2,0.0,7.3,-2,75,1,Bradford County,Pennsylvania
2020-03-12,12,12,-2,3,3,6,4,7,6,160,1018,8,0.0,0.0,5.9,2,81,2,Bradford County,Pennsylvania
2020-03-13,12,12,2,7,7,5,9,11,11,275,1011,15,7.2,0.0,7.4,3,75,3,Bradford County,Pennsylvania
2020-03-14,8,8,-2,-1,-1,5,2,4,7,313,1028,11,0.1,0.0,11.6,-3,68,2,Bradford County,Pennsylvania
2020-03-15,5,5,-1,-1,-1,6,1,2,6,120,1034,8,0.1,0.0,11.6,-6,67,2,Bradford County,Pennsylvania
2020-03-16,8,8,-7,-1,-1,6,1,4,6,173,1032,9,0.0,0.0,10.2,-6,63,1,Bradford County,Pennsylvania
2020-03-17,9,9,2,3,3,4,6,7,8,261,1022,12,1.0,0.0,6.0,1,84,2,Bradford County,Pennsylvania
2020-03-18,8,8,-4,1,1,6,2,5,4,149,1030,7,2.4,0.0,10.2,-2,73,1,Bradford County,Pennsylvania
2020-03-19,13,13,4,8,8,2,9,10,4,132,1022,6,4.9,0.0,6.0,8,95,2,Bradford County,Pennsylvania
2020-03-20,20,20,11,15,15,4,16,17,11,232,1012,16,1.9,0.0,6.1,11,85,4,Bradford County,Pennsylvania
2020-03-21,4,4,-4,-4,-4,6,0,1,9,355,1030,11,0.1,0.0,10.2,-8,58,2,Bradford County,Pennsylvania
2020-03-22,7,7,-6,-1,-1,6,1,3,5,99,1036,8,0.0,0.0,11.6,-11,49,2,Bradford County,Pennsylvania
