date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-5,0,0,6,2,4,5,213,1023,9,0.0,0.0,11.6,-7,56,2,Braxton County,West Virginia
2020-03-02,11,11,2,4,4,4,7,8,8,205,1013,13,14.8,0.0,8.7,4,81,2,Braxton County,West Virginia
2020-03-03,14,14,7,8,8,4,10,12,9,235,1006,16,20.9,0.0,5.8,8,88,3,Braxton County,West Virginia
2020-03-04,12,12,1,4,4,6,7,8,8,240,1014,11,0.4,0.0,11.6,1,72,3,Braxton County,West Virginia
2020-03-05,13,13,1,6,6,4,7,9,4,213,1019,6,0.1,0.0,11.6,1,71,2,Braxton County,West Virginia
2020-03-06,3,3,-1,-1,-1,4,3,3,10,292,1015,15,10.4,8.0,5.9,1,88,1,Braxton County,West Virginia
2020-03-07,5,5,-3,-3,-3,3,0,1,5,320,1032,8,3.7,3.6,8.7,-4,80,1,Braxton County,West Virginia
2020-03-08,14,14,-2,5,5,6,7,9,4,232,1032,7,0.0,0.0,11.6,-4,51,3,Braxton County,West Virginia
2020-03-09,16,16,4,9,9,6,11,12,6,225,1029,10,0.0,0.0,10.2,2,60,3,Braxton County,West Virginia
2020-03-10,13,13,9,10,10,3,12,13,9,238,1020,15,9.4,0.0,5.9,9,84,3,Braxton County,West Virginia
2020-03-11,13,13,7,9,9,4,10,11,4,245,1019,6,1.1,0.0,5.9,8,89,3,Braxton County,West Virginia
2020-03-12,19,19,7,12,12,5,13,15,5,190,1014,8,3.3,0.0,11.6,8,76,4,Braxton County,West Virginia
2020-03-13,14,14,5,10,10,5,11,12,9,284,1017,13,26.7,0.0,8.8,7,77,3,Braxton County,West Virginia
2020-03-14,7,7,-3,2,2,5,3,5,3,147,1030,5,7.7,0.0,8.8,-1,74,1,Braxton County,West Virginia
2020-03-15,6,6,2,2,2,5,4,4,5,129,1030,6,4.6,0.0,6.0,2,91,1,Braxton County,West Virginia
2020-03-16,11,11,3,6,6,6,7,8,5,190,1027,7,0.0,0.0,6.0,4,79,2,Braxton County,West Virginia
2020-03-17,10,10,5,7,7,3,8,9,4,278,1023,5,4.9,0.0,6.0,7,93,2,Braxton County,West Virginia
2020-03-18,18,18,3,9,9,4,10,12,6,170,1025,10,4.0,0.0,8.8,7,84,3,Braxton County,West Virginia
2020-03-19,21,21,12,15,15,4,16,17,7,212,1020,12,14.0,0.0,6.0,14,89,4,Braxton County,West Virginia
2020-03-20,19,19,12,17,17,5,17,18,11,246,1017,18,12.2,0.0,6.1,14,85,4,Braxton County,West Virginia
2020-03-21,6,6,3,3,3,5,4,4,5,229,1028,6,2.9,0.0,6.1,1,80,1,Braxton County,West Virginia
2020-03-22,14,14,-1,6,6,6,7,9,3,118,1030,5,0.0,0.0,10.2,1,71,2,Braxton County,West Virginia
2020-03-23,11,11,6,7,7,3,8,9,6,204,1021,9,15.2,0.0,6.1,6,88,2,Braxton County,West Virginia
2020-03-24,15,15,3,9,9,4,9,11,3,147,1018,5,1.1,0.0,10.2,5,81,4,Braxton County,West Virginia
2020-03-25,11,11,7,8,8,4,9,10,4,308,1013,5,11.8,0.0,6.1,8,91,2,Braxton County,West Virginia
2020-03-26,19,19,5,11,11,5,12,14,6,225,1014,9,0.0,0.0,11.6,7,72,4,Braxton County,West Virginia
2020-03-27,18,18,10,14,14,4,15,15,4,129,1012,7,16.3,0.0,6.1,13,91,4,Braxton County,West Virginia
2020-03-28,25,25,14,20,21,5,21,22,7,236,1011,11,19.2,0.0,6.2,16,83,5,Braxton County,West Virginia
2020-03-29,20,20,13,18,18,5,18,19,10,233,1011,17,8.9,0.0,8.9,12,75,4,Braxton County,West Virginia
2020-03-30,13,13,7,8,8,6,10,11,10,276,1017,13,0.3,0.0,10.2,5,71,3,Braxton County,West Virginia
2020-03-31,9,9,5,6,6,4,6,8,3,281,1013,3,5.6,0.0,7.5,3,77,2,Braxton County,West Virginia
2020-04-01,10,10,4,4,4,5,6,7,5,324,1012,8,11.6,0.0,6.2,5,91,2,Braxton County,West Virginia
2020-04-02,10,10,1,4,4,4,5,7,5,325,1018,7,0.4,0.0,10.3,2,81,2,Braxton County,West Virginia
2020-04-03,14,14,1,7,7,6,8,10,5,321,1016,8,0.0,0.0,11.6,1,69,3,Braxton County,West Virginia
2020-04-04,17,17,3,10,10,6,11,13,2,341,1017,3,0.0,0.0,11.6,3,69,4,Braxton County,West Virginia
2020-04-05,12,12,8,10,10,5,10,11,2,169,1018,4,7.7,0.0,6.3,8,84,3,Braxton County,West Virginia
2020-04-06,17,17,9,13,13,4,13,14,2,284,1018,3,0.1,0.0,7.7,10,85,3,Braxton County,West Virginia
2020-04-07,21,21,10,15,15,4,16,18,7,240,1011,12,17.4,0.0,7.8,12,83,4,Braxton County,West Virginia
2020-04-08,20,20,13,17,17,3,17,18,8,282,1004,15,34.0,0.0,6.5,15,88,4,Braxton County,West Virginia
2020-04-09,13,13,3,7,7,5,9,10,11,278,1002,16,15.6,0.3,6.5,5,75,3,Braxton County,West Virginia
2020-04-10,7,7,0,-1,-1,5,3,4,11,293,1011,15,3.3,2.2,6.5,-2,70,1,Braxton County,West Virginia
