date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,-3,3,3,6,5,7,7,199,1023,12,0.0,0.0,11.2,-2,60,3,Breathitt County,Kentucky
2020-03-02,10,10,3,6,6,5,9,9,11,211,1013,19,18.0,0.0,5.6,6,82,2,Breathitt County,Kentucky
2020-03-03,16,16,8,11,11,5,12,14,12,253,1007,18,12.2,0.0,5.6,9,82,3,Breathitt County,Kentucky
2020-03-04,15,15,4,7,7,6,9,11,6,233,1015,10,0.1,0.0,11.3,3,68,4,Breathitt County,Kentucky
2020-03-05,14,14,3,7,7,6,8,10,5,160,1018,8,0.0,0.0,11.6,2,67,3,Breathitt County,Kentucky
2020-03-06,4,4,1,-1,-1,4,3,3,12,298,1021,16,1.6,1.1,5.9,0,76,1,Breathitt County,Kentucky
2020-03-07,9,9,-3,1,1,5,3,4,4,22,1034,6,0.6,0.3,11.6,-3,69,2,Breathitt County,Kentucky
2020-03-08,15,15,0,6,6,6,8,9,5,218,1032,9,0.0,0.0,11.6,0,62,3,Breathitt County,Kentucky
2020-03-09,16,16,5,9,9,6,11,12,8,215,1029,14,0.0,0.0,10.2,4,64,3,Breathitt County,Kentucky
2020-03-10,15,15,10,12,12,4,13,14,10,244,1021,16,10.3,0.0,5.9,10,84,3,Breathitt County,Kentucky
2020-03-11,15,15,9,11,11,5,11,12,4,248,1018,6,0.1,0.0,7.4,9,87,3,Breathitt County,Kentucky
2020-03-12,20,20,9,14,14,5,14,16,7,189,1012,10,5.7,0.0,8.8,11,81,4,Breathitt County,Kentucky
2020-03-13,13,13,7,11,11,5,12,12,9,301,1020,12,27.4,0.0,7.4,7,73,3,Breathitt County,Kentucky
2020-03-14,6,6,-2,1,1,5,4,5,7,51,1029,10,12.5,0.0,6.0,0,75,2,Breathitt County,Kentucky
2020-03-15,6,6,3,2,2,4,4,4,7,38,1030,9,3.3,0.0,6.0,3,90,1,Breathitt County,Kentucky
2020-03-16,14,14,2,7,7,3,8,9,3,205,1026,5,0.8,0.0,6.0,6,88,2,Breathitt County,Kentucky
2020-03-17,11,11,6,8,8,4,9,9,3,302,1024,5,8.9,0.0,6.0,8,92,2,Breathitt County,Kentucky
2020-03-18,19,19,5,10,10,3,11,13,6,183,1023,11,23.3,0.0,7.4,10,91,3,Breathitt County,Kentucky
2020-03-19,22,22,15,18,18,3,19,19,8,203,1020,14,10.2,0.0,6.0,16,87,4,Breathitt County,Kentucky
2020-03-20,22,22,14,18,18,5,19,20,12,240,1019,18,9.7,0.0,7.4,15,81,4,Breathitt County,Kentucky
2020-03-21,8,8,4,5,5,6,6,7,6,8,1029,7,1.2,0.0,6.1,3,80,2,Breathitt County,Kentucky
2020-03-22,15,15,0,5,5,6,7,8,6,75,1027,8,0.1,0.0,11.6,2,76,3,Breathitt County,Kentucky
2020-03-23,13,13,9,10,10,5,11,12,6,271,1020,8,13.0,0.0,6.1,9,91,3,Breathitt County,Kentucky
2020-03-24,16,16,5,9,9,3,10,11,5,105,1016,7,14.2,0.0,6.1,8,89,3,Breathitt County,Kentucky
2020-03-25,14,14,7,9,9,4,10,11,4,306,1013,6,11.0,0.0,7.5,8,88,3,Breathitt County,Kentucky
2020-03-26,22,22,7,14,14,6,15,16,7,215,1013,12,0.0,0.0,11.6,9,74,5,Breathitt County,Kentucky
2020-03-27,23,23,16,19,19,6,19,20,5,218,1011,9,4.1,0.0,6.1,16,86,4,Breathitt County,Kentucky
2020-03-28,24,24,18,21,21,4,21,22,8,218,1011,13,1.0,0.0,6.1,17,84,5,Breathitt County,Kentucky
2020-03-29,20,20,14,17,17,6,18,19,12,245,1013,19,6.4,0.0,7.5,12,70,4,Breathitt County,Kentucky
2020-03-30,16,16,9,11,11,6,12,14,8,280,1020,12,0.0,0.0,11.6,5,64,4,Breathitt County,Kentucky
2020-03-31,9,9,5,6,6,5,7,8,5,189,1013,7,18.9,0.0,6.2,5,89,2,Breathitt County,Kentucky
2020-04-01,9,9,3,4,4,4,6,7,5,317,1015,8,2.6,0.0,6.2,4,86,2,Breathitt County,Kentucky
2020-04-02,14,14,3,8,8,4,8,10,4,336,1020,6,0.0,0.0,11.6,3,76,4,Breathitt County,Kentucky
2020-04-03,18,18,4,11,11,6,11,14,3,325,1018,4,0.0,0.0,11.6,5,68,4,Breathitt County,Kentucky
2020-04-04,22,22,8,14,14,6,15,17,2,165,1017,3,0.0,0.0,11.6,7,67,5,Breathitt County,Kentucky
2020-04-05,19,19,12,15,15,5,15,17,4,298,1018,7,8.7,0.0,6.4,11,79,4,Breathitt County,Kentucky
2020-04-06,21,21,11,15,15,5,15,17,3,256,1018,5,4.4,0.0,6.5,12,86,4,Breathitt County,Kentucky
2020-04-07,23,23,13,17,17,5,18,19,7,242,1013,11,5.0,0.0,7.7,15,85,4,Breathitt County,Kentucky
2020-04-08,22,22,16,19,19,5,19,20,8,255,1006,13,8.6,0.0,6.5,16,87,5,Breathitt County,Kentucky
2020-04-09,12,12,6,10,10,5,11,12,10,287,1006,14,7.9,0.0,9.0,5,69,3,Breathitt County,Kentucky
2020-04-10,9,9,1,2,2,5,5,6,9,299,1016,12,1.2,0.8,11.6,-1,67,3,Breathitt County,Kentucky
2020-04-11,16,16,1,8,8,6,9,11,4,229,1018,7,0.0,0.0,11.6,1,61,4,Breathitt County,Kentucky
