date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,-1,4,4,6,7,9,11,194,1019,19,0.2,0.0,10.1,1,66,2,Breckinridge County,Kentucky
2020-03-02,17,17,10,11,11,4,12,13,12,231,1009,19,9.3,0.0,5.6,10,89,3,Breckinridge County,Kentucky
2020-03-03,14,14,8,10,10,5,12,12,11,278,1007,17,7.9,0.0,10.1,8,78,3,Breckinridge County,Kentucky
2020-03-04,14,14,5,7,7,6,9,11,8,265,1015,13,0.0,0.0,8.6,3,66,3,Breckinridge County,Kentucky
2020-03-05,14,14,3,6,6,6,8,9,7,209,1018,12,0.1,0.0,8.6,2,68,2,Breckinridge County,Kentucky
2020-03-06,6,6,0,-2,-2,5,3,3,14,323,1025,20,0.1,0.1,8.6,-2,70,1,Breckinridge County,Kentucky
2020-03-07,10,10,-3,1,1,6,3,5,4,115,1034,7,0.0,0.0,11.4,-4,64,2,Breckinridge County,Kentucky
2020-03-08,14,14,2,5,5,6,8,9,10,197,1030,17,0.0,0.0,8.7,1,64,2,Breckinridge County,Kentucky
2020-03-09,15,15,9,10,10,6,12,13,15,196,1025,25,1.4,0.0,10.1,7,72,4,Breckinridge County,Kentucky
2020-03-10,15,15,7,11,11,6,12,13,11,308,1021,16,1.8,0.0,5.7,10,86,3,Breckinridge County,Kentucky
2020-03-11,15,15,5,9,9,6,10,11,4,231,1018,5,0.0,0.0,11.5,6,80,4,Breckinridge County,Kentucky
2020-03-12,19,19,9,14,14,5,14,15,10,184,1010,16,8.4,0.0,5.8,12,88,4,Breckinridge County,Kentucky
2020-03-13,10,10,6,7,7,6,9,8,10,330,1022,14,1.8,0.0,10.2,4,70,2,Breckinridge County,Kentucky
2020-03-14,6,6,-2,1,1,5,4,5,9,55,1029,14,8.9,0.0,6.0,0,75,2,Breckinridge County,Kentucky
2020-03-15,7,7,2,1,1,6,4,5,9,44,1031,13,0.0,0.0,6.0,2,83,1,Breckinridge County,Kentucky
2020-03-16,9,9,1,4,4,5,5,6,4,175,1027,6,0.5,0.0,8.8,3,85,2,Breckinridge County,Kentucky
2020-03-17,14,14,5,7,7,4,9,10,5,123,1024,8,2.9,0.0,8.8,5,82,2,Breckinridge County,Kentucky
2020-03-18,17,17,6,11,11,5,12,12,8,176,1021,14,10.2,0.0,6.0,11,94,3,Breckinridge County,Kentucky
2020-03-19,20,20,13,17,17,3,17,17,10,195,1017,18,13.1,0.0,6.0,16,95,4,Breckinridge County,Kentucky
2020-03-20,21,21,8,15,15,5,16,18,15,280,1019,23,12.6,0.0,6.1,13,82,4,Breckinridge County,Kentucky
2020-03-21,10,10,1,2,2,6,5,6,8,242,1031,11,0.0,0.0,10.2,-1,67,3,Breckinridge County,Kentucky
2020-03-22,11,11,0,3,3,5,5,6,7,74,1027,10,0.2,0.0,8.9,1,77,2,Breckinridge County,Kentucky
2020-03-23,14,14,7,8,8,4,10,11,6,324,1021,9,1.3,0.0,11.6,7,83,4,Breckinridge County,Kentucky
2020-03-24,15,15,6,7,7,4,9,11,8,95,1016,13,17.8,0.0,6.3,7,89,3,Breckinridge County,Kentucky
2020-03-25,17,17,4,9,9,4,10,12,5,102,1015,8,0.0,0.0,11.6,6,81,4,Breckinridge County,Kentucky
2020-03-26,22,22,8,14,14,4,16,16,10,190,1011,17,0.0,0.0,11.6,12,83,5,Breckinridge County,Kentucky
