date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,29,29,17,22,23,6,23,23,15,180,1013,22,0.0,0.0,8.7,15,68,5,Brooks County,Texas
2020-03-02,30,30,18,23,24,6,24,24,11,156,1009,17,0.0,0.0,10.2,18,75,5,Brooks County,Texas
2020-03-03,26,26,19,22,23,5,23,23,8,90,1007,12,0.0,0.0,5.9,19,82,5,Brooks County,Texas
2020-03-04,27,27,20,23,24,4,24,25,14,299,1008,20,0.1,0.0,10.2,12,58,5,Brooks County,Texas
2020-03-05,23,23,13,17,17,6,17,18,14,350,1023,20,0.0,0.0,11.6,8,56,5,Brooks County,Texas
2020-03-06,22,22,13,17,17,6,18,18,10,65,1030,15,0.0,0.0,11.6,7,52,5,Brooks County,Texas
2020-03-07,23,23,13,17,17,6,18,19,10,113,1026,15,0.0,0.0,11.6,9,61,5,Brooks County,Texas
2020-03-08,24,24,14,19,19,6,20,21,13,142,1022,19,0.0,0.0,7.4,13,72,5,Brooks County,Texas
2020-03-09,24,24,18,21,21,5,22,22,12,147,1021,18,1.0,0.0,6.0,17,77,5,Brooks County,Texas
2020-03-10,27,27,19,22,23,5,23,24,9,158,1022,13,2.3,0.0,8.8,18,79,5,Brooks County,Texas
2020-03-11,31,31,18,24,25,5,25,25,10,160,1017,14,0.0,0.0,11.6,18,73,6,Brooks County,Texas
2020-03-12,30,30,19,24,25,6,25,25,13,160,1011,18,0.0,0.0,11.6,18,72,7,Brooks County,Texas
2020-03-13,31,31,19,24,25,6,25,26,14,147,1012,19,0.0,0.0,11.6,18,72,7,Brooks County,Texas
2020-03-14,30,30,21,24,26,5,26,26,13,144,1016,18,0.0,0.0,11.6,19,78,7,Brooks County,Texas
2020-03-15,30,30,22,25,27,6,27,26,13,127,1020,17,0.2,0.0,10.2,19,74,7,Brooks County,Texas
2020-03-16,29,29,20,24,25,4,25,25,11,143,1018,15,1.1,0.0,6.0,19,76,6,Brooks County,Texas
2020-03-17,31,31,21,25,26,5,26,26,14,140,1015,19,0.0,0.0,11.6,19,72,7,Brooks County,Texas
2020-03-18,31,31,21,26,28,6,28,27,15,158,1014,20,0.0,0.0,11.6,19,69,6,Brooks County,Texas
2020-03-19,32,32,21,26,27,6,27,26,12,152,1013,18,0.1,0.0,8.8,20,71,6,Brooks County,Texas
2020-03-20,30,30,22,25,27,6,27,26,11,135,1017,15,1.7,0.0,6.0,20,77,6,Brooks County,Texas
2020-03-21,19,19,15,16,16,4,16,16,13,30,1022,18,10.6,0.0,6.1,14,86,4,Brooks County,Texas
2020-03-22,27,27,16,21,22,4,22,22,6,124,1018,9,0.6,0.0,6.1,18,84,5,Brooks County,Texas
2020-03-23,32,32,20,25,26,4,26,26,12,163,1015,16,0.0,0.0,10.2,19,73,6,Brooks County,Texas
2020-03-24,34,34,22,27,29,6,29,28,11,131,1011,16,0.0,0.0,11.6,19,63,7,Brooks County,Texas
2020-03-25,34,34,21,27,30,5,30,28,9,125,1011,13,0.0,0.0,11.6,20,71,7,Brooks County,Texas
2020-03-26,36,36,21,27,28,5,28,29,13,164,1008,19,0.0,0.0,11.6,18,63,7,Brooks County,Texas
2020-03-27,34,34,22,27,29,6,29,29,15,164,1005,22,0.0,0.0,11.6,18,59,7,Brooks County,Texas
2020-03-28,32,32,22,25,27,6,27,27,12,179,1009,17,0.0,0.0,11.6,17,64,6,Brooks County,Texas
2020-03-29,24,24,20,22,23,6,23,22,11,59,1016,16,0.0,0.0,6.1,10,49,5,Brooks County,Texas
2020-03-30,29,29,21,25,28,6,28,27,10,156,1013,14,2.2,0.0,6.1,21,78,6,Brooks County,Texas
2020-03-31,30,30,22,25,26,6,26,27,11,123,1014,15,0.2,0.0,11.6,14,58,7,Brooks County,Texas
2020-04-01,27,27,16,21,22,6,22,23,11,115,1014,15,0.0,0.0,10.2,15,68,5,Brooks County,Texas
2020-04-02,27,27,20,23,25,4,25,25,12,133,1010,17,0.7,0.0,6.1,19,79,5,Brooks County,Texas
2020-04-03,30,30,21,25,27,5,27,26,11,140,1009,16,0.6,0.0,6.2,20,75,6,Brooks County,Texas
2020-04-04,22,22,14,20,20,6,21,20,13,31,1012,18,5.5,0.0,6.2,17,85,5,Brooks County,Texas
2020-04-05,23,23,17,20,20,5,20,19,11,47,1015,16,0.3,0.0,6.2,17,86,4,Brooks County,Texas
2020-04-06,30,30,19,24,26,4,26,26,7,98,1014,10,1.5,0.0,6.2,20,79,6,Brooks County,Texas
2020-04-07,32,32,23,27,30,5,30,28,7,162,1013,9,1.3,0.0,7.5,22,76,6,Brooks County,Texas
2020-04-08,36,36,23,28,31,4,31,30,7,172,1011,10,0.0,0.0,11.6,21,71,6,Brooks County,Texas
2020-04-09,36,36,24,29,32,6,32,30,8,134,1009,11,0.3,0.0,11.6,22,70,8,Brooks County,Texas
2020-04-10,25,25,22,23,25,4,25,24,13,57,1012,19,6.4,0.0,6.2,20,83,5,Brooks County,Texas
2020-04-11,30,30,22,25,28,6,28,27,11,154,1007,15,3.5,0.0,7.6,21,79,6,Brooks County,Texas
2020-04-12,33,33,23,28,28,6,28,29,16,303,1004,23,0.0,0.0,11.6,10,46,7,Brooks County,Texas
2020-04-13,24,24,15,20,20,6,20,19,10,27,1015,14,0.0,0.0,11.6,7,45,5,Brooks County,Texas
2020-04-14,21,21,14,17,17,6,17,17,10,14,1017,15,0.0,0.0,6.2,11,69,4,Brooks County,Texas
2020-04-15,23,23,11,16,16,6,16,17,12,54,1020,17,0.0,0.0,11.6,8,59,5,Brooks County,Texas
2020-04-16,25,25,14,19,19,6,20,22,10,113,1018,14,0.0,0.0,6.3,14,70,5,Brooks County,Texas
2020-04-17,28,28,19,23,25,5,25,25,9,156,1014,13,1.8,0.0,6.3,20,84,5,Brooks County,Texas
2020-04-18,25,25,20,22,25,6,25,23,10,43,1012,13,2.8,0.0,6.3,21,88,5,Brooks County,Texas
2020-04-19,36,36,22,28,29,5,29,29,11,279,1006,16,0.3,0.0,10.3,17,63,6,Brooks County,Texas
2020-04-20,36,36,21,28,30,6,30,30,9,126,1009,14,0.0,0.0,11.6,17,58,7,Brooks County,Texas
2020-04-21,30,30,21,26,28,6,28,27,12,134,1010,17,0.1,0.0,6.5,22,81,6,Brooks County,Texas
2020-04-22,36,36,25,30,33,6,33,31,13,188,1006,18,0.5,0.0,10.3,22,65,7,Brooks County,Texas
2020-04-23,35,35,23,28,30,6,30,30,10,12,1006,14,0.3,0.0,11.6,18,59,7,Brooks County,Texas
2020-04-24,39,39,22,30,32,4,32,31,9,196,1007,14,0.0,0.0,11.6,17,57,8,Brooks County,Texas
2020-04-25,29,29,23,26,28,6,28,28,13,65,1013,19,0.0,0.0,11.6,18,65,6,Brooks County,Texas
2020-04-26,30,30,18,23,24,5,24,25,10,89,1020,14,8.9,0.0,11.6,15,62,6,Brooks County,Texas
2020-04-27,31,31,20,25,27,6,27,26,13,136,1017,18,0.1,0.0,9.2,19,72,6,Brooks County,Texas
2020-04-28,35,35,24,29,31,6,31,30,16,162,1011,22,1.7,0.0,10.4,21,68,8,Brooks County,Texas
2020-04-29,34,34,22,26,28,6,28,28,13,17,1011,18,3.3,0.0,9.2,18,65,6,Brooks County,Texas
2020-04-30,31,31,18,24,24,6,24,26,7,94,1018,10,0.0,0.0,11.6,10,43,7,Brooks County,Texas
2020-05-01,33,33,18,26,26,6,26,27,13,145,1015,19,0.0,0.0,11.6,13,51,7,Brooks County,Texas
2020-05-02,34,34,21,27,30,6,30,29,14,153,1014,19,0.0,0.0,11.6,19,68,7,Brooks County,Texas
2020-05-03,36,36,21,28,30,5,30,29,13,151,1013,18,0.0,0.0,11.6,19,69,7,Brooks County,Texas
