date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-1,-4,-4,6,1,1,11,294,1008,20,0.0,0.0,11.5,-1,88,2,Brown County,Minnesota
2020-03-02,1,1,-7,-8,-8,6,-3,-3,9,245,1011,16,0.0,0.0,8.7,-5,83,1,Brown County,Minnesota
2020-03-03,3,3,-1,-4,-4,6,0,1,12,285,1004,20,0.0,0.0,10.1,-2,84,2,Brown County,Minnesota
2020-03-04,5,5,-5,-3,-3,6,0,1,7,216,1013,13,0.3,0.0,8.7,-2,85,1,Brown County,Minnesota
2020-03-05,2,2,-1,-5,-5,5,1,1,20,301,1016,31,3.1,0.0,5.8,-2,80,1,Brown County,Minnesota
2020-03-06,4,4,-6,-6,-6,6,-1,-1,9,138,1032,14,0.0,0.0,11.6,-5,76,2,Brown County,Minnesota
2020-03-07,11,11,1,2,2,6,6,7,14,190,1018,25,0.0,0.0,10.2,0,66,2,Brown County,Minnesota
2020-03-08,16,16,7,8,8,6,11,12,14,197,1009,24,0.1,0.0,11.6,5,69,4,Brown County,Minnesota
2020-03-09,1,1,-3,-6,-6,6,0,-1,13,333,1019,16,0.1,0.0,10.2,-4,78,2,Brown County,Minnesota
2020-03-10,5,5,-4,-4,-4,5,0,0,6,147,1024,8,4.7,0.0,10.2,-5,73,2,Brown County,Minnesota
2020-03-11,11,11,0,2,2,3,4,4,7,177,1014,11,3.9,4.7,10.2,1,84,1,Brown County,Minnesota
2020-03-12,6,6,0,1,1,4,4,6,13,318,1007,19,0.4,0.0,8.8,1,78,2,Brown County,Minnesota
2020-03-13,2,2,-2,-5,-5,6,0,1,13,317,1027,17,0.0,0.0,11.6,-9,52,2,Brown County,Minnesota
2020-03-14,2,2,-4,-6,-6,6,-2,-1,8,56,1037,11,0.0,0.0,8.8,-9,61,1,Brown County,Minnesota
2020-03-15,5,5,-3,-3,-3,6,0,1,8,149,1036,11,0.0,0.0,10.2,-5,68,1,Brown County,Minnesota
2020-03-16,3,3,-1,-3,-3,5,1,2,9,270,1025,12,0.5,0.4,6.0,-2,81,1,Brown County,Minnesota
2020-03-17,7,7,-2,0,0,6,2,3,6,252,1024,9,0.0,0.0,11.6,-5,58,2,Brown County,Minnesota
2020-03-18,7,7,3,2,2,6,5,5,7,130,1017,11,0.0,0.0,6.0,3,85,2,Brown County,Minnesota
2020-03-19,5,5,0,0,0,3,4,5,12,11,1013,18,19.3,1.9,6.0,3,93,1,Brown County,Minnesota
2020-03-20,-2,-2,-8,-11,-11,5,-5,-5,15,335,1034,18,0.2,0.0,11.6,-13,52,2,Brown County,Minnesota
2020-03-21,3,3,-4,-5,-5,6,-1,0,10,161,1033,13,0.0,0.0,8.8,-7,62,1,Brown County,Minnesota
2020-03-22,8,8,-1,-2,-2,5,3,4,14,174,1022,19,0.3,0.0,8.8,-1,76,1,Brown County,Minnesota
2020-03-23,9,9,2,3,3,5,5,5,6,250,1020,9,3.7,0.0,10.2,2,80,3,Brown County,Minnesota
2020-03-24,10,10,3,4,4,6,7,7,12,173,1013,17,0.0,0.0,6.1,4,83,2,Brown County,Minnesota
2020-03-25,6,6,-5,1,1,4,4,5,8,105,1010,13,6.8,0.0,6.1,3,91,1,Brown County,Minnesota
