date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,-4,3,3,6,4,7,3,209,1025,5,0.0,0.0,8.7,-7,53,2,Buncombe County,North Carolina
2020-03-02,10,10,2,4,4,5,6,8,4,193,1018,6,0.5,0.0,7.3,3,83,2,Buncombe County,North Carolina
2020-03-03,14,14,7,9,9,2,10,11,4,205,1010,6,8.5,0.0,5.9,9,94,3,Buncombe County,North Carolina
2020-03-04,13,13,5,8,8,5,9,10,5,228,1016,7,0.5,0.0,10.2,4,72,4,Buncombe County,North Carolina
2020-03-05,7,7,3,5,5,4,6,6,3,100,1018,4,19.0,0.0,5.9,4,90,2,Buncombe County,North Carolina
2020-03-06,4,4,-2,-3,-3,3,2,2,16,310,1019,21,0.9,0.4,7.3,-1,79,1,Buncombe County,North Carolina
2020-03-07,9,9,-3,-1,-1,5,2,4,8,328,1031,12,0.2,0.1,11.6,-5,64,2,Buncombe County,North Carolina
2020-03-08,13,13,0,6,6,6,7,8,3,166,1034,5,0.0,0.0,8.8,-2,61,2,Buncombe County,North Carolina
2020-03-09,14,14,1,7,7,6,8,10,4,187,1032,6,0.1,0.0,10.2,2,70,3,Buncombe County,North Carolina
2020-03-10,15,15,9,11,11,3,11,12,5,214,1025,7,1.5,0.0,10.2,9,89,3,Buncombe County,North Carolina
2020-03-11,20,20,8,13,13,4,13,16,3,259,1018,5,0.2,0.0,10.2,9,80,5,Buncombe County,North Carolina
2020-03-12,19,19,7,13,13,4,13,15,4,169,1015,7,0.3,0.0,8.8,9,81,4,Buncombe County,North Carolina
2020-03-13,17,17,11,14,14,5,15,16,7,321,1018,10,1.5,0.0,7.4,10,79,4,Buncombe County,North Carolina
2020-03-14,11,11,5,9,9,6,10,10,4,137,1027,5,0.4,0.0,10.2,4,69,2,Buncombe County,North Carolina
