date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,4,5,5,6,8,9,12,352,1008,19,0.0,0.0,11.2,1,61,3,Butler County,Nebraska
2020-03-02,9,9,0,1,1,6,4,4,9,266,1012,13,0.1,0.0,11.2,-2,63,2,Butler County,Nebraska
2020-03-03,13,13,3,5,5,6,8,8,13,284,1008,20,0.0,0.0,11.6,-2,51,3,Butler County,Nebraska
2020-03-04,15,15,4,7,7,6,9,9,12,263,1014,21,0.0,0.0,11.6,-2,48,3,Butler County,Nebraska
2020-03-05,10,10,4,3,3,6,7,8,19,316,1022,28,0.0,0.0,11.6,-4,46,3,Butler County,Nebraska
2020-03-06,11,11,-2,2,2,6,5,5,9,157,1031,14,0.0,0.0,11.6,-4,57,2,Butler County,Nebraska
2020-03-07,19,19,7,9,9,6,12,12,19,196,1019,29,0.0,0.0,10.2,1,47,3,Butler County,Nebraska
2020-03-08,20,20,9,12,12,6,14,14,19,194,1010,28,0.2,0.0,11.6,6,58,4,Butler County,Nebraska
2020-03-09,5,5,-5,0,0,5,4,3,13,349,1016,17,14.4,0.0,5.9,2,82,1,Butler County,Nebraska
2020-03-10,11,11,-1,2,2,5,4,5,6,185,1022,10,0.5,0.0,8.8,-2,68,1,Butler County,Nebraska
2020-03-11,18,18,2,8,8,6,9,10,8,215,1014,14,0.0,0.0,11.6,3,66,3,Butler County,Nebraska
2020-03-12,12,12,5,8,8,5,10,11,16,341,1009,23,3.3,0.0,8.8,3,61,3,Butler County,Nebraska
2020-03-13,7,7,1,2,2,5,4,5,5,79,1027,8,1.0,0.0,7.4,-5,54,1,Butler County,Nebraska
2020-03-14,0,0,-7,-5,-5,2,0,0,12,89,1031,17,25.6,21.9,6.0,0,98,1,Butler County,Nebraska
2020-03-15,2,2,-3,-5,-5,5,-1,0,8,144,1035,11,0.6,0.3,6.0,-2,91,1,Butler County,Nebraska
2020-03-16,4,4,-2,-1,-1,4,1,2,6,241,1025,9,0.0,0.0,6.0,0,92,1,Butler County,Nebraska
2020-03-17,8,8,-1,1,1,5,4,4,7,142,1025,10,0.2,0.0,8.8,0,77,1,Butler County,Nebraska
2020-03-18,13,13,6,7,7,3,9,9,7,137,1013,11,1.0,0.0,6.0,8,92,2,Butler County,Nebraska
2020-03-19,18,18,9,12,12,4,14,14,12,213,1006,20,14.2,0.0,6.0,9,89,3,Butler County,Nebraska
2020-03-20,0,0,-7,-10,-10,5,-4,-3,16,237,1034,20,0.2,0.1,11.6,-11,59,2,Butler County,Nebraska
2020-03-21,7,7,-6,-4,-4,6,-1,0,9,181,1031,13,0.0,0.0,11.6,-7,63,2,Butler County,Nebraska
2020-03-22,10,10,-1,0,0,6,4,5,10,157,1020,15,0.0,0.0,6.1,1,84,1,Butler County,Nebraska
2020-03-23,15,15,1,6,6,4,8,8,8,163,1018,13,0.0,0.0,10.2,4,83,2,Butler County,Nebraska
2020-03-24,14,14,6,7,7,5,10,10,11,160,1012,15,0.0,0.0,7.5,7,85,2,Butler County,Nebraska
