date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,25,25,13,17,17,6,18,19,19,233,1009,30,0.0,0.0,10.1,6,52,5,Callahan County,Texas
2020-03-02,24,24,16,19,19,6,19,20,11,250,1008,18,0.0,0.0,11.3,3,36,6,Callahan County,Texas
2020-03-03,20,20,16,18,18,6,18,19,10,251,1009,16,0.2,0.0,8.6,6,45,4,Callahan County,Texas
2020-03-04,11,11,5,7,7,3,10,10,18,43,1015,26,79.0,0.0,5.7,8,87,3,Callahan County,Texas
2020-03-05,20,20,7,11,11,6,13,14,9,295,1024,15,1.0,0.0,11.4,6,65,4,Callahan County,Texas
2020-03-06,16,16,8,10,10,6,11,12,10,104,1032,15,0.0,0.0,11.6,1,49,4,Callahan County,Texas
2020-03-07,17,17,7,10,10,6,12,13,15,174,1026,23,0.0,0.0,11.6,2,52,4,Callahan County,Texas
2020-03-08,17,17,10,11,11,6,13,14,21,185,1020,30,0.1,0.0,5.9,9,77,3,Callahan County,Texas
2020-03-09,24,24,15,18,18,6,19,20,17,243,1017,26,0.0,0.0,11.6,10,63,5,Callahan County,Texas
2020-03-10,26,26,13,19,19,6,19,20,8,181,1021,13,0.2,0.0,10.2,12,69,4,Callahan County,Texas
2020-03-11,27,27,17,21,21,6,22,22,12,251,1015,18,0.0,0.0,11.6,15,70,6,Callahan County,Texas
2020-03-12,26,26,19,22,22,6,22,23,13,262,1009,20,0.4,0.0,8.8,14,63,5,Callahan County,Texas
2020-03-13,16,16,9,15,15,5,15,15,10,66,1014,16,11.7,0.0,6.0,13,83,4,Callahan County,Texas
2020-03-14,23,23,16,19,19,5,20,20,7,302,1017,11,10.7,0.0,8.8,15,84,5,Callahan County,Texas
2020-03-15,11,11,9,8,8,5,10,10,12,49,1025,16,5.3,0.0,6.0,9,90,3,Callahan County,Texas
2020-03-16,17,17,11,14,14,4,15,15,8,117,1020,12,6.9,0.0,6.0,14,93,4,Callahan County,Texas
2020-03-17,23,23,15,19,19,5,19,19,13,159,1016,19,6.8,0.0,6.0,17,89,4,Callahan County,Texas
2020-03-18,26,26,17,20,20,5,21,21,11,203,1013,18,11.9,0.0,6.0,16,77,5,Callahan County,Texas
2020-03-19,23,23,17,20,20,5,21,22,16,240,1013,26,21.5,0.0,6.0,12,63,5,Callahan County,Texas
2020-03-20,12,12,8,10,10,6,13,12,13,20,1024,18,0.0,0.0,11.6,4,59,4,Callahan County,Texas
2020-03-21,13,13,4,6,6,5,8,8,8,78,1028,11,0.4,0.0,7.4,4,73,2,Callahan County,Texas
2020-03-22,19,19,10,14,14,4,15,15,9,211,1018,14,0.6,0.0,7.4,12,87,4,Callahan County,Texas
2020-03-23,25,25,14,18,18,6,19,20,12,192,1014,19,0.0,0.0,11.6,14,77,5,Callahan County,Texas
2020-03-24,25,25,18,21,21,6,22,22,13,288,1011,20,0.0,0.0,11.6,10,55,6,Callahan County,Texas
2020-03-25,30,30,15,22,22,6,22,23,11,230,1010,18,0.0,0.0,11.6,7,38,6,Callahan County,Texas
2020-03-26,31,31,19,25,26,6,26,25,15,209,1007,24,0.0,0.0,11.6,18,67,6,Callahan County,Texas
2020-03-27,29,29,21,24,25,6,25,25,13,226,1004,22,1.2,0.0,10.2,16,67,5,Callahan County,Texas
2020-03-28,20,20,14,17,17,5,18,17,17,282,1010,27,5.2,0.0,11.6,2,38,5,Callahan County,Texas
2020-03-29,22,22,9,15,15,6,15,16,9,131,1019,14,0.0,0.0,8.9,2,43,4,Callahan County,Texas
2020-03-30,17,17,12,15,15,6,15,16,13,162,1014,21,5.4,0.0,6.1,11,75,4,Callahan County,Texas
