date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,12,15,15,6,16,17,15,193,1014,23,1.3,0.0,5.9,13,80,4,Camp County,Texas
2020-03-02,23,23,17,19,19,6,19,20,11,224,1008,17,0.4,0.0,7.3,16,85,4,Camp County,Texas
2020-03-03,18,18,15,16,16,5,16,17,4,60,1010,7,0.4,0.0,10.2,13,82,4,Camp County,Texas
2020-03-04,14,14,11,11,11,5,13,13,11,57,1015,17,8.5,0.0,5.9,11,89,3,Camp County,Texas
2020-03-05,20,20,8,13,13,5,13,14,7,314,1022,11,3.1,0.0,11.6,8,72,4,Camp County,Texas
2020-03-06,16,16,5,9,9,6,11,12,7,18,1032,11,0.0,0.0,11.6,1,51,4,Camp County,Texas
2020-03-07,16,16,6,9,9,6,10,12,7,142,1030,12,0.0,0.0,11.6,2,59,4,Camp County,Texas
2020-03-08,19,19,5,10,10,6,12,13,9,169,1026,15,0.0,0.0,11.6,6,70,4,Camp County,Texas
2020-03-09,19,19,14,16,16,6,16,16,14,186,1021,23,1.9,0.0,5.9,14,87,4,Camp County,Texas
2020-03-10,25,25,10,18,18,6,18,18,4,223,1023,8,0.3,0.0,11.6,12,75,5,Camp County,Texas
2020-03-11,24,24,17,20,20,6,21,21,10,226,1016,16,0.3,0.0,6.0,18,86,5,Camp County,Texas
2020-03-12,26,26,18,21,21,6,22,21,11,216,1010,16,3.3,0.0,7.4,18,85,5,Camp County,Texas
2020-03-13,19,19,11,14,14,4,15,15,9,73,1017,13,7.5,0.0,6.0,14,95,4,Camp County,Texas
2020-03-14,22,22,13,18,18,6,19,20,8,191,1020,13,1.3,0.0,7.4,17,93,5,Camp County,Texas
2020-03-15,14,14,11,12,12,5,13,13,9,57,1026,13,4.1,0.0,6.0,12,91,3,Camp County,Texas
2020-03-16,17,17,9,11,11,4,12,12,6,102,1023,8,7.3,0.0,6.0,11,92,3,Camp County,Texas
2020-03-17,23,23,10,15,15,4,16,17,6,74,1020,11,0.3,0.0,6.0,14,89,4,Camp County,Texas
2020-03-18,23,23,18,20,20,6,21,21,9,183,1016,15,3.2,0.0,6.0,19,91,5,Camp County,Texas
2020-03-19,24,24,20,21,22,5,22,22,13,197,1015,21,7.6,0.0,6.0,19,86,5,Camp County,Texas
2020-03-20,18,18,13,16,16,4,16,16,7,346,1023,12,4.9,0.0,7.4,13,87,4,Camp County,Texas
2020-03-21,17,17,5,9,9,6,11,11,7,58,1028,10,0.0,0.0,11.6,7,78,4,Camp County,Texas
2020-03-22,18,18,10,13,13,3,13,14,5,122,1020,8,1.7,0.0,6.1,13,95,3,Camp County,Texas
2020-03-23,23,23,13,17,17,4,17,18,5,93,1017,7,0.0,0.0,6.1,15,89,4,Camp County,Texas
2020-03-24,28,28,18,21,23,6,23,22,10,235,1011,16,0.3,0.0,8.8,17,80,5,Camp County,Texas
2020-03-25,27,27,13,19,19,5,20,21,6,146,1012,11,0.0,0.0,10.2,15,79,6,Camp County,Texas
2020-03-26,29,29,19,23,24,6,24,24,11,203,1009,18,0.0,0.0,11.6,19,77,6,Camp County,Texas
2020-03-27,29,29,20,24,25,6,25,24,12,199,1007,19,0.0,0.0,11.6,19,78,6,Camp County,Texas
2020-03-28,24,24,13,19,19,5,21,20,9,250,1009,15,1.8,0.0,7.5,15,77,4,Camp County,Texas
2020-03-29,23,23,9,15,15,6,16,17,4,97,1019,7,0.0,0.0,7.5,7,60,4,Camp County,Texas
2020-03-30,16,16,12,13,13,5,14,14,8,88,1018,14,12.4,0.0,6.2,10,80,3,Camp County,Texas
2020-03-31,18,18,12,13,13,4,14,15,8,123,1015,11,0.0,0.0,8.9,11,84,3,Camp County,Texas
2020-04-01,20,20,9,14,14,6,15,16,5,169,1016,8,0.0,0.0,8.9,10,75,4,Camp County,Texas
2020-04-02,21,21,11,16,16,6,16,17,9,165,1014,15,0.4,0.0,8.9,13,82,4,Camp County,Texas
2020-04-03,22,22,7,16,16,5,17,18,7,159,1014,10,9.9,0.0,6.2,15,92,4,Camp County,Texas
2020-04-04,13,13,7,8,8,4,10,11,5,309,1017,8,3.7,0.0,6.2,9,94,3,Camp County,Texas
2020-04-05,21,21,10,15,15,4,15,16,2,183,1018,4,0.2,0.0,6.2,13,91,4,Camp County,Texas
2020-04-06,25,25,15,19,19,5,20,21,5,176,1016,8,0.3,0.0,8.9,16,86,5,Camp County,Texas
2020-04-07,29,29,18,23,24,5,24,25,9,224,1012,14,1.3,0.0,10.3,20,86,5,Camp County,Texas
2020-04-08,30,30,21,25,28,6,28,26,10,238,1009,16,1.1,0.0,11.6,22,84,6,Camp County,Texas
2020-04-09,22,22,16,19,19,5,19,20,9,66,1012,14,0.2,0.0,10.3,14,75,4,Camp County,Texas
2020-04-10,19,19,12,14,14,6,15,16,9,71,1018,14,0.0,0.0,11.6,7,59,5,Camp County,Texas
2020-04-11,21,21,9,14,14,5,15,16,9,167,1012,15,6.0,0.0,9.0,12,81,4,Camp County,Texas
2020-04-12,25,25,18,21,22,5,22,22,12,183,1001,19,10.1,0.0,6.5,17,88,5,Camp County,Texas
