date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,23,23,12,15,15,6,17,17,16,224,1006,26,0.0,0.0,11.3,6,53,5,Canadian County,Oklahoma
2020-03-02,13,13,7,8,8,6,10,9,10,134,1009,15,0.0,0.0,11.3,5,71,3,Canadian County,Oklahoma
2020-03-03,17,17,8,11,11,6,12,12,6,16,1011,9,0.0,0.0,5.9,2,56,3,Canadian County,Oklahoma
2020-03-04,15,15,9,10,10,6,11,12,8,55,1017,13,0.0,0.0,7.3,0,47,3,Canadian County,Oklahoma
2020-03-05,17,17,6,9,9,6,10,12,11,118,1024,17,0.0,0.0,11.6,-1,47,4,Canadian County,Oklahoma
2020-03-06,16,16,4,7,7,6,9,10,7,139,1033,12,0.0,0.0,11.6,-4,40,3,Canadian County,Oklahoma
2020-03-07,17,17,6,9,9,6,11,12,16,182,1026,25,0.0,0.0,11.6,0,48,4,Canadian County,Oklahoma
2020-03-08,15,15,9,9,9,5,12,12,24,191,1020,34,1.6,0.0,7.3,8,75,3,Canadian County,Oklahoma
2020-03-09,22,22,15,16,16,6,18,19,20,252,1015,28,2.3,0.0,10.2,11,73,5,Canadian County,Oklahoma
2020-03-10,20,20,6,11,11,6,12,12,8,166,1023,13,0.2,0.0,11.6,6,68,4,Canadian County,Oklahoma
2020-03-11,22,22,14,17,17,6,18,18,12,38,1013,19,0.0,0.0,8.8,12,72,4,Canadian County,Oklahoma
2020-03-12,24,24,16,19,19,6,19,21,14,216,1008,23,0.0,0.0,11.6,9,55,6,Canadian County,Oklahoma
2020-03-13,9,9,1,5,5,4,8,8,17,70,1020,23,1.0,0.0,6.0,4,73,2,Canadian County,Oklahoma
2020-03-14,15,15,7,9,9,5,11,11,10,21,1021,14,0.7,0.0,6.0,8,90,3,Canadian County,Oklahoma
2020-03-15,9,9,5,3,3,6,7,6,11,30,1029,15,0.9,0.0,6.0,3,80,2,Canadian County,Oklahoma
2020-03-16,18,18,7,11,11,6,12,13,7,198,1022,10,3.3,0.0,6.0,10,89,3,Canadian County,Oklahoma
2020-03-17,16,16,10,10,10,5,12,12,11,98,1020,15,28.4,0.0,6.0,10,88,3,Canadian County,Oklahoma
