date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,4,6,6,6,9,10,14,201,1016,24,2.9,0.0,5.6,6,81,3,Cape Girardeau County,Missouri
2020-03-02,14,14,11,11,11,5,13,14,9,205,1008,14,16.5,0.0,5.6,11,89,3,Cape Girardeau County,Missouri
2020-03-03,16,16,7,10,10,6,11,12,9,291,1009,13,3.9,0.0,11.3,5,68,4,Cape Girardeau County,Missouri
2020-03-04,14,14,6,8,8,6,10,11,8,331,1016,13,0.0,0.0,8.6,3,64,3,Cape Girardeau County,Missouri
2020-03-05,17,17,4,9,9,6,10,11,8,265,1020,14,0.0,0.0,11.3,2,60,4,Cape Girardeau County,Missouri
2020-03-06,9,9,2,1,1,6,5,6,14,335,1029,20,0.0,0.0,11.4,-2,59,3,Cape Girardeau County,Missouri
2020-03-07,12,12,0,4,4,6,6,7,6,159,1033,10,0.0,0.0,11.4,-2,61,3,Cape Girardeau County,Missouri
2020-03-08,16,16,4,7,7,6,10,11,13,195,1027,22,0.0,0.0,11.6,3,62,4,Cape Girardeau County,Missouri
2020-03-09,15,15,9,11,11,5,13,14,19,194,1021,31,12.8,0.0,5.9,11,85,3,Cape Girardeau County,Missouri
2020-03-10,12,12,6,9,9,6,11,10,11,344,1022,15,3.2,0.0,7.3,8,82,2,Cape Girardeau County,Missouri
2020-03-11,15,15,5,8,8,5,9,10,4,233,1018,6,5.8,0.0,7.4,7,89,3,Cape Girardeau County,Missouri
2020-03-12,19,19,9,13,13,3,14,14,11,179,1009,18,7.2,0.0,6.0,12,92,3,Cape Girardeau County,Missouri
2020-03-13,10,10,5,5,5,6,8,8,12,22,1025,18,1.0,0.0,11.6,1,64,3,Cape Girardeau County,Missouri
2020-03-14,6,6,4,1,1,4,5,5,11,55,1028,17,23.5,0.0,6.0,2,80,1,Cape Girardeau County,Missouri
2020-03-15,7,7,3,1,1,6,4,5,10,31,1032,14,0.0,0.0,6.0,2,82,1,Cape Girardeau County,Missouri
2020-03-16,8,8,2,4,4,6,5,6,4,161,1027,6,0.1,0.0,6.0,3,85,2,Cape Girardeau County,Missouri
2020-03-17,14,14,5,7,7,5,9,10,7,47,1025,10,4.9,0.0,10.2,5,82,2,Cape Girardeau County,Missouri
2020-03-18,17,17,8,11,11,3,12,13,9,195,1019,14,16.6,0.0,6.0,11,93,3,Cape Girardeau County,Missouri
2020-03-19,21,21,15,18,18,5,18,19,14,200,1014,24,15.0,0.0,6.0,17,92,4,Cape Girardeau County,Missouri
2020-03-20,18,18,5,12,12,6,13,14,15,334,1021,23,2.1,0.0,7.4,10,80,3,Cape Girardeau County,Missouri
2020-03-21,9,9,2,2,2,6,5,6,9,18,1032,13,0.0,0.0,10.2,-1,66,2,Cape Girardeau County,Missouri
2020-03-22,8,8,2,2,2,5,5,5,6,126,1026,9,4.6,0.0,8.9,2,80,2,Cape Girardeau County,Missouri
2020-03-23,14,14,4,8,8,6,9,10,5,17,1021,8,0.0,0.0,11.6,5,80,4,Cape Girardeau County,Missouri
2020-03-24,11,11,5,6,6,5,8,8,7,58,1015,12,23.2,0.0,6.3,7,92,2,Cape Girardeau County,Missouri
2020-03-25,18,18,5,10,10,4,11,12,7,152,1014,12,0.0,0.0,10.3,8,83,4,Cape Girardeau County,Missouri
2020-03-26,24,24,9,16,16,6,17,17,12,199,1009,19,0.1,0.0,11.6,14,86,5,Cape Girardeau County,Missouri
2020-03-27,26,26,18,21,21,5,22,22,10,209,1007,15,2.7,0.0,6.3,19,90,5,Cape Girardeau County,Missouri
2020-03-28,22,22,19,21,21,5,22,21,17,209,1006,26,9.0,0.0,6.3,19,88,5,Cape Girardeau County,Missouri
2020-03-29,19,19,8,13,13,6,14,14,14,259,1014,22,1.7,0.0,11.6,7,65,4,Cape Girardeau County,Missouri
2020-03-30,19,19,9,13,13,6,14,15,5,126,1021,9,0.0,0.0,11.6,6,63,4,Cape Girardeau County,Missouri
2020-03-31,15,15,8,10,10,5,11,12,7,344,1015,9,4.1,0.0,7.7,6,73,3,Cape Girardeau County,Missouri
2020-04-01,15,15,4,8,8,6,9,10,5,28,1018,9,0.0,0.0,11.6,4,73,4,Cape Girardeau County,Missouri
2020-04-02,18,18,7,11,11,6,12,13,8,150,1019,14,0.0,0.0,11.6,7,74,3,Cape Girardeau County,Missouri
2020-04-03,18,18,11,14,14,5,14,15,6,184,1017,10,0.2,0.0,9.0,10,78,4,Cape Girardeau County,Missouri
2020-04-04,11,11,6,6,6,5,9,8,10,354,1019,13,0.0,0.0,6.4,6,83,2,Cape Girardeau County,Missouri
2020-04-05,15,15,7,10,10,6,10,11,4,140,1020,6,0.0,0.0,11.6,8,87,4,Cape Girardeau County,Missouri
2020-04-06,23,23,9,15,15,4,16,17,6,185,1017,10,0.0,0.0,10.3,12,83,4,Cape Girardeau County,Missouri
2020-04-07,24,24,15,19,19,5,20,21,11,214,1011,16,0.2,0.0,11.6,17,87,5,Cape Girardeau County,Missouri
2020-04-08,28,28,17,22,23,5,23,24,8,235,1006,14,5.5,0.0,11.6,17,78,6,Cape Girardeau County,Missouri
2020-04-09,16,16,8,10,10,6,12,13,12,310,1013,19,5.9,0.0,11.6,5,63,4,Cape Girardeau County,Missouri
2020-04-10,13,13,1,4,4,6,6,7,7,333,1020,12,0.0,0.0,11.6,-3,52,3,Cape Girardeau County,Missouri
2020-04-11,16,16,4,8,8,6,10,11,11,187,1014,18,0.2,0.0,10.3,4,66,3,Cape Girardeau County,Missouri
2020-04-12,17,17,12,13,13,5,14,15,12,152,1003,19,9.3,0.0,6.5,13,92,3,Cape Girardeau County,Missouri
2020-04-13,10,10,2,3,3,5,7,7,15,330,1015,21,0.4,0.0,11.6,0,65,3,Cape Girardeau County,Missouri
2020-04-14,9,9,3,4,4,6,5,7,6,125,1024,9,0.2,0.0,9.1,-4,52,2,Cape Girardeau County,Missouri
2020-04-15,15,15,1,6,6,6,9,10,10,267,1021,16,0.2,0.0,10.3,0,62,3,Cape Girardeau County,Missouri
2020-04-16,16,16,1,6,6,6,8,9,9,153,1024,14,0.0,0.0,11.6,1,64,2,Cape Girardeau County,Missouri
2020-04-17,13,13,4,6,6,5,9,11,12,262,1016,20,2.6,0.0,6.6,6,83,3,Cape Girardeau County,Missouri
2020-04-18,14,14,0,5,5,6,7,8,7,180,1019,11,0.0,0.0,11.6,1,69,3,Cape Girardeau County,Missouri
2020-04-19,16,16,6,9,9,5,10,12,5,183,1010,8,2.1,0.0,6.6,6,78,3,Cape Girardeau County,Missouri
2020-04-20,19,19,7,12,12,5,13,14,7,296,1009,13,4.1,0.0,10.4,8,74,3,Cape Girardeau County,Missouri
2020-04-21,18,18,10,12,12,5,13,14,9,233,1015,14,3.2,0.0,11.6,8,72,4,Cape Girardeau County,Missouri
2020-04-22,18,18,7,11,11,5,12,14,9,169,1014,15,0.6,0.0,9.1,8,74,3,Cape Girardeau County,Missouri
2020-04-23,16,16,11,12,12,5,14,15,12,246,1002,19,13.7,0.0,6.7,13,93,4,Cape Girardeau County,Missouri
2020-04-24,21,21,10,15,15,4,15,17,5,177,1009,7,5.0,0.0,11.6,11,81,5,Cape Girardeau County,Missouri
2020-04-25,19,19,9,11,11,4,13,15,15,230,1006,25,29.4,0.0,6.7,11,89,3,Cape Girardeau County,Missouri
2020-04-26,17,17,7,10,10,6,12,13,12,344,1019,18,0.0,0.0,11.6,6,70,4,Cape Girardeau County,Missouri
2020-04-27,16,16,7,11,11,5,12,13,8,187,1021,14,3.1,0.0,7.9,9,79,3,Cape Girardeau County,Missouri
2020-04-28,21,21,13,16,16,5,18,18,14,204,1013,22,0.8,0.0,6.7,14,82,4,Cape Girardeau County,Missouri
2020-04-29,17,17,10,13,13,4,14,15,14,296,1006,21,28.3,0.0,9.2,11,82,4,Cape Girardeau County,Missouri
2020-04-30,18,18,8,12,12,6,13,14,11,327,1012,16,0.0,0.0,11.6,8,75,4,Cape Girardeau County,Missouri
2020-05-01,22,22,9,16,16,6,16,18,7,201,1016,12,0.0,0.0,11.6,11,75,5,Cape Girardeau County,Missouri
2020-05-02,26,26,16,20,20,6,21,22,12,213,1014,19,0.0,0.0,11.6,17,80,6,Cape Girardeau County,Missouri
2020-05-03,20,20,15,18,18,5,18,20,9,117,1013,15,2.6,0.0,6.8,17,89,4,Cape Girardeau County,Missouri
2020-05-04,21,21,11,16,16,5,16,18,9,92,1014,13,5.5,0.0,12.1,11,76,4,Cape Girardeau County,Missouri
2020-05-05,20,20,13,16,16,5,16,17,11,321,1010,15,11.7,0.0,11.0,13,82,4,Cape Girardeau County,Missouri
2020-05-06,15,15,8,9,9,5,11,11,11,346,1020,16,0.2,0.0,12.2,6,73,3,Cape Girardeau County,Missouri
2020-05-07,19,19,7,12,12,6,13,15,7,235,1019,12,0.1,0.0,13.3,8,71,5,Cape Girardeau County,Missouri
2020-05-08,14,14,7,9,9,5,11,12,12,238,1015,17,32.3,0.0,9.9,8,84,3,Cape Girardeau County,Missouri
2020-05-09,16,16,3,9,9,6,10,12,5,157,1024,8,0.0,0.0,13.4,3,64,4,Cape Girardeau County,Missouri
2020-05-10,16,16,7,9,9,6,11,14,12,296,1022,18,0.0,0.0,14.0,5,69,4,Cape Girardeau County,Missouri
2020-05-11,16,16,4,9,9,6,10,12,7,325,1025,11,0.0,0.0,14.1,4,67,4,Cape Girardeau County,Missouri
2020-05-12,10,10,8,8,8,4,9,9,4,149,1025,6,4.8,0.0,8.8,7,88,2,Cape Girardeau County,Missouri
2020-05-13,17,17,8,11,11,4,12,13,7,134,1020,11,7.2,0.0,8.8,12,95,3,Cape Girardeau County,Missouri
2020-05-14,25,25,14,19,19,6,21,22,14,197,1015,22,0.2,0.0,12.3,17,85,5,Cape Girardeau County,Missouri
2020-05-15,24,24,18,20,20,5,21,21,11,211,1013,18,9.2,0.0,9.1,19,91,5,Cape Girardeau County,Missouri
2020-05-16,25,25,17,21,23,5,23,23,10,208,1011,16,14.7,0.0,9.1,20,90,5,Cape Girardeau County,Missouri
2020-05-17,23,23,19,20,20,5,22,21,8,125,1014,13,14.2,0.0,11.3,18,88,5,Cape Girardeau County,Missouri
2020-05-18,18,18,12,14,14,6,15,16,8,298,1009,12,0.5,0.0,11.3,12,86,4,Cape Girardeau County,Missouri
2020-05-19,20,20,13,15,15,4,15,16,9,347,1010,12,1.8,0.0,9.1,13,87,4,Cape Girardeau County,Missouri
2020-05-20,20,20,13,16,16,4,16,17,7,44,1014,11,2.1,0.0,9.1,14,90,4,Cape Girardeau County,Missouri
2020-05-21,21,21,11,16,16,4,16,17,5,59,1015,8,0.8,0.0,9.1,14,87,4,Cape Girardeau County,Missouri
2020-05-22,26,26,14,20,20,5,21,22,4,143,1014,7,0.4,0.0,14.5,17,83,6,Cape Girardeau County,Missouri
2020-05-23,29,29,19,24,26,5,26,26,8,213,1013,14,13.8,0.0,9.2,20,86,6,Cape Girardeau County,Missouri
2020-05-24,29,29,19,24,26,4,26,25,8,206,1013,15,24.4,0.0,9.2,20,84,6,Cape Girardeau County,Missouri
2020-05-25,29,29,19,24,25,5,25,26,8,174,1013,13,11.3,0.0,11.3,20,83,6,Cape Girardeau County,Missouri
2020-05-26,26,26,20,22,23,5,23,24,12,162,1013,18,7.3,0.0,11.3,20,87,5,Cape Girardeau County,Missouri
2020-05-27,25,25,19,21,21,4,22,22,7,140,1012,11,33.5,0.0,9.2,19,91,5,Cape Girardeau County,Missouri
2020-05-28,25,25,18,21,22,5,22,23,7,193,1011,12,21.7,0.0,9.2,18,85,5,Cape Girardeau County,Missouri
2020-05-29,24,24,16,20,20,4,21,22,9,347,1016,14,0.1,0.0,13.4,16,81,6,Cape Girardeau County,Missouri
2020-05-30,22,22,13,17,17,6,18,19,8,122,1021,13,0.0,0.0,14.5,14,79,5,Cape Girardeau County,Missouri
2020-05-31,24,24,13,18,18,6,19,21,6,61,1023,10,0.0,0.0,14.5,14,76,6,Cape Girardeau County,Missouri
2020-06-01,25,25,13,19,19,6,19,20,6,152,1023,10,0.0,0.0,14.5,13,71,6,Cape Girardeau County,Missouri
2020-06-02,27,27,16,21,22,6,22,23,8,210,1018,14,0.0,0.0,14.5,15,70,6,Cape Girardeau County,Missouri
2020-06-03,30,30,18,24,25,6,25,26,9,215,1013,15,2.9,0.0,13.4,20,80,6,Cape Girardeau County,Missouri
2020-06-04,30,30,20,25,27,5,27,27,7,217,1009,11,2.1,0.0,13.4,21,82,6,Cape Girardeau County,Missouri
2020-06-05,31,31,20,26,29,6,29,28,5,187,1012,8,0.0,0.0,14.5,21,79,7,Cape Girardeau County,Missouri
2020-06-06,31,31,21,26,28,6,28,28,5,80,1014,9,0.0,0.0,14.5,21,77,7,Cape Girardeau County,Missouri
2020-06-07,31,31,22,26,29,6,29,28,8,87,1014,12,0.0,0.0,14.5,22,79,7,Cape Girardeau County,Missouri
2020-06-08,29,29,19,24,26,5,26,25,12,92,1009,19,4.6,0.0,13.5,20,82,5,Cape Girardeau County,Missouri
2020-06-09,28,28,22,25,27,5,27,24,22,199,1002,35,21.9,0.0,9.3,23,89,5,Cape Girardeau County,Missouri
2020-06-10,23,23,17,21,21,6,22,21,15,242,1008,23,0.5,0.0,11.4,16,75,5,Cape Girardeau County,Missouri
2020-06-11,26,26,15,20,21,6,21,22,7,227,1022,11,0.0,0.0,14.5,15,72,6,Cape Girardeau County,Missouri
2020-06-12,29,29,17,23,24,6,24,26,4,144,1023,7,1.4,0.0,13.5,16,68,7,Cape Girardeau County,Missouri
2020-06-13,29,29,19,24,25,6,25,26,4,98,1020,8,0.8,0.0,13.5,18,70,7,Cape Girardeau County,Missouri
2020-06-14,27,27,17,21,22,5,22,23,8,94,1022,11,0.6,0.0,12.4,18,82,5,Cape Girardeau County,Missouri
2020-06-15,25,25,15,20,21,6,21,22,7,63,1024,11,0.0,0.0,14.5,14,70,6,Cape Girardeau County,Missouri
2020-06-16,26,26,15,20,21,6,21,22,5,66,1023,9,0.0,0.0,14.5,15,72,6,Cape Girardeau County,Missouri
2020-06-17,27,27,16,22,22,6,22,23,5,89,1020,8,0.0,0.0,14.5,16,75,6,Cape Girardeau County,Missouri
2020-06-18,29,29,17,23,25,6,25,25,2,205,1017,4,0.2,0.0,14.5,17,70,6,Cape Girardeau County,Missouri
2020-06-19,30,30,18,24,25,6,25,26,5,205,1016,8,0.0,0.0,14.5,17,68,7,Cape Girardeau County,Missouri
2020-06-20,30,30,20,25,27,6,27,27,10,207,1015,15,2.4,0.0,14.5,20,76,6,Cape Girardeau County,Missouri
2020-06-21,29,29,19,23,25,5,25,24,5,232,1013,7,16.4,0.0,12.4,20,84,5,Cape Girardeau County,Missouri
2020-06-22,28,28,20,23,25,5,25,25,8,195,1010,15,10.9,0.0,11.4,21,87,5,Cape Girardeau County,Missouri
