date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,1,1,-8,-8,-8,5,-4,-2,7,193,1014,13,2.9,2.5,7.1,-6,85,1,Carbon County,Wyoming
2020-03-02,-4,-4,-14,-13,-13,5,-9,-8,8,235,1019,12,0.4,0.3,11.6,-11,85,2,Carbon County,Wyoming
2020-03-03,-1,-1,-11,-12,-12,6,-7,-5,7,234,1021,13,0.0,0.0,11.6,-10,81,2,Carbon County,Wyoming
2020-03-04,1,1,-9,-10,-10,6,-4,-3,10,217,1023,18,0.0,0.0,11.6,-8,78,2,Carbon County,Wyoming
2020-03-05,3,3,-5,-6,-6,6,-2,0,8,218,1029,16,0.0,0.0,11.6,-5,77,2,Carbon County,Wyoming
2020-03-06,5,5,-5,-5,-5,6,-1,1,9,184,1026,18,0.0,0.0,11.6,-7,65,2,Carbon County,Wyoming
2020-03-07,5,5,-2,-3,-3,6,1,2,9,196,1015,19,0.0,0.0,11.6,-3,74,2,Carbon County,Wyoming
2020-03-08,2,2,-3,-3,-3,5,0,1,7,256,1011,13,0.5,0.4,7.3,-2,87,1,Carbon County,Wyoming
2020-03-09,2,2,-5,-5,-5,5,-1,0,7,219,1018,12,0.7,0.5,11.6,-3,88,1,Carbon County,Wyoming
2020-03-10,2,2,-2,-5,-5,5,0,0,10,245,1021,16,0.9,0.5,7.3,-3,81,1,Carbon County,Wyoming
2020-03-11,5,5,-3,-4,-4,5,1,3,14,234,1017,20,1.3,1.0,10.2,-3,74,1,Carbon County,Wyoming
2020-03-12,4,4,-3,-5,-5,5,1,1,14,262,1014,22,1.8,1.4,11.6,-6,64,1,Carbon County,Wyoming
2020-03-13,3,3,-4,-3,-3,5,-1,0,3,176,1014,5,2.9,2.4,7.4,-6,71,1,Carbon County,Wyoming
2020-03-14,5,5,-2,-3,-3,5,1,3,12,210,1016,17,0.4,0.3,11.6,-2,77,2,Carbon County,Wyoming
2020-03-15,8,8,0,-1,-1,6,4,5,12,203,1018,18,0.0,0.0,11.6,-2,66,2,Carbon County,Wyoming
2020-03-16,9,9,-1,1,1,6,4,5,9,227,1018,13,0.0,0.0,11.6,-4,59,3,Carbon County,Wyoming
2020-03-17,10,10,0,2,2,6,5,6,11,209,1012,16,0.0,0.0,8.8,-5,53,2,Carbon County,Wyoming
2020-03-18,9,9,1,1,1,6,4,6,11,200,1007,17,0.4,0.0,8.8,-5,53,2,Carbon County,Wyoming
2020-03-19,2,2,-4,-4,-4,4,0,0,10,27,1012,13,0.7,0.5,8.8,-5,73,1,Carbon County,Wyoming
2020-03-20,3,3,-5,-5,-5,5,-1,0,8,245,1025,11,0.5,0.4,7.4,-7,67,1,Carbon County,Wyoming
2020-03-21,4,4,-4,-5,-5,6,0,1,10,241,1021,14,0.0,0.0,11.6,-6,67,2,Carbon County,Wyoming
2020-03-22,4,4,-3,-5,-5,5,0,1,14,262,1017,19,0.2,0.0,8.8,-6,67,1,Carbon County,Wyoming
2020-03-23,6,6,-2,-3,-3,5,1,3,10,236,1015,15,1.0,0.4,8.8,-5,66,1,Carbon County,Wyoming
2020-03-24,5,5,-2,-3,-3,5,2,2,14,239,1012,21,4.1,1.2,7.5,-3,74,1,Carbon County,Wyoming
2020-03-25,3,3,-2,-4,-4,3,1,1,12,273,1008,18,4.6,3.9,7.5,-3,78,1,Carbon County,Wyoming
2020-03-26,4,4,-3,-4,-4,4,0,1,9,248,1005,11,3.0,2.5,7.5,-4,75,1,Carbon County,Wyoming
2020-03-27,1,1,-5,-6,-6,3,-3,-2,6,297,1008,9,4.0,3.4,6.4,-7,72,1,Carbon County,Wyoming
2020-03-28,1,1,-7,-9,-9,5,-3,-2,14,257,1015,18,0.2,0.0,10.3,-10,56,1,Carbon County,Wyoming
2020-03-29,4,4,-5,-6,-6,6,-1,1,10,231,1017,14,0.1,0.0,10.3,-7,64,1,Carbon County,Wyoming
2020-03-30,6,6,-3,-2,-2,6,1,2,10,263,1016,15,0.3,0.0,9.0,-6,62,1,Carbon County,Wyoming
2020-03-31,9,9,-2,-2,-2,6,3,5,16,239,1014,24,0.2,0.0,10.3,-4,60,2,Carbon County,Wyoming
2020-04-01,10,10,0,1,1,5,5,5,10,254,1006,16,2.4,0.9,7.7,-2,69,1,Carbon County,Wyoming
2020-04-02,-5,-5,-12,-10,-10,2,-6,-7,7,214,1017,11,19.3,15.1,6.4,-8,86,1,Carbon County,Wyoming
2020-04-03,-2,-2,-12,-10,-10,6,-7,-5,4,248,1023,7,0.0,0.0,11.6,-13,63,2,Carbon County,Wyoming
2020-04-04,6,6,-7,-4,-4,6,0,1,9,234,1013,14,0.0,0.0,11.6,-8,59,2,Carbon County,Wyoming
2020-04-05,10,10,0,1,1,6,5,7,14,216,1006,21,0.5,0.0,10.3,-3,60,2,Carbon County,Wyoming
2020-04-06,12,12,3,4,4,6,7,9,16,223,1007,23,0.0,0.0,11.6,-4,49,3,Carbon County,Wyoming
2020-04-07,11,11,0,3,3,6,6,8,12,253,1013,16,1.0,0.0,11.6,-2,61,3,Carbon County,Wyoming
2020-04-08,12,12,2,5,5,6,8,8,10,269,1016,14,1.2,0.0,11.6,-2,57,3,Carbon County,Wyoming
2020-04-09,13,13,2,6,6,6,8,9,5,15,1016,8,0.0,0.0,11.6,-3,51,3,Carbon County,Wyoming
2020-04-10,13,13,2,5,5,6,8,9,11,244,1010,16,0.0,0.0,11.6,-2,53,3,Carbon County,Wyoming
2020-04-11,12,12,2,2,2,5,6,7,16,256,1004,24,5.7,0.0,9.1,-2,60,2,Carbon County,Wyoming
2020-04-12,-2,-2,-9,-11,-11,3,-5,-5,11,188,1018,14,6.6,5.6,9.1,-10,69,1,Carbon County,Wyoming
2020-04-13,-5,-5,-12,-14,-14,5,-8,-7,9,261,1026,12,0.4,0.3,7.8,-17,53,1,Carbon County,Wyoming
2020-04-14,1,1,-10,-12,-12,5,-4,-3,18,277,1024,23,0.0,0.0,9.1,-15,45,1,Carbon County,Wyoming
2020-04-15,2,2,-5,-7,-7,2,-1,0,14,284,1016,20,16.3,11.4,7.9,-5,75,1,Carbon County,Wyoming
2020-04-16,-4,-4,-8,-10,-10,2,-5,-5,7,40,1023,10,14.2,12.1,7.9,-8,85,1,Carbon County,Wyoming
2020-04-17,1,1,-12,-10,-10,6,-6,-4,8,215,1022,12,0.0,0.0,11.6,-9,75,2,Carbon County,Wyoming
2020-04-18,5,5,-5,-3,-3,6,1,2,7,239,1012,12,0.0,0.0,11.6,-6,67,2,Carbon County,Wyoming
2020-04-19,8,8,-5,-2,-2,5,2,3,10,255,1011,15,0.6,0.3,10.4,-6,61,1,Carbon County,Wyoming
2020-04-20,10,10,-2,1,1,5,4,6,9,254,1014,14,0.4,0.3,11.6,-3,64,3,Carbon County,Wyoming
2020-04-21,13,13,0,5,5,6,7,9,7,246,1012,12,0.0,0.0,11.6,-5,46,3,Carbon County,Wyoming
2020-04-22,13,13,1,5,5,6,7,9,11,260,1013,16,0.0,0.0,11.6,-4,48,3,Carbon County,Wyoming
2020-04-23,9,9,2,1,1,5,5,6,19,270,1011,29,5.7,0.4,6.7,-1,64,2,Carbon County,Wyoming
2020-04-24,9,9,-2,0,0,4,4,4,11,289,1017,16,10.5,6.8,7.9,-3,66,1,Carbon County,Wyoming
2020-04-25,11,11,0,3,3,5,5,6,10,249,1020,13,1.0,0.4,6.9,-3,56,2,Carbon County,Wyoming
2020-04-26,13,13,4,5,5,5,8,10,13,240,1015,22,8.4,0.0,8.1,1,60,2,Carbon County,Wyoming
2020-04-27,17,17,3,8,8,6,10,12,14,252,1014,20,1.6,0.0,11.6,1,59,3,Carbon County,Wyoming
2020-04-28,13,13,3,6,6,6,9,10,15,291,1019,21,1.2,0.0,11.6,-2,53,3,Carbon County,Wyoming
2020-04-29,18,18,2,9,9,6,11,12,6,245,1021,9,0.0,0.0,11.6,-3,44,4,Carbon County,Wyoming
2020-04-30,22,22,8,14,14,6,16,17,12,248,1011,18,1.3,0.0,9.3,1,45,4,Carbon County,Wyoming
2020-05-01,18,18,6,11,11,5,12,14,8,273,1012,11,3.4,0.0,10.5,4,61,3,Carbon County,Wyoming
2020-05-02,15,15,5,8,8,4,9,11,7,233,1015,11,20.3,0.0,7.0,4,69,3,Carbon County,Wyoming
2020-05-03,17,17,5,9,9,6,11,12,11,233,1012,15,8.3,0.0,8.2,2,63,3,Carbon County,Wyoming
2020-05-04,10,10,3,3,3,4,7,7,15,276,1018,20,21.4,8.1,11.1,-2,62,2,Carbon County,Wyoming
2020-05-05,13,13,0,5,5,6,8,9,11,275,1023,15,0.0,0.0,13.4,-7,40,2,Carbon County,Wyoming
2020-05-06,18,18,1,9,9,6,11,12,10,228,1019,14,0.1,0.0,14.5,-3,43,4,Carbon County,Wyoming
2020-05-07,9,9,-1,1,1,6,6,5,17,292,1019,24,0.2,0.1,14.5,-6,48,3,Carbon County,Wyoming
2020-05-08,13,13,-3,4,4,5,6,8,7,251,1023,11,0.1,0.1,14.5,-5,53,3,Carbon County,Wyoming
2020-05-09,9,9,0,2,2,5,5,6,8,345,1023,11,1.2,0.6,12.4,-2,65,2,Carbon County,Wyoming
2020-05-10,14,14,-2,6,6,6,7,8,5,264,1022,7,0.0,0.0,14.5,-4,50,3,Carbon County,Wyoming
2020-05-11,16,16,1,8,8,5,9,11,7,253,1013,12,13.0,0.0,10.2,1,61,3,Carbon County,Wyoming
2020-05-12,19,19,5,11,11,5,13,14,14,223,1005,18,6.1,0.0,13.4,2,55,4,Carbon County,Wyoming
2020-05-13,14,14,6,7,7,6,9,10,13,269,1005,19,2.3,0.0,11.3,1,54,3,Carbon County,Wyoming
2020-05-14,14,14,2,6,6,6,9,10,11,262,1011,15,0.6,0.0,14.5,-1,53,4,Carbon County,Wyoming
2020-05-15,12,12,3,4,4,5,7,8,12,261,1011,16,12.1,7.1,10.3,2,74,2,Carbon County,Wyoming
2020-05-16,15,15,0,7,7,6,9,10,8,236,1013,12,0.0,0.0,14.5,-2,51,4,Carbon County,Wyoming
2020-05-17,22,22,6,14,14,6,15,17,13,218,1010,18,0.0,0.0,14.5,3,50,5,Carbon County,Wyoming
2020-05-18,22,22,10,16,16,6,18,19,14,215,1009,22,0.0,0.0,14.5,0,36,5,Carbon County,Wyoming
2020-05-19,24,24,10,16,16,6,17,19,12,194,1007,19,0.0,0.0,14.5,-1,31,5,Carbon County,Wyoming
2020-05-20,15,15,8,10,10,6,12,13,15,229,1006,22,0.0,0.0,14.5,-2,39,4,Carbon County,Wyoming
2020-05-21,14,14,1,6,6,6,9,10,14,245,1011,20,0.0,0.0,14.5,-3,47,4,Carbon County,Wyoming
2020-05-22,19,19,3,10,10,6,12,14,13,212,1008,19,0.0,0.0,14.5,-4,36,4,Carbon County,Wyoming
2020-05-23,14,14,6,8,8,6,10,11,14,255,1006,20,0.0,0.0,14.5,-4,37,4,Carbon County,Wyoming
2020-05-24,11,11,-1,3,3,5,6,6,7,245,1015,10,1.0,0.7,11.4,-3,58,2,Carbon County,Wyoming
2020-05-25,15,15,-1,6,6,6,8,9,4,293,1017,6,0.0,0.0,14.5,-4,49,3,Carbon County,Wyoming
2020-05-26,18,18,3,10,10,6,11,13,10,255,1014,15,0.1,0.0,14.5,1,50,4,Carbon County,Wyoming
2020-05-27,20,20,6,13,13,6,14,16,9,263,1015,13,1.1,0.0,12.4,5,60,4,Carbon County,Wyoming
2020-05-28,22,22,6,14,14,6,15,17,4,92,1020,6,0.2,0.0,12.4,5,61,4,Carbon County,Wyoming
2020-05-29,26,26,9,18,18,6,18,20,11,253,1017,17,0.0,0.0,14.5,4,45,6,Carbon County,Wyoming
2020-05-30,26,26,12,19,19,6,20,22,8,236,1015,12,0.7,0.0,14.5,6,46,6,Carbon County,Wyoming
2020-05-31,24,24,11,17,17,6,18,20,11,214,1013,16,2.2,0.0,12.4,7,53,4,Carbon County,Wyoming
2020-06-01,26,26,11,19,19,6,20,22,13,242,1013,18,0.4,0.0,14.5,4,41,6,Carbon County,Wyoming
2020-06-02,26,26,11,19,19,6,19,21,7,249,1015,11,0.0,0.0,14.5,1,32,6,Carbon County,Wyoming
2020-06-03,24,24,10,17,17,6,18,19,12,259,1015,16,0.0,0.0,14.5,2,39,5,Carbon County,Wyoming
2020-06-04,25,25,9,17,17,6,18,20,15,261,1011,21,0.0,0.0,13.5,3,40,5,Carbon County,Wyoming
2020-06-05,27,27,10,19,19,6,19,22,11,216,1011,17,0.3,0.0,13.5,3,37,6,Carbon County,Wyoming
2020-06-06,17,17,11,13,13,5,14,15,18,210,1006,23,18.1,0.0,11.4,7,59,3,Carbon County,Wyoming
2020-06-07,20,20,6,12,12,6,13,14,16,221,1002,20,0.1,0.0,13.5,1,50,3,Carbon County,Wyoming
2020-06-08,9,9,3,4,4,5,6,6,11,284,1010,14,1.3,0.0,10.4,-2,57,2,Carbon County,Wyoming
2020-06-09,13,13,1,4,4,5,7,8,15,292,1017,20,1.7,0.7,11.5,-2,56,2,Carbon County,Wyoming
2020-06-10,18,18,2,9,9,6,11,13,14,267,1020,21,0.0,0.0,14.5,1,53,4,Carbon County,Wyoming
2020-06-11,22,22,5,13,13,6,15,16,9,242,1023,13,0.0,0.0,14.5,0,44,5,Carbon County,Wyoming
2020-06-12,26,26,8,17,17,6,17,20,7,218,1020,11,0.0,0.0,14.5,-1,32,6,Carbon County,Wyoming
2020-06-13,25,25,14,19,19,6,20,22,15,202,1011,23,0.0,0.0,14.5,3,35,6,Carbon County,Wyoming
2020-06-14,22,22,9,15,15,6,17,18,18,229,1009,27,0.0,0.0,14.5,1,41,5,Carbon County,Wyoming
