date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,-5,2,2,6,4,6,4,248,1024,7,0.0,0.0,11.6,-5,58,3,Carter County,Tennessee
2020-03-02,14,14,2,5,5,5,6,9,4,186,1017,7,1.8,0.0,7.3,3,80,2,Carter County,Tennessee
2020-03-03,14,14,4,8,8,4,9,12,6,220,1009,10,8.7,0.0,7.3,8,90,3,Carter County,Tennessee
2020-03-04,14,14,1,6,6,5,8,10,5,243,1016,8,0.2,0.0,11.6,1,69,3,Carter County,Tennessee
2020-03-05,15,15,5,9,9,6,9,11,3,150,1018,4,0.1,0.0,10.2,4,74,3,Carter County,Tennessee
2020-03-06,3,3,-2,-3,-3,2,2,2,12,295,1019,16,9.0,4.1,5.9,0,88,1,Carter County,Tennessee
2020-03-07,8,8,-5,-1,-1,4,2,2,5,336,1032,7,4.2,3.7,8.8,-4,74,1,Carter County,Tennessee
2020-03-08,16,16,0,8,8,6,9,11,3,266,1033,5,0.0,0.0,11.6,-2,56,3,Carter County,Tennessee
2020-03-09,18,18,4,11,11,6,12,13,3,216,1031,5,0.0,0.0,11.6,1,58,4,Carter County,Tennessee
2020-03-10,17,17,9,11,11,6,11,13,5,231,1023,9,4.1,0.0,5.9,9,87,3,Carter County,Tennessee
2020-03-11,17,17,7,12,12,6,12,14,4,268,1018,6,3.3,0.0,5.9,9,87,3,Carter County,Tennessee
2020-03-12,20,20,7,14,14,6,14,16,4,183,1014,7,0.1,0.0,11.6,9,76,5,Carter County,Tennessee
2020-03-13,15,15,9,12,12,5,13,14,7,284,1018,11,8.8,0.0,8.8,10,84,3,Carter County,Tennessee
2020-03-14,12,12,7,8,8,5,9,10,3,123,1028,4,3.7,0.0,6.0,5,78,2,Carter County,Tennessee
2020-03-15,14,14,8,10,10,5,11,11,3,226,1027,3,3.4,0.0,6.0,9,90,3,Carter County,Tennessee
2020-03-16,14,14,6,9,9,4,9,10,3,202,1027,5,2.3,0.0,6.0,7,83,3,Carter County,Tennessee
