date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,-2,-4,-4,6,0,0,10,281,1007,19,0.0,0.0,11.5,-1,92,2,Carver County,Minnesota
2020-03-02,-2,-2,-9,-10,-10,6,-5,-6,9,241,1010,16,0.0,0.0,10.1,-6,90,2,Carver County,Minnesota
2020-03-03,1,1,-3,-6,-6,6,-1,0,12,284,1003,20,0.0,0.0,7.2,-3,89,1,Carver County,Minnesota
2020-03-04,1,1,-8,-8,-8,5,-3,-3,8,207,1013,14,0.1,0.0,10.2,-4,91,1,Carver County,Minnesota
2020-03-05,1,1,-2,-5,-5,4,0,0,16,298,1014,27,0.8,0.0,7.3,-1,87,1,Carver County,Minnesota
2020-03-06,-1,-1,-9,-9,-9,6,-5,-4,7,125,1032,13,0.0,0.0,11.6,-6,87,2,Carver County,Minnesota
2020-03-07,6,6,-3,-3,-3,6,2,3,12,178,1019,24,0.0,0.0,10.2,-1,82,1,Carver County,Minnesota
2020-03-08,12,12,5,4,4,6,7,8,12,193,1009,24,0.0,0.0,11.6,4,79,3,Carver County,Minnesota
2020-03-09,1,1,-2,-5,-5,6,0,-1,11,338,1018,15,0.0,0.0,7.3,-2,86,1,Carver County,Minnesota
2020-03-10,4,4,-4,-3,-3,5,-1,0,4,251,1024,6,1.9,0.0,5.9,-3,82,1,Carver County,Minnesota
2020-03-11,5,5,0,0,0,4,2,2,7,184,1014,12,2.0,2.2,7.3,1,91,1,Carver County,Minnesota
2020-03-12,4,4,-1,-1,-1,4,3,4,14,319,1006,21,2.5,0.0,7.3,0,84,1,Carver County,Minnesota
2020-03-13,-1,-1,-4,-9,-9,6,-3,-2,14,307,1026,19,0.0,0.0,10.2,-9,61,2,Carver County,Minnesota
2020-03-14,0,0,-6,-8,-8,6,-3,-3,8,39,1038,11,0.0,0.0,8.8,-9,67,1,Carver County,Minnesota
2020-03-15,4,4,-4,-4,-4,6,-1,0,6,144,1037,10,0.0,0.0,8.8,-6,69,1,Carver County,Minnesota
2020-03-16,3,3,-3,-4,-4,4,0,1,10,258,1024,14,0.9,0.7,6.0,-2,83,1,Carver County,Minnesota
2020-03-17,5,5,-3,-3,-3,6,1,1,7,283,1025,11,0.0,0.0,11.6,-6,60,2,Carver County,Minnesota
2020-03-18,6,6,0,0,0,6,4,4,8,120,1018,12,0.0,0.0,6.0,1,83,1,Carver County,Minnesota
2020-03-19,4,4,1,-1,-1,3,3,4,11,22,1014,16,17.5,0.0,6.0,2,93,1,Carver County,Minnesota
2020-03-20,-1,-1,-7,-11,-11,6,-4,-5,15,339,1032,19,0.0,0.0,10.2,-11,60,2,Carver County,Minnesota
2020-03-21,2,2,-5,-6,-6,5,-2,-1,10,151,1034,13,0.2,0.0,8.8,-8,62,1,Carver County,Minnesota
2020-03-22,7,7,-1,-3,-3,5,2,3,15,167,1023,20,0.6,0.6,10.2,-2,75,1,Carver County,Minnesota
2020-03-23,9,9,2,3,3,5,5,5,6,279,1020,9,1.1,0.0,10.2,0,73,1,Carver County,Minnesota
2020-03-24,10,10,3,3,3,6,6,7,11,169,1014,17,0.0,0.0,6.1,3,79,2,Carver County,Minnesota
2020-03-25,7,7,-4,2,2,4,5,5,8,214,1010,12,22.3,0.0,6.1,3,88,2,Carver County,Minnesota
2020-03-26,8,8,0,3,3,5,4,4,4,104,1013,5,0.1,0.0,7.5,0,77,1,Carver County,Minnesota
2020-03-27,13,13,2,6,6,6,8,8,5,118,1011,8,1.1,0.0,11.6,3,73,3,Carver County,Minnesota
2020-03-28,7,7,4,3,3,5,7,7,16,60,1004,23,26.6,0.0,6.2,5,88,2,Carver County,Minnesota
2020-03-29,7,7,3,0,0,5,5,5,18,338,1006,26,17.9,0.0,6.2,2,84,1,Carver County,Minnesota
2020-03-30,12,12,1,4,4,5,6,8,6,45,1023,9,0.0,0.0,10.3,1,72,2,Carver County,Minnesota
2020-03-31,11,11,0,3,3,6,5,6,7,105,1020,11,0.0,0.0,10.3,-1,66,2,Carver County,Minnesota
2020-04-01,12,12,2,4,4,6,7,8,12,134,1015,17,0.0,0.0,9.0,2,70,2,Carver County,Minnesota
2020-04-02,12,12,6,6,6,3,9,9,11,146,1013,17,2.7,0.0,6.5,6,81,2,Carver County,Minnesota
2020-04-03,1,1,-4,-7,-7,4,-2,-2,13,307,1022,16,4.2,1.3,7.8,-5,75,1,Carver County,Minnesota
2020-04-04,9,9,-5,-2,-2,6,1,2,6,153,1025,8,0.0,0.0,11.6,-10,44,2,Carver County,Minnesota
2020-04-05,13,13,-1,3,3,6,6,7,10,178,1019,15,0.0,0.0,11.6,-2,58,3,Carver County,Minnesota
2020-04-06,13,13,6,7,7,6,9,10,10,154,1012,14,0.0,0.0,6.5,6,81,2,Carver County,Minnesota
2020-04-07,19,19,11,13,13,6,14,15,9,322,1005,13,3.0,0.0,10.3,8,72,4,Carver County,Minnesota
2020-04-08,11,11,4,6,6,6,9,9,12,312,1009,16,0.3,0.0,9.1,0,54,2,Carver County,Minnesota
2020-04-09,5,5,0,-3,-3,5,2,3,16,322,1014,21,0.6,0.2,7.8,-6,54,1,Carver County,Minnesota
2020-04-10,8,8,-2,0,0,6,3,4,7,254,1017,10,0.0,0.0,7.8,-6,54,1,Carver County,Minnesota
2020-04-11,12,12,2,5,5,6,7,9,8,49,1009,11,0.0,0.0,9.1,-2,55,2,Carver County,Minnesota
2020-04-12,0,0,-2,-6,-6,2,0,-1,17,7,1012,22,8.7,0.9,6.6,-3,80,1,Carver County,Minnesota
2020-04-13,0,0,-8,-10,-10,5,-4,-3,12,275,1016,20,3.0,1.9,9.1,-8,73,1,Carver County,Minnesota
2020-04-14,0,0,-8,-10,-10,5,-5,-3,9,267,1021,14,0.8,0.6,6.8,-10,69,1,Carver County,Minnesota
2020-04-15,2,2,-8,-8,-8,6,-3,-2,7,303,1022,10,0.0,0.0,11.6,-11,56,2,Carver County,Minnesota
2020-04-16,6,6,-5,-4,-4,6,0,2,8,269,1024,13,0.0,0.0,11.6,-8,58,2,Carver County,Minnesota
2020-04-17,8,8,-2,0,0,6,3,4,8,290,1018,12,0.0,0.0,11.6,-5,59,2,Carver County,Minnesota
2020-04-18,14,14,1,3,3,6,7,8,13,269,1006,20,0.1,0.0,6.9,2,70,2,Carver County,Minnesota
2020-04-19,9,9,0,2,2,6,5,5,8,322,1012,12,0.0,0.0,11.6,-4,57,3,Carver County,Minnesota
2020-04-20,11,11,3,4,4,6,8,9,15,295,1005,23,1.9,0.0,6.9,1,65,2,Carver County,Minnesota
2020-04-21,9,9,-2,0,0,6,3,4,7,308,1015,10,0.1,0.0,11.6,-6,53,2,Carver County,Minnesota
2020-04-22,19,19,3,8,8,5,10,12,9,85,1007,14,2.5,0.0,11.6,6,76,4,Carver County,Minnesota
2020-04-23,15,15,4,8,8,6,9,10,7,87,1006,10,0.1,0.0,10.4,5,76,3,Carver County,Minnesota
2020-04-24,16,16,7,10,10,5,11,12,5,83,1011,7,6.6,0.0,8.1,6,73,3,Carver County,Minnesota
2020-04-25,19,19,8,13,13,5,13,15,3,77,1015,6,1.4,0.0,11.6,6,63,4,Carver County,Minnesota
2020-04-26,18,18,7,11,11,5,12,14,8,164,1017,14,7.4,0.0,9.3,7,71,3,Carver County,Minnesota
2020-04-27,20,20,11,15,15,6,16,16,9,322,1011,14,1.5,0.0,11.6,7,61,5,Carver County,Minnesota
2020-04-28,11,11,7,8,8,5,10,10,13,247,1006,19,37.1,0.0,7.0,7,80,3,Carver County,Minnesota
2020-04-29,15,15,5,7,7,6,10,10,15,6,1014,20,0.0,0.0,10.5,5,76,3,Carver County,Minnesota
2020-04-30,18,18,4,10,10,6,12,12,6,346,1015,10,0.0,0.0,11.6,3,59,4,Carver County,Minnesota
2020-05-01,16,16,8,10,10,6,13,14,11,150,1008,20,1.0,0.0,8.2,8,69,3,Carver County,Minnesota
2020-05-02,20,20,12,15,15,6,16,17,12,299,1011,19,0.0,0.0,11.6,8,63,5,Carver County,Minnesota
2020-05-03,16,16,7,10,10,6,12,12,9,331,1017,14,0.0,0.0,11.6,4,61,4,Carver County,Minnesota
2020-05-04,14,14,4,6,6,6,9,10,10,111,1019,15,0.0,0.0,14.3,3,64,3,Carver County,Minnesota
2020-05-05,14,14,7,8,8,4,10,10,7,67,1017,10,0.8,0.0,10.2,2,61,3,Carver County,Minnesota
2020-05-06,16,16,6,9,9,6,11,13,10,319,1021,16,2.6,0.0,10.3,5,69,3,Carver County,Minnesota
2020-05-07,13,13,5,6,6,6,8,10,9,225,1018,14,0.0,0.0,14.5,-1,53,3,Carver County,Minnesota
2020-05-08,8,8,-1,0,0,6,4,4,11,347,1024,15,0.0,0.0,14.5,-8,43,2,Carver County,Minnesota
2020-05-09,12,12,1,4,4,4,6,9,6,148,1019,9,1.0,0.0,10.3,0,65,2,Carver County,Minnesota
2020-05-10,6,6,2,0,0,5,4,5,14,337,1023,19,1.6,0.4,9.3,0,73,1,Carver County,Minnesota
2020-05-11,11,11,0,3,3,6,6,7,9,324,1025,13,0.0,0.0,14.5,-2,61,3,Carver County,Minnesota
2020-05-12,14,14,-1,5,5,6,7,9,4,180,1024,7,0.0,0.0,14.5,-4,48,3,Carver County,Minnesota
2020-05-13,14,14,5,7,7,4,9,10,11,154,1016,17,4.0,0.0,10.3,5,76,3,Carver County,Minnesota
2020-05-14,20,20,10,14,14,3,15,16,6,188,1007,9,1.3,0.0,10.3,12,84,4,Carver County,Minnesota
2020-05-15,18,18,7,12,12,5,13,14,6,42,1015,10,0.0,0.0,10.4,7,71,4,Carver County,Minnesota
2020-05-16,13,13,10,11,11,4,12,13,5,170,1013,7,3.9,0.0,9.3,10,88,3,Carver County,Minnesota
2020-05-17,21,21,9,15,15,3,16,17,6,221,1016,10,0.4,0.0,14.5,10,79,5,Carver County,Minnesota
2020-05-18,15,15,8,9,9,6,12,12,13,57,1018,19,0.0,0.0,11.4,8,80,3,Carver County,Minnesota
