date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,2,5,5,5,9,10,14,205,1011,23,6.5,0.0,8.6,6,83,2,Cass County,Illinois
2020-03-02,9,9,3,4,4,5,6,6,7,342,1009,10,11.6,0.0,10.1,2,73,2,Cass County,Illinois
2020-03-03,12,12,2,4,4,6,7,8,11,280,1007,17,0.0,0.0,11.3,0,62,3,Cass County,Illinois
2020-03-04,10,10,5,4,4,6,7,7,9,324,1015,15,0.0,0.0,11.3,0,62,2,Cass County,Illinois
2020-03-05,12,12,4,4,4,6,7,9,14,268,1018,22,0.0,0.0,11.3,0,60,3,Cass County,Illinois
2020-03-06,7,7,-1,-2,-2,5,3,3,14,335,1030,19,0.1,0.0,11.3,-5,59,2,Cass County,Illinois
2020-03-07,12,12,0,2,2,6,5,7,12,180,1031,19,0.0,0.0,11.6,-2,58,3,Cass County,Illinois
2020-03-08,17,17,6,8,8,6,11,11,16,194,1023,25,0.0,0.0,11.6,3,58,4,Cass County,Illinois
2020-03-09,13,13,7,9,9,4,12,12,18,185,1016,29,24.8,0.0,5.9,9,82,3,Cass County,Illinois
2020-03-10,10,10,4,4,4,5,7,7,8,321,1022,11,10.4,0.0,7.3,3,79,2,Cass County,Illinois
2020-03-11,15,15,3,7,7,6,8,10,5,255,1017,8,0.0,0.0,11.6,4,78,3,Cass County,Illinois
2020-03-12,14,14,7,8,8,5,10,12,11,112,1008,17,9.0,0.0,5.9,9,91,3,Cass County,Illinois
2020-03-13,9,9,1,3,3,6,6,6,9,327,1026,13,0.0,0.0,10.2,-2,60,2,Cass County,Illinois
2020-03-14,2,2,1,-2,-2,2,2,2,11,61,1032,16,5.4,3.7,6.0,0,86,1,Cass County,Illinois
2020-03-15,5,5,-2,-1,-1,6,2,2,8,60,1035,12,0.0,0.0,6.0,-1,81,1,Cass County,Illinois
2020-03-16,6,6,3,2,2,6,4,4,4,216,1027,6,0.9,0.0,6.0,2,86,1,Cass County,Illinois
2020-03-17,11,11,2,4,4,6,6,7,5,26,1026,8,0.0,0.0,11.6,1,73,3,Cass County,Illinois
2020-03-18,8,8,6,5,5,5,7,7,6,103,1019,11,20.8,0.0,6.0,5,90,2,Cass County,Illinois
2020-03-19,21,21,7,13,13,5,14,15,14,177,1011,24,7.0,0.0,6.0,12,90,4,Cass County,Illinois
2020-03-20,7,7,2,4,4,6,7,5,15,338,1022,21,1.5,0.0,7.4,3,76,2,Cass County,Illinois
2020-03-21,6,6,-2,-1,-1,5,2,3,6,65,1034,9,0.1,0.0,11.6,-4,65,2,Cass County,Illinois
2020-03-22,1,1,-7,-4,-4,4,-1,1,9,123,1028,13,5.2,3.7,6.1,-2,87,1,Cass County,Illinois
2020-03-23,8,8,1,3,3,3,4,4,3,161,1023,4,0.0,0.0,7.6,2,90,1,Cass County,Illinois
2020-03-24,7,7,1,2,2,5,5,5,6,90,1017,10,0.2,0.0,7.6,3,87,2,Cass County,Illinois
2020-03-25,16,16,3,8,8,4,9,11,8,189,1013,13,0.0,0.0,11.6,6,81,4,Cass County,Illinois
2020-03-26,17,17,8,11,11,5,12,13,8,160,1008,12,0.1,0.0,6.3,10,88,3,Cass County,Illinois
2020-03-27,15,15,9,11,11,5,12,13,10,79,1008,15,11.4,0.0,6.3,11,93,3,Cass County,Illinois
2020-03-28,25,25,16,19,19,5,19,21,13,202,1001,23,25.6,0.0,6.4,16,83,5,Cass County,Illinois
2020-03-29,15,15,8,8,8,6,11,12,20,266,1009,29,0.9,0.0,10.3,4,62,3,Cass County,Illinois
2020-03-30,15,15,5,8,8,6,10,11,8,314,1021,13,0.0,0.0,11.6,4,67,4,Cass County,Illinois
2020-03-31,10,10,6,6,6,6,8,8,7,38,1017,11,0.1,0.0,7.7,4,76,2,Cass County,Illinois
2020-04-01,14,14,2,6,6,6,7,8,6,128,1018,9,0.0,0.0,11.6,2,71,3,Cass County,Illinois
2020-04-02,17,17,7,10,10,6,11,13,11,150,1018,17,0.0,0.0,9.0,6,71,3,Cass County,Illinois
2020-04-03,17,17,5,11,11,3,12,13,11,173,1017,16,24.5,0.0,6.4,9,86,3,Cass County,Illinois
2020-04-04,12,12,2,3,3,5,6,7,10,236,1021,13,3.9,0.0,10.3,2,75,3,Cass County,Illinois
2020-04-05,15,15,5,8,8,6,10,11,5,104,1021,8,0.0,0.0,11.6,4,69,4,Cass County,Illinois
2020-04-06,21,21,7,13,13,6,14,15,8,186,1016,13,0.3,0.0,6.5,10,80,3,Cass County,Illinois
2020-04-07,21,21,15,18,18,5,19,19,11,227,1008,17,4.2,0.0,6.5,16,87,4,Cass County,Illinois
2020-04-08,26,26,15,20,20,4,21,21,11,174,1006,16,3.5,0.0,11.6,13,76,5,Cass County,Illinois
2020-04-09,12,12,3,4,4,6,8,9,15,297,1013,21,0.0,0.0,9.1,-1,56,2,Cass County,Illinois
2020-04-10,11,11,-1,2,2,6,5,6,9,293,1019,13,0.0,0.0,11.6,-4,54,3,Cass County,Illinois
2020-04-11,16,16,5,8,8,6,10,12,12,183,1011,17,0.4,0.0,7.8,4,64,3,Cass County,Illinois
2020-04-12,20,20,12,14,14,5,15,16,15,174,1001,22,7.1,0.0,6.6,11,84,4,Cass County,Illinois
2020-04-13,6,6,1,-1,-1,5,3,4,17,308,1015,22,5.9,0.0,11.6,-3,62,2,Cass County,Illinois
2020-04-14,7,7,-1,0,0,6,3,4,9,277,1024,13,0.1,0.0,6.6,-6,51,1,Cass County,Illinois
2020-04-15,6,6,1,-1,-1,5,3,4,9,218,1020,13,2.1,1.3,9.1,-4,64,1,Cass County,Illinois
2020-04-16,5,5,0,1,1,4,3,3,6,90,1025,9,13.5,0.9,6.6,-1,78,1,Cass County,Illinois
2020-04-17,4,4,-3,0,0,4,4,4,11,236,1018,15,24.4,0.0,6.6,2,87,1,Cass County,Illinois
2020-04-18,14,14,-1,4,4,6,7,8,11,215,1016,17,0.0,0.0,11.6,1,70,3,Cass County,Illinois
2020-04-19,16,16,6,9,9,6,10,12,9,110,1010,15,0.1,0.0,9.1,5,70,3,Cass County,Illinois
2020-04-20,15,15,5,8,8,6,9,11,7,279,1009,12,3.0,0.0,7.9,5,72,3,Cass County,Illinois
2020-04-21,14,14,4,8,8,6,10,10,8,314,1015,12,0.3,0.0,11.6,3,65,3,Cass County,Illinois
2020-04-22,20,20,8,12,12,5,14,16,12,210,1012,18,0.7,0.0,10.4,8,70,5,Cass County,Illinois
