date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,7,7,-6,-4,-4,6,1,2,13,194,1014,22,0.0,0.0,11.2,-1,84,2,Cass County,Michigan
2020-03-02,4,4,-3,0,0,5,3,3,8,304,1008,12,8.4,0.0,8.6,1,88,1,Cass County,Michigan
2020-03-03,8,8,1,0,0,6,3,5,11,264,1004,16,0.1,0.0,8.6,-1,74,1,Cass County,Michigan
2020-03-04,3,3,-5,-3,-3,4,1,2,9,301,1013,14,1.2,0.3,8.6,-3,78,1,Cass County,Michigan
2020-03-05,9,9,0,0,0,5,3,5,11,205,1015,16,0.4,0.0,10.1,-3,66,2,Cass County,Michigan
2020-03-06,2,2,-2,-5,-5,4,1,1,15,335,1022,21,0.8,0.2,7.1,-2,83,1,Cass County,Michigan
2020-03-07,8,8,-3,-1,-1,6,2,3,8,198,1032,12,0.0,0.0,11.3,-5,63,2,Cass County,Michigan
2020-03-08,13,13,1,3,3,6,7,8,16,205,1024,26,0.0,0.0,11.4,-1,56,3,Cass County,Michigan
2020-03-09,14,14,9,8,8,6,11,12,17,208,1018,27,2.6,0.0,7.2,7,74,3,Cass County,Michigan
2020-03-10,5,5,1,1,1,6,5,4,12,319,1019,17,1.1,0.0,8.7,2,83,1,Cass County,Michigan
2020-03-11,8,8,1,3,3,6,4,6,5,239,1018,7,0.0,0.0,7.2,1,78,2,Cass County,Michigan
2020-03-12,14,14,2,5,5,6,8,9,9,178,1009,15,0.2,0.0,10.1,5,83,2,Cass County,Michigan
2020-03-13,6,6,0,-2,-2,6,3,3,16,280,1019,23,0.0,0.0,11.6,-4,60,2,Cass County,Michigan
2020-03-14,5,5,-1,-1,-1,5,2,3,6,142,1033,9,0.5,0.2,7.4,-4,68,1,Cass County,Michigan
2020-03-15,6,6,-3,-2,-2,5,1,2,8,62,1036,11,0.2,0.3,11.6,-4,72,2,Cass County,Michigan
2020-03-16,6,6,-1,-1,-1,5,2,3,7,210,1027,11,0.0,0.0,7.4,-2,77,1,Cass County,Michigan
2020-03-17,6,6,0,-1,-1,6,3,4,8,304,1024,11,0.0,0.0,11.6,-3,68,2,Cass County,Michigan
2020-03-18,9,9,1,1,1,5,4,6,8,146,1023,11,5.2,0.0,6.0,0,76,2,Cass County,Michigan
2020-03-19,11,11,3,4,4,5,7,8,12,138,1015,20,9.7,0.0,6.0,7,94,2,Cass County,Michigan
2020-03-20,6,6,-3,0,0,5,5,3,17,330,1018,24,0.6,0.1,6.1,2,81,1,Cass County,Michigan
2020-03-21,4,4,-4,-4,-4,6,-1,1,7,46,1035,9,0.0,0.0,11.6,-10,53,2,Cass County,Michigan
2020-03-22,4,4,-3,-4,-4,4,0,1,8,134,1031,11,3.3,1.2,8.8,-6,68,1,Cass County,Michigan
2020-03-23,5,5,-1,-2,-2,3,1,2,5,325,1022,7,1.3,2.1,6.3,0,93,1,Cass County,Michigan
2020-03-24,10,10,-1,1,1,5,3,5,6,114,1020,9,0.0,0.0,11.6,1,83,3,Cass County,Michigan
2020-03-25,14,14,0,5,5,6,7,8,6,225,1014,10,0.0,0.0,11.6,2,75,3,Cass County,Michigan
2020-03-26,13,13,7,8,8,4,10,11,6,183,1010,10,1.2,0.0,6.3,8,87,3,Cass County,Michigan
