date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,5,6,6,6,9,9,11,205,1008,18,0.0,0.0,11.6,2,63,3,Cass County,Nebraska
2020-03-02,9,9,0,1,1,6,4,4,8,290,1012,12,0.0,0.0,11.6,-3,61,2,Cass County,Nebraska
2020-03-03,13,13,3,5,5,6,8,8,13,288,1007,21,0.0,0.0,11.6,-1,52,3,Cass County,Nebraska
2020-03-04,14,14,3,7,7,6,9,9,10,276,1015,16,0.0,0.0,11.6,0,58,3,Cass County,Nebraska
2020-03-05,11,11,4,4,4,6,8,9,19,314,1021,27,0.0,0.0,11.6,-3,48,3,Cass County,Nebraska
2020-03-06,10,10,-2,1,1,6,4,4,9,221,1032,13,0.0,0.0,11.6,-4,57,2,Cass County,Nebraska
2020-03-07,18,18,5,9,9,6,11,12,17,192,1021,27,0.0,0.0,11.6,-1,44,4,Cass County,Nebraska
2020-03-08,19,19,9,12,12,6,14,14,17,191,1012,26,0.1,0.0,11.6,6,58,4,Cass County,Nebraska
2020-03-09,8,8,-3,3,3,4,7,6,13,230,1015,17,14.8,0.0,5.9,4,83,2,Cass County,Nebraska
2020-03-10,10,10,-1,2,2,6,4,5,6,153,1023,9,0.2,0.0,7.3,-2,68,1,Cass County,Nebraska
2020-03-11,17,17,3,9,9,6,10,10,7,241,1015,11,0.1,0.0,11.6,3,68,3,Cass County,Nebraska
2020-03-12,14,14,6,9,9,5,12,13,15,319,1009,23,2.6,0.0,8.8,5,64,3,Cass County,Nebraska
2020-03-13,8,8,1,2,2,5,5,5,6,21,1027,9,0.8,0.0,7.4,-5,50,2,Cass County,Nebraska
2020-03-14,3,3,1,-3,-3,2,1,1,11,86,1032,16,18.6,13.9,6.0,0,92,1,Cass County,Nebraska
2020-03-15,3,3,-1,-3,-3,6,1,1,8,133,1035,11,0.2,0.1,7.4,-2,80,1,Cass County,Nebraska
2020-03-16,6,6,-1,1,1,5,3,4,4,210,1025,6,0.0,0.0,7.4,1,86,1,Cass County,Nebraska
2020-03-17,10,10,0,2,2,6,5,5,8,120,1025,11,0.0,0.0,11.6,1,75,3,Cass County,Nebraska
2020-03-18,13,13,7,7,7,4,9,9,7,106,1014,10,4.2,0.0,6.0,8,92,2,Cass County,Nebraska
2020-03-19,21,21,10,14,14,5,16,17,11,175,1006,19,41.0,0.0,6.0,11,87,4,Cass County,Nebraska
2020-03-20,2,2,-5,-8,-8,5,-1,-2,18,352,1032,22,1.5,0.0,11.6,-8,61,2,Cass County,Nebraska
2020-03-21,7,7,-4,-2,-2,6,1,2,7,173,1032,10,0.0,0.0,11.6,-7,58,2,Cass County,Nebraska
2020-03-22,5,5,-1,-1,-1,6,3,3,9,142,1022,14,0.2,0.0,6.1,1,85,1,Cass County,Nebraska
2020-03-23,11,11,3,5,5,4,7,7,7,159,1019,10,0.0,0.0,6.1,5,87,2,Cass County,Nebraska
2020-03-24,12,12,4,6,6,6,8,8,10,146,1014,14,0.0,0.0,6.1,6,88,2,Cass County,Nebraska
2020-03-25,19,19,7,12,12,5,13,14,11,194,1008,15,0.9,0.0,8.9,9,82,3,Cass County,Nebraska
2020-03-26,11,11,6,6,6,6,8,8,10,39,1008,14,0.0,0.0,6.1,6,84,2,Cass County,Nebraska
2020-03-27,10,10,8,8,8,6,9,9,7,71,1006,9,0.1,0.0,6.1,7,88,2,Cass County,Nebraska
2020-03-28,19,19,7,10,10,5,12,13,16,159,998,22,14.2,0.0,6.2,6,81,3,Cass County,Nebraska
2020-03-29,16,16,4,7,7,5,10,11,15,303,1013,22,0.3,0.0,11.6,1,55,4,Cass County,Nebraska
2020-03-30,18,18,5,10,10,6,11,12,7,114,1021,12,0.0,0.0,11.6,2,52,4,Cass County,Nebraska
2020-03-31,17,17,7,12,12,6,12,13,7,170,1016,11,0.3,0.0,10.3,5,60,3,Cass County,Nebraska
2020-04-01,21,21,9,13,13,6,15,15,14,174,1011,20,0.0,0.0,11.6,8,68,5,Cass County,Nebraska
2020-04-02,14,14,12,12,12,4,14,14,14,157,1011,19,5.4,0.0,6.2,9,81,3,Cass County,Nebraska
2020-04-03,6,6,-2,-5,-5,5,1,1,15,343,1023,19,1.4,0.5,8.9,-5,68,1,Cass County,Nebraska
2020-04-04,10,10,-3,1,1,6,3,4,6,94,1024,9,0.0,0.0,11.6,-5,56,2,Cass County,Nebraska
2020-04-05,16,16,1,6,6,6,8,9,10,157,1018,15,0.0,0.0,11.6,3,71,3,Cass County,Nebraska
2020-04-06,19,19,10,13,13,4,14,14,12,180,1010,17,1.9,0.0,7.8,11,85,3,Cass County,Nebraska
2020-04-07,25,25,12,18,18,5,19,20,8,282,1006,12,0.3,0.0,11.6,11,67,6,Cass County,Nebraska
2020-04-08,19,19,9,15,15,6,15,17,11,325,1010,16,0.0,0.0,11.6,7,56,5,Cass County,Nebraska
2020-04-09,10,10,2,3,3,6,6,8,15,319,1019,21,0.0,0.0,11.6,-5,46,3,Cass County,Nebraska
2020-04-10,12,12,-2,2,2,6,5,6,8,207,1020,12,0.0,0.0,11.6,-6,47,2,Cass County,Nebraska
2020-04-11,18,18,6,9,9,6,11,13,9,153,1004,15,0.8,0.0,6.8,6,72,3,Cass County,Nebraska
2020-04-12,8,8,-2,-1,-1,5,4,4,21,354,1006,29,7.2,0.0,6.8,2,83,1,Cass County,Nebraska
2020-04-13,4,4,-4,-5,-5,6,0,1,14,304,1023,19,0.0,0.0,11.6,-10,49,2,Cass County,Nebraska
2020-04-14,7,7,-3,-2,-2,6,2,3,9,277,1023,13,0.3,0.0,8.0,-8,50,1,Cass County,Nebraska
2020-04-15,9,9,-3,2,2,6,4,4,6,203,1020,8,0.0,0.0,11.6,-5,57,1,Cass County,Nebraska
2020-04-16,3,3,-6,-4,-4,1,0,1,13,77,1024,18,27.9,22.7,6.8,0,93,1,Cass County,Nebraska
2020-04-17,3,3,-4,-4,-4,3,0,0,9,265,1022,14,5.9,6.0,10.4,-1,93,1,Cass County,Nebraska
2020-04-18,17,17,0,5,5,6,8,9,13,223,1011,21,0.0,0.0,11.6,3,72,3,Cass County,Nebraska
2020-04-19,16,16,7,10,10,6,12,12,7,45,1011,12,0.0,0.0,11.6,5,67,4,Cass County,Nebraska
2020-04-20,18,18,7,12,12,6,13,13,8,265,1010,12,0.0,0.0,10.4,5,61,3,Cass County,Nebraska
2020-04-21,19,19,7,13,13,6,13,14,7,220,1014,11,0.0,0.0,11.6,6,64,4,Cass County,Nebraska
2020-04-22,23,23,12,17,17,6,18,18,10,222,1008,16,3.1,0.0,10.4,10,67,4,Cass County,Nebraska
2020-04-23,23,23,11,17,17,6,18,19,7,330,1003,11,1.2,0.0,11.6,9,64,4,Cass County,Nebraska
2020-04-24,19,19,11,14,14,6,14,16,7,233,1009,10,2.8,0.0,6.9,10,77,4,Cass County,Nebraska
2020-04-25,18,18,8,13,13,5,14,14,7,109,1016,11,3.4,0.0,10.4,7,71,3,Cass County,Nebraska
2020-04-26,21,21,8,13,13,6,14,16,7,234,1018,11,0.5,0.0,11.6,7,65,5,Cass County,Nebraska
2020-04-27,25,25,12,17,17,6,18,19,10,242,1013,15,2.2,0.0,11.6,12,68,5,Cass County,Nebraska
2020-04-28,22,22,15,17,17,6,18,19,13,314,1008,19,1.5,0.0,11.6,11,71,5,Cass County,Nebraska
2020-04-29,17,17,10,12,12,6,13,14,17,347,1013,24,4.4,0.0,9.3,8,71,3,Cass County,Nebraska
2020-04-30,21,21,9,15,15,6,15,16,6,195,1015,11,0.0,0.0,11.6,7,63,5,Cass County,Nebraska
2020-05-01,26,26,13,18,18,6,20,20,10,207,1009,15,0.0,0.0,11.6,12,66,5,Cass County,Nebraska
2020-05-02,23,23,15,18,18,6,19,20,9,132,1014,14,0.0,0.0,11.6,11,63,5,Cass County,Nebraska
2020-05-03,21,21,13,15,15,6,16,16,6,69,1016,10,0.0,0.0,10.5,7,58,4,Cass County,Nebraska
2020-05-04,14,14,11,11,11,4,13,13,10,125,1013,15,16.6,0.0,7.0,10,81,3,Cass County,Nebraska
2020-05-05,17,17,8,11,11,5,13,13,15,326,1016,20,0.9,0.0,10.5,7,71,3,Cass County,Nebraska
2020-05-06,14,14,6,8,8,6,10,11,7,329,1024,11,0.5,0.0,8.2,5,74,3,Cass County,Nebraska
2020-05-07,14,14,7,8,8,4,10,11,7,145,1018,10,2.3,0.0,8.2,6,77,3,Cass County,Nebraska
2020-05-08,12,12,4,6,6,5,9,9,13,228,1023,18,17.4,0.0,11.6,2,65,3,Cass County,Nebraska
2020-05-09,15,15,5,9,9,6,10,12,10,236,1022,14,2.4,0.0,9.3,4,67,3,Cass County,Nebraska
2020-05-10,12,12,2,3,3,5,7,8,16,325,1026,22,0.6,0.0,11.6,0,65,3,Cass County,Nebraska
2020-05-11,11,11,2,5,5,6,7,8,6,330,1027,9,0.0,0.0,9.4,-1,60,2,Cass County,Nebraska
2020-05-12,14,14,4,8,8,6,10,11,7,135,1023,10,0.0,0.0,9.4,3,64,3,Cass County,Nebraska
2020-05-13,11,11,5,6,6,5,8,9,11,152,1014,15,0.0,0.0,7.1,8,91,2,Cass County,Nebraska
2020-05-14,23,23,15,19,19,6,21,20,7,239,1007,11,3.0,0.0,8.3,16,82,5,Cass County,Nebraska
2020-05-15,22,22,12,16,16,6,17,18,9,67,1013,13,0.0,0.0,11.6,10,68,5,Cass County,Nebraska
2020-05-16,22,22,15,18,18,5,18,19,9,345,1009,13,14.1,0.0,7.2,15,85,4,Cass County,Nebraska
2020-05-17,23,23,12,17,17,5,19,18,8,140,1016,11,0.3,0.0,10.5,12,77,4,Cass County,Nebraska
2020-05-18,17,17,10,12,12,6,13,14,12,239,1015,18,0.0,0.0,7.2,10,79,3,Cass County,Nebraska
2020-05-19,20,20,10,14,14,6,15,16,6,50,1015,8,0.0,0.0,8.3,11,81,4,Cass County,Nebraska
2020-05-20,21,21,13,17,17,5,17,17,9,118,1016,12,0.2,0.0,7.2,14,84,4,Cass County,Nebraska
2020-05-21,22,22,14,17,17,6,18,18,11,133,1013,15,0.1,0.0,7.2,14,84,4,Cass County,Nebraska
2020-05-22,21,21,15,17,17,4,18,18,11,138,1010,19,37.4,0.0,7.2,16,91,4,Cass County,Nebraska
2020-05-23,25,25,14,19,19,4,20,20,7,207,1008,11,14.5,0.0,11.2,16,84,4,Cass County,Nebraska
2020-05-24,28,28,19,23,25,5,25,24,12,171,1007,20,21.6,0.0,10.3,19,83,5,Cass County,Nebraska
2020-05-25,22,22,12,17,17,5,18,19,8,224,1011,12,7.7,0.0,10.3,16,91,4,Cass County,Nebraska
2020-05-26,21,21,15,18,18,4,19,19,10,156,1008,16,27.1,0.0,9.3,17,93,4,Cass County,Nebraska
2020-05-27,21,21,16,17,17,4,17,17,8,351,1011,11,0.6,0.0,9.3,16,91,4,Cass County,Nebraska
2020-05-28,25,25,16,20,20,6,21,21,13,352,1014,19,1.9,0.0,10.4,15,77,5,Cass County,Nebraska
2020-05-29,22,22,12,16,16,6,17,18,8,336,1021,12,0.0,0.0,14.5,11,69,5,Cass County,Nebraska
2020-05-30,19,19,13,15,15,6,16,16,6,102,1023,10,2.8,0.0,10.4,12,80,4,Cass County,Nebraska
2020-05-31,22,22,14,18,18,6,19,19,13,148,1021,18,0.6,0.0,9.3,15,81,4,Cass County,Nebraska
2020-06-01,29,29,19,24,25,6,25,25,17,204,1014,26,2.8,0.0,13.5,19,75,6,Cass County,Nebraska
2020-06-02,31,31,20,25,27,6,27,26,13,208,1011,20,1.8,0.0,14.5,20,75,7,Cass County,Nebraska
2020-06-03,30,30,19,24,25,5,25,25,7,44,1010,11,5.3,0.0,12.4,19,77,6,Cass County,Nebraska
2020-06-04,30,30,18,25,27,5,27,26,5,237,1006,8,13.0,0.0,13.5,20,77,7,Cass County,Nebraska
2020-06-05,32,32,22,26,29,5,29,28,8,42,1010,13,1.1,0.0,13.5,21,75,6,Cass County,Nebraska
2020-06-06,31,31,21,26,29,6,29,26,13,136,1012,20,2.8,0.0,11.4,22,82,6,Cass County,Nebraska
2020-06-07,31,31,22,27,30,6,30,28,16,173,1009,24,0.0,0.0,14.5,22,75,7,Cass County,Nebraska
2020-06-08,31,31,22,26,29,6,29,27,16,166,1006,23,0.0,0.0,14.5,21,73,7,Cass County,Nebraska
2020-06-09,29,29,21,24,27,5,27,26,10,103,999,18,22.9,0.0,11.4,20,82,6,Cass County,Nebraska
2020-06-10,22,22,14,16,16,4,18,17,20,329,1008,31,37.4,0.0,12.5,13,76,4,Cass County,Nebraska
2020-06-11,27,27,14,20,21,6,21,22,7,280,1020,12,0.0,0.0,14.5,13,61,6,Cass County,Nebraska
2020-06-12,29,29,17,23,24,6,24,25,7,93,1023,12,0.0,0.0,14.5,16,67,6,Cass County,Nebraska
2020-06-13,29,29,18,23,25,6,25,25,12,141,1019,18,2.3,0.0,14.5,19,76,7,Cass County,Nebraska
2020-06-14,30,30,19,25,26,6,26,26,16,168,1016,24,0.7,0.0,14.5,19,75,7,Cass County,Nebraska
2020-06-15,29,29,21,25,27,6,27,26,14,175,1018,21,0.0,0.0,14.5,20,72,7,Cass County,Nebraska
2020-06-16,30,30,21,25,27,6,27,26,15,165,1018,22,0.1,0.0,14.5,20,73,7,Cass County,Nebraska
2020-06-17,30,30,20,25,27,6,27,26,17,165,1013,24,0.0,0.0,14.5,20,76,7,Cass County,Nebraska
2020-06-18,28,28,21,24,27,4,27,26,13,176,1012,23,34.1,0.0,12.5,20,81,6,Cass County,Nebraska
2020-06-19,23,23,17,20,20,4,21,21,8,10,1014,13,44.1,0.0,11.6,18,90,5,Cass County,Nebraska
2020-06-20,24,24,16,20,20,6,20,20,5,312,1012,7,4.5,0.0,12.6,17,84,5,Cass County,Nebraska
2020-06-21,29,29,18,23,25,5,25,25,9,194,1008,16,16.1,0.0,11.6,19,82,5,Cass County,Nebraska
2020-06-22,26,26,17,21,22,5,22,22,8,335,1010,14,15.5,0.0,12.6,18,84,5,Cass County,Nebraska
