date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,-2,2,2,6,5,7,6,239,1025,11,0.0,0.0,11.6,-5,52,2,Caswell County,North Carolina
2020-03-02,16,16,4,8,8,6,10,12,10,213,1018,17,0.0,0.0,11.6,3,66,4,Caswell County,North Carolina
2020-03-03,18,18,9,12,12,5,13,15,11,221,1009,16,3.9,0.0,5.9,11,89,3,Caswell County,North Carolina
2020-03-04,16,16,6,10,10,6,11,12,7,251,1015,12,0.0,0.0,11.6,3,62,4,Caswell County,North Carolina
2020-03-05,12,12,7,8,8,5,9,9,5,98,1019,8,0.2,0.0,10.2,4,73,2,Caswell County,North Carolina
2020-03-06,12,12,4,5,5,5,8,10,11,303,1014,15,0.3,0.0,7.3,1,65,3,Caswell County,North Carolina
2020-03-07,11,11,0,3,3,6,7,7,9,339,1028,14,0.0,0.0,11.6,-4,53,3,Caswell County,North Carolina
2020-03-08,15,15,2,7,7,6,8,10,6,213,1034,9,0.0,0.0,11.6,-1,57,3,Caswell County,North Carolina
2020-03-09,18,18,4,9,9,6,11,13,9,224,1032,16,0.0,0.0,11.6,4,65,4,Caswell County,North Carolina
2020-03-10,18,18,13,14,14,5,15,16,12,221,1024,19,0.6,0.0,7.3,11,77,4,Caswell County,North Carolina
2020-03-11,22,22,11,16,16,5,17,18,5,212,1018,7,1.3,0.0,10.2,11,77,4,Caswell County,North Carolina
2020-03-12,20,20,11,14,14,4,15,16,5,108,1015,8,1.0,0.0,8.8,12,83,4,Caswell County,North Carolina
2020-03-13,22,22,14,18,18,5,19,20,10,289,1016,17,8.2,0.0,10.2,12,70,6,Caswell County,North Carolina
2020-03-14,13,13,6,8,8,6,10,11,5,98,1028,8,0.1,0.0,8.8,1,55,3,Caswell County,North Carolina
2020-03-15,12,12,7,8,8,5,9,10,8,49,1028,10,0.3,0.0,6.0,6,78,3,Caswell County,North Carolina
2020-03-16,13,13,6,8,8,5,9,10,4,106,1030,6,0.2,0.0,7.4,4,71,2,Caswell County,North Carolina
2020-03-17,13,13,8,10,10,4,11,11,5,236,1024,7,2.7,0.0,6.0,9,88,3,Caswell County,North Carolina
2020-03-18,16,16,8,10,10,5,11,11,6,89,1028,10,0.1,0.0,6.0,8,83,3,Caswell County,North Carolina
2020-03-19,24,24,15,19,19,4,20,21,9,225,1023,13,0.9,0.0,8.8,16,83,5,Caswell County,North Carolina
2020-03-20,26,26,18,22,22,5,22,24,12,228,1020,19,4.9,0.0,10.2,16,73,6,Caswell County,North Carolina
2020-03-21,16,16,10,13,13,3,14,14,6,50,1024,8,5.3,0.0,6.1,11,85,3,Caswell County,North Carolina
2020-03-22,12,12,8,8,8,5,10,10,8,74,1030,11,0.4,0.0,6.1,4,69,3,Caswell County,North Carolina
2020-03-23,11,11,6,7,7,3,8,9,5,261,1024,7,21.8,0.0,6.1,7,95,2,Caswell County,North Carolina
2020-03-24,16,16,7,10,10,4,11,13,4,66,1019,6,4.2,0.0,8.8,8,86,3,Caswell County,North Carolina
2020-03-25,15,15,7,9,9,4,11,12,8,12,1012,11,37.0,0.0,7.5,9,90,3,Caswell County,North Carolina
2020-03-26,17,17,4,10,10,4,10,12,6,203,1018,9,0.0,0.0,8.9,7,82,3,Caswell County,North Carolina
2020-03-27,26,26,12,18,18,5,19,21,6,236,1013,10,3.3,0.0,11.6,15,80,6,Caswell County,North Carolina
2020-03-28,26,26,16,20,20,4,21,22,5,191,1013,8,3.4,0.0,7.5,18,87,5,Caswell County,North Carolina
2020-03-29,28,28,20,23,24,6,24,24,9,233,1013,15,0.2,0.0,10.2,16,71,5,Caswell County,North Carolina
2020-03-30,22,22,14,17,17,6,18,18,8,276,1016,14,0.0,0.0,11.6,7,54,5,Caswell County,North Carolina
2020-03-31,13,13,7,8,8,5,10,10,6,78,1012,9,24.1,0.0,7.5,6,80,3,Caswell County,North Carolina
2020-04-01,12,12,6,6,6,4,8,9,8,224,1010,11,3.9,0.0,6.2,5,82,2,Caswell County,North Carolina
2020-04-02,15,15,5,7,7,6,9,11,9,321,1016,14,0.0,0.0,11.6,2,65,4,Caswell County,North Carolina
2020-04-03,19,19,6,11,11,6,13,14,10,323,1014,17,0.0,0.0,11.6,2,55,4,Caswell County,North Carolina
2020-04-04,19,19,7,13,13,6,14,15,5,23,1016,9,0.0,0.0,11.6,5,66,5,Caswell County,North Carolina
2020-04-05,20,20,7,14,14,4,14,16,3,226,1019,5,3.8,0.0,9.0,9,79,4,Caswell County,North Carolina
2020-04-06,24,24,12,17,17,5,18,20,3,319,1017,5,8.6,0.0,9.0,12,78,4,Caswell County,North Carolina
2020-04-07,25,25,13,19,19,6,19,21,5,234,1013,8,0.8,0.0,11.6,13,73,6,Caswell County,North Carolina
2020-04-08,27,27,15,21,22,6,22,23,8,257,1005,13,0.1,0.0,11.6,15,72,5,Caswell County,North Carolina
2020-04-09,23,23,12,17,17,6,18,20,11,288,1001,17,1.9,0.0,11.6,8,61,6,Caswell County,North Carolina
2020-04-10,12,12,5,6,6,6,8,10,11,305,1010,15,0.0,0.0,11.6,-2,50,3,Caswell County,North Carolina
2020-04-11,17,17,3,9,9,6,10,12,6,255,1019,9,0.0,0.0,11.6,1,56,4,Caswell County,North Carolina
2020-04-12,20,20,10,14,14,6,14,16,11,194,1018,17,3.4,0.0,7.8,11,77,4,Caswell County,North Carolina
2020-04-13,24,24,17,21,22,5,22,22,17,252,1008,26,9.4,0.0,9.1,14,73,5,Caswell County,North Carolina
2020-04-14,15,15,8,10,10,6,11,13,8,71,1018,12,0.8,0.0,9.1,5,65,3,Caswell County,North Carolina
2020-04-15,14,14,3,5,5,6,8,8,8,126,1018,11,1.1,0.0,9.1,1,65,2,Caswell County,North Carolina
2020-04-16,16,16,3,8,8,6,10,12,7,314,1024,10,0.0,0.0,11.6,-1,54,4,Caswell County,North Carolina
2020-04-17,19,19,4,11,11,6,12,15,9,197,1022,13,0.0,0.0,11.6,4,58,4,Caswell County,North Carolina
2020-04-18,16,16,8,13,13,6,14,14,11,319,1013,17,1.7,0.0,9.1,5,62,3,Caswell County,North Carolina
2020-04-19,21,21,5,13,13,6,14,16,5,201,1013,8,0.0,0.0,11.6,5,62,5,Caswell County,North Carolina
