date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,0,4,4,6,6,7,4,208,1025,6,0.0,0.0,10.2,-4,56,2,Catawba County,North Carolina
2020-03-02,14,14,3,6,6,5,8,10,9,212,1018,14,0.2,0.0,8.7,4,78,2,Catawba County,North Carolina
2020-03-03,15,15,10,11,11,4,12,13,9,215,1010,14,16.2,0.0,5.9,11,94,3,Catawba County,North Carolina
2020-03-04,15,15,7,10,10,5,11,12,6,184,1016,9,0.4,0.0,11.6,6,75,4,Catawba County,North Carolina
2020-03-05,10,10,7,8,8,4,9,9,4,79,1018,6,8.2,0.0,5.9,6,81,2,Catawba County,North Carolina
2020-03-06,10,10,2,4,4,4,7,8,10,301,1017,14,0.1,0.0,10.2,0,69,3,Catawba County,North Carolina
2020-03-07,11,11,0,4,4,6,5,7,5,345,1030,7,0.0,0.0,11.6,-3,56,3,Catawba County,North Carolina
2020-03-08,14,14,2,7,7,6,8,10,5,208,1034,7,0.0,0.0,10.2,-1,58,2,Catawba County,North Carolina
2020-03-09,17,17,3,9,9,6,11,12,8,215,1032,12,0.0,0.0,10.2,5,72,3,Catawba County,North Carolina
2020-03-10,17,17,12,13,13,5,14,15,12,224,1025,17,1.9,0.0,7.4,11,85,3,Catawba County,North Carolina
2020-03-11,21,21,10,15,15,4,16,17,5,220,1018,7,0.7,0.0,11.6,11,80,5,Catawba County,North Carolina
2020-03-12,21,21,10,15,15,6,15,17,5,134,1015,9,1.1,0.0,11.6,11,76,5,Catawba County,North Carolina
2020-03-13,21,21,14,18,18,6,19,19,9,299,1017,14,2.6,0.0,7.4,12,72,4,Catawba County,North Carolina
2020-03-14,15,15,6,10,10,6,11,12,4,65,1027,7,0.0,0.0,7.4,3,56,3,Catawba County,North Carolina
2020-03-15,14,14,8,10,10,6,11,12,7,63,1026,10,0.0,0.0,7.4,7,73,3,Catawba County,North Carolina
2020-03-16,14,14,6,8,8,6,9,10,5,116,1028,6,0.0,0.0,6.0,5,73,3,Catawba County,North Carolina
2020-03-17,16,16,8,11,11,5,11,12,3,237,1024,4,5.9,0.0,6.0,10,90,3,Catawba County,North Carolina
2020-03-18,15,15,9,12,12,5,12,13,4,58,1026,6,0.4,0.0,6.0,11,87,3,Catawba County,North Carolina
2020-03-19,24,24,13,18,18,4,18,20,7,215,1023,11,1.5,0.0,6.0,16,87,4,Catawba County,North Carolina
2020-03-20,26,26,17,20,21,5,21,23,11,234,1022,17,8.6,0.0,10.2,16,79,5,Catawba County,North Carolina
2020-03-21,23,23,15,17,17,4,18,20,5,248,1023,7,9.3,0.0,7.4,14,81,4,Catawba County,North Carolina
2020-03-22,11,11,7,8,8,5,10,10,8,72,1028,11,0.4,0.0,6.1,6,75,3,Catawba County,North Carolina
2020-03-23,12,12,7,8,8,3,9,9,4,187,1023,5,23.2,0.0,6.1,8,94,2,Catawba County,North Carolina
2020-03-24,16,16,8,10,10,3,11,13,4,75,1017,7,13.9,0.0,6.1,10,91,3,Catawba County,North Carolina
2020-03-25,20,20,11,15,15,5,16,17,6,222,1011,9,20.7,0.0,10.2,11,80,5,Catawba County,North Carolina
2020-03-26,17,17,7,11,11,4,11,13,6,189,1017,9,0.0,0.0,8.9,9,84,3,Catawba County,North Carolina
2020-03-27,26,26,12,18,18,4,19,21,6,209,1013,11,0.0,0.0,11.6,15,82,6,Catawba County,North Carolina
2020-03-28,26,26,16,21,22,4,22,22,5,176,1013,9,0.0,0.0,7.5,17,82,5,Catawba County,North Carolina
2020-03-29,28,28,18,22,23,6,23,24,11,233,1014,18,0.2,0.0,8.9,15,68,5,Catawba County,North Carolina
2020-03-30,21,21,13,17,17,6,18,18,6,279,1018,10,0.0,0.0,11.6,6,51,5,Catawba County,North Carolina
2020-03-31,11,11,3,7,7,4,10,10,8,65,1011,12,20.5,0.0,6.2,6,80,2,Catawba County,North Carolina
2020-04-01,14,14,5,7,7,6,9,11,7,337,1012,11,1.4,0.0,11.6,3,71,4,Catawba County,North Carolina
2020-04-02,16,16,5,9,9,6,10,12,7,331,1018,12,0.0,0.0,11.6,3,63,4,Catawba County,North Carolina
2020-04-03,21,21,6,12,12,6,13,16,5,316,1016,9,0.0,0.0,11.6,4,60,5,Catawba County,North Carolina
2020-04-04,23,23,9,15,15,6,15,18,3,168,1016,5,0.0,0.0,11.6,7,62,5,Catawba County,North Carolina
2020-04-05,21,21,8,14,14,5,14,17,5,207,1018,8,6.2,0.0,10.3,10,74,4,Catawba County,North Carolina
2020-04-06,25,25,12,17,17,5,19,20,4,240,1017,6,2.3,0.0,10.3,12,76,5,Catawba County,North Carolina
2020-04-07,25,25,13,19,19,6,20,21,6,224,1014,10,0.3,0.0,11.6,13,73,6,Catawba County,North Carolina
2020-04-08,27,27,15,21,22,5,22,23,6,260,1007,9,0.0,0.0,11.6,14,72,6,Catawba County,North Carolina
2020-04-09,22,22,12,17,17,6,18,20,10,283,1003,16,1.1,0.0,10.3,8,61,5,Catawba County,North Carolina
2020-04-10,13,13,6,7,7,6,9,10,8,312,1012,12,0.0,0.0,11.6,-2,49,4,Catawba County,North Carolina
2020-04-11,17,17,4,10,10,6,11,13,5,215,1019,7,0.0,0.0,11.6,2,58,4,Catawba County,North Carolina
2020-04-12,15,15,7,11,11,5,11,12,6,169,1016,10,28.2,0.0,6.5,10,85,3,Catawba County,North Carolina
2020-04-13,23,23,14,19,19,5,20,21,14,276,1009,23,33.3,0.0,10.3,14,73,5,Catawba County,North Carolina
2020-04-14,17,17,9,11,11,6,12,14,6,50,1017,9,0.4,0.0,10.3,7,73,3,Catawba County,North Carolina
2020-04-15,17,17,5,9,9,6,11,11,7,82,1018,9,0.4,0.0,10.3,0,56,4,Catawba County,North Carolina
2020-04-16,21,21,5,13,13,6,14,15,3,309,1024,5,0.0,0.0,11.6,0,47,5,Catawba County,North Carolina
2020-04-17,19,19,5,12,12,6,12,15,7,210,1022,10,0.0,0.0,11.6,4,60,4,Catawba County,North Carolina
2020-04-18,18,18,12,14,14,6,15,16,9,222,1013,14,1.7,0.0,11.6,5,58,5,Catawba County,North Carolina
2020-04-19,19,19,5,11,11,6,12,14,5,190,1013,7,0.0,0.0,10.4,6,69,3,Catawba County,North Carolina
2020-04-20,20,20,10,14,14,4,15,15,6,107,1005,9,33.3,0.0,9.2,9,78,3,Catawba County,North Carolina
2020-04-21,21,21,9,14,14,6,15,17,9,279,1010,14,0.0,0.0,10.4,7,66,4,Catawba County,North Carolina
2020-04-22,19,19,7,13,13,6,13,16,5,223,1018,8,0.0,0.0,11.6,5,58,5,Catawba County,North Carolina
2020-04-23,15,15,7,11,11,4,12,13,7,180,1012,12,9.9,0.0,6.8,12,91,3,Catawba County,North Carolina
2020-04-24,23,23,16,19,19,6,20,20,9,288,1007,14,2.3,0.0,8.0,13,75,5,Catawba County,North Carolina
2020-04-25,16,16,12,13,13,4,14,14,6,70,1012,10,6.2,0.0,6.8,11,88,3,Catawba County,North Carolina
2020-04-26,18,18,11,14,14,4,15,16,9,277,1010,12,2.8,0.0,10.4,9,75,4,Catawba County,North Carolina
2020-04-27,20,20,8,13,13,6,15,15,8,345,1019,11,0.0,0.0,11.6,3,55,5,Catawba County,North Carolina
2020-04-28,23,23,8,16,16,6,18,19,4,193,1020,7,0.0,0.0,11.6,8,63,5,Catawba County,North Carolina
2020-04-29,22,22,12,17,17,5,19,20,10,187,1013,15,35.3,0.0,9.2,13,81,4,Catawba County,North Carolina
2020-04-30,17,17,10,12,12,5,13,15,6,234,1008,9,71.9,0.0,6.9,10,86,3,Catawba County,North Carolina
2020-05-01,18,18,7,12,12,6,12,14,6,310,1014,8,0.0,0.0,11.6,6,68,4,Catawba County,North Carolina
2020-05-02,23,23,8,15,15,6,16,18,5,216,1020,8,0.0,0.0,11.6,10,73,5,Catawba County,North Carolina
2020-05-03,27,27,12,20,22,6,22,23,7,218,1014,12,0.0,0.0,11.6,13,67,6,Catawba County,North Carolina
2020-05-04,26,26,18,21,22,6,22,22,7,341,1013,11,0.0,0.0,11.6,10,56,6,Catawba County,North Carolina
2020-05-05,14,14,13,13,13,5,14,13,5,54,1011,7,9.1,0.0,6.9,11,87,3,Catawba County,North Carolina
2020-05-06,19,19,8,13,13,6,14,15,8,299,1011,12,1.4,0.0,9.3,7,71,4,Catawba County,North Carolina
2020-05-07,18,18,5,11,11,6,12,14,5,293,1017,9,0.0,0.0,11.6,2,56,4,Catawba County,North Carolina
2020-05-08,17,17,7,10,10,4,11,14,9,220,1013,14,1.4,0.0,9.3,6,72,3,Catawba County,North Carolina
2020-05-09,15,15,3,9,9,6,10,12,6,311,1021,9,0.3,0.0,11.6,0,56,4,Catawba County,North Carolina
2020-05-10,18,18,3,10,10,6,11,14,6,199,1022,10,0.0,0.0,11.6,2,57,4,Catawba County,North Carolina
2020-05-11,16,16,8,11,11,6,13,14,9,303,1020,14,0.0,0.0,11.6,1,54,4,Catawba County,North Carolina
2020-05-12,17,17,4,10,10,6,11,13,5,232,1024,8,0.0,0.0,11.6,3,59,4,Catawba County,North Carolina
2020-05-13,18,18,8,12,12,5,13,13,4,57,1027,6,4.0,0.0,7.0,8,83,3,Catawba County,North Carolina
2020-05-14,24,24,9,17,17,4,17,20,6,220,1024,9,0.5,0.0,11.6,13,81,6,Catawba County,North Carolina
2020-05-15,24,24,14,18,18,4,19,21,9,211,1021,13,0.1,0.0,11.6,15,81,6,Catawba County,North Carolina
2020-05-16,27,27,14,20,21,4,21,23,6,214,1018,9,0.0,0.0,11.6,15,75,6,Catawba County,North Carolina
2020-05-17,29,29,15,23,23,5,23,25,6,214,1017,9,1.7,0.0,11.6,16,74,6,Catawba County,North Carolina
2020-05-18,23,23,16,19,19,3,20,21,6,97,1012,9,17.8,0.0,8.2,17,90,5,Catawba County,North Carolina
2020-05-19,19,19,12,16,16,3,16,17,13,87,1010,21,57.6,0.0,7.1,16,97,4,Catawba County,North Carolina
2020-05-20,12,12,8,9,9,4,12,11,14,64,1016,22,46.8,0.0,7.1,11,97,3,Catawba County,North Carolina
2020-05-21,19,19,13,15,15,4,16,17,9,41,1016,14,20.3,0.0,7.1,15,97,4,Catawba County,North Carolina
2020-05-22,26,26,12,18,18,3,19,21,5,235,1018,8,2.3,0.0,9.3,15,85,5,Catawba County,North Carolina
2020-05-23,30,30,16,22,23,4,23,25,4,229,1017,7,1.8,0.0,11.6,18,81,5,Catawba County,North Carolina
2020-05-24,30,30,18,23,24,5,24,26,4,78,1018,6,8.8,0.0,7.1,19,83,6,Catawba County,North Carolina
2020-05-25,24,24,18,21,22,2,22,22,5,111,1020,9,29.9,0.0,7.1,20,93,5,Catawba County,North Carolina
2020-05-26,23,23,18,20,20,4,20,21,6,96,1020,9,3.6,0.0,8.2,18,90,5,Catawba County,North Carolina
2020-05-27,20,20,14,18,18,2,18,19,8,51,1017,12,29.9,0.0,7.1,17,94,4,Catawba County,North Carolina
2020-05-28,27,27,17,22,23,3,23,24,5,189,1016,7,33.8,0.0,7.1,20,89,5,Catawba County,North Carolina
2020-05-29,28,28,19,23,24,4,24,25,5,212,1016,7,9.2,0.0,7.1,19,83,6,Catawba County,North Carolina
2020-05-30,31,31,18,23,24,5,24,26,3,207,1015,5,4.9,0.0,10.5,18,78,6,Catawba County,North Carolina
2020-05-31,25,25,15,20,20,6,20,22,6,62,1019,10,0.2,0.0,11.6,13,67,6,Catawba County,North Carolina
2020-06-01,23,23,12,17,17,6,18,20,5,97,1024,8,0.2,0.0,11.6,9,60,5,Catawba County,North Carolina
2020-06-02,28,28,14,21,22,6,22,23,7,220,1021,11,0.0,0.0,11.6,15,71,6,Catawba County,North Carolina
2020-06-03,31,31,18,25,26,5,26,27,8,220,1014,12,1.0,0.0,11.6,19,74,7,Catawba County,North Carolina
2020-06-04,30,30,20,25,27,5,27,27,7,188,1014,10,0.9,0.0,10.5,19,75,6,Catawba County,North Carolina
2020-06-05,27,27,19,22,23,3,23,24,5,223,1013,9,10.6,0.0,7.1,20,88,5,Catawba County,North Carolina
2020-06-06,33,33,19,25,26,6,26,28,5,286,1014,8,0.4,0.0,11.6,19,73,7,Catawba County,North Carolina
2020-06-07,32,32,20,25,27,6,27,28,3,115,1014,5,1.0,0.0,11.6,20,74,7,Catawba County,North Carolina
2020-06-08,31,31,18,24,26,6,26,26,4,116,1015,7,1.6,0.0,10.5,20,78,7,Catawba County,North Carolina
2020-06-09,30,30,21,25,28,5,28,28,4,185,1015,6,5.5,0.0,8.3,21,80,6,Catawba County,North Carolina
2020-06-10,31,31,21,25,27,5,27,27,9,201,1014,13,6.1,0.0,7.2,21,80,6,Catawba County,North Carolina
2020-06-11,30,30,21,25,28,5,28,27,5,62,1018,8,5.8,0.0,8.3,21,82,6,Catawba County,North Carolina
2020-06-12,28,28,18,22,23,6,23,25,7,40,1021,10,0.2,0.0,11.6,14,62,6,Catawba County,North Carolina
2020-06-13,26,26,16,21,21,6,21,23,7,65,1021,10,0.0,0.0,11.6,13,62,6,Catawba County,North Carolina
2020-06-14,26,26,14,20,20,6,20,22,6,80,1023,9,2.1,0.0,11.6,14,71,6,Catawba County,North Carolina
2020-06-15,18,18,14,15,15,5,16,17,10,55,1024,13,9.8,0.0,7.2,13,84,4,Catawba County,North Carolina
2020-06-16,14,14,13,12,12,2,14,14,11,26,1023,15,4.2,0.0,7.2,12,89,3,Catawba County,North Carolina
2020-06-17,20,20,14,16,16,4,16,17,5,227,1018,7,7.0,0.0,7.2,14,90,4,Catawba County,North Carolina
2020-06-18,23,23,16,19,19,3,19,20,4,183,1017,6,4.8,0.0,8.3,17,90,5,Catawba County,North Carolina
2020-06-19,27,27,16,21,22,4,22,24,3,212,1018,6,10.3,0.0,8.3,17,80,5,Catawba County,North Carolina
2020-06-20,31,31,16,23,23,6,23,26,3,181,1017,5,1.8,0.0,11.6,17,72,7,Catawba County,North Carolina
2020-06-21,31,31,18,25,26,6,26,28,3,187,1015,5,2.6,0.0,11.6,18,69,7,Catawba County,North Carolina
2020-06-22,32,32,19,26,27,5,27,28,5,228,1015,8,2.8,0.0,11.6,19,72,7,Catawba County,North Carolina
