date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-8,-5,-5,6,-1,0,6,264,1021,10,0.0,0.0,11.6,-8,68,2,Centre County,Pennsylvania
2020-03-02,13,13,-3,2,2,5,4,7,6,198,1012,10,3.3,0.0,10.2,1,79,2,Centre County,Pennsylvania
2020-03-03,10,10,3,5,5,3,7,8,6,167,1004,10,3.4,0.0,5.8,5,93,2,Centre County,Pennsylvania
2020-03-04,9,9,-1,1,1,5,5,6,13,272,1010,19,0.2,0.1,10.2,0,75,3,Centre County,Pennsylvania
2020-03-05,8,8,-3,1,1,5,3,4,4,234,1019,7,0.2,0.2,7.3,-4,70,1,Centre County,Pennsylvania
2020-03-06,4,4,0,-1,-1,3,1,2,7,266,1012,9,5.1,3.7,5.9,-1,88,1,Centre County,Pennsylvania
2020-03-07,6,6,-4,-3,-3,6,2,2,10,331,1028,13,0.0,0.0,11.6,-8,58,2,Centre County,Pennsylvania
2020-03-08,13,13,-3,3,3,6,6,7,5,242,1030,9,0.0,0.0,11.6,-4,63,3,Centre County,Pennsylvania
2020-03-09,16,16,2,9,9,6,11,12,7,241,1026,11,0.0,0.0,10.2,3,67,4,Centre County,Pennsylvania
2020-03-10,13,13,5,8,8,5,9,12,8,238,1018,13,2.7,0.0,5.9,7,83,3,Centre County,Pennsylvania
2020-03-11,8,8,-1,2,2,5,3,5,3,135,1020,4,0.0,0.0,8.8,0,80,1,Centre County,Pennsylvania
2020-03-12,13,13,2,6,6,6,7,9,6,147,1016,9,0.0,0.0,5.9,4,83,2,Centre County,Pennsylvania
2020-03-13,12,12,5,8,8,4,10,11,12,279,1013,16,1.5,0.0,8.8,3,71,3,Centre County,Pennsylvania
2020-03-14,8,8,-2,1,1,5,3,5,6,301,1029,8,0.3,0.1,11.6,-4,63,1,Centre County,Pennsylvania
2020-03-15,7,7,-1,1,1,5,4,4,6,31,1033,8,1.2,0.8,11.6,-3,71,2,Centre County,Pennsylvania
2020-03-16,7,7,-4,-2,-2,6,2,3,8,156,1030,10,0.1,0.0,8.8,-5,64,1,Centre County,Pennsylvania
2020-03-17,9,9,1,3,3,3,5,7,7,264,1023,10,2.8,0.0,7.4,3,88,2,Centre County,Pennsylvania
2020-03-18,9,9,-3,2,2,5,4,6,7,144,1029,9,8.2,0.0,10.2,-1,74,2,Centre County,Pennsylvania
2020-03-19,16,16,5,9,9,4,10,11,4,189,1020,6,15.3,0.0,6.0,9,95,3,Centre County,Pennsylvania
2020-03-20,20,20,11,15,15,4,16,17,9,235,1014,14,14.4,0.0,6.1,12,86,4,Centre County,Pennsylvania
2020-03-21,7,7,-1,1,1,6,4,4,7,32,1029,9,0.0,0.0,11.6,-6,58,2,Centre County,Pennsylvania
2020-03-22,7,7,-4,-2,-2,6,2,3,8,114,1035,10,0.0,0.0,11.6,-8,51,2,Centre County,Pennsylvania
2020-03-23,5,5,-1,-1,-1,3,2,3,9,148,1024,13,16.0,0.6,6.1,2,97,1,Centre County,Pennsylvania
2020-03-24,7,7,-1,2,2,4,4,6,5,130,1021,8,0.0,0.0,7.5,2,88,2,Centre County,Pennsylvania
2020-03-25,4,4,2,1,1,3,3,3,4,66,1017,6,9.8,0.0,6.1,2,96,1,Centre County,Pennsylvania
2020-03-26,15,15,0,6,6,3,7,8,4,188,1015,5,0.0,0.0,8.9,4,88,2,Centre County,Pennsylvania
2020-03-27,15,15,8,11,11,4,11,12,4,228,1014,5,5.4,0.0,8.9,7,81,3,Centre County,Pennsylvania
2020-03-28,13,13,6,7,7,4,9,9,4,123,1014,7,25.0,0.0,6.2,8,94,2,Centre County,Pennsylvania
2020-03-29,19,19,9,13,13,4,14,15,6,184,1010,10,8.0,0.0,6.4,11,91,3,Centre County,Pennsylvania
2020-03-30,8,8,5,5,5,5,7,8,8,277,1013,11,1.9,0.0,6.4,5,86,2,Centre County,Pennsylvania
2020-03-31,9,9,4,5,5,5,6,7,4,86,1014,5,1.7,0.0,6.4,4,84,2,Centre County,Pennsylvania
2020-04-01,10,10,4,5,5,3,7,8,6,352,1012,8,2.3,0.0,6.4,1,76,2,Centre County,Pennsylvania
2020-04-02,7,7,-2,-1,-1,6,3,5,11,328,1015,16,0.0,0.0,6.4,-1,74,1,Centre County,Pennsylvania
2020-04-03,10,10,1,1,1,5,5,7,12,334,1014,17,0.4,0.0,9.0,1,78,2,Centre County,Pennsylvania
2020-04-04,12,12,2,6,6,4,7,8,2,241,1017,3,0.6,0.0,6.5,4,88,2,Centre County,Pennsylvania
2020-04-05,14,14,6,9,9,5,9,12,4,239,1018,6,0.4,0.0,6.5,7,86,3,Centre County,Pennsylvania
2020-04-06,17,17,2,9,9,5,9,12,3,221,1019,4,0.0,0.0,11.6,0,62,4,Centre County,Pennsylvania
2020-04-07,16,16,5,9,9,5,10,12,2,254,1011,4,3.4,0.0,10.3,5,73,3,Centre County,Pennsylvania
2020-04-08,19,19,11,14,14,5,15,16,7,306,1002,10,4.4,0.0,9.1,9,78,4,Centre County,Pennsylvania
2020-04-09,10,10,1,5,5,5,8,9,12,291,996,17,9.5,0.5,7.8,3,75,2,Centre County,Pennsylvania
2020-04-10,5,5,-2,-4,-4,3,1,3,16,298,1004,21,2.4,2.5,7.8,-3,71,1,Centre County,Pennsylvania
2020-04-11,10,10,-3,1,1,6,4,6,7,285,1016,10,0.0,0.0,11.6,-4,65,3,Centre County,Pennsylvania
2020-04-12,16,16,0,9,9,6,10,11,6,174,1016,9,1.4,0.0,11.6,3,70,3,Centre County,Pennsylvania
2020-04-13,19,19,8,13,13,4,15,17,17,240,1003,24,21.7,0.0,6.6,10,81,4,Centre County,Pennsylvania
2020-04-14,8,8,-1,1,1,5,4,6,7,263,1019,9,0.3,0.1,7.8,-3,66,2,Centre County,Pennsylvania
2020-04-15,9,9,-3,0,0,5,3,5,7,270,1017,9,0.7,0.3,11.6,-4,65,3,Centre County,Pennsylvania
2020-04-16,6,6,-4,-3,-3,5,1,3,8,284,1022,11,0.5,0.3,10.4,-6,66,1,Centre County,Pennsylvania
2020-04-17,6,6,-4,0,0,5,2,4,5,174,1020,7,12.5,0.0,7.9,-1,80,1,Centre County,Pennsylvania
2020-04-18,7,7,2,3,3,5,5,5,7,326,1012,9,13.7,1.8,7.9,1,82,1,Centre County,Pennsylvania
2020-04-19,14,14,-2,5,5,5,7,10,7,230,1011,11,0.0,0.0,10.4,2,75,3,Centre County,Pennsylvania
2020-04-20,13,13,3,6,6,5,8,9,5,224,1007,7,0.0,0.0,10.4,-1,65,2,Centre County,Pennsylvania
2020-04-21,9,9,-2,0,0,5,4,7,12,280,1004,17,3.9,0.0,6.7,-1,71,2,Centre County,Pennsylvania
2020-04-22,9,9,-4,-2,-2,6,3,5,11,295,1016,15,0.0,0.0,11.6,-9,48,2,Centre County,Pennsylvania
2020-04-23,14,14,-2,5,5,4,6,8,5,150,1014,7,5.9,0.0,9.3,3,83,2,Centre County,Pennsylvania
2020-04-24,9,9,6,7,7,3,7,8,3,21,1008,5,12.8,0.0,6.9,7,98,2,Centre County,Pennsylvania
2020-04-25,14,14,4,9,9,4,9,11,5,134,1015,7,0.3,0.0,6.9,8,88,3,Centre County,Pennsylvania
2020-04-26,9,9,3,5,5,4,7,8,6,74,1009,8,27.8,0.0,6.9,7,96,2,Centre County,Pennsylvania
2020-04-27,9,9,1,2,2,6,5,7,9,344,1017,12,1.5,0.0,7.0,2,85,2,Centre County,Pennsylvania
2020-04-28,12,12,2,6,6,4,7,10,3,183,1020,5,0.5,0.0,8.1,4,86,2,Centre County,Pennsylvania
2020-04-29,15,15,5,8,8,3,10,11,11,141,1015,15,1.2,0.0,7.0,9,92,3,Centre County,Pennsylvania
2020-04-30,14,14,9,11,11,4,13,13,12,168,1006,17,49.8,0.0,7.0,12,96,3,Centre County,Pennsylvania
2020-05-01,14,14,6,8,8,5,10,12,7,309,1009,11,2.6,0.0,8.1,7,83,3,Centre County,Pennsylvania
2020-05-02,19,19,2,12,12,4,13,15,5,230,1016,8,0.1,0.0,11.6,6,73,5,Centre County,Pennsylvania
2020-05-03,22,22,10,15,15,4,16,19,6,268,1008,10,0.8,0.0,10.5,11,78,4,Centre County,Pennsylvania
2020-05-04,11,11,5,7,7,5,9,11,9,318,1012,12,0.7,0.0,9.3,4,72,3,Centre County,Pennsylvania
2020-05-05,17,17,2,7,7,6,8,11,4,84,1015,6,0.0,0.0,11.6,0,57,4,Centre County,Pennsylvania
2020-05-06,4,4,1,1,1,4,4,4,6,146,1010,8,23.0,0.0,7.1,3,96,1,Centre County,Pennsylvania
2020-05-07,15,15,-3,6,6,5,8,11,7,277,1012,11,1.5,0.0,10.5,1,75,3,Centre County,Pennsylvania
2020-05-08,5,5,-3,1,1,4,3,5,5,138,1010,7,16.0,3.7,7.1,2,96,1,Centre County,Pennsylvania
2020-05-09,6,6,-6,-5,-5,6,0,3,12,292,1017,17,0.2,0.0,14.2,-7,60,1,Centre County,Pennsylvania
2020-05-10,15,15,-3,6,6,6,8,11,8,234,1018,11,0.3,0.0,13.4,0,66,3,Centre County,Pennsylvania
2020-05-11,5,5,1,1,1,4,4,5,10,281,1014,13,1.9,0.0,9.1,3,92,1,Centre County,Pennsylvania
2020-05-12,11,11,-1,3,3,6,6,8,9,296,1021,13,0.2,0.0,11.3,-1,72,2,Centre County,Pennsylvania
2020-05-13,15,15,-3,7,7,6,9,12,4,292,1027,6,0.0,0.0,14.5,-1,62,4,Centre County,Pennsylvania
2020-05-14,15,15,-1,7,7,4,8,11,4,174,1022,6,0.1,0.0,11.3,5,80,3,Centre County,Pennsylvania
2020-05-15,21,21,9,15,15,3,16,19,9,255,1014,14,1.4,0.0,12.4,14,90,4,Centre County,Pennsylvania
2020-05-16,22,22,8,16,16,4,16,18,4,130,1017,5,0.5,0.0,12.4,12,84,4,Centre County,Pennsylvania
2020-05-17,24,24,13,18,18,4,18,20,7,231,1013,11,8.3,0.0,9.2,16,93,5,Centre County,Pennsylvania
2020-05-18,15,15,9,12,12,6,13,14,5,109,1018,7,0.0,0.0,9.2,10,84,3,Centre County,Pennsylvania
2020-05-19,17,17,9,12,12,5,13,16,9,114,1021,12,0.0,0.0,14.5,7,69,5,Centre County,Pennsylvania
2020-05-20,15,15,6,10,10,6,11,13,9,120,1027,12,0.0,0.0,13.4,2,59,3,Centre County,Pennsylvania
2020-05-21,18,18,1,10,10,5,10,13,5,153,1027,8,0.0,0.0,14.5,6,75,4,Centre County,Pennsylvania
2020-05-22,15,15,11,13,13,2,13,14,3,70,1020,5,6.4,0.0,9.3,13,99,3,Centre County,Pennsylvania
2020-05-23,24,24,12,18,18,3,19,20,3,285,1016,4,1.5,0.0,9.3,15,86,5,Centre County,Pennsylvania
2020-05-24,19,19,13,15,15,3,15,17,6,148,1021,9,0.3,0.0,9.3,14,90,4,Centre County,Pennsylvania
2020-05-25,24,24,12,18,18,4,19,21,5,162,1021,7,0.0,0.0,11.4,15,85,5,Centre County,Pennsylvania
2020-05-26,28,28,13,22,23,4,23,24,4,155,1021,6,0.0,0.0,12.4,17,82,6,Centre County,Pennsylvania
2020-05-27,24,24,14,19,19,3,21,21,5,152,1021,7,0.0,0.0,10.3,16,87,5,Centre County,Pennsylvania
2020-05-28,23,23,16,19,19,3,20,21,7,164,1017,11,6.0,0.0,9.3,19,97,5,Centre County,Pennsylvania
2020-05-29,28,28,15,20,21,5,21,24,6,216,1013,10,4.0,0.0,11.4,18,86,5,Centre County,Pennsylvania
