date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,4,10,10,6,11,12,5,195,1024,8,0.0,0.0,8.6,4,69,3,Chambers County,Alabama
2020-03-02,14,14,8,10,10,5,11,11,6,181,1017,11,18.5,0.0,5.7,9,90,3,Chambers County,Alabama
2020-03-03,21,21,15,17,17,4,17,18,8,241,1012,14,29.9,0.0,5.7,16,94,4,Chambers County,Alabama
2020-03-04,14,14,6,12,12,3,13,13,7,48,1015,11,63.1,0.0,5.7,12,94,3,Chambers County,Alabama
2020-03-05,12,12,9,9,9,3,10,11,9,54,1016,13,27.0,0.0,5.7,10,94,3,Chambers County,Alabama
2020-03-06,12,12,5,6,6,5,9,9,10,323,1024,15,0.0,0.0,11.4,3,72,3,Chambers County,Alabama
2020-03-07,14,14,0,4,4,6,7,8,6,19,1031,9,0.0,0.0,11.4,-1,64,3,Chambers County,Alabama
2020-03-08,15,15,3,8,8,6,10,11,6,132,1033,9,0.0,0.0,10.1,2,65,3,Chambers County,Alabama
2020-03-09,18,18,7,12,12,5,12,14,7,164,1031,12,0.1,0.0,10.2,9,78,3,Chambers County,Alabama
2020-03-10,18,18,12,13,13,4,14,14,5,217,1026,10,1.4,0.0,5.9,12,89,3,Chambers County,Alabama
2020-03-11,21,21,13,16,16,3,16,17,5,237,1020,8,0.5,0.0,7.4,14,92,4,Chambers County,Alabama
2020-03-12,23,23,15,18,18,5,18,19,6,215,1016,9,3.2,0.0,8.8,15,86,4,Chambers County,Alabama
2020-03-13,23,23,16,18,18,5,19,20,6,250,1019,10,5.3,0.0,7.4,16,87,5,Chambers County,Alabama
2020-03-14,26,26,14,19,19,4,20,21,4,160,1024,7,0.5,0.0,8.8,16,81,5,Chambers County,Alabama
2020-03-15,20,20,16,18,18,5,18,18,3,136,1024,5,1.6,0.0,6.0,16,90,4,Chambers County,Alabama
2020-03-16,17,17,13,15,15,4,15,16,6,109,1024,10,1.6,0.0,6.0,14,92,4,Chambers County,Alabama
2020-03-17,23,23,13,17,17,5,18,19,3,152,1023,6,5.8,0.0,6.0,15,88,4,Chambers County,Alabama
2020-03-18,26,26,15,20,20,4,22,22,7,181,1023,11,0.1,0.0,11.6,16,79,6,Chambers County,Alabama
2020-03-19,25,25,16,20,21,4,21,22,6,191,1023,9,0.2,0.0,8.8,17,81,5,Chambers County,Alabama
2020-03-20,26,26,17,20,21,5,21,22,8,231,1024,12,2.2,0.0,7.4,17,85,5,Chambers County,Alabama
2020-03-21,22,22,15,18,18,5,20,20,5,316,1025,8,1.3,0.0,11.6,14,80,5,Chambers County,Alabama
2020-03-22,15,15,9,11,11,5,12,13,5,64,1024,7,5.6,0.0,7.4,10,86,3,Chambers County,Alabama
2020-03-23,20,20,13,16,16,3,16,17,5,228,1021,7,10.0,0.0,6.1,16,96,4,Chambers County,Alabama
2020-03-24,25,25,17,20,20,4,20,22,8,221,1015,13,7.9,0.0,6.1,18,87,5,Chambers County,Alabama
2020-03-25,24,24,16,19,19,5,20,21,7,305,1012,10,9.5,0.0,8.8,15,79,5,Chambers County,Alabama
2020-03-26,26,26,12,19,19,5,19,21,4,170,1015,7,0.0,0.0,11.6,13,73,6,Chambers County,Alabama
2020-03-27,28,28,16,22,23,4,23,24,6,221,1014,9,0.0,0.0,11.6,17,77,6,Chambers County,Alabama
2020-03-28,29,29,18,22,23,4,23,24,8,223,1015,13,0.0,0.0,10.2,18,79,5,Chambers County,Alabama
2020-03-29,23,23,17,20,20,6,21,22,7,279,1018,11,0.7,0.0,6.3,15,76,5,Chambers County,Alabama
2020-03-30,23,23,13,18,18,6,19,19,6,129,1020,10,0.0,0.0,11.6,8,54,5,Chambers County,Alabama
2020-03-31,17,17,11,14,14,5,15,15,9,274,1009,14,4.4,0.0,6.4,9,73,3,Chambers County,Alabama
2020-04-01,17,17,6,10,10,6,12,13,9,338,1015,13,0.0,0.0,11.6,3,63,4,Chambers County,Alabama
2020-04-02,22,22,4,12,12,6,14,15,4,153,1018,7,0.0,0.0,11.6,4,62,4,Chambers County,Alabama
2020-04-03,25,25,9,16,16,6,17,19,4,205,1016,7,0.0,0.0,11.6,6,56,5,Chambers County,Alabama
2020-04-04,25,25,13,19,19,6,20,21,3,328,1015,5,0.0,0.0,11.6,9,59,6,Chambers County,Alabama
2020-04-05,29,29,14,19,20,6,20,22,3,113,1017,5,0.2,0.0,11.6,12,66,6,Chambers County,Alabama
2020-04-06,28,28,15,20,21,6,21,23,3,204,1018,5,0.2,0.0,11.6,14,70,6,Chambers County,Alabama
2020-04-07,24,24,14,18,18,5,19,20,5,258,1017,7,9.0,0.0,10.3,15,82,5,Chambers County,Alabama
2020-04-08,25,25,17,21,22,5,22,23,7,269,1010,12,17.6,0.0,9.0,20,92,5,Chambers County,Alabama
2020-04-09,26,26,19,22,23,6,23,23,8,326,1008,13,2.8,0.0,10.3,14,72,5,Chambers County,Alabama
2020-04-10,17,17,8,12,12,6,13,13,8,356,1016,12,0.0,0.0,11.6,1,47,4,Chambers County,Alabama
