date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,-7,-4,-4,6,1,1,11,184,1019,21,0.0,0.0,11.2,-3,78,2,Champaign County,Ohio
2020-03-02,8,8,2,4,4,3,7,8,12,223,1009,22,20.1,0.0,5.6,6,93,2,Champaign County,Ohio
2020-03-03,11,11,4,5,5,5,8,10,12,258,1004,20,8.7,0.0,7.1,5,82,2,Champaign County,Ohio
2020-03-04,8,8,1,0,0,5,4,6,11,271,1014,19,0.2,0.0,8.6,-1,72,2,Champaign County,Ohio
2020-03-05,10,10,-1,1,1,5,4,5,8,192,1018,13,0.2,0.0,7.1,-3,63,2,Champaign County,Ohio
2020-03-06,2,2,-1,-4,-4,3,1,1,15,321,1019,21,2.7,0.6,5.7,-1,86,1,Champaign County,Ohio
2020-03-07,7,7,-4,-3,-3,6,1,2,6,280,1033,10,0.0,0.0,11.6,-6,63,2,Champaign County,Ohio
2020-03-08,13,13,0,2,2,6,5,7,12,211,1029,20,0.0,0.0,11.6,-1,64,3,Champaign County,Ohio
2020-03-09,15,15,7,8,8,6,11,12,16,218,1024,25,0.0,0.0,10.2,6,71,3,Champaign County,Ohio
2020-03-10,13,13,6,8,8,5,10,11,14,309,1018,20,25.7,0.0,5.9,8,84,3,Champaign County,Ohio
2020-03-11,11,11,6,6,6,6,8,9,5,221,1019,7,0.1,0.0,8.8,4,81,2,Champaign County,Ohio
2020-03-12,15,15,5,8,8,6,10,11,8,172,1011,12,1.1,0.0,7.4,7,83,3,Champaign County,Ohio
2020-03-13,8,8,3,3,3,5,7,6,15,288,1019,21,2.9,0.0,11.6,1,67,3,Champaign County,Ohio
2020-03-14,5,5,0,1,1,4,2,3,5,118,1032,7,4.5,2.6,7.4,-2,72,1,Champaign County,Ohio
2020-03-15,5,5,-2,-4,-4,5,1,2,11,43,1034,15,1.0,0.8,7.4,-2,86,1,Champaign County,Ohio
2020-03-16,9,9,-1,1,1,5,4,5,6,196,1027,10,2.1,0.0,10.2,0,79,2,Champaign County,Ohio
2020-03-17,10,10,4,4,4,6,6,7,7,313,1024,10,2.2,0.0,8.8,2,77,2,Champaign County,Ohio
2020-03-18,8,8,-1,2,2,4,5,6,8,129,1023,13,23.1,0.0,7.4,4,90,2,Champaign County,Ohio
2020-03-19,16,16,8,10,10,4,12,12,12,158,1017,18,9.1,0.0,6.0,11,94,3,Champaign County,Ohio
2020-03-20,19,19,6,13,13,5,14,15,18,292,1016,26,18.6,0.0,6.1,9,81,3,Champaign County,Ohio
2020-03-21,4,4,-3,-5,-5,6,0,1,10,30,1033,13,0.0,0.0,8.8,-5,68,1,Champaign County,Ohio
2020-03-22,6,6,-3,-3,-3,5,1,3,8,98,1031,12,2.2,0.0,8.8,-4,68,1,Champaign County,Ohio
2020-03-23,8,8,3,2,2,5,5,6,7,321,1021,9,0.1,0.0,6.1,3,88,2,Champaign County,Ohio
2020-03-24,11,11,1,3,3,4,5,7,7,97,1019,10,0.5,0.0,8.9,2,80,2,Champaign County,Ohio
2020-03-25,15,15,2,7,7,6,8,10,6,196,1014,9,1.2,0.0,11.6,3,71,3,Champaign County,Ohio
2020-03-26,16,16,7,10,10,5,11,13,10,217,1011,15,4.0,0.0,10.2,9,84,3,Champaign County,Ohio
2020-03-27,12,12,7,8,8,5,10,10,11,81,1012,15,18.2,0.0,6.1,9,92,3,Champaign County,Ohio
2020-03-28,23,23,12,17,17,5,18,19,12,232,1007,20,23.1,0.0,6.2,16,93,4,Champaign County,Ohio
2020-03-29,16,16,11,12,12,5,14,13,21,240,1008,32,10.5,0.0,8.9,10,75,3,Champaign County,Ohio
2020-03-30,7,7,3,2,2,6,6,6,15,293,1017,21,0.5,0.0,6.2,2,74,2,Champaign County,Ohio
2020-03-31,7,7,1,1,1,6,4,5,6,52,1015,9,1.1,0.0,6.2,1,82,1,Champaign County,Ohio
2020-04-01,9,9,2,2,2,6,5,6,8,120,1016,11,1.1,0.0,6.4,2,83,2,Champaign County,Ohio
2020-04-02,13,13,2,5,5,6,7,9,6,327,1020,10,0.0,0.0,11.6,3,74,3,Champaign County,Ohio
2020-04-03,16,16,6,9,9,6,10,12,5,346,1018,9,0.0,0.0,11.6,4,64,4,Champaign County,Ohio
2020-04-04,15,15,6,10,10,6,11,12,6,206,1017,9,0.1,0.0,9.0,7,75,3,Champaign County,Ohio
2020-04-05,14,14,5,7,7,5,9,11,7,21,1020,10,0.5,0.0,9.0,6,82,3,Champaign County,Ohio
2020-04-06,16,16,3,8,8,6,9,11,6,188,1019,9,0.1,0.0,10.3,4,72,4,Champaign County,Ohio
2020-04-07,22,22,11,16,16,6,17,18,11,244,1009,18,3.4,0.0,6.5,13,83,4,Champaign County,Ohio
2020-04-08,20,20,13,16,16,5,16,16,7,322,1003,12,15.1,0.0,9.1,13,82,4,Champaign County,Ohio
2020-04-09,9,9,3,3,3,5,7,7,19,294,1004,24,8.1,0.5,10.3,1,68,2,Champaign County,Ohio
2020-04-10,6,6,0,-2,-2,6,3,4,14,299,1014,19,0.6,0.0,7.8,-3,67,1,Champaign County,Ohio
2020-04-11,13,13,0,5,5,6,7,9,8,236,1016,12,0.0,0.0,9.1,1,68,2,Champaign County,Ohio
2020-04-12,13,13,7,8,8,4,11,11,13,187,1009,19,1.5,0.0,7.8,7,81,3,Champaign County,Ohio
2020-04-13,12,12,2,5,5,5,9,8,15,284,1005,21,21.4,0.0,8.0,5,81,2,Champaign County,Ohio
2020-04-14,6,6,-1,-1,-1,6,2,4,9,267,1022,13,0.0,0.0,9.2,-6,56,1,Champaign County,Ohio
2020-04-15,8,8,-3,-3,-3,5,2,4,12,253,1019,17,10.0,5.6,9.2,-4,68,1,Champaign County,Ohio
2020-04-16,7,7,-4,-2,-2,6,2,4,9,277,1026,13,0.0,0.0,11.6,-6,58,2,Champaign County,Ohio
2020-04-17,8,8,0,0,0,4,4,5,11,196,1018,17,18.4,0.0,6.8,0,80,1,Champaign County,Ohio
2020-04-18,11,11,-1,1,1,5,5,6,11,260,1016,15,0.3,0.2,11.6,0,75,2,Champaign County,Ohio
2020-04-19,10,10,3,4,4,4,7,8,11,234,1011,16,0.9,0.0,8.0,4,83,2,Champaign County,Ohio
2020-04-20,14,14,3,6,6,6,8,9,9,204,1007,15,0.0,0.0,11.6,2,70,3,Champaign County,Ohio
2020-04-21,7,7,1,1,1,5,6,6,17,302,1010,23,0.8,0.0,11.6,-2,62,3,Champaign County,Ohio
2020-04-22,13,13,-1,5,5,6,6,7,5,223,1017,9,0.1,0.0,8.1,0,63,2,Champaign County,Ohio
2020-04-23,13,13,8,8,8,5,10,11,9,137,1008,13,7.6,0.0,6.9,9,92,3,Champaign County,Ohio
2020-04-24,16,16,9,11,11,6,12,13,8,16,1009,11,0.2,0.0,6.9,9,82,3,Champaign County,Ohio
2020-04-25,18,18,8,12,12,5,14,14,11,103,1010,16,5.1,0.0,8.1,9,81,3,Champaign County,Ohio
2020-04-26,9,9,6,4,4,5,8,8,17,6,1011,25,17.0,0.0,6.9,6,88,2,Champaign County,Ohio
2020-04-27,15,15,3,8,8,5,9,11,7,227,1021,10,0.6,0.0,11.6,4,74,4,Champaign County,Ohio
2020-04-28,20,20,9,12,12,5,14,16,13,231,1014,20,4.2,0.0,6.9,11,82,4,Champaign County,Ohio
