date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,4,10,10,6,11,13,4,136,1026,6,0.0,0.0,11.6,-1,49,4,Chatham County,Georgia
2020-03-02,21,21,9,14,14,6,15,16,7,190,1020,11,0.7,0.0,8.7,9,70,4,Chatham County,Georgia
2020-03-03,24,24,15,19,19,5,19,20,8,223,1014,14,8.2,0.0,5.9,15,79,5,Chatham County,Georgia
2020-03-04,18,18,11,16,16,4,16,17,5,62,1015,9,62.4,0.0,5.9,16,96,4,Chatham County,Georgia
2020-03-05,14,14,4,11,11,4,13,13,8,59,1015,12,27.8,0.0,5.9,12,94,3,Chatham County,Georgia
2020-03-06,17,17,9,11,11,5,13,14,12,302,1018,18,0.3,0.0,11.6,5,63,4,Chatham County,Georgia
2020-03-07,14,14,4,7,7,6,8,10,7,8,1029,11,0.0,0.0,11.6,-1,53,3,Chatham County,Georgia
2020-03-08,16,16,6,9,9,6,10,12,6,79,1034,9,0.0,0.0,5.9,3,62,3,Chatham County,Georgia
2020-03-09,20,20,10,14,14,6,15,17,6,149,1033,10,0.0,0.0,11.6,10,75,5,Chatham County,Georgia
2020-03-10,22,22,15,18,18,6,19,20,6,191,1027,11,0.7,0.0,7.4,14,79,4,Chatham County,Georgia
2020-03-11,25,25,15,19,19,5,19,21,5,227,1020,8,4.4,0.0,10.2,15,79,5,Chatham County,Georgia
2020-03-12,26,26,15,20,20,5,21,22,5,224,1017,8,11.7,0.0,8.8,16,80,5,Chatham County,Georgia
2020-03-13,26,26,15,21,21,6,21,22,6,242,1020,9,0.0,0.0,11.6,15,74,5,Chatham County,Georgia
2020-03-14,21,21,13,18,18,6,19,20,6,82,1025,8,0.0,0.0,8.8,15,81,4,Chatham County,Georgia
2020-03-15,27,27,17,20,20,4,20,22,5,322,1024,7,2.1,0.0,10.2,17,84,5,Chatham County,Georgia
2020-03-16,16,16,14,14,14,4,15,15,7,71,1026,9,0.7,0.0,6.0,12,86,3,Chatham County,Georgia
2020-03-17,23,23,15,18,18,5,19,20,4,150,1024,6,11.9,0.0,6.0,17,89,4,Chatham County,Georgia
2020-03-18,25,25,17,20,20,4,21,22,5,118,1025,8,0.1,0.0,10.2,17,84,5,Chatham County,Georgia
