date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,22,22,12,16,16,6,16,17,13,270,1010,21,0.0,0.0,11.3,-4,26,5,Chaves County,New Mexico
2020-03-02,19,19,12,14,14,6,15,15,8,235,1008,13,0.0,0.0,11.3,-3,29,5,Chaves County,New Mexico
2020-03-03,14,14,5,10,10,5,12,12,8,213,1010,12,3.9,0.0,5.7,2,51,3,Chaves County,New Mexico
2020-03-04,15,15,9,10,10,5,12,13,13,58,1018,17,0.6,0.0,11.4,0,45,4,Chaves County,New Mexico
2020-03-05,20,20,7,13,13,6,14,14,8,73,1025,13,0.0,0.0,11.4,-3,35,4,Chaves County,New Mexico
2020-03-06,16,16,7,10,10,6,12,12,10,162,1029,14,0.0,0.0,11.4,1,50,4,Chaves County,New Mexico
2020-03-07,19,19,8,11,11,6,13,13,13,164,1020,19,0.0,0.0,11.6,2,47,4,Chaves County,New Mexico
2020-03-08,18,18,8,12,12,5,13,14,14,165,1015,20,8.9,0.0,7.3,8,67,3,Chaves County,New Mexico
2020-03-09,20,20,10,14,14,6,15,16,9,243,1017,13,0.0,0.0,11.6,2,45,5,Chaves County,New Mexico
2020-03-10,25,25,11,17,17,6,18,19,9,235,1020,14,0.0,0.0,11.6,2,36,5,Chaves County,New Mexico
2020-03-11,24,24,14,19,19,6,19,20,9,169,1016,13,0.0,0.0,11.6,5,40,5,Chaves County,New Mexico
2020-03-12,23,23,16,19,19,6,19,20,7,178,1011,12,1.2,0.0,10.2,8,52,4,Chaves County,New Mexico
2020-03-13,22,22,14,16,16,5,17,18,17,197,1011,23,2.0,0.0,10.2,9,61,4,Chaves County,New Mexico
2020-03-14,22,22,11,16,16,6,16,17,9,231,1018,13,1.6,0.0,11.6,1,40,5,Chaves County,New Mexico
2020-03-15,18,18,12,14,14,6,15,15,12,143,1020,16,5.1,0.0,6.0,10,74,4,Chaves County,New Mexico
2020-03-16,25,25,11,17,17,6,18,19,12,196,1017,16,0.2,0.0,8.8,6,57,4,Chaves County,New Mexico
2020-03-17,23,23,14,18,18,6,18,19,13,212,1013,19,1.2,0.0,10.2,7,54,4,Chaves County,New Mexico
2020-03-18,20,20,12,14,14,5,15,17,14,201,1011,21,5.3,0.0,10.2,6,57,4,Chaves County,New Mexico
2020-03-19,19,19,10,12,12,6,14,15,19,263,1012,26,0.2,0.0,10.2,-2,38,3,Chaves County,New Mexico
2020-03-20,14,14,7,9,9,6,11,10,9,108,1024,12,0.0,0.0,11.6,-2,40,3,Chaves County,New Mexico
2020-03-21,14,14,7,7,7,6,10,9,14,159,1023,18,0.0,0.0,11.6,1,56,3,Chaves County,New Mexico
2020-03-22,19,19,6,11,11,6,13,13,6,121,1017,9,0.0,0.0,8.9,1,51,3,Chaves County,New Mexico
2020-03-23,27,27,14,19,19,6,19,21,12,217,1013,19,0.0,0.0,11.6,-5,21,6,Chaves County,New Mexico
2020-03-24,22,22,11,16,16,6,17,17,8,266,1014,13,0.0,0.0,11.6,-5,24,5,Chaves County,New Mexico
2020-03-25,30,30,14,21,20,6,20,22,11,246,1011,17,0.0,0.0,11.6,-4,19,6,Chaves County,New Mexico
2020-03-26,29,29,18,23,23,6,23,25,17,227,1007,26,0.0,0.0,11.6,1,24,6,Chaves County,New Mexico
2020-03-27,23,23,16,19,19,6,20,20,22,223,1005,28,0.0,0.0,11.6,0,32,5,Chaves County,New Mexico
2020-03-28,17,17,6,10,10,6,12,12,13,296,1014,18,0.0,0.0,11.6,-10,22,4,Chaves County,New Mexico
2020-03-29,21,21,8,14,14,6,15,15,9,157,1016,14,0.0,0.0,9.0,-9,19,4,Chaves County,New Mexico
2020-03-30,20,20,11,16,16,6,16,17,16,283,1013,22,0.0,0.0,11.6,-4,29,5,Chaves County,New Mexico
2020-03-31,23,23,10,16,16,6,17,17,10,210,1016,16,0.0,0.0,9.0,-7,20,4,Chaves County,New Mexico
2020-04-01,27,27,15,21,20,6,20,22,14,231,1008,22,0.0,0.0,11.6,-3,20,6,Chaves County,New Mexico
2020-04-02,27,27,16,22,21,6,21,23,14,264,1007,22,0.0,0.0,11.6,-5,17,6,Chaves County,New Mexico
2020-04-03,17,17,6,12,12,6,13,11,11,80,1014,16,0.0,0.0,11.6,-5,28,4,Chaves County,New Mexico
2020-04-04,19,19,6,10,10,6,12,12,14,152,1014,18,0.0,0.0,11.6,-2,38,4,Chaves County,New Mexico
2020-04-05,25,25,10,16,16,6,17,20,16,211,1011,24,0.0,0.0,9.0,-2,37,4,Chaves County,New Mexico
2020-04-06,27,27,14,20,20,6,20,22,11,238,1011,17,0.0,0.0,11.6,-3,23,6,Chaves County,New Mexico
2020-04-07,27,27,15,21,21,6,21,22,9,245,1013,15,0.0,0.0,11.6,-3,20,6,Chaves County,New Mexico
2020-04-08,28,28,15,22,22,6,22,24,12,272,1013,19,0.0,0.0,11.6,-2,21,6,Chaves County,New Mexico
