date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-1,-1,-12,-10,-10,4,-6,-5,6,294,1020,9,0.7,0.4,7.1,-8,86,1,Chenango County,New York
2020-03-02,9,9,-4,-1,-1,4,3,5,9,195,1011,15,1.7,0.1,5.6,0,83,1,Chenango County,New York
2020-03-03,10,10,2,3,3,3,5,7,7,173,1003,12,6.6,0.0,5.6,4,94,2,Chenango County,New York
2020-03-04,5,5,-1,-4,-4,3,1,2,13,275,1006,18,7.3,8.6,5.6,-1,85,1,Chenango County,New York
2020-03-05,5,5,-4,-3,-3,5,1,1,6,284,1019,10,0.5,0.3,8.6,-4,77,1,Chenango County,New York
2020-03-06,7,7,-2,-2,-2,5,2,4,7,111,1013,11,0.8,0.2,7.1,-3,75,1,Chenango County,New York
2020-03-07,-1,-1,-7,-9,-9,5,-3,-3,11,330,1026,14,1.4,1.5,11.6,-7,81,2,Chenango County,New York
2020-03-08,10,10,-6,0,0,6,3,5,7,256,1028,11,0.0,0.0,11.6,-4,69,2,Chenango County,New York
2020-03-09,15,15,-1,5,5,6,7,9,8,228,1024,14,0.0,0.0,11.6,2,73,3,Chenango County,New York
2020-03-10,12,12,4,5,5,6,8,11,12,222,1015,18,3.2,0.0,5.9,6,85,3,Chenango County,New York
2020-03-11,5,5,-3,-1,-1,6,1,2,4,152,1021,6,0.1,0.0,7.3,-4,69,1,Chenango County,New York
2020-03-12,10,10,-2,2,2,6,4,6,8,165,1018,12,0.0,0.0,5.9,0,79,2,Chenango County,New York
2020-03-13,12,12,0,4,4,5,7,10,15,263,1010,22,7.2,0.0,8.8,3,78,2,Chenango County,New York
2020-03-14,5,5,-2,-4,-4,6,1,2,11,301,1027,16,0.0,0.0,10.2,-4,70,2,Chenango County,New York
2020-03-15,4,4,-3,-3,-3,6,0,1,7,352,1034,9,0.1,0.0,11.6,-8,63,2,Chenango County,New York
2020-03-16,6,6,-8,-3,-3,6,0,2,8,177,1032,11,0.0,0.0,10.2,-8,58,1,Chenango County,New York
2020-03-17,7,7,-1,-1,-1,5,3,5,11,255,1022,15,1.2,0.3,6.0,1,90,1,Chenango County,New York
2020-03-18,7,7,-5,0,0,5,2,3,4,212,1030,7,0.1,0.0,8.8,-4,70,1,Chenango County,New York
2020-03-19,10,10,3,4,4,3,6,7,7,151,1023,10,5.1,0.0,6.0,5,94,2,Chenango County,New York
2020-03-20,18,18,7,13,13,5,15,16,15,232,1011,22,2.9,0.0,6.1,10,86,4,Chenango County,New York
2020-03-21,3,3,-5,-6,-6,6,-1,0,10,344,1030,12,0.0,0.0,11.6,-10,56,2,Chenango County,New York
2020-03-22,6,6,-7,-4,-4,6,-1,1,6,109,1037,9,0.0,0.0,11.6,-12,45,2,Chenango County,New York
2020-03-23,4,4,-3,-4,-4,3,0,2,12,161,1027,16,12.7,3.8,6.1,-2,87,1,Chenango County,New York
2020-03-24,3,3,-3,-3,-3,4,0,1,5,348,1022,7,0.9,0.6,6.3,-1,93,1,Chenango County,New York
2020-03-25,5,5,-3,-1,-1,4,1,3,5,147,1019,7,0.2,0.0,6.3,0,92,1,Chenango County,New York
2020-03-26,12,12,-4,2,2,3,5,7,6,207,1014,11,0.0,0.0,11.6,2,88,2,Chenango County,New York
2020-03-27,9,9,1,3,3,4,5,6,6,340,1014,9,0.2,0.0,10.3,2,83,2,Chenango County,New York
2020-03-28,8,8,-1,2,2,4,4,6,8,148,1017,12,18.0,0.0,7.7,2,87,2,Chenango County,New York
2020-03-29,13,13,5,7,7,4,10,11,10,170,1011,16,13.6,0.0,6.4,8,95,3,Chenango County,New York
2020-03-30,9,9,5,4,4,4,6,7,6,263,1011,9,9.1,0.0,6.4,5,92,2,Chenango County,New York
