date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,-3,6,6,6,7,9,3,212,1024,5,0.0,0.0,10.1,-1,63,3,Cherokee County,North Carolina
2020-03-02,8,8,4,5,5,3,6,7,5,147,1017,7,2.1,0.0,5.7,5,91,2,Cherokee County,North Carolina
2020-03-03,14,14,8,10,10,3,11,11,5,202,1010,8,20.8,0.0,5.7,10,96,3,Cherokee County,North Carolina
2020-03-04,12,12,6,9,9,5,10,11,3,191,1016,4,1.6,0.0,8.6,6,81,3,Cherokee County,North Carolina
2020-03-05,8,8,6,7,7,3,7,7,3,129,1018,5,23.0,0.0,7.2,6,95,2,Cherokee County,North Carolina
2020-03-06,4,4,-1,-2,-2,4,2,3,12,313,1022,14,0.7,0.1,7.3,0,83,1,Cherokee County,North Carolina
2020-03-07,11,11,-3,3,3,6,5,6,4,336,1032,5,0.0,0.0,11.6,-4,67,3,Cherokee County,North Carolina
2020-03-08,13,13,1,6,6,6,8,10,4,163,1034,7,0.0,0.0,8.8,0,65,2,Cherokee County,North Carolina
2020-03-09,13,13,3,7,7,6,9,10,6,163,1032,10,0.0,0.0,8.8,4,74,3,Cherokee County,North Carolina
2020-03-10,13,13,10,11,11,3,12,12,4,183,1025,6,4.1,0.0,5.9,11,94,3,Cherokee County,North Carolina
2020-03-11,18,18,9,13,13,4,14,15,3,242,1019,5,0.6,0.0,8.8,11,84,4,Cherokee County,North Carolina
2020-03-12,18,18,10,14,14,5,14,16,4,174,1014,6,3.9,0.0,6.0,12,88,4,Cherokee County,North Carolina
2020-03-13,16,16,11,14,14,5,14,16,5,309,1019,7,15.6,0.0,7.4,12,88,4,Cherokee County,North Carolina
2020-03-14,14,14,7,11,11,5,12,13,3,133,1026,4,8.5,0.0,6.0,9,86,3,Cherokee County,North Carolina
2020-03-15,14,14,10,13,13,4,13,14,2,293,1025,4,9.7,0.0,6.0,12,93,3,Cherokee County,North Carolina
2020-03-16,14,14,9,11,11,6,11,12,4,146,1026,5,1.3,0.0,6.0,9,86,3,Cherokee County,North Carolina
2020-03-17,16,16,8,12,12,5,12,13,3,253,1023,4,17.2,0.0,6.0,10,92,3,Cherokee County,North Carolina
2020-03-18,19,19,9,13,13,3,13,15,5,149,1024,9,0.1,0.0,7.4,11,88,4,Cherokee County,North Carolina
2020-03-19,21,21,12,17,17,4,17,19,5,188,1023,8,1.9,0.0,6.0,14,86,4,Cherokee County,North Carolina
2020-03-20,20,20,13,16,16,3,16,18,5,262,1023,7,19.2,0.0,6.1,15,92,4,Cherokee County,North Carolina
2020-03-21,17,17,7,13,13,3,13,15,4,297,1025,5,0.6,0.0,6.1,11,86,4,Cherokee County,North Carolina
2020-03-22,16,16,7,10,10,4,11,13,5,150,1025,6,0.7,0.0,10.2,7,78,3,Cherokee County,North Carolina
2020-03-23,13,13,6,10,10,2,11,12,3,181,1021,4,41.8,0.0,6.1,11,97,3,Cherokee County,North Carolina
2020-03-24,13,13,2,9,9,2,10,11,2,161,1015,4,47.4,0.0,6.1,11,98,3,Cherokee County,North Carolina
2020-03-25,17,17,11,13,13,5,14,14,4,310,1012,6,25.7,0.0,8.9,9,85,3,Cherokee County,North Carolina
2020-03-26,16,16,8,12,12,5,13,14,5,166,1016,8,0.0,0.0,11.6,8,81,4,Cherokee County,North Carolina
2020-03-27,23,23,10,17,17,5,19,20,4,234,1013,7,0.0,0.0,11.6,13,79,6,Cherokee County,North Carolina
2020-03-28,24,24,14,19,19,3,21,21,4,218,1013,6,0.3,0.0,8.9,16,84,5,Cherokee County,North Carolina
2020-03-29,21,21,14,18,18,3,18,19,6,271,1016,9,0.6,0.0,8.9,12,75,4,Cherokee County,North Carolina
2020-03-30,16,16,10,13,13,6,13,15,6,313,1020,8,0.0,0.0,11.6,6,63,4,Cherokee County,North Carolina
2020-03-31,9,9,2,6,6,3,7,8,5,250,1010,8,27.5,0.0,6.2,5,88,2,Cherokee County,North Carolina
2020-04-01,7,7,0,1,1,5,4,5,7,327,1015,11,0.5,0.0,10.2,1,81,2,Cherokee County,North Carolina
2020-04-02,16,16,0,9,9,6,9,11,3,311,1019,5,0.0,0.0,11.6,2,71,4,Cherokee County,North Carolina
2020-04-03,21,21,5,11,11,6,12,15,3,317,1017,4,0.0,0.0,11.6,3,63,5,Cherokee County,North Carolina
2020-04-04,20,20,7,13,13,6,14,17,3,290,1016,5,0.1,0.0,11.6,6,63,5,Cherokee County,North Carolina
2020-04-05,20,20,10,14,14,5,15,17,3,260,1018,6,2.7,0.0,7.7,9,73,4,Cherokee County,North Carolina
2020-04-06,23,23,10,16,16,6,18,19,3,274,1018,5,3.6,0.0,10.3,11,76,4,Cherokee County,North Carolina
2020-04-07,19,19,11,15,15,5,15,17,3,252,1015,6,13.8,0.0,7.7,13,89,4,Cherokee County,North Carolina
2020-04-08,22,22,10,16,16,4,17,19,4,284,1008,6,7.0,0.0,7.7,14,87,4,Cherokee County,North Carolina
2020-04-09,16,16,7,12,12,5,13,15,9,311,1007,14,13.1,0.0,10.3,7,72,3,Cherokee County,North Carolina
2020-04-10,8,8,0,2,2,6,5,6,10,331,1015,14,0.0,0.0,11.6,-4,56,3,Cherokee County,North Carolina
2020-04-11,15,15,-1,8,8,6,9,11,4,176,1018,7,0.0,0.0,11.6,-1,57,4,Cherokee County,North Carolina
2020-04-12,12,12,5,8,8,4,9,10,8,119,1013,16,45.1,0.0,6.5,7,83,2,Cherokee County,North Carolina
2020-04-13,14,14,5,11,11,4,12,13,8,291,1011,12,81.6,0.0,6.5,10,89,3,Cherokee County,North Carolina
2020-04-14,17,17,4,9,9,4,11,12,4,292,1018,7,0.0,0.0,11.6,4,77,4,Cherokee County,North Carolina
2020-04-15,11,11,1,4,4,6,6,7,5,324,1019,8,0.0,0.0,11.6,-4,61,3,Cherokee County,North Carolina
2020-04-16,13,13,-1,6,6,6,8,10,3,326,1025,5,0.0,0.0,11.6,-3,56,4,Cherokee County,North Carolina
2020-04-17,16,16,2,10,10,6,11,13,6,185,1021,10,0.0,0.0,11.6,3,63,4,Cherokee County,North Carolina
2020-04-18,15,15,5,9,9,5,11,11,6,312,1015,8,12.8,0.0,11.6,4,71,4,Cherokee County,North Carolina
2020-04-19,17,17,5,9,9,4,10,11,2,164,1012,4,6.1,0.0,8.0,6,79,3,Cherokee County,North Carolina
2020-04-20,17,17,9,12,12,5,14,14,5,329,1006,6,26.4,0.0,9.2,9,80,3,Cherokee County,North Carolina
2020-04-21,17,17,8,11,11,6,12,15,8,305,1013,11,0.5,0.0,8.0,7,75,3,Cherokee County,North Carolina
2020-04-22,19,19,5,12,12,6,13,15,3,173,1018,6,0.0,0.0,11.6,4,62,5,Cherokee County,North Carolina
2020-04-23,14,14,8,10,10,5,12,13,9,150,1009,15,19.5,0.0,6.8,10,91,3,Cherokee County,North Carolina
2020-04-24,17,17,8,13,13,5,13,15,6,310,1008,8,6.9,0.0,6.8,10,86,4,Cherokee County,North Carolina
2020-04-25,19,19,10,13,13,4,13,16,7,162,1010,12,6.5,0.0,10.4,11,84,4,Cherokee County,North Carolina
2020-04-26,9,9,4,4,4,5,7,8,10,284,1015,16,5.3,0.0,6.8,6,92,2,Cherokee County,North Carolina
2020-04-27,17,17,4,9,9,4,11,12,5,321,1022,7,0.4,0.0,11.6,3,69,4,Cherokee County,North Carolina
2020-04-28,23,23,6,15,15,6,15,19,4,225,1020,7,0.0,0.0,10.4,6,59,5,Cherokee County,North Carolina
2020-04-29,19,19,10,14,14,5,15,16,11,173,1010,14,23.3,0.0,9.2,10,79,4,Cherokee County,North Carolina
2020-04-30,13,13,7,8,8,5,9,10,6,299,1010,8,9.0,0.0,6.9,8,91,3,Cherokee County,North Carolina
2020-05-01,17,17,6,10,10,4,11,14,8,316,1016,11,0.0,0.0,11.6,6,74,4,Cherokee County,North Carolina
2020-05-02,24,24,8,16,16,6,18,19,3,248,1020,6,0.0,0.0,11.6,8,64,5,Cherokee County,North Carolina
2020-05-03,25,25,12,19,19,6,20,22,5,247,1016,7,0.2,0.0,11.6,11,70,6,Cherokee County,North Carolina
2020-05-04,26,26,16,19,19,4,20,21,4,302,1013,6,1.3,0.0,10.4,15,81,5,Cherokee County,North Carolina
2020-05-05,21,21,11,17,17,5,17,19,6,247,1010,11,20.8,0.0,6.9,16,93,4,Cherokee County,North Carolina
2020-05-06,15,15,1,6,6,5,8,10,9,305,1014,13,1.9,0.0,9.3,5,83,2,Cherokee County,North Carolina
2020-05-07,14,14,2,7,7,4,8,11,5,324,1019,7,0.0,0.0,11.6,1,68,4,Cherokee County,North Carolina
2020-05-08,15,15,-2,6,6,5,7,9,4,184,1014,7,10.8,0.0,8.1,5,83,2,Cherokee County,North Carolina
2020-05-09,12,12,2,5,5,4,7,9,5,335,1023,8,0.1,0.0,11.6,-3,62,3,Cherokee County,North Carolina
2020-05-10,19,19,2,11,11,6,12,14,5,230,1022,7,0.0,0.0,11.6,0,54,4,Cherokee County,North Carolina
2020-05-11,14,14,3,7,7,6,9,11,7,320,1022,10,0.3,0.0,10.4,1,66,4,Cherokee County,North Carolina
2020-05-12,16,16,2,8,8,6,8,12,3,232,1025,5,0.1,0.0,11.6,3,70,4,Cherokee County,North Carolina
2020-05-13,19,19,10,14,14,6,15,16,4,161,1024,6,0.2,0.0,7.0,9,75,4,Cherokee County,North Carolina
2020-05-14,23,23,12,16,16,4,16,19,6,175,1023,10,2.9,0.0,9.3,12,79,4,Cherokee County,North Carolina
2020-05-15,24,24,12,17,17,4,18,20,6,175,1020,9,0.0,0.0,11.6,13,80,6,Cherokee County,North Carolina
2020-05-16,27,27,14,19,21,4,21,22,4,202,1017,7,0.0,0.0,11.6,13,74,6,Cherokee County,North Carolina
2020-05-17,26,26,14,19,19,5,19,22,3,260,1016,6,12.3,0.0,10.5,15,79,5,Cherokee County,North Carolina
2020-05-18,24,24,14,18,18,4,19,20,6,143,1009,10,14.5,0.0,7.0,16,91,5,Cherokee County,North Carolina
2020-05-19,20,20,12,16,16,5,16,17,4,285,1008,6,10.9,0.0,8.2,14,89,4,Cherokee County,North Carolina
2020-05-20,17,17,10,14,14,5,14,16,3,85,1012,6,29.7,0.0,8.2,12,90,4,Cherokee County,North Carolina
2020-05-21,20,20,10,14,14,2,14,17,2,252,1016,3,8.8,0.0,7.1,13,90,4,Cherokee County,North Carolina
2020-05-22,22,22,12,17,17,3,17,19,3,232,1018,5,15.0,0.0,7.1,15,93,4,Cherokee County,North Carolina
2020-05-23,25,25,16,20,21,5,21,23,3,276,1018,5,7.3,0.0,8.2,17,85,5,Cherokee County,North Carolina
2020-05-24,30,30,17,22,23,4,23,25,2,209,1018,5,3.7,0.0,8.2,17,81,5,Cherokee County,North Carolina
2020-05-25,25,25,15,20,21,5,21,23,4,133,1017,8,20.0,0.0,7.1,18,89,5,Cherokee County,North Carolina
2020-05-26,21,21,14,18,18,4,18,19,5,125,1018,9,5.9,0.0,8.2,17,94,4,Cherokee County,North Carolina
2020-05-27,23,23,16,19,19,5,19,21,5,127,1016,8,2.5,0.0,7.1,16,82,5,Cherokee County,North Carolina
2020-05-28,24,24,15,19,19,3,20,22,5,178,1015,8,7.6,0.0,7.1,17,88,5,Cherokee County,North Carolina
2020-05-29,28,28,14,19,20,5,20,23,4,241,1016,6,9.2,0.0,7.1,16,82,5,Cherokee County,North Carolina
2020-05-30,26,26,15,20,21,4,21,22,5,316,1017,7,0.5,0.0,10.5,14,78,6,Cherokee County,North Carolina
2020-05-31,26,26,13,19,19,4,20,22,4,316,1019,6,0.0,0.0,11.6,12,72,6,Cherokee County,North Carolina
2020-06-01,24,24,13,18,18,5,20,21,3,200,1023,5,0.2,0.0,11.6,12,70,6,Cherokee County,North Carolina
2020-06-02,25,25,14,19,20,4,20,23,3,244,1021,5,0.1,0.0,9.4,15,78,5,Cherokee County,North Carolina
2020-06-03,28,28,16,21,22,6,22,24,3,274,1016,5,1.7,0.0,11.6,17,80,5,Cherokee County,North Carolina
2020-06-04,29,29,17,22,23,4,23,25,3,208,1014,4,10.3,0.0,10.5,19,83,6,Cherokee County,North Carolina
2020-06-05,29,29,17,21,22,4,22,24,4,263,1013,6,5.9,0.0,8.2,18,86,5,Cherokee County,North Carolina
2020-06-06,33,33,17,24,25,4,25,27,2,211,1015,3,0.1,0.0,11.6,17,73,7,Cherokee County,North Carolina
2020-06-07,33,33,18,25,26,4,26,28,2,308,1014,3,0.2,0.0,11.6,17,73,7,Cherokee County,North Carolina
2020-06-08,29,29,19,23,25,4,25,26,5,144,1013,8,1.9,0.0,10.5,20,82,6,Cherokee County,North Carolina
2020-06-09,29,29,17,23,24,4,24,25,6,188,1013,9,8.5,0.0,10.5,19,84,6,Cherokee County,North Carolina
2020-06-10,24,24,17,21,22,4,22,22,4,178,1013,6,12.6,0.0,8.3,20,96,5,Cherokee County,North Carolina
2020-06-11,27,27,16,20,21,4,21,22,5,323,1019,8,2.1,0.0,10.5,15,79,6,Cherokee County,North Carolina
2020-06-12,28,28,14,21,21,5,21,23,3,342,1021,6,0.0,0.0,11.6,13,71,6,Cherokee County,North Carolina
2020-06-13,27,27,14,19,19,6,19,23,2,246,1020,4,0.0,0.0,10.5,12,65,5,Cherokee County,North Carolina
2020-06-14,22,22,13,18,18,5,18,20,2,153,1021,4,19.0,0.0,8.3,15,86,5,Cherokee County,North Carolina
2020-06-15,21,21,10,15,15,3,16,18,2,173,1022,4,18.7,0.0,8.3,14,93,4,Cherokee County,North Carolina
2020-06-16,21,21,11,15,15,3,15,18,2,240,1022,4,3.7,0.0,8.3,13,87,4,Cherokee County,North Carolina
2020-06-17,22,22,13,16,16,3,17,19,3,316,1019,4,0.2,0.0,9.4,13,83,4,Cherokee County,North Carolina
2020-06-18,24,24,13,17,17,4,18,21,3,294,1017,4,3.0,0.0,7.2,14,81,5,Cherokee County,North Carolina
2020-06-19,27,27,14,19,19,4,19,23,2,262,1018,4,8.1,0.0,10.5,15,82,5,Cherokee County,North Carolina
2020-06-20,29,29,15,21,22,4,22,25,3,305,1017,5,0.0,0.0,11.6,14,71,6,Cherokee County,North Carolina
2020-06-21,28,28,16,23,24,6,24,26,3,222,1015,5,3.5,0.0,9.4,16,73,6,Cherokee County,North Carolina
2020-06-22,27,27,16,21,21,3,21,23,3,242,1015,4,26.7,0.0,8.3,18,89,5,Cherokee County,North Carolina
