date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-2,-2,-11,-11,-11,6,-7,-5,5,310,1018,7,0.0,0.0,11.2,-14,62,2,Cheshire County,New Hampshire
2020-03-02,8,8,-8,-1,-1,5,1,3,7,195,1014,11,0.2,0.1,7.1,-3,77,1,Cheshire County,New Hampshire
2020-03-03,12,12,0,4,4,4,5,8,5,203,1004,10,4.0,0.0,7.1,4,90,2,Cheshire County,New Hampshire
2020-03-04,6,6,0,-1,-1,5,3,4,14,271,1001,20,0.3,0.0,10.1,-1,75,1,Cheshire County,New Hampshire
2020-03-05,6,6,-2,-1,-1,5,2,4,8,304,1016,11,0.1,0.1,11.3,-5,69,2,Cheshire County,New Hampshire
2020-03-06,8,8,-3,-1,-1,5,2,5,7,95,1015,9,0.2,0.1,8.6,-4,69,1,Cheshire County,New Hampshire
2020-03-07,3,3,-6,-7,-7,5,-2,-1,11,339,1021,14,0.2,0.1,11.3,-10,57,2,Cheshire County,New Hampshire
2020-03-08,8,8,-5,-1,-1,6,2,4,6,271,1026,9,0.0,0.0,11.4,-7,59,2,Cheshire County,New Hampshire
2020-03-09,15,15,0,6,6,6,8,10,6,247,1023,9,0.0,0.0,11.4,1,67,4,Cheshire County,New Hampshire
2020-03-10,14,14,6,8,8,4,10,11,9,211,1015,14,1.4,0.0,8.7,6,80,3,Cheshire County,New Hampshire
2020-03-11,7,7,0,1,1,6,3,4,6,339,1019,8,0.3,0.0,8.7,-3,65,1,Cheshire County,New Hampshire
2020-03-12,10,10,-3,2,2,6,4,6,5,154,1022,6,0.0,0.0,5.7,-2,67,2,Cheshire County,New Hampshire
2020-03-13,11,11,2,3,3,5,7,8,12,211,1012,19,8.5,0.0,7.2,3,85,2,Cheshire County,New Hampshire
2020-03-14,8,8,-2,-1,-1,6,3,5,11,292,1022,17,0.0,0.0,11.5,-4,63,2,Cheshire County,New Hampshire
2020-03-15,4,4,-5,-4,-4,6,0,2,8,333,1032,11,0.0,0.0,10.1,-10,53,2,Cheshire County,New Hampshire
2020-03-16,5,5,-6,-3,-3,6,0,2,6,179,1035,8,0.0,0.0,11.6,-11,49,2,Cheshire County,New Hampshire
2020-03-17,6,6,-3,-1,-1,4,2,4,9,213,1022,14,2.9,0.3,6.0,0,89,1,Cheshire County,New Hampshire
2020-03-18,9,9,-4,1,1,6,3,6,4,276,1030,7,0.0,0.0,10.3,-5,60,3,Cheshire County,New Hampshire
2020-03-19,5,5,-1,1,1,2,2,3,4,92,1028,6,6.0,0.0,6.2,2,96,1,Cheshire County,New Hampshire
2020-03-20,16,16,1,7,7,4,9,12,10,216,1012,16,5.4,0.0,6.3,7,92,3,Cheshire County,New Hampshire
2020-03-21,4,4,-3,-2,-2,6,2,2,9,340,1026,12,0.0,0.0,11.6,-8,55,2,Cheshire County,New Hampshire
2020-03-22,6,6,-6,-3,-3,6,0,1,5,116,1038,7,0.0,0.0,11.6,-15,39,2,Cheshire County,New Hampshire
2020-03-23,4,4,-4,-4,-4,4,0,2,8,143,1031,10,9.0,0.4,7.6,-6,65,1,Cheshire County,New Hampshire
2020-03-24,4,4,-2,-2,-2,4,1,2,7,327,1020,9,0.5,0.1,6.3,-1,95,1,Cheshire County,New Hampshire
2020-03-25,4,4,-5,-3,-3,5,0,3,5,101,1022,7,0.2,0.1,6.3,-1,92,1,Cheshire County,New Hampshire
2020-03-26,10,10,-6,1,1,4,3,6,4,157,1015,7,0.0,0.0,11.6,0,87,3,Cheshire County,New Hampshire
2020-03-27,10,10,2,4,4,4,7,8,7,321,1011,10,0.3,0.0,11.6,1,81,3,Cheshire County,New Hampshire
2020-03-28,12,12,-3,5,5,5,6,9,3,198,1020,5,2.2,0.0,10.3,0,77,2,Cheshire County,New Hampshire
2020-03-29,6,6,3,2,2,5,5,6,10,120,1017,13,10.3,0.0,6.4,5,97,2,Cheshire County,New Hampshire
2020-03-30,7,7,2,2,2,3,4,6,5,83,1014,6,11.0,3.7,6.4,3,95,2,Cheshire County,New Hampshire
2020-03-31,7,7,0,2,2,4,4,5,5,140,1017,7,0.2,0.1,9.0,-1,80,1,Cheshire County,New Hampshire
2020-04-01,7,7,-3,0,0,5,3,5,5,13,1011,8,0.2,0.0,7.7,-2,79,1,Cheshire County,New Hampshire
2020-04-02,5,5,-2,-1,-1,5,3,4,13,337,1004,17,5.4,0.0,6.4,2,89,1,Cheshire County,New Hampshire
2020-04-03,7,7,4,2,2,4,6,6,11,26,1006,14,6.5,0.0,6.5,5,93,2,Cheshire County,New Hampshire
2020-04-04,10,10,3,4,4,5,6,7,5,63,1017,6,0.0,0.0,6.5,3,86,2,Cheshire County,New Hampshire
2020-04-05,14,14,3,8,8,4,8,11,2,215,1017,4,0.7,0.0,7.8,5,84,3,Cheshire County,New Hampshire
2020-04-06,12,12,1,5,5,4,8,9,7,312,1015,9,0.0,0.0,11.6,-2,63,3,Cheshire County,New Hampshire
2020-04-07,13,13,0,7,7,6,8,11,5,285,1010,8,0.0,0.0,11.6,-2,57,4,Cheshire County,New Hampshire
2020-04-08,13,13,4,7,7,4,8,9,3,277,1002,4,1.4,0.0,7.8,2,73,2,Cheshire County,New Hampshire
2020-04-09,8,8,0,2,2,4,4,7,8,199,991,12,8.6,0.0,6.5,3,90,2,Cheshire County,New Hampshire
2020-04-10,6,6,-2,-2,-2,5,2,5,13,296,990,17,2.0,1.3,7.8,-2,74,1,Cheshire County,New Hampshire
2020-04-11,7,7,-2,-1,-1,6,3,5,11,291,1009,15,0.0,0.0,11.6,-5,62,2,Cheshire County,New Hampshire
2020-04-12,14,14,-4,4,4,6,7,10,7,209,1020,10,0.0,0.0,9.1,-2,64,2,Cheshire County,New Hampshire
2020-04-13,15,15,4,9,9,3,11,13,14,184,1007,22,24.6,0.0,6.6,10,93,3,Cheshire County,New Hampshire
2020-04-14,10,10,1,3,3,6,5,8,9,267,1015,12,0.1,0.0,10.4,-3,59,2,Cheshire County,New Hampshire
2020-04-15,7,7,-2,1,1,6,4,5,7,284,1013,10,0.1,0.1,11.6,-7,53,3,Cheshire County,New Hampshire
2020-04-16,6,6,-4,-2,-2,4,1,4,7,290,1016,10,5.8,3.3,9.1,-6,62,1,Cheshire County,New Hampshire
2020-04-17,8,8,-4,-1,-1,6,2,5,9,266,1019,13,0.0,0.0,9.1,-7,53,2,Cheshire County,New Hampshire
2020-04-18,6,6,-3,-1,-1,2,1,3,5,134,1009,7,7.8,5.9,6.7,0,92,1,Cheshire County,New Hampshire
2020-04-19,15,15,-4,5,5,6,7,10,8,231,1007,11,1.4,0.0,13.3,0,71,4,Cheshire County,New Hampshire
2020-04-20,10,10,1,3,3,6,6,7,6,234,1006,8,1.1,0.0,11.0,-3,63,2,Cheshire County,New Hampshire
2020-04-21,13,13,-3,0,0,5,3,8,10,224,1000,15,13.1,0.0,9.8,0,81,2,Cheshire County,New Hampshire
2020-04-22,6,6,-5,-4,-4,6,1,3,13,282,1006,19,0.0,0.0,12.2,-9,53,1,Cheshire County,New Hampshire
2020-04-23,11,11,-4,2,2,6,5,7,7,268,1015,10,0.0,0.0,13.9,-10,42,3,Cheshire County,New Hampshire
2020-04-24,11,11,1,5,5,4,7,7,4,51,1010,5,0.7,0.0,9.9,0,74,2,Cheshire County,New Hampshire
2020-04-25,17,17,-1,8,8,5,9,12,3,290,1017,5,0.0,0.0,9.9,2,70,3,Cheshire County,New Hampshire
2020-04-26,8,8,1,2,2,5,4,6,8,84,1017,11,7.5,0.0,8.7,1,81,2,Cheshire County,New Hampshire
2020-04-27,4,4,2,-1,-1,3,3,4,10,27,1014,13,4.5,0.4,8.7,3,97,1,Cheshire County,New Hampshire
2020-04-28,10,10,0,4,4,4,6,7,5,336,1020,7,1.7,1.2,8.8,1,82,2,Cheshire County,New Hampshire
2020-04-29,14,14,-1,7,7,5,8,12,7,122,1025,9,0.0,0.0,14.0,1,68,4,Cheshire County,New Hampshire
2020-04-30,7,7,3,3,3,5,6,6,10,117,1022,13,5.4,0.0,8.8,5,90,2,Cheshire County,New Hampshire
2020-05-01,13,13,5,10,10,2,11,12,7,238,1006,11,19.4,0.0,8.8,11,96,3,Cheshire County,New Hampshire
2020-05-02,18,18,2,10,10,6,12,14,8,308,1011,12,0.0,0.0,14.1,4,70,4,Cheshire County,New Hampshire
2020-05-03,20,20,8,14,14,6,15,16,7,264,1005,10,0.1,0.0,12.2,8,74,5,Cheshire County,New Hampshire
2020-05-04,14,14,4,7,7,6,9,12,10,311,1005,13,0.4,0.0,11.1,3,68,3,Cheshire County,New Hampshire
2020-05-05,12,12,2,5,5,6,8,9,9,322,1011,12,0.0,0.0,14.2,-2,61,3,Cheshire County,New Hampshire
2020-05-06,17,17,-2,9,9,5,10,13,3,136,1011,5,0.2,0.0,14.2,0,65,4,Cheshire County,New Hampshire
2020-05-07,14,14,4,9,9,4,10,12,6,305,1006,8,0.5,0.0,11.1,2,68,3,Cheshire County,New Hampshire
2020-05-08,12,12,-1,4,4,5,7,9,8,265,1007,11,2.5,0.0,12.3,-1,65,2,Cheshire County,New Hampshire
2020-05-09,4,4,-3,-5,-5,2,0,2,15,296,1004,20,5.9,4.6,8.9,-4,75,1,Cheshire County,New Hampshire
2020-05-10,10,10,-4,1,1,5,4,8,12,266,1013,16,0.5,0.0,11.3,-1,68,2,Cheshire County,New Hampshire
2020-05-11,12,12,0,5,5,4,6,10,5,215,1009,8,8.0,0.0,9.2,5,90,2,Cheshire County,New Hampshire
2020-05-12,11,11,-1,3,3,5,6,8,10,295,1014,14,1.1,0.0,13.4,-3,67,2,Cheshire County,New Hampshire
2020-05-13,12,12,-5,4,4,6,7,10,8,304,1023,11,0.0,0.0,14.5,-5,57,3,Cheshire County,New Hampshire
2020-05-14,16,16,-3,8,8,6,9,13,5,262,1023,7,0.0,0.0,14.5,0,59,4,Cheshire County,New Hampshire
2020-05-15,20,20,7,13,13,4,14,17,9,247,1010,15,14.3,0.0,9.3,13,93,4,Cheshire County,New Hampshire
2020-05-16,23,23,8,16,16,4,17,19,7,119,1017,10,0.1,0.0,14.5,10,76,5,Cheshire County,New Hampshire
2020-05-17,13,13,8,11,11,4,11,12,6,153,1018,8,6.4,0.0,9.3,10,89,3,Cheshire County,New Hampshire
2020-05-18,18,18,8,13,13,5,13,14,2,108,1022,4,6.4,0.0,10.3,9,83,3,Cheshire County,New Hampshire
2020-05-19,16,16,6,10,10,6,11,14,8,90,1026,11,0.0,0.0,13.5,2,59,4,Cheshire County,New Hampshire
2020-05-20,21,21,4,14,14,6,14,18,4,118,1030,6,0.0,0.0,14.5,3,56,5,Cheshire County,New Hampshire
2020-05-21,23,23,3,14,14,6,16,19,5,219,1026,8,0.0,0.0,14.5,5,62,5,Cheshire County,New Hampshire
2020-05-22,26,26,6,18,19,4,19,22,6,266,1019,8,0.0,0.0,14.5,10,71,6,Cheshire County,New Hampshire
2020-05-23,16,16,12,14,14,3,15,15,6,97,1019,9,1.2,0.0,10.4,8,75,4,Cheshire County,New Hampshire
2020-05-24,19,19,1,11,11,6,13,16,5,111,1025,8,0.0,0.0,14.5,2,62,5,Cheshire County,New Hampshire
2020-05-25,23,23,4,15,15,4,16,19,5,180,1023,7,0.1,0.0,11.4,11,81,4,Cheshire County,New Hampshire
2020-05-26,28,28,13,21,22,4,22,24,5,206,1022,8,0.0,0.0,12.5,16,80,6,Cheshire County,New Hampshire
2020-05-27,30,30,13,23,24,4,24,26,6,201,1021,9,0.1,0.0,13.5,15,73,7,Cheshire County,New Hampshire
2020-05-28,24,24,12,19,20,5,20,22,8,207,1020,12,0.2,0.0,10.4,16,82,5,Cheshire County,New Hampshire
2020-05-29,27,27,19,22,24,5,24,24,10,206,1014,15,2.0,0.0,9.4,19,88,5,Cheshire County,New Hampshire
2020-05-30,24,24,16,20,20,5,21,21,8,291,1010,12,1.2,0.0,13.5,13,73,6,Cheshire County,New Hampshire
2020-05-31,16,16,8,11,11,6,13,14,9,316,1017,12,0.1,0.0,14.5,2,58,4,Cheshire County,New Hampshire
2020-06-01,16,16,0,10,10,6,11,14,5,300,1020,7,0.6,0.0,13.5,1,62,3,Cheshire County,New Hampshire
2020-06-02,18,18,2,12,12,5,12,16,3,270,1014,5,0.4,0.0,11.5,7,74,4,Cheshire County,New Hampshire
2020-06-03,25,25,7,15,15,5,16,20,5,262,1003,8,2.2,0.0,14.5,11,77,4,Cheshire County,New Hampshire
2020-06-04,27,27,10,20,21,4,21,24,6,271,1009,8,0.0,0.0,13.5,12,70,6,Cheshire County,New Hampshire
2020-06-05,25,25,15,20,21,4,21,23,6,219,1011,10,4.6,0.0,12.5,18,89,5,Cheshire County,New Hampshire
2020-06-06,28,28,16,22,22,3,22,25,7,282,1007,11,0.7,0.0,12.5,14,75,7,Cheshire County,New Hampshire
2020-06-07,20,20,9,14,14,4,15,18,8,345,1011,11,0.5,0.0,13.5,8,70,5,Cheshire County,New Hampshire
2020-06-08,22,22,6,16,16,6,17,20,5,327,1015,7,0.0,0.0,14.5,6,62,5,Cheshire County,New Hampshire
2020-06-09,25,25,10,18,18,5,19,20,3,294,1013,5,0.7,0.0,9.5,11,69,5,Cheshire County,New Hampshire
2020-06-10,26,26,11,19,19,6,19,22,7,123,1016,9,0.2,0.0,12.5,14,75,5,Cheshire County,New Hampshire
