date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,25,25,13,18,18,6,18,19,13,283,1006,22,0.0,0.0,11.3,-2,26,5,Childress County,Texas
2020-03-02,16,16,10,11,11,6,13,12,8,137,1009,13,0.0,0.0,11.3,2,49,4,Childress County,Texas
2020-03-03,17,17,12,13,13,6,14,14,11,50,1011,16,0.1,0.0,11.3,3,47,4,Childress County,Texas
2020-03-04,15,15,10,12,12,4,13,13,8,58,1017,11,1.5,0.0,10.1,3,53,4,Childress County,Texas
2020-03-05,19,19,7,12,12,6,13,14,12,141,1024,18,0.0,0.0,11.4,1,46,4,Childress County,Texas
2020-03-06,18,18,6,11,11,6,12,12,9,161,1032,13,0.0,0.0,11.4,-3,38,4,Childress County,Texas
2020-03-07,20,20,7,12,12,6,13,14,16,181,1024,23,0.0,0.0,11.4,2,46,4,Childress County,Texas
2020-03-08,14,14,10,11,11,5,13,13,17,183,1017,25,5.0,0.0,7.2,8,70,3,Childress County,Texas
2020-03-09,23,23,14,18,18,5,19,19,15,302,1015,22,0.2,0.0,11.6,8,55,5,Childress County,Texas
2020-03-10,26,26,10,16,16,6,17,17,10,175,1020,16,0.0,0.0,11.6,7,52,5,Childress County,Texas
2020-03-11,22,22,15,18,18,6,19,19,9,83,1014,17,0.0,0.0,11.6,9,50,5,Childress County,Texas
2020-03-12,27,27,19,22,22,6,22,24,12,223,1008,20,0.0,0.0,11.6,7,38,6,Childress County,Texas
2020-03-13,13,13,8,10,10,3,12,12,16,79,1018,19,2.6,0.0,6.0,7,73,3,Childress County,Texas
2020-03-14,22,22,8,13,13,6,15,15,8,240,1020,11,1.8,0.0,11.6,8,71,4,Childress County,Texas
2020-03-15,9,9,3,4,4,6,7,8,10,51,1029,13,0.7,0.0,6.0,4,79,2,Childress County,Texas
2020-03-16,17,17,8,10,10,6,12,12,7,162,1020,10,1.7,0.0,6.0,9,83,3,Childress County,Texas
2020-03-17,18,18,11,15,15,4,15,16,11,120,1017,18,16.7,0.0,6.0,14,92,4,Childress County,Texas
2020-03-18,26,26,11,18,18,4,18,20,10,207,1012,16,0.4,0.0,11.6,11,70,5,Childress County,Texas
2020-03-19,23,23,15,19,19,6,19,19,17,241,1010,25,1.4,0.0,8.8,4,46,4,Childress County,Texas
2020-03-20,12,12,6,6,6,6,9,8,16,21,1027,20,0.0,0.0,11.6,0,51,3,Childress County,Texas
2020-03-21,10,10,3,4,4,5,7,7,8,128,1029,10,0.6,0.0,10.2,0,61,3,Childress County,Texas
2020-03-22,23,23,7,14,14,6,15,16,9,220,1017,14,0.9,0.0,10.2,7,64,5,Childress County,Texas
2020-03-23,27,27,14,19,19,6,20,20,10,187,1013,17,0.1,0.0,11.6,5,41,5,Childress County,Texas
2020-03-24,25,25,15,20,20,6,20,20,12,310,1010,21,0.0,0.0,11.6,4,39,6,Childress County,Texas
2020-03-25,30,30,13,21,21,6,20,22,10,231,1009,17,0.0,0.0,11.6,4,40,6,Childress County,Texas
2020-03-26,35,35,19,26,26,6,26,28,13,231,1005,22,0.0,0.0,11.6,3,23,7,Childress County,Texas
2020-03-27,30,30,19,24,24,6,24,25,13,245,1003,20,0.0,0.0,11.6,5,30,7,Childress County,Texas
2020-03-28,22,22,13,18,18,6,19,17,18,281,1008,26,0.0,0.0,11.6,-6,20,5,Childress County,Texas
2020-03-29,21,21,7,14,14,6,14,14,8,174,1019,11,0.0,0.0,10.3,0,42,3,Childress County,Texas
2020-03-30,16,16,10,12,12,6,13,14,14,142,1014,21,1.6,0.0,9.0,9,76,3,Childress County,Texas
2020-03-31,20,20,8,14,14,6,15,15,7,75,1017,11,0.0,0.0,11.6,7,65,4,Childress County,Texas
2020-04-01,27,27,12,18,18,6,19,20,18,191,1010,25,0.0,0.0,11.6,8,53,5,Childress County,Texas
2020-04-02,31,31,18,24,24,6,24,25,14,241,1005,22,0.0,0.0,11.6,7,44,7,Childress County,Texas
2020-04-03,10,10,5,3,3,6,7,7,17,11,1019,22,1.5,0.0,10.3,-3,47,2,Childress County,Texas
2020-04-04,14,14,2,5,5,6,7,8,7,76,1020,10,0.3,0.0,11.6,-2,51,2,Childress County,Texas
2020-04-05,22,22,9,14,14,6,15,16,13,160,1014,18,0.0,0.0,9.0,9,69,4,Childress County,Texas
2020-04-06,28,28,14,20,20,6,20,21,14,195,1012,20,0.0,0.0,11.6,13,68,6,Childress County,Texas
2020-04-07,32,32,18,25,25,6,25,26,11,257,1009,18,0.0,0.0,11.6,2,30,7,Childress County,Texas
2020-04-08,32,32,19,26,25,6,25,27,13,287,1009,21,0.0,0.0,11.6,0,20,7,Childress County,Texas
2020-04-09,19,19,15,17,17,6,17,17,13,76,1015,17,0.0,0.0,9.0,9,58,4,Childress County,Texas
2020-04-10,21,21,11,14,14,6,16,15,11,139,1017,16,0.0,0.0,11.6,5,50,5,Childress County,Texas
2020-04-11,28,28,14,21,21,6,21,21,12,182,1005,18,2.4,0.0,9.0,12,64,5,Childress County,Texas
2020-04-12,25,25,9,16,16,6,17,19,17,291,1002,23,2.0,0.0,11.6,0,37,5,Childress County,Texas
2020-04-13,10,10,2,2,2,6,6,6,12,57,1024,15,0.1,0.0,9.1,-10,33,2,Childress County,Texas
2020-04-14,9,9,1,1,1,4,4,4,8,114,1026,10,2.6,1.9,7.8,-1,70,1,Childress County,Texas
2020-04-15,20,20,2,9,9,6,11,12,14,205,1019,21,0.0,0.0,11.6,1,55,4,Childress County,Texas
2020-04-16,27,27,11,18,18,6,19,20,20,204,1011,29,0.0,0.0,11.6,6,47,5,Childress County,Texas
2020-04-17,15,15,5,8,8,6,11,10,14,23,1020,18,0.2,0.0,10.3,1,53,2,Childress County,Texas
2020-04-18,20,20,5,12,12,6,13,13,13,178,1015,18,0.0,0.0,11.6,5,63,4,Childress County,Texas
2020-04-19,25,25,11,18,18,6,20,20,13,118,1006,20,0.0,0.0,11.6,9,58,5,Childress County,Texas
2020-04-20,24,24,11,17,17,6,18,18,6,112,1011,9,0.0,0.0,11.6,10,68,5,Childress County,Texas
2020-04-21,25,25,13,19,19,6,20,20,11,137,1011,16,0.2,0.0,9.1,13,71,4,Childress County,Texas
2020-04-22,26,26,19,22,23,5,23,23,18,293,1003,25,6.8,0.0,10.3,12,58,5,Childress County,Texas
2020-04-23,28,28,15,21,22,6,22,23,10,243,1007,16,0.0,0.0,11.6,5,38,6,Childress County,Texas
2020-04-24,26,26,16,21,21,6,21,22,17,335,1007,25,0.0,0.0,11.6,4,35,6,Childress County,Texas
2020-04-25,24,24,12,18,18,6,19,19,8,124,1018,13,0.0,0.0,11.6,4,42,5,Childress County,Texas
2020-04-26,28,28,12,20,20,6,21,21,14,191,1018,20,0.0,0.0,11.6,6,43,6,Childress County,Texas
2020-04-27,31,31,18,25,25,6,25,26,11,183,1011,17,0.0,0.0,10.4,10,41,6,Childress County,Texas
2020-04-28,33,33,18,26,26,6,26,28,12,181,1008,19,0.0,0.0,10.4,11,45,6,Childress County,Texas
2020-04-29,26,26,14,21,21,6,21,21,15,236,1019,21,0.0,0.0,11.6,-1,27,6,Childress County,Texas
2020-04-30,32,32,13,23,22,6,22,24,12,192,1015,18,0.0,0.0,11.6,3,30,6,Childress County,Texas
2020-05-01,39,39,22,30,31,6,31,31,17,205,1007,27,0.0,0.0,11.6,10,34,8,Childress County,Texas
2020-05-02,39,39,24,32,31,6,31,33,12,280,1007,20,0.0,0.0,11.6,4,22,8,Childress County,Texas
2020-05-03,33,33,18,26,27,6,27,26,10,36,1010,15,0.0,0.0,11.6,16,57,7,Childress County,Texas
2020-05-04,39,39,20,31,31,6,31,33,14,254,1005,19,0.0,0.0,11.6,9,41,8,Childress County,Texas
2020-05-05,24,24,16,20,20,6,21,20,13,38,1019,17,0.0,0.0,11.6,4,38,6,Childress County,Texas
2020-05-06,28,28,11,21,21,6,21,21,9,168,1021,13,0.0,0.0,11.6,3,34,6,Childress County,Texas
2020-05-07,32,32,14,22,22,6,22,22,16,177,1010,24,1.1,0.0,8.1,11,49,5,Childress County,Texas
2020-05-08,19,19,14,16,16,6,18,15,21,22,1020,28,0.5,0.0,11.6,4,43,5,Childress County,Texas
2020-05-09,23,23,8,14,14,6,16,16,9,168,1022,14,0.0,0.0,11.6,3,47,5,Childress County,Texas
2020-05-10,23,23,12,16,16,6,16,18,10,109,1023,15,0.0,0.0,9.3,9,64,4,Childress County,Texas
2020-05-11,20,20,9,12,12,5,14,15,12,132,1021,16,10.3,0.0,8.1,9,70,3,Childress County,Texas
2020-05-12,19,19,11,14,14,5,15,14,12,58,1015,18,13.0,0.0,7.0,12,85,3,Childress County,Texas
2020-05-13,34,34,13,23,25,5,25,25,15,189,1009,21,3.4,0.0,11.6,14,65,7,Childress County,Texas
2020-05-14,36,36,17,26,26,6,26,28,13,220,1007,20,1.7,0.0,11.6,11,48,7,Childress County,Texas
2020-05-15,34,34,23,28,29,6,29,29,18,202,1005,25,0.3,0.0,8.2,17,53,6,Childress County,Texas
2020-05-16,33,33,21,27,28,6,28,28,10,237,1006,15,1.6,0.0,11.6,14,50,7,Childress County,Texas
2020-05-17,29,29,19,24,25,6,25,25,8,97,1013,12,0.0,0.0,11.6,15,60,6,Childress County,Texas
2020-05-18,32,32,18,25,26,6,26,25,10,139,1011,16,0.0,0.0,11.6,14,51,7,Childress County,Texas
2020-05-19,29,29,18,23,24,6,24,23,14,90,1009,19,0.0,0.0,9.3,17,72,5,Childress County,Texas
2020-05-20,25,25,17,21,21,5,22,21,11,107,1010,15,8.9,0.0,7.0,17,77,5,Childress County,Texas
2020-05-21,34,34,20,26,27,5,27,27,13,167,1006,20,11.5,0.0,11.6,16,59,7,Childress County,Texas
2020-05-22,35,35,20,28,28,6,28,28,14,263,1006,23,1.8,0.0,11.6,8,34,7,Childress County,Texas
2020-05-23,33,33,22,27,29,5,29,28,17,179,1006,24,4.3,0.0,10.5,18,59,7,Childress County,Texas
2020-05-24,31,31,20,26,27,5,27,26,18,183,1006,26,12.0,0.0,11.6,17,63,7,Childress County,Texas
2020-05-25,24,24,17,20,20,5,21,21,14,228,1009,21,27.3,0.0,7.1,14,70,5,Childress County,Texas
2020-05-26,27,27,15,21,21,6,21,21,10,232,1013,14,0.0,0.0,11.6,7,45,6,Childress County,Texas
2020-05-27,28,28,17,23,23,6,23,24,5,77,1012,8,0.0,0.0,11.6,8,40,6,Childress County,Texas
2020-05-28,29,29,18,23,23,6,23,24,9,13,1016,13,0.0,0.0,11.6,12,51,6,Childress County,Texas
2020-05-29,30,30,19,24,24,6,24,25,7,111,1021,11,0.0,0.0,11.6,12,51,6,Childress County,Texas
2020-05-30,32,32,20,26,26,6,26,27,12,161,1019,18,0.0,0.0,11.6,11,42,7,Childress County,Texas
2020-05-31,30,30,18,25,25,6,25,25,11,167,1019,17,0.0,0.0,11.6,12,49,7,Childress County,Texas
2020-06-01,29,29,20,25,26,6,26,25,11,180,1018,15,0.0,0.0,11.6,16,60,7,Childress County,Texas
2020-06-02,32,32,21,26,27,6,27,27,11,186,1015,15,0.0,0.0,11.6,16,57,7,Childress County,Texas
2020-06-03,36,36,22,29,30,6,30,30,9,206,1011,13,0.2,0.0,11.6,16,50,8,Childress County,Texas
2020-06-04,38,38,24,32,32,6,32,32,12,220,1008,17,1.0,0.0,9.4,16,46,7,Childress County,Texas
2020-06-05,37,37,23,31,32,6,32,32,10,174,1010,15,2.2,0.0,11.6,17,49,8,Childress County,Texas
2020-06-06,36,36,23,30,31,6,31,31,12,178,1011,18,0.0,0.0,11.6,15,45,8,Childress County,Texas
2020-06-07,35,35,24,30,31,6,31,30,14,163,1008,20,0.0,0.0,11.6,17,48,8,Childress County,Texas
2020-06-08,39,39,23,32,33,6,33,32,13,193,1003,18,0.0,0.0,11.6,16,44,8,Childress County,Texas
2020-06-09,27,27,21,26,26,6,26,25,22,308,1006,30,0.0,0.0,11.6,5,28,6,Childress County,Texas
2020-06-10,30,30,16,23,22,6,22,25,7,331,1018,12,0.0,0.0,11.6,2,27,6,Childress County,Texas
2020-06-11,34,34,18,27,27,6,27,28,12,179,1022,18,0.0,0.0,11.6,6,28,7,Childress County,Texas
2020-06-12,35,35,19,28,28,6,28,28,13,180,1022,20,0.0,0.0,11.6,6,28,7,Childress County,Texas
2020-06-13,35,35,20,28,28,6,28,29,14,188,1018,22,0.0,0.0,11.6,8,31,7,Childress County,Texas
2020-06-14,34,34,21,28,28,6,28,28,14,177,1017,21,0.0,0.0,11.6,10,35,7,Childress County,Texas
2020-06-15,34,34,20,28,28,6,28,28,14,187,1018,20,0.0,0.0,11.6,10,34,7,Childress County,Texas
2020-06-16,33,33,22,28,29,6,29,29,13,179,1016,19,0.3,0.0,11.6,16,49,7,Childress County,Texas
2020-06-17,35,35,23,29,30,6,30,30,17,180,1012,23,1.5,0.0,11.6,16,50,7,Childress County,Texas
2020-06-18,33,33,22,27,30,5,30,28,13,179,1009,18,3.2,0.0,9.4,19,60,6,Childress County,Texas
2020-06-19,31,31,22,26,28,4,28,26,13,161,1012,21,41.4,0.0,9.4,18,63,6,Childress County,Texas
2020-06-20,30,30,20,24,26,5,26,25,11,173,1012,16,10.5,0.0,9.4,18,67,6,Childress County,Texas
2020-06-21,36,36,22,29,31,6,31,30,14,184,1008,19,1.8,0.0,11.6,19,59,8,Childress County,Texas
2020-06-22,33,33,20,27,28,6,28,27,13,93,1009,17,0.0,0.0,11.6,19,64,7,Childress County,Texas
