date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-4,3,3,6,4,5,4,233,1024,6,0.0,0.0,11.6,-4,63,3,City of Bristol,Virginia
2020-03-02,12,12,0,4,4,4,5,7,3,199,1016,6,1.0,0.0,7.3,2,82,2,City of Bristol,Virginia
2020-03-03,14,14,5,8,8,4,9,11,7,229,1009,11,4.2,0.0,5.9,7,90,3,City of Bristol,Virginia
2020-03-04,13,13,1,7,7,6,8,9,5,233,1016,8,0.0,0.0,11.6,2,71,3,City of Bristol,Virginia
2020-03-05,15,15,4,8,8,6,9,10,4,130,1018,6,0.0,0.0,11.6,3,73,4,City of Bristol,Virginia
2020-03-06,4,4,0,-2,-2,4,3,3,12,296,1019,16,3.7,2.2,5.9,0,83,1,City of Bristol,Virginia
2020-03-07,7,7,-2,-1,-1,4,2,2,6,342,1032,8,1.3,0.8,8.7,-4,70,1,City of Bristol,Virginia
2020-03-08,14,14,-1,7,7,6,8,9,3,242,1033,5,0.0,0.0,10.2,-2,59,2,City of Bristol,Virginia
2020-03-09,16,16,1,8,8,6,9,11,3,229,1031,5,0.0,0.0,11.6,1,64,4,City of Bristol,Virginia
2020-03-10,16,16,9,10,10,4,11,12,7,233,1023,10,3.1,0.0,7.3,9,88,3,City of Bristol,Virginia
2020-03-11,16,16,9,12,12,6,13,14,5,254,1018,7,2.7,0.0,5.9,10,89,3,City of Bristol,Virginia
2020-03-12,20,20,7,14,14,6,14,16,4,197,1014,6,0.2,0.0,11.6,9,78,5,City of Bristol,Virginia
2020-03-13,15,15,7,12,12,5,13,15,7,287,1018,11,4.8,0.0,7.4,9,80,3,City of Bristol,Virginia
2020-03-14,10,10,5,6,6,5,7,8,3,163,1028,5,9.2,0.0,6.0,4,80,2,City of Bristol,Virginia
2020-03-15,13,13,6,8,8,4,9,10,4,123,1027,5,0.9,0.0,6.0,7,88,3,City of Bristol,Virginia
2020-03-16,13,13,6,9,9,5,9,10,3,158,1027,4,2.7,0.0,6.0,6,84,2,City of Bristol,Virginia
2020-03-17,12,12,9,10,10,4,10,10,3,230,1024,4,14.8,0.0,6.0,9,97,3,City of Bristol,Virginia
2020-03-18,20,20,7,13,13,4,13,16,5,156,1025,8,0.0,0.0,7.4,10,84,4,City of Bristol,Virginia
2020-03-19,24,24,12,17,17,5,18,19,4,237,1022,7,2.3,0.0,6.0,14,85,4,City of Bristol,Virginia
2020-03-20,18,18,14,15,15,4,15,17,7,245,1021,11,21.1,0.0,7.4,14,92,4,City of Bristol,Virginia
2020-03-21,12,12,6,10,10,5,11,12,4,320,1025,5,16.9,0.0,6.1,9,89,3,City of Bristol,Virginia
2020-03-22,16,16,3,8,8,5,9,12,5,122,1027,7,0.3,0.0,11.6,5,79,4,City of Bristol,Virginia
2020-03-23,12,12,8,9,9,3,10,10,3,226,1022,4,16.3,0.0,6.1,9,96,3,City of Bristol,Virginia
2020-03-24,16,16,7,10,10,3,11,12,3,133,1017,5,8.5,0.0,6.1,9,90,3,City of Bristol,Virginia
2020-03-25,14,14,8,11,11,4,11,12,4,338,1012,6,0.5,0.0,6.1,9,87,3,City of Bristol,Virginia
2020-03-26,20,20,6,12,12,6,13,15,5,217,1015,7,0.0,0.0,11.6,8,79,5,City of Bristol,Virginia
2020-03-27,22,22,10,15,15,4,15,16,4,220,1012,6,0.4,0.0,7.5,13,87,4,City of Bristol,Virginia
2020-03-28,24,24,16,19,19,5,20,21,4,251,1012,6,0.0,0.0,7.5,16,86,5,City of Bristol,Virginia
2020-03-29,21,21,12,17,17,4,17,19,9,246,1014,14,4.2,0.0,8.9,12,76,4,City of Bristol,Virginia
2020-03-30,17,17,9,11,11,6,13,14,8,272,1019,12,0.0,0.0,11.6,6,68,4,City of Bristol,Virginia
2020-03-31,8,8,5,5,5,4,7,7,5,47,1012,6,23.0,0.0,6.2,5,88,2,City of Bristol,Virginia
2020-04-01,8,8,2,3,3,3,5,6,6,325,1014,7,0.5,0.0,6.2,3,86,2,City of Bristol,Virginia
2020-04-02,13,13,1,6,6,4,6,8,3,313,1019,5,0.2,0.0,8.9,2,80,2,City of Bristol,Virginia
2020-04-03,17,17,2,9,9,5,10,12,3,317,1017,4,0.0,0.0,11.6,3,73,4,City of Bristol,Virginia
2020-04-04,19,19,6,13,13,6,14,15,3,352,1016,5,0.0,0.0,11.6,6,70,5,City of Bristol,Virginia
2020-04-05,20,20,8,14,14,5,15,16,3,280,1018,5,5.6,0.0,10.3,8,76,4,City of Bristol,Virginia
2020-04-06,19,19,9,14,14,5,14,16,3,263,1018,5,7.7,0.0,7.6,11,85,4,City of Bristol,Virginia
2020-04-07,21,21,10,15,15,5,16,18,6,240,1014,10,4.2,0.0,10.3,13,88,4,City of Bristol,Virginia
2020-04-08,20,20,13,15,15,6,15,17,8,244,1007,13,3.4,0.0,6.3,14,92,4,City of Bristol,Virginia
2020-04-09,14,14,7,10,10,5,11,13,11,285,1005,16,13.7,0.0,8.9,7,77,3,City of Bristol,Virginia
2020-04-10,9,9,0,1,1,5,4,5,10,305,1014,13,0.7,0.3,10.3,-2,68,3,City of Bristol,Virginia
2020-04-11,16,16,-1,7,7,6,8,11,3,244,1019,5,0.0,0.0,11.6,-1,61,4,City of Bristol,Virginia
2020-04-12,15,15,6,10,10,5,11,12,4,146,1014,8,16.9,0.0,6.7,7,78,3,City of Bristol,Virginia
