date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,1,1,1,6,5,5,10,249,1024,15,0.0,0.0,11.6,-6,46,2,City of Poquoson,Virginia
2020-03-02,15,15,7,8,8,6,11,12,16,212,1018,28,0.0,0.0,11.6,2,56,4,City of Poquoson,Virginia
2020-03-03,17,17,11,13,13,6,14,15,16,224,1009,31,0.0,0.0,5.8,10,78,3,City of Poquoson,Virginia
2020-03-04,14,14,9,10,10,6,12,12,11,247,1014,20,0.0,0.0,11.6,3,54,4,City of Poquoson,Virginia
2020-03-05,8,8,4,5,5,6,8,8,12,63,1019,17,0.1,0.0,11.6,1,61,3,City of Poquoson,Virginia
2020-03-06,11,11,7,5,5,3,9,9,14,306,1010,20,26.2,0.0,5.9,5,78,2,City of Poquoson,Virginia
2020-03-07,9,9,4,2,2,6,6,6,18,345,1024,24,0.5,0.0,10.2,-1,60,3,City of Poquoson,Virginia
2020-03-08,12,12,4,7,7,6,8,9,7,233,1034,11,0.0,0.0,11.6,-2,50,3,City of Poquoson,Virginia
2020-03-09,16,16,8,10,10,6,12,13,14,227,1032,25,0.0,0.0,11.6,3,55,4,City of Poquoson,Virginia
2020-03-10,17,17,13,13,13,6,15,15,17,227,1024,32,1.2,0.0,7.3,10,75,4,City of Poquoson,Virginia
2020-03-11,13,13,7,10,10,6,11,11,9,59,1019,15,1.0,0.0,5.9,8,78,3,City of Poquoson,Virginia
2020-03-12,14,14,10,11,11,6,12,13,8,74,1016,14,2.4,0.0,8.8,11,89,3,City of Poquoson,Virginia
2020-03-13,20,20,15,17,17,5,17,19,16,256,1015,31,1.5,0.0,6.0,12,74,4,City of Poquoson,Virginia
2020-03-14,11,11,6,8,8,6,11,10,10,32,1028,15,0.0,0.0,11.6,0,48,4,City of Poquoson,Virginia
2020-03-15,9,9,4,6,6,5,9,9,12,56,1030,16,0.8,0.0,6.0,4,74,2,City of Poquoson,Virginia
2020-03-16,11,11,8,7,7,6,9,10,13,76,1030,17,0.0,0.0,10.2,4,69,2,City of Poquoson,Virginia
2020-03-17,16,16,8,11,11,6,12,13,7,232,1023,12,0.0,0.0,10.2,9,82,3,City of Poquoson,Virginia
2020-03-18,11,11,6,8,8,6,10,10,12,72,1029,17,0.0,0.0,7.4,8,82,3,City of Poquoson,Virginia
2020-03-19,21,21,13,16,16,6,17,18,11,229,1023,21,2.7,0.0,8.8,14,86,4,City of Poquoson,Virginia
2020-03-20,24,24,18,21,21,6,21,22,17,228,1019,36,2.2,0.0,11.6,15,73,6,City of Poquoson,Virginia
2020-03-21,11,11,9,9,9,5,11,10,14,24,1025,19,7.0,0.0,6.1,8,80,2,City of Poquoson,Virginia
2020-03-22,10,10,9,6,6,6,9,10,15,65,1032,20,0.6,0.0,10.2,4,69,3,City of Poquoson,Virginia
2020-03-23,14,14,9,9,9,4,12,13,14,211,1022,21,13.4,0.0,6.1,10,91,3,City of Poquoson,Virginia
2020-03-24,11,11,8,7,7,6,10,10,9,44,1020,13,1.6,0.0,11.6,6,77,4,City of Poquoson,Virginia
2020-03-25,11,11,9,7,7,3,10,11,18,12,1012,25,47.1,0.0,6.1,8,89,3,City of Poquoson,Virginia
2020-03-26,13,13,7,8,8,6,10,10,9,109,1018,13,0.1,0.0,11.6,5,70,3,City of Poquoson,Virginia
2020-03-27,19,19,12,14,14,5,15,16,13,214,1013,21,0.9,0.0,7.6,11,78,4,City of Poquoson,Virginia
2020-03-28,18,18,13,15,15,5,16,16,7,110,1014,13,3.6,0.0,6.3,14,87,4,City of Poquoson,Virginia
2020-03-29,25,25,17,21,22,6,22,22,11,228,1012,24,1.7,0.0,11.6,17,78,5,City of Poquoson,Virginia
2020-03-30,20,20,15,17,17,6,17,18,14,273,1014,25,0.0,0.0,9.0,8,55,4,City of Poquoson,Virginia
2020-03-31,11,11,9,8,8,5,11,11,14,54,1012,18,11.7,0.0,9.0,6,73,3,City of Poquoson,Virginia
2020-04-01,10,10,4,5,5,5,9,8,19,125,1008,25,6.1,0.0,7.7,4,71,2,City of Poquoson,Virginia
2020-04-02,14,14,8,8,8,6,11,11,17,319,1012,24,0.0,0.0,11.6,3,58,4,City of Poquoson,Virginia
2020-04-03,15,15,9,9,9,6,12,12,20,325,1010,27,0.0,0.0,11.6,4,59,4,City of Poquoson,Virginia
2020-04-04,12,12,10,8,8,6,11,11,12,27,1016,16,0.0,0.0,6.4,7,76,3,City of Poquoson,Virginia
2020-04-05,15,15,9,12,12,6,12,13,5,180,1019,8,0.0,0.0,9.0,7,71,3,City of Poquoson,Virginia
2020-04-06,16,16,10,13,13,5,14,15,9,140,1018,14,0.6,0.0,10.3,10,77,4,City of Poquoson,Virginia
2020-04-07,20,20,13,16,16,6,17,17,5,189,1012,9,1.1,0.0,11.6,12,73,4,City of Poquoson,Virginia
2020-04-08,24,24,17,20,20,5,20,21,12,262,1003,24,7.3,0.0,10.3,14,71,5,City of Poquoson,Virginia
2020-04-09,23,23,13,17,17,6,18,20,15,262,998,24,1.4,0.0,11.6,10,62,5,City of Poquoson,Virginia
2020-04-10,13,13,8,7,7,6,10,11,21,292,1007,27,0.4,0.0,10.3,-1,44,3,City of Poquoson,Virginia
2020-04-11,15,15,7,9,9,6,11,11,11,275,1018,15,0.0,0.0,11.6,1,49,4,City of Poquoson,Virginia
2020-04-12,20,20,13,16,16,5,16,18,15,192,1020,25,0.2,0.0,11.6,9,61,5,City of Poquoson,Virginia
2020-04-13,24,24,18,20,20,6,21,22,22,217,1010,41,2.0,0.0,10.3,15,71,5,City of Poquoson,Virginia
2020-04-14,11,11,7,9,9,6,11,11,14,52,1018,18,0.0,0.0,10.3,4,62,3,City of Poquoson,Virginia
2020-04-15,10,10,4,4,4,5,8,7,15,138,1017,18,2.9,0.0,9.1,2,66,2,City of Poquoson,Virginia
2020-04-16,13,13,8,8,8,6,11,11,11,309,1023,15,0.0,0.0,11.6,0,50,4,City of Poquoson,Virginia
2020-04-17,18,18,9,13,13,6,14,14,14,164,1022,21,0.0,0.0,11.6,4,53,4,City of Poquoson,Virginia
2020-04-18,16,16,11,13,13,5,14,14,19,320,1011,28,11.7,0.0,9.1,8,67,3,City of Poquoson,Virginia
2020-04-19,19,19,10,14,14,6,14,15,9,191,1013,14,0.1,0.0,11.6,7,63,4,City of Poquoson,Virginia
2020-04-20,14,14,12,12,12,5,13,13,11,240,1004,16,12.2,0.0,6.6,11,84,3,City of Poquoson,Virginia
2020-04-21,19,19,12,14,14,6,15,17,18,247,1007,28,2.3,0.0,10.4,8,66,4,City of Poquoson,Virginia
2020-04-22,15,15,7,9,9,6,12,11,13,285,1017,18,0.7,0.0,11.6,0,44,4,City of Poquoson,Virginia
2020-04-23,17,17,9,13,13,5,14,15,12,203,1015,18,2.9,0.0,7.9,9,68,4,City of Poquoson,Virginia
2020-04-24,21,21,13,17,17,5,18,19,15,250,1006,24,10.9,0.0,7.9,14,83,4,City of Poquoson,Virginia
2020-04-25,14,14,9,11,11,5,13,13,11,89,1016,15,0.4,0.0,6.7,10,82,3,City of Poquoson,Virginia
2020-04-26,23,23,14,18,18,5,19,20,14,220,1007,23,1.4,0.0,10.4,13,74,6,City of Poquoson,Virginia
2020-04-27,14,14,11,10,10,5,13,12,16,325,1014,22,4.3,0.0,6.7,7,69,3,City of Poquoson,Virginia
2020-04-28,16,16,10,13,13,6,14,14,8,151,1022,11,0.0,0.0,11.6,7,62,4,City of Poquoson,Virginia
2020-04-29,23,23,15,19,19,6,20,20,15,191,1017,25,0.0,0.0,11.6,12,66,6,City of Poquoson,Virginia
2020-04-30,21,21,11,17,17,5,17,18,16,171,1009,26,40.0,0.0,6.7,14,80,4,City of Poquoson,Virginia
2020-05-01,16,16,12,13,13,5,14,14,12,306,1009,17,7.7,0.0,6.7,10,76,3,City of Poquoson,Virginia
2020-05-02,19,19,12,15,15,6,16,16,10,179,1018,14,0.0,0.0,11.6,9,64,5,City of Poquoson,Virginia
2020-05-03,25,25,17,21,21,6,22,22,14,236,1012,25,0.2,0.0,10.4,14,65,5,City of Poquoson,Virginia
2020-05-04,22,22,17,20,20,6,21,21,14,311,1009,23,0.3,0.0,11.6,12,61,6,City of Poquoson,Virginia
2020-05-05,13,13,6,11,11,5,12,12,10,69,1014,14,0.9,0.0,8.0,7,69,3,City of Poquoson,Virginia
2020-05-06,18,18,13,13,13,5,14,15,13,308,1007,17,7.7,0.0,7.0,9,73,4,City of Poquoson,Virginia
2020-05-07,16,16,9,12,12,6,13,14,12,331,1013,15,0.6,0.0,9.3,4,58,3,City of Poquoson,Virginia
2020-05-08,20,20,12,14,14,6,16,18,19,227,1011,27,1.2,0.0,10.4,8,60,5,City of Poquoson,Virginia
2020-05-09,14,14,5,5,5,6,9,9,19,292,1018,23,1.2,0.0,11.6,-2,47,3,City of Poquoson,Virginia
2020-05-10,17,17,9,13,13,6,13,14,9,218,1023,13,0.0,0.0,11.6,1,43,4,City of Poquoson,Virginia
2020-05-11,17,17,12,14,14,6,15,16,17,281,1016,24,0.3,0.0,13.4,6,56,5,City of Poquoson,Virginia
2020-05-12,16,16,8,10,10,6,12,12,10,291,1023,13,0.0,0.0,13.4,2,50,3,City of Poquoson,Virginia
2020-05-13,17,17,12,14,14,6,15,16,7,85,1027,10,0.0,0.0,14.5,5,51,5,City of Poquoson,Virginia
2020-05-14,20,20,14,16,16,5,16,16,10,204,1025,15,2.1,0.0,11.2,11,72,4,City of Poquoson,Virginia
2020-05-15,25,25,17,21,21,6,22,22,17,223,1020,27,0.0,0.0,14.5,15,70,6,City of Poquoson,Virginia
