date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,10,11,11,6,13,14,20,233,1006,27,0.1,0.0,11.3,-1,40,4,Clark County,Nevada
2020-03-02,16,16,8,9,9,6,11,12,13,242,1012,17,0.3,0.0,11.3,-3,41,4,Clark County,Nevada
2020-03-03,19,19,8,12,12,6,13,15,11,122,1015,17,0.0,0.0,11.3,-4,30,5,Clark County,Nevada
2020-03-04,22,22,11,16,16,6,16,18,2,76,1019,3,0.0,0.0,11.3,2,38,5,Clark County,Nevada
2020-03-05,22,22,14,17,17,6,17,19,2,54,1020,3,0.0,0.0,8.6,-1,31,4,Clark County,Nevada
2020-03-06,23,23,14,18,18,6,18,20,5,100,1016,9,0.0,0.0,10.1,-1,28,4,Clark County,Nevada
2020-03-07,21,21,13,16,16,6,17,18,10,212,1009,14,0.0,0.0,11.4,0,33,5,Clark County,Nevada
2020-03-08,17,17,11,13,13,6,14,15,11,216,1012,14,0.0,0.0,11.4,-1,36,4,Clark County,Nevada
2020-03-09,19,19,11,15,15,6,15,16,9,172,1017,12,0.0,0.0,11.6,-1,35,5,Clark County,Nevada
2020-03-10,16,16,12,13,13,5,14,15,6,85,1020,7,3.2,0.0,10.2,5,58,3,Clark County,Nevada
2020-03-11,19,19,12,15,15,5,15,16,4,93,1017,4,6.0,0.0,11.6,8,66,5,Clark County,Nevada
2020-03-12,21,21,13,16,16,5,17,18,7,57,1010,9,26.7,0.0,10.2,7,58,4,Clark County,Nevada
2020-03-13,16,16,12,13,13,6,14,14,10,219,1009,12,5.2,0.0,7.4,7,64,3,Clark County,Nevada
2020-03-14,17,17,11,13,13,6,14,15,13,189,1015,16,0.0,0.0,11.6,6,59,4,Clark County,Nevada
2020-03-15,18,18,12,14,14,6,15,16,10,201,1016,12,0.0,0.0,11.6,4,52,5,Clark County,Nevada
2020-03-16,18,18,10,14,14,6,14,16,11,164,1013,14,0.0,0.0,11.6,3,48,5,Clark County,Nevada
2020-03-17,13,13,9,9,9,6,11,12,10,214,1011,12,0.4,0.0,11.6,1,51,4,Clark County,Nevada
2020-03-18,14,14,8,10,10,6,10,12,3,136,1007,4,0.7,0.0,8.8,1,55,3,Clark County,Nevada
2020-03-19,13,13,6,8,8,6,10,11,8,203,1015,10,2.0,0.0,7.4,0,53,3,Clark County,Nevada
2020-03-20,15,15,7,11,11,6,11,12,3,120,1022,4,1.6,0.0,10.2,3,59,3,Clark County,Nevada
2020-03-21,17,17,11,14,14,6,14,15,4,122,1019,5,0.0,0.0,11.6,2,45,4,Clark County,Nevada
2020-03-22,19,19,11,15,15,6,15,17,4,134,1017,5,0.0,0.0,11.6,1,39,5,Clark County,Nevada
2020-03-23,17,17,12,13,13,6,14,15,11,260,1015,13,0.2,0.0,11.6,3,47,4,Clark County,Nevada
2020-03-24,18,18,10,13,13,6,14,16,14,216,1015,18,0.0,0.0,11.6,2,46,5,Clark County,Nevada
2020-03-25,17,17,11,12,12,6,13,15,17,221,1010,20,0.0,0.0,10.2,0,40,4,Clark County,Nevada
2020-03-26,13,13,8,8,8,6,10,11,11,255,1010,13,0.1,0.0,11.6,-3,41,4,Clark County,Nevada
2020-03-27,15,15,7,9,9,6,11,12,8,312,1014,10,0.3,0.0,11.6,-6,35,3,Clark County,Nevada
2020-03-28,17,17,8,13,13,6,13,15,6,181,1018,8,0.0,0.0,9.0,-6,28,3,Clark County,Nevada
2020-03-29,17,17,12,14,14,6,14,16,9,225,1015,11,0.7,0.0,11.6,0,39,5,Clark County,Nevada
2020-03-30,22,22,11,17,17,6,17,18,3,128,1020,4,0.0,0.0,11.6,1,36,5,Clark County,Nevada
2020-03-31,24,24,14,19,19,6,19,21,3,142,1015,3,0.0,0.0,11.6,1,31,6,Clark County,Nevada
2020-04-01,24,24,14,19,19,6,19,21,12,221,1005,18,0.0,0.0,11.6,2,33,6,Clark County,Nevada
2020-04-02,19,19,14,16,16,6,16,17,9,238,1010,12,0.0,0.0,11.6,-4,25,5,Clark County,Nevada
2020-04-03,20,20,12,17,17,6,16,17,3,72,1010,4,0.0,0.0,11.6,-7,20,5,Clark County,Nevada
2020-04-04,22,22,12,18,18,6,18,19,11,207,1006,14,0.0,0.0,11.6,-1,29,5,Clark County,Nevada
2020-04-05,20,20,13,16,16,6,16,17,16,221,1005,19,0.0,0.0,11.6,3,43,5,Clark County,Nevada
2020-04-06,16,16,13,14,14,6,14,15,12,198,1010,14,0.0,0.0,9.0,4,50,4,Clark County,Nevada
2020-04-07,19,19,13,16,16,6,16,17,5,171,1015,6,0.0,0.0,11.6,5,51,5,Clark County,Nevada
2020-04-08,19,19,10,14,14,6,14,16,10,147,1013,12,0.1,0.0,9.0,3,47,4,Clark County,Nevada
2020-04-09,15,15,9,12,12,6,12,13,4,175,1017,5,1.1,0.0,7.8,0,46,3,Clark County,Nevada
2020-04-10,15,15,12,14,14,6,14,14,3,169,1014,4,0.0,0.0,9.0,2,46,3,Clark County,Nevada
2020-04-11,22,22,10,17,17,6,17,19,7,232,1010,9,0.0,0.0,11.6,3,42,5,Clark County,Nevada
2020-04-12,21,21,15,18,18,5,18,19,5,86,1010,7,2.0,0.0,7.8,5,43,4,Clark County,Nevada
2020-04-13,22,22,14,17,17,6,17,19,8,215,1014,10,0.2,0.0,11.6,-5,26,5,Clark County,Nevada
2020-04-14,19,19,10,14,14,6,15,16,10,11,1021,13,0.0,0.0,11.6,-10,18,5,Clark County,Nevada
2020-04-15,24,24,13,19,19,6,19,22,6,223,1015,9,0.0,0.0,11.6,-7,18,6,Clark County,Nevada
2020-04-16,24,24,14,20,20,6,20,22,5,44,1009,8,0.0,0.0,11.6,1,28,6,Clark County,Nevada
2020-04-17,23,23,14,19,19,6,19,20,6,109,1009,8,0.0,0.0,11.6,-2,26,6,Clark County,Nevada
2020-04-18,22,22,14,18,18,6,19,20,6,241,1010,8,0.0,0.0,10.3,3,37,4,Clark County,Nevada
2020-04-19,24,24,14,19,19,6,19,21,10,208,1011,13,0.0,0.0,11.6,3,36,6,Clark County,Nevada
2020-04-20,24,24,15,20,20,6,20,22,4,144,1011,6,3.4,0.0,13.2,4,37,6,Clark County,Nevada
2020-04-21,24,24,15,20,20,6,20,21,6,220,1013,9,2.5,0.0,13.3,5,40,5,Clark County,Nevada
2020-04-22,28,28,18,23,23,6,23,26,10,344,1017,15,0.0,0.0,13.6,0,23,7,Clark County,Nevada
2020-04-23,29,29,20,25,24,6,24,27,8,129,1014,13,0.0,0.0,13.7,2,23,7,Clark County,Nevada
2020-04-24,29,29,19,24,23,6,23,25,7,35,1015,10,0.0,0.0,13.7,0,21,7,Clark County,Nevada
2020-04-25,31,31,20,26,25,6,25,28,4,91,1014,6,0.0,0.0,13.7,2,21,7,Clark County,Nevada
2020-04-26,32,32,21,27,26,6,26,30,8,243,1011,12,0.0,0.0,10.9,1,20,6,Clark County,Nevada
2020-04-27,35,35,21,28,28,6,28,31,5,234,1011,8,0.0,0.0,13.7,-1,16,8,Clark County,Nevada
2020-04-28,35,35,24,29,28,6,28,31,5,48,1014,7,0.0,0.0,13.8,4,21,8,Clark County,Nevada
2020-04-29,36,36,25,31,29,6,29,33,5,97,1012,7,0.0,0.0,13.8,4,19,8,Clark County,Nevada
2020-04-30,34,34,24,29,27,6,27,32,14,224,1008,20,0.0,0.0,12.2,3,19,8,Clark County,Nevada
2020-05-01,32,32,20,26,25,6,25,29,13,222,1007,18,0.0,0.0,13.8,-1,18,7,Clark County,Nevada
2020-05-02,31,31,19,25,24,6,24,28,10,205,1010,14,0.0,0.0,13.8,-1,18,7,Clark County,Nevada
2020-05-03,31,31,18,25,24,6,24,28,11,228,1010,16,0.0,0.0,13.9,-2,18,7,Clark County,Nevada
