date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,7,6,6,6,9,11,14,249,1008,23,0.0,0.0,10.1,4,71,3,Clarke County,Iowa
2020-03-02,8,8,-1,0,0,6,3,3,8,298,1012,12,0.0,0.0,11.6,-3,66,2,Clarke County,Iowa
2020-03-03,11,11,2,2,2,6,6,7,14,293,1007,22,0.0,0.0,11.6,-1,60,3,Clarke County,Iowa
2020-03-04,12,12,3,4,4,6,7,7,9,175,1015,15,0.0,0.0,11.6,1,69,3,Clarke County,Iowa
2020-03-05,10,10,3,2,2,6,7,8,21,302,1019,30,0.0,0.0,10.2,-2,55,3,Clarke County,Iowa
2020-03-06,8,8,-2,-1,-1,6,3,3,9,285,1032,15,0.0,0.0,11.6,-6,58,2,Clarke County,Iowa
2020-03-07,15,15,3,4,4,6,8,9,17,192,1025,27,0.0,0.0,8.7,-1,54,2,Clarke County,Iowa
2020-03-08,17,17,8,9,9,6,12,12,21,200,1016,30,0.7,0.0,11.6,6,64,4,Clarke County,Iowa
2020-03-09,11,11,1,5,5,4,8,9,14,263,1014,19,12.4,0.0,5.9,7,90,2,Clarke County,Iowa
2020-03-10,10,10,-1,1,1,6,4,4,7,120,1024,10,0.0,0.0,11.6,0,77,1,Clarke County,Iowa
2020-03-11,15,15,3,7,7,6,8,9,6,251,1016,10,0.0,0.0,11.6,4,74,3,Clarke County,Iowa
2020-03-12,15,15,6,8,8,5,11,13,16,273,1008,24,0.2,0.0,10.2,6,72,3,Clarke County,Iowa
2020-03-13,7,7,0,1,1,4,4,5,7,337,1026,10,1.1,0.0,8.8,-4,59,1,Clarke County,Iowa
2020-03-14,2,2,-3,-3,-3,2,1,1,10,74,1033,14,13.4,10.8,6.0,0,92,1,Clarke County,Iowa
2020-03-15,3,3,-3,-4,-4,4,0,1,8,116,1036,11,0.3,0.1,6.0,-2,86,1,Clarke County,Iowa
2020-03-16,8,8,0,1,1,5,3,4,5,230,1026,7,0.0,0.0,6.0,1,86,1,Clarke County,Iowa
2020-03-17,10,10,0,3,3,6,5,5,6,96,1026,9,0.0,0.0,11.6,0,73,3,Clarke County,Iowa
2020-03-18,12,12,6,6,6,5,8,9,8,140,1016,13,14.7,0.0,6.0,7,93,2,Clarke County,Iowa
2020-03-19,22,22,9,13,13,5,15,15,13,186,1007,21,10.7,0.0,7.4,11,89,4,Clarke County,Iowa
