date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,22,22,7,15,15,6,16,17,4,118,1026,6,0.0,0.0,11.6,2,48,5,Clay County,Florida
2020-03-02,24,24,12,17,17,6,18,20,7,193,1021,10,0.0,0.0,11.6,10,63,5,Clay County,Florida
2020-03-03,26,26,16,21,22,6,22,22,9,217,1016,12,0.0,0.0,11.6,15,70,6,Clay County,Florida
2020-03-04,29,29,19,23,24,4,24,25,8,218,1015,11,0.1,0.0,8.8,18,76,5,Clay County,Florida
2020-03-05,27,27,20,23,25,4,25,24,10,212,1014,16,12.1,0.0,5.9,20,85,5,Clay County,Florida
2020-03-06,20,20,13,16,16,6,17,17,10,316,1019,14,1.3,0.0,10.2,7,59,5,Clay County,Florida
2020-03-07,15,15,7,9,9,6,11,12,8,41,1028,11,0.0,0.0,11.6,-1,45,4,Clay County,Florida
2020-03-08,20,20,8,14,14,6,14,16,7,78,1032,10,0.0,0.0,11.6,7,61,4,Clay County,Florida
2020-03-09,22,22,13,17,17,6,18,19,6,119,1032,9,0.1,0.0,11.6,11,71,5,Clay County,Florida
2020-03-10,26,26,16,20,21,6,21,22,4,178,1027,7,0.2,0.0,11.6,14,71,5,Clay County,Florida
2020-03-11,27,27,16,21,22,4,22,23,4,237,1021,6,0.2,0.0,11.6,15,71,5,Clay County,Florida
2020-03-12,30,30,16,22,23,6,23,25,3,249,1018,4,0.0,0.0,11.6,14,62,6,Clay County,Florida
2020-03-13,30,30,18,24,25,6,25,26,3,252,1021,4,0.0,0.0,11.6,14,57,7,Clay County,Florida
2020-03-14,32,32,19,24,25,6,25,27,3,119,1024,5,0.0,0.0,11.6,16,65,7,Clay County,Florida
2020-03-15,33,33,19,25,26,6,26,27,3,298,1023,5,0.0,0.0,11.6,16,61,7,Clay County,Florida
2020-03-16,27,27,20,22,22,6,22,24,8,76,1024,10,0.2,0.0,7.4,17,74,5,Clay County,Florida
2020-03-17,29,29,19,23,23,5,23,25,4,241,1023,5,10.0,0.0,7.4,18,77,5,Clay County,Florida
2020-03-18,30,30,19,24,25,5,25,26,6,130,1024,8,3.2,0.0,11.6,17,70,7,Clay County,Florida
2020-03-19,32,32,19,25,26,5,26,27,5,152,1025,7,0.0,0.0,11.6,18,71,7,Clay County,Florida
2020-03-20,31,31,19,25,26,4,26,27,5,203,1025,6,0.0,0.0,11.6,18,70,7,Clay County,Florida
2020-03-21,32,32,20,25,26,6,26,28,3,270,1023,5,0.1,0.0,11.6,17,64,7,Clay County,Florida
2020-03-22,30,30,21,24,25,6,25,26,4,113,1022,6,2.6,0.0,8.8,18,71,6,Clay County,Florida
