date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,-2,2,2,6,5,7,13,191,1016,22,0.2,0.0,10.1,1,72,2,Clay County,Indiana
2020-03-02,11,11,6,8,8,4,10,11,10,312,1008,14,9.7,0.0,8.6,7,81,3,Clay County,Indiana
2020-03-03,12,12,6,6,6,5,8,10,10,273,1006,15,3.8,0.0,11.3,2,68,3,Clay County,Indiana
2020-03-04,9,9,4,4,4,6,7,8,10,312,1015,16,0.0,0.0,11.3,0,65,3,Clay County,Indiana
2020-03-05,13,13,2,4,4,6,7,8,10,219,1018,16,0.1,0.0,8.6,0,64,2,Clay County,Indiana
2020-03-06,5,5,-1,-4,-4,3,2,2,16,335,1025,22,0.2,0.0,8.6,-3,69,1,Clay County,Indiana
2020-03-07,9,9,-2,0,0,6,3,4,6,182,1033,10,0.0,0.0,11.4,-4,62,2,Clay County,Indiana
2020-03-08,14,14,2,4,4,6,7,8,13,197,1027,21,0.0,0.0,8.6,1,63,2,Clay County,Indiana
2020-03-09,14,14,8,9,9,5,12,12,19,195,1021,29,3.7,0.0,5.7,8,78,3,Clay County,Indiana
2020-03-10,10,10,5,8,8,5,10,10,10,329,1020,14,10.0,0.0,5.7,7,84,2,Clay County,Indiana
2020-03-11,14,14,4,7,7,6,8,9,5,231,1018,7,0.0,0.0,11.5,4,80,2,Clay County,Indiana
2020-03-12,16,16,6,11,11,4,12,13,9,172,1009,13,0.8,0.0,5.7,9,87,3,Clay County,Indiana
2020-03-13,9,9,3,3,3,6,6,6,11,318,1023,16,0.2,0.0,11.5,-1,63,3,Clay County,Indiana
2020-03-14,4,4,1,-1,-1,4,3,3,9,58,1032,13,2.1,0.4,5.8,0,83,1,Clay County,Indiana
2020-03-15,7,7,-1,-1,-1,5,3,4,10,51,1034,13,0.4,0.3,11.6,0,80,2,Clay County,Indiana
2020-03-16,6,6,2,3,3,5,4,5,4,213,1027,6,2.3,0.0,6.0,2,83,1,Clay County,Indiana
2020-03-17,11,11,2,5,5,5,7,7,6,337,1025,8,0.4,0.0,11.6,2,74,3,Clay County,Indiana
2020-03-18,8,8,2,4,4,3,7,7,7,103,1021,11,7.1,0.0,6.0,6,91,2,Clay County,Indiana
