date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,9,10,10,6,12,13,12,216,1008,19,0.1,0.0,7.3,7,72,3,Clay County,Missouri
2020-03-02,10,10,2,3,3,6,6,6,8,350,1012,11,0.0,0.0,11.6,0,66,3,Clay County,Missouri
2020-03-03,14,14,4,6,6,6,8,10,10,289,1010,17,0.0,0.0,11.6,0,56,3,Clay County,Missouri
2020-03-04,14,14,5,8,8,6,9,10,7,281,1016,13,0.0,0.0,11.6,1,58,3,Clay County,Missouri
2020-03-05,13,13,6,5,5,6,9,10,15,316,1021,23,0.0,0.0,11.6,-2,50,4,Clay County,Missouri
2020-03-06,11,11,-1,2,2,6,5,5,8,154,1033,13,0.0,0.0,11.6,-3,58,3,Clay County,Missouri
2020-03-07,16,16,3,6,6,6,9,10,14,188,1026,23,0.0,0.0,7.3,0,54,3,Clay County,Missouri
2020-03-08,18,18,8,10,10,6,13,13,19,198,1018,28,1.0,0.0,11.6,6,63,4,Clay County,Missouri
2020-03-09,15,15,3,8,8,4,11,13,17,249,1013,23,48.5,0.0,5.9,9,89,3,Clay County,Missouri
2020-03-10,13,13,0,4,4,6,6,6,6,240,1024,9,0.0,0.0,10.2,1,71,3,Clay County,Missouri
2020-03-11,18,18,7,11,11,6,12,13,5,280,1016,8,0.0,0.0,11.6,7,73,4,Clay County,Missouri
2020-03-12,14,14,8,10,10,5,11,13,10,340,1009,16,4.2,0.0,8.8,8,81,3,Clay County,Missouri
2020-03-13,10,10,2,3,3,5,6,7,8,51,1027,12,1.3,0.0,10.2,-2,59,3,Clay County,Missouri
2020-03-14,3,3,2,-2,-2,4,3,3,13,73,1030,18,10.1,0.0,6.0,1,87,1,Clay County,Missouri
2020-03-15,6,6,1,-1,-1,6,3,3,8,93,1035,11,0.3,0.2,6.0,-1,80,1,Clay County,Missouri
2020-03-16,7,7,2,3,3,5,5,5,4,147,1026,5,3.4,0.0,6.0,3,89,1,Clay County,Missouri
2020-03-17,10,10,3,5,5,6,7,7,6,94,1025,9,0.0,0.0,7.4,4,81,2,Clay County,Missouri
2020-03-18,19,19,8,11,11,4,13,14,9,140,1014,13,13.5,0.0,7.4,11,88,3,Clay County,Missouri
2020-03-19,24,24,13,18,18,5,18,20,15,202,1006,27,13.0,0.0,7.4,14,78,5,Clay County,Missouri
2020-03-20,5,5,0,0,0,5,4,3,15,235,1027,20,1.4,0.0,10.2,-1,68,2,Clay County,Missouri
2020-03-21,9,9,-2,0,0,6,3,4,6,154,1032,9,0.0,0.0,11.6,-4,62,2,Clay County,Missouri
2020-03-22,5,5,3,1,1,5,4,5,10,141,1022,14,8.1,0.0,6.1,3,90,1,Clay County,Missouri
2020-03-23,15,15,2,6,6,4,8,9,7,135,1020,10,0.0,0.0,8.8,5,84,2,Clay County,Missouri
2020-03-24,12,12,7,7,7,5,9,10,8,91,1014,12,1.4,0.0,6.1,7,89,2,Clay County,Missouri
2020-03-25,20,20,5,11,11,5,12,13,10,184,1010,16,1.1,0.0,11.6,9,83,4,Clay County,Missouri
2020-03-26,18,18,11,13,13,4,14,15,7,138,1005,11,1.1,0.0,6.1,12,90,4,Clay County,Missouri
2020-03-27,20,20,10,13,13,5,14,15,7,77,1004,11,6.8,0.0,6.1,13,93,3,Clay County,Missouri
2020-03-28,20,20,11,15,15,6,16,18,18,209,999,26,5.6,0.0,8.9,9,73,4,Clay County,Missouri
2020-03-29,17,17,7,9,9,6,11,13,15,286,1013,22,0.0,0.0,11.6,3,57,4,Clay County,Missouri
2020-03-30,19,19,7,12,12,6,12,14,7,107,1021,11,0.0,0.0,11.6,4,59,4,Clay County,Missouri
2020-03-31,18,18,8,12,12,6,13,13,4,25,1017,7,0.0,0.0,10.2,4,58,4,Clay County,Missouri
2020-04-01,20,20,7,13,13,6,14,15,11,172,1013,16,0.0,0.0,11.6,9,72,4,Clay County,Missouri
2020-04-02,18,18,13,14,14,6,15,15,12,166,1012,19,0.6,0.0,6.2,11,76,4,Clay County,Missouri
2020-04-03,1,1,-1,-3,-3,5,1,1,14,338,1020,17,1.9,0.0,6.4,-1,84,1,Clay County,Missouri
2020-04-04,11,11,-2,1,1,6,4,5,8,48,1023,11,0.0,0.0,11.6,-2,66,3,Clay County,Missouri
2020-04-05,16,16,2,7,7,6,9,10,8,135,1019,13,0.1,0.0,9.0,5,80,3,Clay County,Missouri
2020-04-06,17,17,8,13,13,4,14,15,11,196,1012,17,0.4,0.0,6.5,12,91,3,Clay County,Missouri
2020-04-07,26,26,15,19,19,6,20,21,9,232,1007,15,0.0,0.0,9.0,16,82,5,Clay County,Missouri
2020-04-08,26,26,14,19,19,6,20,21,9,266,1008,13,0.0,0.0,11.6,10,62,6,Clay County,Missouri
2020-04-09,13,13,4,6,6,6,9,10,13,313,1018,18,0.0,0.0,11.6,-1,52,4,Clay County,Missouri
2020-04-10,12,12,-2,3,3,6,5,6,7,215,1021,11,0.0,0.0,10.3,-4,53,3,Clay County,Missouri
2020-04-11,16,16,6,9,9,5,12,13,13,196,1006,21,14.3,0.0,6.5,8,76,3,Clay County,Missouri
2020-04-12,19,19,4,12,12,3,13,15,16,232,1001,26,17.5,0.0,6.5,10,89,3,Clay County,Missouri
2020-04-13,7,7,-2,-2,-2,6,3,3,14,314,1022,19,0.0,0.0,11.6,-8,50,2,Clay County,Missouri
2020-04-14,9,9,-2,1,1,6,3,5,8,265,1024,12,0.0,0.0,9.1,-7,49,1,Clay County,Missouri
2020-04-15,10,10,-2,3,3,5,5,5,7,120,1020,12,0.0,0.0,10.3,-3,61,2,Clay County,Missouri
2020-04-16,8,8,2,-1,-1,3,4,5,14,87,1021,21,32.9,0.0,6.6,1,80,1,Clay County,Missouri
2020-04-17,6,6,0,-1,-1,4,3,3,11,119,1021,15,31.5,2.0,9.1,0,85,1,Clay County,Missouri
2020-04-18,16,16,0,5,5,6,7,9,12,211,1015,18,0.0,0.0,11.6,3,72,3,Clay County,Missouri
2020-04-19,16,16,7,10,10,5,11,13,8,41,1010,12,0.4,0.0,9.2,7,77,3,Clay County,Missouri
2020-04-20,18,18,7,12,12,6,12,13,7,256,1010,10,0.8,0.0,8.0,7,73,3,Clay County,Missouri
2020-04-21,20,20,7,13,13,6,14,14,5,186,1015,9,0.0,0.0,11.6,7,66,4,Clay County,Missouri
2020-04-22,16,16,5,10,10,4,12,13,11,148,1009,17,27.0,0.0,8.0,10,84,3,Clay County,Missouri
2020-04-23,23,23,11,17,17,4,18,17,4,328,1004,7,0.4,0.0,9.2,12,76,4,Clay County,Missouri
2020-04-24,15,15,12,13,13,4,14,14,6,105,1007,10,20.8,0.0,6.9,12,88,3,Clay County,Missouri
2020-04-25,18,18,9,11,11,5,13,14,13,233,1014,18,19.3,0.0,11.6,9,78,4,Clay County,Missouri
2020-04-26,21,21,8,14,14,5,14,16,4,283,1020,7,0.2,0.0,11.6,8,69,5,Clay County,Missouri
2020-04-27,21,21,11,15,15,6,16,17,13,204,1015,19,2.2,0.0,9.3,12,78,4,Clay County,Missouri
2020-04-28,23,23,13,16,16,5,17,19,9,260,1009,15,4.8,0.0,8.1,14,84,4,Clay County,Missouri
