date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,4,10,10,6,11,12,5,199,1025,7,0.0,0.0,8.6,2,57,3,Clayton County,Georgia
2020-03-02,13,13,4,9,9,5,11,12,7,200,1018,11,13.8,0.0,5.7,8,81,3,Clayton County,Georgia
2020-03-03,20,20,14,16,16,4,16,17,9,229,1012,15,22.3,0.0,5.7,15,92,4,Clayton County,Georgia
2020-03-04,14,14,9,13,13,4,14,14,6,204,1016,8,19.8,0.0,5.7,11,84,3,Clayton County,Georgia
2020-03-05,10,10,5,7,7,4,9,10,8,61,1017,11,47.4,0.0,5.7,8,91,2,Clayton County,Georgia
2020-03-06,12,12,6,6,6,6,9,10,13,312,1022,17,0.0,0.0,11.6,0,59,3,Clayton County,Georgia
2020-03-07,19,19,2,8,8,6,10,11,6,138,1031,7,0.0,0.0,11.6,-2,48,4,Clayton County,Georgia
2020-03-08,15,15,4,9,9,6,10,11,5,131,1034,8,0.0,0.0,7.3,1,55,3,Clayton County,Georgia
2020-03-09,18,18,7,12,12,6,13,14,7,164,1032,10,0.3,0.0,8.8,7,72,3,Clayton County,Georgia
2020-03-10,15,15,9,13,13,4,14,14,6,225,1026,10,1.7,0.0,5.9,12,87,3,Clayton County,Georgia
2020-03-11,20,20,13,16,16,4,16,17,5,250,1020,8,1.2,0.0,6.0,14,89,4,Clayton County,Georgia
2020-03-12,22,22,14,18,18,5,19,19,6,226,1016,10,3.1,0.0,6.0,15,86,4,Clayton County,Georgia
2020-03-13,23,23,16,19,19,6,19,20,6,272,1019,9,3.8,0.0,6.0,15,78,5,Clayton County,Georgia
2020-03-14,22,22,15,18,18,6,18,19,5,106,1025,7,1.1,0.0,7.4,14,77,4,Clayton County,Georgia
2020-03-15,19,19,15,17,17,5,17,18,4,281,1024,5,11.3,0.0,6.0,15,86,4,Clayton County,Georgia
2020-03-16,13,13,11,11,11,5,13,12,8,95,1026,10,5.0,0.0,6.0,11,89,3,Clayton County,Georgia
2020-03-17,23,23,11,16,16,6,16,17,4,240,1023,5,3.3,0.0,7.4,13,84,4,Clayton County,Georgia
2020-03-18,26,26,14,19,19,5,20,21,6,158,1024,9,2.3,0.0,7.4,15,79,5,Clayton County,Georgia
2020-03-19,27,27,16,21,22,5,22,23,6,194,1024,9,0.3,0.0,10.2,17,77,5,Clayton County,Georgia
2020-03-20,26,26,17,21,21,5,21,22,9,241,1024,13,2.3,0.0,10.2,16,76,5,Clayton County,Georgia
2020-03-21,23,23,15,19,19,6,19,20,7,298,1024,9,1.3,0.0,8.8,13,70,5,Clayton County,Georgia
2020-03-22,17,17,12,13,13,6,14,15,7,88,1025,9,2.3,0.0,6.1,10,78,3,Clayton County,Georgia
2020-03-23,18,18,12,15,15,4,16,16,5,209,1021,8,26.0,0.0,6.1,15,96,4,Clayton County,Georgia
2020-03-24,24,24,16,19,19,3,19,20,6,206,1015,10,15.8,0.0,6.1,17,89,4,Clayton County,Georgia
2020-03-25,24,24,16,20,20,5,20,20,9,305,1012,13,16.3,0.0,11.6,14,71,6,Clayton County,Georgia
2020-03-26,27,27,12,20,20,6,20,20,5,140,1016,7,0.0,0.0,11.6,14,69,6,Clayton County,Georgia
2020-03-27,29,29,17,22,23,6,23,24,6,229,1014,9,0.0,0.0,11.6,16,69,6,Clayton County,Georgia
2020-03-28,29,29,18,23,24,6,24,24,8,233,1015,12,0.0,0.0,8.9,18,76,5,Clayton County,Georgia
2020-03-29,24,24,19,21,21,6,21,22,9,268,1018,13,0.6,0.0,7.5,14,68,5,Clayton County,Georgia
2020-03-30,23,23,15,19,19,6,19,20,7,322,1020,10,0.0,0.0,11.6,6,42,5,Clayton County,Georgia
2020-03-31,15,15,9,13,13,5,14,14,8,66,1009,11,9.3,0.0,6.2,7,63,3,Clayton County,Georgia
2020-04-01,17,17,6,9,9,6,11,12,11,330,1014,15,0.0,0.0,11.6,1,53,4,Clayton County,Georgia
2020-04-02,23,23,8,15,15,6,15,18,4,242,1018,6,0.0,0.0,11.6,4,51,5,Clayton County,Georgia
2020-04-03,26,26,11,18,18,6,19,20,4,213,1016,6,0.0,0.0,11.6,5,45,6,Clayton County,Georgia
2020-04-04,26,26,15,20,20,6,20,21,4,61,1015,6,0.0,0.0,11.6,9,50,6,Clayton County,Georgia
2020-04-05,26,26,15,20,20,6,21,22,3,151,1018,5,0.0,0.0,11.6,11,56,6,Clayton County,Georgia
2020-04-06,28,28,16,21,22,6,22,23,5,234,1018,7,0.3,0.0,9.0,13,63,5,Clayton County,Georgia
2020-04-07,27,27,13,19,19,5,20,22,7,254,1016,10,7.9,0.0,9.0,15,73,5,Clayton County,Georgia
2020-04-08,28,28,17,22,23,5,23,24,8,271,1010,12,7.3,0.0,6.4,18,79,5,Clayton County,Georgia
2020-04-09,26,26,18,22,22,6,22,23,11,312,1008,16,2.4,0.0,10.3,11,57,6,Clayton County,Georgia
2020-04-10,16,16,10,13,13,6,14,13,11,335,1015,14,0.0,0.0,11.6,-3,34,4,Clayton County,Georgia
2020-04-11,24,24,9,16,16,6,16,18,6,140,1018,7,0.0,0.0,11.6,2,41,5,Clayton County,Georgia
2020-04-12,19,19,11,13,13,4,15,15,9,103,1013,15,10.6,0.0,7.8,11,74,3,Clayton County,Georgia
2020-04-13,22,22,15,19,19,5,20,19,12,281,1012,16,64.4,0.0,11.6,13,67,5,Clayton County,Georgia
2020-04-14,24,24,12,17,17,6,18,19,7,289,1016,8,0.0,0.0,11.6,8,56,4,Clayton County,Georgia
2020-04-15,18,18,7,11,11,6,13,14,10,332,1018,13,0.0,0.0,11.6,-3,37,4,Clayton County,Georgia
2020-04-16,26,26,10,16,16,6,17,18,5,43,1024,7,0.0,0.0,11.6,0,35,5,Clayton County,Georgia
2020-04-17,22,22,11,16,16,6,17,18,7,176,1022,9,0.0,0.0,10.3,6,51,4,Clayton County,Georgia
2020-04-18,22,22,16,18,18,6,18,19,9,311,1015,13,0.3,0.0,10.3,7,53,5,Clayton County,Georgia
2020-04-19,15,15,9,12,12,4,13,12,4,124,1012,6,56.3,0.0,6.6,9,79,3,Clayton County,Georgia
2020-04-20,23,23,13,17,17,5,18,19,7,312,1006,10,47.3,0.0,10.3,10,69,4,Clayton County,Georgia
2020-04-21,24,24,14,18,18,6,18,20,9,287,1014,13,0.0,0.0,11.6,9,56,6,Clayton County,Georgia
2020-04-22,22,22,16,18,18,6,18,20,5,131,1018,6,0.0,0.0,10.4,6,48,4,Clayton County,Georgia
2020-04-23,18,18,10,13,13,3,14,15,11,135,1010,18,56.2,0.0,6.8,13,90,4,Clayton County,Georgia
2020-04-24,25,25,14,19,19,6,20,20,7,287,1009,9,1.2,0.0,10.4,14,73,5,Clayton County,Georgia
2020-04-25,27,27,16,20,21,6,21,22,8,191,1011,12,0.2,0.0,11.6,13,65,6,Clayton County,Georgia
2020-04-26,19,19,11,15,15,6,16,16,13,293,1016,17,0.2,0.0,11.6,6,60,5,Clayton County,Georgia
2020-04-27,23,23,9,16,16,6,17,18,7,315,1022,9,0.0,0.0,11.6,5,50,5,Clayton County,Georgia
