date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,5,13,13,6,14,15,3,156,1026,5,0.0,0.0,10.2,1,50,4,Clinch County,Georgia
2020-03-02,21,21,9,15,15,6,15,17,6,192,1020,10,0.0,0.0,8.7,8,64,4,Clinch County,Georgia
2020-03-03,26,26,15,20,20,6,21,22,8,215,1014,13,1.0,0.0,8.7,16,78,5,Clinch County,Georgia
2020-03-04,26,26,16,20,21,4,21,22,5,223,1014,8,7.5,0.0,5.9,19,93,5,Clinch County,Georgia
2020-03-05,25,25,15,19,19,2,20,21,7,214,1013,11,15.8,0.0,5.9,18,94,5,Clinch County,Georgia
2020-03-06,17,17,11,12,12,6,14,15,10,318,1020,14,0.0,0.0,11.6,5,61,4,Clinch County,Georgia
2020-03-07,14,14,4,8,8,6,10,10,7,29,1029,10,0.0,0.0,11.6,-1,50,4,Clinch County,Georgia
2020-03-08,20,20,5,11,11,6,12,14,5,90,1033,8,0.0,0.0,8.8,4,62,3,Clinch County,Georgia
2020-03-09,23,23,9,15,15,4,16,18,6,135,1032,9,0.0,0.0,10.2,10,71,5,Clinch County,Georgia
2020-03-10,25,25,14,19,19,5,20,21,5,196,1027,8,0.2,0.0,7.4,13,74,5,Clinch County,Georgia
2020-03-11,26,26,14,20,20,5,22,22,4,248,1021,6,0.5,0.0,11.6,13,72,5,Clinch County,Georgia
2020-03-12,27,27,15,21,22,4,22,22,4,252,1017,6,0.5,0.0,10.2,14,73,6,Clinch County,Georgia
2020-03-13,28,28,14,22,23,5,23,23,4,269,1020,6,0.0,0.0,10.2,14,69,6,Clinch County,Georgia
2020-03-14,31,31,16,23,23,5,23,25,2,52,1024,4,0.0,0.0,11.6,16,70,7,Clinch County,Georgia
2020-03-15,29,29,18,24,25,6,25,25,4,329,1023,6,0.0,0.0,11.6,15,66,7,Clinch County,Georgia
2020-03-16,24,24,17,20,20,5,20,21,6,85,1024,9,0.5,0.0,6.0,16,78,5,Clinch County,Georgia
2020-03-17,25,25,17,20,20,3,21,22,3,201,1023,6,14.3,0.0,7.4,18,88,5,Clinch County,Georgia
2020-03-18,27,27,18,21,22,3,22,24,4,187,1024,7,11.9,0.0,6.0,18,85,5,Clinch County,Georgia
2020-03-19,30,30,18,24,25,4,25,25,4,163,1025,6,1.5,0.0,10.2,17,73,7,Clinch County,Georgia
2020-03-20,30,30,18,23,24,5,24,26,4,219,1024,6,0.0,0.0,10.2,17,72,6,Clinch County,Georgia
2020-03-21,30,30,18,24,25,4,25,26,4,269,1023,7,0.9,0.0,8.8,17,74,6,Clinch County,Georgia
2020-03-22,30,30,17,21,22,5,22,24,5,96,1023,7,2.8,0.0,8.8,17,77,5,Clinch County,Georgia
2020-03-23,29,29,18,23,24,4,24,25,5,238,1021,8,0.0,0.0,10.2,16,70,7,Clinch County,Georgia
2020-03-24,29,29,17,23,24,4,24,25,7,222,1017,10,0.0,0.0,10.2,16,72,6,Clinch County,Georgia
2020-03-25,30,30,20,24,25,6,25,26,8,276,1012,11,0.4,0.0,11.6,17,67,6,Clinch County,Georgia
