date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,5,11,11,6,11,12,4,199,1024,6,0.0,0.0,8.6,1,48,3,Cobb County,Georgia
2020-03-02,12,12,6,9,9,4,11,11,7,185,1018,10,18.4,0.0,5.7,7,77,3,Cobb County,Georgia
2020-03-03,20,20,13,15,15,5,16,16,9,232,1011,14,24.5,0.0,5.7,13,87,4,Cobb County,Georgia
2020-03-04,14,14,8,12,12,4,13,13,5,202,1016,7,21.6,0.0,5.7,9,77,3,Cobb County,Georgia
2020-03-05,10,10,6,8,8,4,10,10,8,61,1017,10,60.4,0.0,5.7,7,85,2,Cobb County,Georgia
2020-03-06,11,11,5,5,5,6,8,9,15,313,1023,19,0.0,0.0,11.4,0,58,3,Cobb County,Georgia
2020-03-07,19,19,2,8,8,6,9,10,6,233,1031,7,0.0,0.0,11.6,-2,47,4,Cobb County,Georgia
2020-03-08,16,16,7,10,10,6,11,12,6,135,1034,8,0.0,0.0,8.8,-1,43,3,Cobb County,Georgia
2020-03-09,18,18,9,13,13,6,14,14,7,163,1032,10,0.0,0.0,8.8,5,58,3,Cobb County,Georgia
2020-03-10,16,16,13,14,14,6,15,15,7,219,1026,11,4.3,0.0,5.9,11,80,3,Cobb County,Georgia
2020-03-11,20,20,14,16,16,6,16,17,5,242,1019,7,2.4,0.0,6.0,13,84,4,Cobb County,Georgia
2020-03-12,22,22,15,18,18,6,19,19,6,211,1015,8,2.2,0.0,7.4,15,80,4,Cobb County,Georgia
2020-03-13,22,22,17,19,19,5,19,20,7,308,1019,9,1.2,0.0,7.4,14,74,4,Cobb County,Georgia
2020-03-14,21,21,15,18,18,6,18,19,6,101,1025,7,0.1,0.0,7.4,11,67,4,Cobb County,Georgia
2020-03-15,18,18,15,17,17,4,17,17,4,293,1025,5,4.9,0.0,6.0,14,82,4,Cobb County,Georgia
2020-03-16,15,15,12,12,12,4,13,13,8,104,1026,10,2.7,0.0,6.0,10,78,3,Cobb County,Georgia
2020-03-17,24,24,12,17,17,5,18,18,4,247,1023,5,7.6,0.0,7.4,12,76,4,Cobb County,Georgia
2020-03-18,26,26,15,20,20,6,20,21,6,150,1024,8,1.1,0.0,7.4,14,73,5,Cobb County,Georgia
2020-03-19,27,27,17,22,23,5,23,23,6,195,1023,7,0.0,0.0,11.6,16,71,5,Cobb County,Georgia
2020-03-20,25,25,18,21,21,6,21,22,8,237,1023,11,3.4,0.0,10.2,15,70,5,Cobb County,Georgia
2020-03-21,21,21,14,18,18,5,18,19,8,300,1024,9,2.1,0.0,8.8,12,69,4,Cobb County,Georgia
2020-03-22,16,16,12,13,13,5,14,15,8,106,1025,9,0.6,0.0,6.1,9,70,3,Cobb County,Georgia
2020-03-23,17,17,13,15,15,3,15,16,6,207,1021,8,40.5,0.0,6.1,14,92,4,Cobb County,Georgia
2020-03-24,23,23,15,17,17,3,18,18,4,201,1015,6,26.2,0.0,6.1,16,90,4,Cobb County,Georgia
2020-03-25,22,22,16,18,18,5,19,19,9,312,1012,12,11.6,0.0,10.2,12,69,5,Cobb County,Georgia
2020-03-26,25,25,13,19,19,6,19,19,6,125,1016,8,0.0,0.0,10.2,12,67,4,Cobb County,Georgia
2020-03-27,29,29,18,23,24,6,24,25,6,239,1014,8,0.0,0.0,11.6,14,60,6,Cobb County,Georgia
2020-03-28,28,28,19,23,24,6,24,23,7,232,1014,9,0.1,0.0,8.9,18,72,5,Cobb County,Georgia
2020-03-29,23,23,20,21,22,6,22,22,10,281,1017,13,1.0,0.0,7.5,12,59,5,Cobb County,Georgia
2020-03-30,22,22,15,19,19,6,19,20,8,327,1020,11,0.0,0.0,11.6,5,40,5,Cobb County,Georgia
2020-03-31,15,15,9,13,13,5,14,14,10,74,1009,12,12.7,0.0,6.2,6,60,3,Cobb County,Georgia
2020-04-01,16,16,6,8,8,6,10,11,12,329,1014,15,0.0,0.0,11.6,1,54,4,Cobb County,Georgia
2020-04-02,21,21,8,14,14,6,15,17,5,203,1018,6,0.0,0.0,11.6,3,47,5,Cobb County,Georgia
2020-04-03,24,24,11,18,18,6,18,20,5,206,1016,6,0.0,0.0,11.6,4,41,5,Cobb County,Georgia
2020-04-04,26,26,15,20,20,6,20,21,4,54,1015,6,0.0,0.0,11.6,6,42,6,Cobb County,Georgia
2020-04-05,28,28,17,22,22,6,22,23,2,191,1018,2,0.0,0.0,11.6,9,44,6,Cobb County,Georgia
2020-04-06,28,28,18,23,23,6,23,24,4,269,1018,5,0.1,0.0,11.6,11,50,6,Cobb County,Georgia
2020-04-07,26,26,15,20,21,5,21,22,7,259,1016,9,4.5,0.0,6.4,14,64,5,Cobb County,Georgia
2020-04-08,28,28,18,23,23,5,23,24,9,280,1009,12,8.2,0.0,6.4,16,70,5,Cobb County,Georgia
2020-04-09,24,24,17,21,21,5,21,22,12,316,1008,17,5.6,0.0,9.0,10,53,5,Cobb County,Georgia
2020-04-10,16,16,8,11,11,6,13,12,13,330,1015,15,0.0,0.0,11.6,-4,34,4,Cobb County,Georgia
2020-04-11,25,25,11,16,16,6,16,18,6,147,1018,7,0.0,0.0,11.6,-1,32,5,Cobb County,Georgia
2020-04-12,18,18,12,14,14,5,15,15,10,105,1013,15,13.3,0.0,6.5,9,66,3,Cobb County,Georgia
2020-04-13,19,19,14,18,18,5,18,18,13,292,1012,17,72.1,0.0,10.3,11,65,5,Cobb County,Georgia
2020-04-14,22,22,10,15,15,6,16,17,7,301,1017,8,0.0,0.0,11.6,5,53,5,Cobb County,Georgia
2020-04-15,16,16,6,9,9,6,11,12,10,330,1018,12,0.0,0.0,11.6,-4,38,4,Cobb County,Georgia
2020-04-16,22,22,10,15,15,6,15,17,6,233,1024,7,0.0,0.0,11.6,-2,32,5,Cobb County,Georgia
2020-04-17,23,23,13,18,18,6,18,19,7,185,1022,9,0.0,0.0,10.3,4,40,4,Cobb County,Georgia
2020-04-18,20,20,15,17,17,5,18,17,10,313,1015,13,0.9,0.0,10.3,5,47,5,Cobb County,Georgia
2020-04-19,17,17,13,14,14,4,14,14,5,132,1012,6,17.4,0.0,6.6,7,65,3,Cobb County,Georgia
2020-04-20,22,22,14,17,17,5,18,18,8,321,1006,10,26.5,0.0,10.3,10,64,5,Cobb County,Georgia
2020-04-21,23,23,14,18,18,6,19,20,10,296,1014,12,0.0,0.0,11.6,8,51,5,Cobb County,Georgia
2020-04-22,26,26,14,19,19,6,19,21,6,136,1018,7,0.0,0.0,10.4,3,37,5,Cobb County,Georgia
2020-04-23,20,20,14,15,15,4,16,16,12,146,1010,16,57.7,0.0,6.8,13,81,4,Cobb County,Georgia
2020-04-24,23,23,15,19,19,5,19,19,8,303,1009,10,3.1,0.0,9.2,13,69,4,Cobb County,Georgia
2020-04-25,27,27,16,20,21,6,21,23,10,192,1011,12,0.4,0.0,11.6,11,57,6,Cobb County,Georgia
2020-04-26,17,17,11,12,12,6,13,14,14,298,1016,17,0.1,0.0,10.4,6,63,4,Cobb County,Georgia
2020-04-27,22,22,9,15,15,6,16,17,7,318,1022,9,0.0,0.0,11.6,4,49,5,Cobb County,Georgia
2020-04-28,27,27,14,21,20,6,20,22,6,201,1020,8,0.0,0.0,11.6,5,38,6,Cobb County,Georgia
