date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,8,9,9,6,11,12,12,220,1014,18,0.0,0.0,11.6,-1,42,4,Cochise County,Arizona
2020-03-02,16,16,5,8,8,6,10,11,10,196,1010,13,0.0,0.0,11.6,-1,48,4,Cochise County,Arizona
2020-03-03,6,6,0,3,3,4,5,5,7,243,1011,10,16.6,0.0,5.9,2,78,1,Cochise County,Arizona
2020-03-04,16,16,5,9,9,6,10,10,4,127,1019,6,0.3,0.0,11.6,0,55,4,Cochise County,Arizona
2020-03-05,20,20,7,12,12,6,13,14,10,105,1020,14,0.0,0.0,11.6,-3,38,4,Cochise County,Arizona
2020-03-06,19,19,8,12,12,6,14,14,9,115,1019,15,0.0,0.0,10.2,-1,38,3,Cochise County,Arizona
2020-03-07,22,22,9,15,15,6,16,17,9,193,1016,12,0.0,0.0,11.6,1,39,5,Cochise County,Arizona
2020-03-08,15,15,9,10,10,5,12,12,9,226,1016,12,5.4,0.0,7.3,5,63,3,Cochise County,Arizona
2020-03-09,18,18,6,11,11,6,11,13,6,184,1019,9,0.0,0.0,11.6,2,59,4,Cochise County,Arizona
2020-03-10,20,20,11,15,15,5,16,16,5,197,1021,8,2.9,0.0,10.2,5,54,4,Cochise County,Arizona
2020-03-11,19,19,11,14,14,5,15,15,6,208,1018,9,7.8,0.0,8.8,10,71,4,Cochise County,Arizona
2020-03-12,18,18,12,14,14,5,15,15,8,169,1013,11,8.9,0.0,7.4,10,74,4,Cochise County,Arizona
2020-03-13,14,14,10,10,10,5,12,12,11,221,1013,14,2.9,0.0,7.4,5,65,3,Cochise County,Arizona
2020-03-14,17,17,5,10,10,6,11,12,5,167,1018,7,0.0,0.0,11.6,1,56,4,Cochise County,Arizona
2020-03-15,20,20,9,14,14,6,14,15,7,197,1018,10,0.0,0.0,11.6,-2,37,5,Cochise County,Arizona
2020-03-16,21,21,8,14,14,6,15,16,7,187,1016,9,0.0,0.0,11.6,-2,36,5,Cochise County,Arizona
2020-03-17,19,19,11,14,14,6,14,15,9,192,1014,13,0.0,0.0,11.6,-1,36,5,Cochise County,Arizona
2020-03-18,10,10,7,6,6,5,9,9,14,182,1012,18,6.7,0.0,7.4,2,60,2,Cochise County,Arizona
2020-03-19,13,13,4,5,5,6,8,9,13,230,1018,17,0.1,0.0,11.6,-1,56,3,Cochise County,Arizona
2020-03-20,17,17,5,10,10,6,11,12,5,187,1020,7,0.0,0.0,10.2,-4,41,3,Cochise County,Arizona
2020-03-21,19,19,9,13,13,6,14,15,7,238,1018,10,0.0,0.0,11.6,-4,31,4,Cochise County,Arizona
2020-03-22,20,20,7,13,13,6,13,14,6,194,1018,9,0.0,0.0,8.8,-3,35,3,Cochise County,Arizona
2020-03-23,20,20,10,14,14,6,15,16,10,247,1017,13,0.0,0.0,11.6,-2,32,5,Cochise County,Arizona
2020-03-24,22,22,7,14,14,6,15,15,6,185,1018,9,0.0,0.0,10.2,-2,38,4,Cochise County,Arizona
2020-03-25,25,25,10,17,17,6,17,19,10,220,1014,14,0.0,0.0,11.6,-3,28,5,Cochise County,Arizona
2020-03-26,20,20,12,14,14,5,15,16,15,227,1012,20,0.9,0.0,8.9,1,40,4,Cochise County,Arizona
2020-03-27,10,10,6,5,5,6,8,8,12,282,1013,15,0.1,0.0,11.6,-2,51,3,Cochise County,Arizona
2020-03-28,13,13,2,6,6,6,7,8,4,204,1019,6,0.0,0.0,11.6,-8,33,3,Cochise County,Arizona
2020-03-29,20,20,6,13,13,6,14,15,8,206,1015,10,0.0,0.0,10.2,-7,26,3,Cochise County,Arizona
2020-03-30,17,17,7,11,11,6,12,13,8,318,1018,12,0.0,0.0,11.6,-5,31,4,Cochise County,Arizona
2020-03-31,23,23,7,15,15,6,16,17,5,146,1016,8,0.0,0.0,8.9,-5,28,4,Cochise County,Arizona
2020-04-01,23,23,15,19,19,6,19,20,12,235,1010,16,0.0,0.0,11.6,-3,23,5,Cochise County,Arizona
2020-04-02,23,23,10,16,16,6,17,18,12,226,1011,17,0.0,0.0,11.6,-4,26,5,Cochise County,Arizona
2020-04-03,23,23,10,16,16,6,17,18,9,210,1011,12,0.0,0.0,11.6,-1,32,5,Cochise County,Arizona
2020-04-04,22,22,9,15,15,6,16,17,10,209,1011,14,0.0,0.0,11.6,-6,23,5,Cochise County,Arizona
2020-04-05,22,22,8,15,15,6,15,16,10,199,1011,14,0.0,0.0,11.6,-5,28,5,Cochise County,Arizona
2020-04-06,22,22,9,15,15,6,16,17,11,206,1013,15,0.0,0.0,11.6,-5,25,5,Cochise County,Arizona
2020-04-07,21,21,8,15,15,6,15,16,8,198,1016,11,0.0,0.0,12.4,0,36,5,Cochise County,Arizona
2020-04-08,22,22,9,15,15,6,16,17,13,190,1015,17,0.0,0.0,12.9,1,40,5,Cochise County,Arizona
2020-04-09,20,20,7,13,13,6,13,14,7,248,1016,10,0.0,0.0,12.9,-1,47,4,Cochise County,Arizona
2020-04-10,20,20,7,14,14,6,14,15,7,201,1013,9,0.0,0.0,12.9,-8,25,4,Cochise County,Arizona
2020-04-11,14,14,6,8,8,6,10,11,10,245,1012,14,1.4,0.0,11.9,-2,44,3,Cochise County,Arizona
2020-04-12,19,19,5,10,10,6,12,13,10,272,1014,13,0.0,0.0,12.9,2,54,4,Cochise County,Arizona
2020-04-13,21,21,8,14,14,6,15,16,13,246,1015,17,0.0,0.0,13.0,0,40,5,Cochise County,Arizona
2020-04-14,19,19,8,14,14,6,15,15,7,175,1016,10,0.0,0.0,13.0,-1,41,5,Cochise County,Arizona
2020-04-15,21,21,6,14,14,6,14,15,5,165,1015,8,0.0,0.0,13.0,-8,23,5,Cochise County,Arizona
2020-04-16,24,24,8,17,17,6,17,18,9,231,1013,13,0.0,0.0,13.0,-9,18,5,Cochise County,Arizona
2020-04-17,23,23,10,16,16,6,17,18,11,199,1013,16,0.0,0.0,12.0,-7,20,4,Cochise County,Arizona
2020-04-18,21,21,8,14,14,6,15,16,13,233,1014,17,0.0,0.0,13.0,-4,28,5,Cochise County,Arizona
2020-04-19,23,23,6,15,15,6,16,17,7,258,1014,10,0.0,0.0,13.1,-3,33,5,Cochise County,Arizona
2020-04-20,24,24,9,17,17,6,18,19,8,233,1013,12,0.0,0.0,13.1,-5,22,5,Cochise County,Arizona
2020-04-21,25,25,10,17,17,6,18,19,11,240,1013,16,0.0,0.0,13.1,-3,26,5,Cochise County,Arizona
2020-04-22,23,23,9,16,16,6,17,18,10,309,1015,14,0.0,0.0,13.1,-2,30,5,Cochise County,Arizona
2020-04-23,28,28,11,20,20,6,20,22,9,295,1014,13,0.0,0.0,13.1,-3,24,6,Cochise County,Arizona
2020-04-24,29,29,13,22,22,6,22,24,8,295,1012,12,0.0,0.0,13.2,-2,21,6,Cochise County,Arizona
2020-04-25,31,31,13,23,23,6,23,25,6,280,1013,9,0.0,0.0,13.2,-4,19,6,Cochise County,Arizona
2020-04-26,33,33,14,24,24,6,24,26,6,220,1013,8,0.0,0.0,13.2,-6,15,7,Cochise County,Arizona
2020-04-27,30,30,15,24,23,6,23,25,8,247,1013,13,0.0,0.0,10.8,-4,17,6,Cochise County,Arizona
2020-04-28,30,30,12,21,21,6,21,23,5,208,1014,8,0.0,0.0,13.2,-6,17,6,Cochise County,Arizona
2020-04-29,32,32,15,24,24,6,24,26,6,163,1014,9,0.0,0.0,13.2,-2,19,7,Cochise County,Arizona
2020-04-30,34,34,16,26,25,6,25,27,9,194,1012,12,0.0,0.0,13.3,-1,20,6,Cochise County,Arizona
2020-05-01,32,32,16,25,24,6,24,27,11,215,1012,16,0.0,0.0,13.7,-5,14,7,Cochise County,Arizona
2020-05-02,31,31,13,23,23,6,23,25,10,218,1014,15,0.0,0.0,13.7,0,25,6,Cochise County,Arizona
2020-05-03,31,31,14,23,23,6,23,25,9,222,1014,13,0.0,0.0,13.7,-2,24,6,Cochise County,Arizona
2020-05-04,31,31,12,23,23,6,23,24,7,242,1012,10,0.0,0.0,13.7,-4,20,6,Cochise County,Arizona
2020-05-05,32,32,12,24,24,6,24,25,5,183,1012,8,0.0,0.0,13.7,-6,15,7,Cochise County,Arizona
2020-05-06,35,35,14,26,25,6,25,28,8,189,1013,12,0.0,0.0,13.8,-6,13,7,Cochise County,Arizona
2020-05-07,35,35,16,26,26,6,26,28,11,253,1011,15,0.0,0.0,13.8,-5,13,7,Cochise County,Arizona
2020-05-08,30,30,17,24,23,6,23,25,5,201,1013,8,0.2,0.0,13.3,0,23,6,Cochise County,Arizona
2020-05-09,28,28,13,21,21,6,21,23,5,92,1014,7,0.8,0.0,13.3,6,41,5,Cochise County,Arizona
2020-05-10,28,28,17,22,22,6,22,24,4,244,1013,6,1.7,0.0,11.0,6,37,5,Cochise County,Arizona
2020-05-11,29,29,14,22,22,6,22,24,9,205,1013,13,0.0,0.0,12.2,1,31,5,Cochise County,Arizona
2020-05-12,28,28,11,21,21,6,21,22,10,233,1013,15,0.0,0.0,13.8,-1,24,6,Cochise County,Arizona
2020-05-13,28,28,12,20,20,6,20,22,11,227,1012,16,0.0,0.0,13.9,-4,22,6,Cochise County,Arizona
2020-05-14,27,27,10,19,19,6,19,21,8,219,1012,11,0.0,0.0,8.7,-3,27,5,Cochise County,Arizona
2020-05-15,28,28,12,21,21,6,21,23,7,218,1010,11,0.0,0.0,13.3,-3,24,6,Cochise County,Arizona
2020-05-16,29,29,11,20,21,6,21,22,6,211,1010,10,0.0,0.0,13.9,0,28,6,Cochise County,Arizona
2020-05-17,31,31,13,24,23,6,23,25,8,200,1011,12,0.0,0.0,13.9,-6,16,7,Cochise County,Arizona
2020-05-18,32,32,13,23,23,6,23,26,10,202,1012,15,0.0,0.0,13.9,-6,16,7,Cochise County,Arizona
2020-05-19,29,29,12,22,21,6,21,23,12,211,1011,17,0.0,0.0,13.9,-3,22,6,Cochise County,Arizona
2020-05-20,27,27,9,18,18,6,19,20,8,195,1012,12,0.0,0.0,13.9,-5,25,5,Cochise County,Arizona
2020-05-21,28,28,6,18,18,6,18,20,5,252,1011,7,0.0,0.0,14.0,-13,12,6,Cochise County,Arizona
2020-05-22,29,29,9,20,19,6,19,22,9,208,1011,13,0.0,0.0,14.0,-10,14,6,Cochise County,Arizona
2020-05-23,28,28,10,20,20,6,20,22,12,214,1010,18,0.0,0.0,14.0,-4,20,6,Cochise County,Arizona
2020-05-24,27,27,10,19,19,6,19,21,9,287,1010,14,0.0,0.0,14.0,-4,23,6,Cochise County,Arizona
2020-05-25,29,29,11,21,21,6,21,23,7,315,1009,12,0.0,0.0,14.0,-5,21,6,Cochise County,Arizona
2020-05-26,31,31,11,22,22,6,22,24,4,226,1011,7,0.0,0.0,14.0,-7,16,6,Cochise County,Arizona
2020-05-27,33,33,14,25,24,6,24,27,6,327,1011,10,0.0,0.0,14.0,-5,15,7,Cochise County,Arizona
2020-05-28,35,35,16,27,26,6,26,29,7,312,1013,11,0.0,0.0,14.0,-2,17,7,Cochise County,Arizona
2020-05-29,36,36,17,27,26,6,26,29,10,113,1014,14,0.5,0.0,14.0,5,29,7,Cochise County,Arizona
2020-05-30,35,35,18,27,27,6,27,29,7,161,1012,10,0.7,0.0,14.1,6,30,7,Cochise County,Arizona
2020-05-31,34,34,18,26,27,6,27,28,6,163,1011,8,0.5,0.0,13.4,7,35,6,Cochise County,Arizona
2020-06-01,34,34,16,26,25,6,25,27,6,134,1013,9,0.3,0.0,14.1,6,36,7,Cochise County,Arizona
2020-06-02,34,34,18,26,26,6,26,28,5,174,1013,8,0.0,0.0,14.1,6,33,7,Cochise County,Arizona
2020-06-03,34,34,18,28,27,6,27,29,6,313,1012,10,0.0,0.0,14.1,5,26,7,Cochise County,Arizona
2020-06-04,36,36,20,28,28,6,28,30,7,156,1009,11,0.0,0.0,11.1,5,25,7,Cochise County,Arizona
2020-06-05,37,37,20,29,29,6,29,31,8,186,1007,11,0.0,0.0,14.1,4,22,8,Cochise County,Arizona
2020-06-06,32,32,17,25,25,6,25,26,10,231,1009,15,0.0,0.0,14.1,-2,19,7,Cochise County,Arizona
2020-06-07,30,30,14,23,23,6,23,25,11,225,1009,16,0.0,0.0,14.1,1,24,6,Cochise County,Arizona
2020-06-08,29,29,13,22,22,6,22,24,12,264,1011,18,0.0,0.0,14.1,2,31,6,Cochise County,Arizona
2020-06-09,29,29,10,20,20,6,20,22,5,210,1014,8,0.0,0.0,14.1,-13,11,6,Cochise County,Arizona
2020-06-10,34,34,12,24,23,6,23,27,5,194,1014,8,0.0,0.0,14.1,-8,12,7,Cochise County,Arizona
2020-06-11,36,36,16,27,27,6,27,29,8,177,1014,12,0.0,0.0,14.1,-4,13,7,Cochise County,Arizona
2020-06-12,36,36,16,27,27,6,27,29,6,149,1016,9,0.0,0.0,14.1,3,25,7,Cochise County,Arizona
2020-06-13,34,34,18,27,27,6,27,29,11,207,1012,16,0.0,0.0,14.1,5,29,7,Cochise County,Arizona
2020-06-14,35,35,18,27,26,6,26,29,11,207,1011,16,0.0,0.0,14.1,0,18,7,Cochise County,Arizona
2020-06-15,32,32,17,26,25,6,25,27,9,189,1013,13,1.0,0.0,12.2,6,31,6,Cochise County,Arizona
2020-06-16,34,34,17,26,26,6,26,28,10,208,1013,15,0.6,0.0,14.1,8,40,7,Cochise County,Arizona
2020-06-17,33,33,17,26,25,6,25,28,13,219,1012,19,0.0,0.0,14.1,-4,14,7,Cochise County,Arizona
2020-06-18,33,33,13,25,24,6,24,26,10,216,1011,15,0.0,0.0,14.1,-5,16,7,Cochise County,Arizona
2020-06-19,33,33,12,24,24,6,24,26,10,223,1011,14,0.0,0.0,14.1,-8,13,7,Cochise County,Arizona
2020-06-20,31,31,15,24,24,6,24,26,5,218,1012,9,0.0,0.0,14.1,-1,19,7,Cochise County,Arizona
2020-06-21,34,34,15,25,25,6,25,27,5,185,1012,9,0.0,0.0,14.1,-3,16,7,Cochise County,Arizona
2020-06-22,35,35,17,27,27,6,27,29,7,303,1012,11,0.0,0.0,14.1,-2,16,7,Cochise County,Arizona
