date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,10,11,11,6,13,13,14,205,1007,22,0.0,0.0,5.8,8,71,3,Coffey County,Kansas
2020-03-02,12,12,4,4,4,6,7,7,11,20,1011,16,0.0,0.0,11.6,0,60,3,Coffey County,Kansas
2020-03-03,15,15,5,8,8,6,9,10,8,295,1011,13,0.0,0.0,11.6,0,54,4,Coffey County,Kansas
2020-03-04,15,15,6,9,9,6,10,11,7,328,1017,13,0.0,0.0,10.2,0,50,3,Coffey County,Kansas
2020-03-05,14,14,5,6,6,6,9,11,14,335,1023,22,0.0,0.0,11.6,-2,47,4,Coffey County,Kansas
2020-03-06,12,12,1,4,4,6,6,7,8,89,1033,13,0.0,0.0,11.6,-4,49,3,Coffey County,Kansas
2020-03-07,16,16,4,7,7,6,10,11,17,188,1026,27,0.0,0.0,8.7,1,53,3,Coffey County,Kansas
2020-03-08,17,17,8,9,9,5,12,13,25,192,1018,34,0.2,0.0,10.2,6,66,4,Coffey County,Kansas
2020-03-09,18,18,4,10,10,4,12,15,20,253,1014,30,26.9,0.0,5.9,10,85,3,Coffey County,Kansas
2020-03-10,15,15,1,5,5,6,7,8,7,137,1024,10,0.0,0.0,11.6,2,72,3,Coffey County,Kansas
2020-03-11,19,19,9,12,12,5,13,14,5,120,1015,9,16.3,0.0,11.6,8,74,4,Coffey County,Kansas
2020-03-12,19,19,10,13,13,6,14,16,14,301,1008,20,0.1,0.0,7.4,9,75,4,Coffey County,Kansas
2020-03-13,11,11,4,4,4,6,7,8,14,76,1025,19,1.0,0.0,10.2,-2,52,3,Coffey County,Kansas
2020-03-14,7,7,2,0,0,5,4,5,16,71,1027,20,5.8,0.0,6.0,2,84,1,Coffey County,Kansas
2020-03-15,6,6,1,-1,-1,6,3,3,10,66,1033,13,0.0,0.0,6.0,0,82,1,Coffey County,Kansas
2020-03-16,10,10,4,4,4,4,6,7,5,152,1024,7,7.3,0.0,6.0,5,90,2,Coffey County,Kansas
2020-03-17,13,13,4,6,6,6,9,9,9,98,1024,11,0.2,0.0,8.8,5,80,2,Coffey County,Kansas
2020-03-18,20,20,11,14,14,6,14,15,9,168,1013,15,3.5,0.0,7.4,13,90,3,Coffey County,Kansas
2020-03-19,24,24,17,20,20,6,21,22,20,211,1006,31,5.5,0.0,10.2,13,68,5,Coffey County,Kansas
2020-03-20,6,6,1,1,1,5,6,4,18,4,1027,23,0.2,0.0,8.8,-2,60,1,Coffey County,Kansas
2020-03-21,9,9,-2,0,0,6,3,4,7,146,1032,10,0.0,0.0,11.6,-5,58,2,Coffey County,Kansas
2020-03-22,9,9,1,3,3,4,6,7,10,154,1020,14,26.5,0.0,6.1,6,92,2,Coffey County,Kansas
2020-03-23,18,18,5,10,10,4,11,12,6,133,1018,9,0.0,0.0,11.6,7,79,4,Coffey County,Kansas
2020-03-24,14,14,9,10,10,6,11,12,8,33,1012,11,0.4,0.0,6.1,9,86,3,Coffey County,Kansas
2020-03-25,22,22,8,13,13,6,14,15,12,196,1009,19,0.0,0.0,11.6,10,80,5,Coffey County,Kansas
2020-03-26,23,23,14,17,17,6,18,18,11,280,1004,18,0.2,0.0,11.6,12,73,5,Coffey County,Kansas
2020-03-27,27,27,14,19,19,6,20,21,9,166,1002,15,7.2,0.0,10.2,14,77,5,Coffey County,Kansas
2020-03-28,19,19,9,15,15,6,16,18,21,232,1001,29,0.8,0.0,11.6,9,66,5,Coffey County,Kansas
2020-03-29,19,19,7,11,11,6,12,14,13,279,1016,19,0.0,0.0,11.6,3,55,4,Coffey County,Kansas
2020-03-30,20,20,9,14,14,6,14,16,8,132,1019,12,0.9,0.0,8.9,5,58,4,Coffey County,Kansas
2020-03-31,19,19,10,13,13,5,14,15,6,322,1016,9,1.9,0.0,7.5,8,71,3,Coffey County,Kansas
2020-04-01,19,19,9,13,13,6,14,15,14,185,1013,21,0.0,0.0,11.6,9,70,5,Coffey County,Kansas
2020-04-02,17,17,13,14,14,5,15,15,17,173,1010,26,5.4,0.0,6.2,11,80,4,Coffey County,Kansas
2020-04-03,2,2,-1,-4,-4,3,2,1,16,235,1021,20,1.6,0.0,6.2,-1,80,1,Coffey County,Kansas
2020-04-04,12,12,-2,2,2,6,5,6,10,50,1022,14,0.0,0.0,11.6,-3,62,3,Coffey County,Kansas
2020-04-05,16,16,4,9,9,6,11,11,8,156,1017,12,0.2,0.0,7.6,6,77,3,Coffey County,Kansas
2020-04-06,19,19,10,14,14,6,15,16,17,201,1012,25,0.1,0.0,6.3,13,88,4,Coffey County,Kansas
2020-04-07,27,27,15,20,20,6,21,21,12,232,1007,18,0.0,0.0,10.3,16,77,5,Coffey County,Kansas
2020-04-08,28,28,15,21,22,6,22,23,11,315,1008,15,0.0,0.0,11.6,11,57,6,Coffey County,Kansas
2020-04-09,15,15,7,9,9,6,11,12,12,328,1018,17,0.0,0.0,11.6,1,52,4,Coffey County,Kansas
2020-04-10,12,12,-1,3,3,6,6,6,8,183,1021,12,0.0,0.0,11.6,-3,52,3,Coffey County,Kansas
2020-04-11,20,20,8,12,12,5,14,15,20,200,1005,30,2.4,0.0,6.5,9,74,3,Coffey County,Kansas
2020-04-12,21,21,5,13,13,5,14,16,19,276,1001,27,2.9,0.0,6.5,9,82,4,Coffey County,Kansas
2020-04-13,9,9,-2,-2,-2,6,3,4,14,336,1023,18,0.0,0.0,11.6,-8,44,2,Coffey County,Kansas
2020-04-14,10,10,-1,2,2,6,5,6,8,238,1025,12,0.0,0.0,9.1,-5,50,2,Coffey County,Kansas
2020-04-15,15,15,1,6,6,6,8,8,9,173,1019,16,0.0,0.0,11.6,-1,57,3,Coffey County,Kansas
2020-04-16,15,15,4,7,7,5,10,10,12,166,1017,20,4.4,0.0,6.8,5,77,2,Coffey County,Kansas
2020-04-17,8,8,1,0,0,6,4,4,13,236,1021,17,3.8,0.0,9.2,1,80,1,Coffey County,Kansas
2020-04-18,16,16,0,5,5,6,8,9,12,199,1016,19,0.0,0.0,11.6,2,70,3,Coffey County,Kansas
2020-04-19,18,18,8,12,12,5,12,14,10,37,1009,15,1.3,0.0,8.0,9,82,3,Coffey County,Kansas
2020-04-20,20,20,9,13,13,6,14,15,8,261,1010,13,1.8,0.0,9.2,9,73,4,Coffey County,Kansas
2020-04-21,22,22,9,15,15,6,16,17,7,134,1015,12,0.0,0.0,11.6,7,60,5,Coffey County,Kansas
2020-04-22,16,16,12,13,13,4,14,15,12,144,1007,18,59.7,0.0,6.9,12,86,3,Coffey County,Kansas
2020-04-23,24,24,10,17,17,5,19,19,9,333,1004,13,8.5,0.0,11.6,11,72,5,Coffey County,Kansas
2020-04-24,19,19,11,13,13,4,15,17,12,148,1006,22,39.0,0.0,6.9,12,85,4,Coffey County,Kansas
2020-04-25,19,19,9,13,13,5,15,15,16,343,1014,23,6.6,0.0,10.4,9,74,4,Coffey County,Kansas
2020-04-26,21,21,9,14,14,6,15,16,7,254,1020,12,0.1,0.0,11.6,8,64,5,Coffey County,Kansas
2020-04-27,20,20,12,15,15,6,16,17,14,196,1015,22,2.5,0.0,6.9,12,78,4,Coffey County,Kansas
2020-04-28,25,25,15,19,19,6,20,21,12,276,1009,20,2.3,0.0,10.4,15,81,5,Coffey County,Kansas
2020-04-29,18,18,10,12,12,6,14,15,19,340,1014,27,0.5,0.0,8.1,8,67,4,Coffey County,Kansas
2020-04-30,22,22,9,15,15,6,17,17,7,313,1016,12,0.0,0.0,11.6,9,67,5,Coffey County,Kansas
2020-05-01,24,24,13,18,18,6,19,20,15,189,1010,23,0.0,0.0,11.6,14,75,5,Coffey County,Kansas
2020-05-02,24,24,16,20,20,5,21,21,8,170,1011,13,0.9,0.0,8.1,17,84,5,Coffey County,Kansas
2020-05-03,22,22,15,18,18,6,19,19,12,54,1014,17,0.8,0.0,9.3,13,75,4,Coffey County,Kansas
2020-05-04,20,20,13,16,16,5,17,17,12,189,1010,21,9.8,0.0,7.0,13,85,4,Coffey County,Kansas
2020-05-05,20,20,9,13,13,6,15,16,15,309,1018,22,0.0,0.0,11.6,8,68,5,Coffey County,Kansas
