date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,4,4,4,6,7,8,12,353,1008,18,0.0,0.0,11.2,0,62,3,Colfax County,Nebraska
2020-03-02,9,9,-1,1,1,6,4,4,9,263,1012,13,0.1,0.0,11.2,-3,62,2,Colfax County,Nebraska
2020-03-03,13,13,2,4,4,6,7,8,12,284,1008,20,0.0,0.0,11.6,-2,53,3,Colfax County,Nebraska
2020-03-04,15,15,3,6,6,6,9,9,11,261,1014,19,0.0,0.0,11.6,-2,50,3,Colfax County,Nebraska
2020-03-05,10,10,3,3,3,6,7,8,19,316,1022,28,0.0,0.0,11.6,-4,47,3,Colfax County,Nebraska
2020-03-06,11,11,-2,2,2,6,4,5,9,158,1031,14,0.0,0.0,11.6,-4,58,2,Colfax County,Nebraska
2020-03-07,19,19,6,9,9,6,11,12,17,196,1018,26,0.0,0.0,10.2,1,48,3,Colfax County,Nebraska
2020-03-08,20,20,9,13,13,6,14,14,17,193,1010,24,0.1,0.0,11.6,6,57,4,Colfax County,Nebraska
2020-03-09,5,5,1,0,0,5,4,3,13,349,1017,17,10.7,0.0,7.3,1,81,1,Colfax County,Nebraska
2020-03-10,11,11,-2,2,2,6,4,5,6,186,1022,9,0.1,0.0,5.9,-2,68,1,Colfax County,Nebraska
2020-03-11,18,18,1,8,8,6,9,10,8,217,1014,13,0.0,0.0,11.6,2,65,3,Colfax County,Nebraska
2020-03-12,12,12,4,8,8,6,10,11,16,338,1009,24,0.7,0.0,8.8,3,59,3,Colfax County,Nebraska
2020-03-13,7,7,1,2,2,5,4,5,5,56,1027,8,0.3,0.0,8.8,-6,51,1,Colfax County,Nebraska
2020-03-14,1,1,-6,-4,-4,3,0,1,11,88,1032,15,10.4,5.5,6.0,0,97,1,Colfax County,Nebraska
2020-03-15,2,2,-2,-4,-4,5,0,1,8,147,1035,10,0.5,0.3,6.0,-2,87,1,Colfax County,Nebraska
2020-03-16,6,6,-2,-1,-1,4,2,3,6,235,1025,9,0.0,0.0,6.0,0,88,1,Colfax County,Nebraska
2020-03-17,8,8,-1,2,2,5,4,4,7,143,1025,9,0.2,0.0,8.8,0,75,1,Colfax County,Nebraska
2020-03-18,14,14,6,7,7,4,9,10,7,139,1013,10,1.0,0.0,6.0,8,90,2,Colfax County,Nebraska
2020-03-19,15,15,7,10,10,4,11,13,13,103,1007,20,18.8,0.0,6.0,8,92,3,Colfax County,Nebraska
