date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,2,9,9,6,9,11,4,164,1025,6,0.0,0.0,11.6,-1,49,4,Columbia County,Georgia
2020-03-02,18,18,8,11,11,5,12,14,9,212,1019,13,6.0,0.0,7.3,6,67,3,Columbia County,Georgia
2020-03-03,20,20,15,16,16,5,17,17,10,217,1012,17,6.1,0.0,7.3,15,92,4,Columbia County,Georgia
2020-03-04,17,17,13,15,15,3,15,15,5,200,1015,8,10.3,0.0,7.3,13,90,4,Columbia County,Georgia
2020-03-05,10,10,6,8,8,5,10,10,9,67,1017,13,13.4,0.0,5.9,9,89,3,Columbia County,Georgia
2020-03-06,13,13,6,7,7,5,10,11,13,301,1019,18,0.0,0.0,11.6,2,63,4,Columbia County,Georgia
2020-03-07,13,13,2,6,6,6,8,8,6,14,1030,9,0.0,0.0,11.6,-2,53,3,Columbia County,Georgia
2020-03-08,16,16,5,10,10,6,11,11,4,134,1035,6,0.0,0.0,5.9,-1,46,3,Columbia County,Georgia
2020-03-09,20,20,8,14,14,6,14,15,6,165,1033,8,0.1,0.0,8.8,7,65,4,Columbia County,Georgia
2020-03-10,17,17,14,15,15,5,16,16,7,236,1027,11,0.6,0.0,5.9,13,86,4,Columbia County,Georgia
2020-03-11,23,23,13,18,18,3,18,20,6,249,1020,9,1.3,0.0,7.4,14,78,4,Columbia County,Georgia
2020-03-12,24,24,15,19,19,6,20,21,6,234,1016,9,2.3,0.0,10.2,15,77,5,Columbia County,Georgia
2020-03-13,25,25,17,21,21,6,22,22,7,273,1019,11,1.3,0.0,10.2,16,75,5,Columbia County,Georgia
2020-03-14,19,19,14,17,17,6,17,17,6,89,1026,8,0.2,0.0,7.4,10,64,4,Columbia County,Georgia
2020-03-15,19,19,15,17,17,5,17,18,4,228,1024,6,0.5,0.0,7.4,15,86,4,Columbia County,Georgia
2020-03-16,13,13,8,10,10,4,12,11,6,70,1028,9,2.7,0.0,6.0,8,76,3,Columbia County,Georgia
2020-03-17,22,22,13,17,17,6,17,18,3,247,1024,5,0.4,0.0,7.4,13,82,4,Columbia County,Georgia
2020-03-18,24,24,14,19,19,5,20,21,5,118,1025,8,4.4,0.0,7.4,16,81,5,Columbia County,Georgia
2020-03-19,28,28,18,22,23,5,23,24,7,201,1024,11,1.4,0.0,8.8,18,78,5,Columbia County,Georgia
2020-03-20,28,28,18,23,24,6,24,24,10,228,1023,14,0.3,0.0,11.6,17,71,6,Columbia County,Georgia
2020-03-21,27,27,17,22,22,6,22,23,7,283,1022,10,0.0,0.0,11.6,15,66,6,Columbia County,Georgia
2020-03-22,16,16,7,13,13,4,14,15,9,58,1026,12,2.9,0.0,6.1,11,78,4,Columbia County,Georgia
2020-03-23,20,20,13,16,16,5,16,17,6,208,1022,8,7.4,0.0,6.1,14,90,4,Columbia County,Georgia
2020-03-24,23,23,17,19,19,5,20,20,5,160,1016,7,9.0,0.0,6.1,17,90,4,Columbia County,Georgia
2020-03-25,25,25,18,21,21,5,22,22,9,294,1010,13,6.5,0.0,11.6,15,72,6,Columbia County,Georgia
2020-03-26,23,23,13,18,18,6,19,19,6,158,1017,9,0.0,0.0,11.6,12,67,5,Columbia County,Georgia
2020-03-27,28,28,16,22,23,5,23,24,8,233,1015,12,0.0,0.0,10.2,17,74,6,Columbia County,Georgia
2020-03-28,29,29,19,24,25,6,25,25,9,238,1015,13,0.0,0.0,11.6,18,71,7,Columbia County,Georgia
2020-03-29,28,28,20,23,24,6,24,25,10,249,1017,15,0.9,0.0,7.5,17,69,5,Columbia County,Georgia
2020-03-30,24,24,16,20,20,6,20,21,6,312,1018,9,0.4,0.0,11.6,8,46,6,Columbia County,Georgia
2020-03-31,17,17,12,15,15,5,15,16,9,97,1008,12,7.5,0.0,7.5,8,65,4,Columbia County,Georgia
2020-04-01,17,17,8,11,11,6,13,14,8,228,1011,11,0.0,0.0,11.6,5,61,4,Columbia County,Georgia
2020-04-02,20,20,8,13,13,6,14,15,5,220,1017,7,0.0,0.0,11.6,3,51,5,Columbia County,Georgia
2020-04-03,23,23,12,17,17,6,17,19,4,198,1016,6,0.0,0.0,11.6,6,51,5,Columbia County,Georgia
2020-04-04,24,24,14,19,19,6,19,20,5,91,1015,7,0.0,0.0,11.6,7,48,6,Columbia County,Georgia
2020-04-05,24,24,15,19,19,6,19,20,5,163,1018,7,0.0,0.0,10.3,9,55,5,Columbia County,Georgia
2020-04-06,27,27,16,21,21,6,21,23,6,245,1018,10,0.5,0.0,11.6,13,64,6,Columbia County,Georgia
2020-04-07,25,25,18,20,21,5,21,22,8,256,1016,13,5.7,0.0,8.9,16,75,5,Columbia County,Georgia
2020-04-08,29,29,17,22,23,6,23,24,9,260,1009,13,0.4,0.0,7.6,17,73,5,Columbia County,Georgia
2020-04-09,29,29,20,24,25,6,25,25,13,292,1005,19,0.5,0.0,10.3,12,56,7,Columbia County,Georgia
2020-04-10,18,18,12,14,14,6,15,15,10,332,1013,14,0.0,0.0,11.6,-1,35,5,Columbia County,Georgia
2020-04-11,21,21,9,14,14,6,15,17,6,163,1019,9,0.0,0.0,11.6,1,41,5,Columbia County,Georgia
2020-04-12,20,20,13,16,16,5,17,18,9,149,1016,15,5.1,0.0,6.3,15,87,4,Columbia County,Georgia
2020-04-13,26,26,18,22,23,5,23,23,13,260,1011,20,15.7,0.0,11.6,14,66,6,Columbia County,Georgia
2020-04-14,27,27,14,20,21,6,21,23,5,249,1015,7,0.0,0.0,11.6,12,63,6,Columbia County,Georgia
2020-04-15,19,19,12,14,14,6,15,16,7,23,1016,10,0.0,0.0,11.6,5,54,5,Columbia County,Georgia
2020-04-16,21,21,9,15,15,6,15,17,4,132,1023,6,0.0,0.0,11.6,3,48,5,Columbia County,Georgia
2020-04-17,22,22,12,17,17,6,17,19,7,183,1023,10,0.0,0.0,11.6,7,55,4,Columbia County,Georgia
2020-04-18,25,25,17,21,22,6,22,22,10,299,1014,15,0.0,0.0,11.6,10,59,6,Columbia County,Georgia
2020-04-19,18,18,9,13,13,5,14,15,4,208,1012,6,23.3,0.0,8.0,9,72,4,Columbia County,Georgia
2020-04-20,22,22,15,18,18,5,18,19,6,222,1005,9,46.6,0.0,6.8,14,78,4,Columbia County,Georgia
2020-04-21,25,25,13,18,18,6,19,21,9,269,1012,14,0.0,0.0,11.6,9,57,6,Columbia County,Georgia
2020-04-22,23,23,12,17,17,6,18,19,6,135,1018,10,0.0,0.0,11.6,6,51,5,Columbia County,Georgia
2020-04-23,18,18,11,15,15,4,16,17,9,94,1012,15,66.5,0.0,6.8,14,85,4,Columbia County,Georgia
2020-04-24,25,25,16,20,20,6,21,22,9,266,1008,13,0.3,0.0,10.4,15,74,5,Columbia County,Georgia
2020-04-25,27,27,16,21,22,6,22,23,7,194,1011,10,0.2,0.0,11.6,14,64,6,Columbia County,Georgia
2020-04-26,22,22,13,18,18,6,19,18,14,274,1014,18,0.0,0.0,11.6,8,60,5,Columbia County,Georgia
2020-04-27,23,23,11,16,16,6,17,18,7,311,1020,10,0.0,0.0,11.6,4,48,5,Columbia County,Georgia
2020-04-28,25,25,13,19,19,6,19,21,6,216,1021,9,0.0,0.0,11.6,8,50,6,Columbia County,Georgia
2020-04-29,26,26,16,20,20,5,21,22,12,180,1013,19,16.1,0.0,10.4,14,71,5,Columbia County,Georgia
2020-04-30,20,20,14,16,16,5,16,18,10,265,1009,13,21.1,0.0,6.9,11,72,4,Columbia County,Georgia
2020-05-01,23,23,12,16,16,6,17,19,11,290,1015,16,0.0,0.0,11.6,7,54,5,Columbia County,Georgia
2020-05-02,26,26,13,19,19,6,20,22,5,196,1021,8,0.0,0.0,11.6,9,54,6,Columbia County,Georgia
2020-05-03,29,29,16,23,23,6,23,25,9,249,1017,15,0.0,0.0,11.6,12,52,6,Columbia County,Georgia
2020-05-04,30,30,20,24,25,5,25,26,7,273,1013,11,3.3,0.0,10.4,17,64,6,Columbia County,Georgia
2020-05-05,31,31,21,25,26,6,26,27,10,244,1010,14,0.1,0.0,11.6,17,64,7,Columbia County,Georgia
2020-05-06,24,24,15,20,20,6,21,21,12,287,1012,16,0.6,0.0,11.6,8,55,6,Columbia County,Georgia
2020-05-07,20,20,9,14,14,6,15,17,6,305,1018,9,0.0,0.0,11.6,2,44,5,Columbia County,Georgia
2020-05-08,20,20,12,16,16,6,16,18,8,216,1015,11,1.8,0.0,10.4,7,58,4,Columbia County,Georgia
2020-05-09,22,22,9,14,14,6,16,16,6,218,1021,8,0.0,0.0,11.6,4,52,5,Columbia County,Georgia
2020-05-10,23,23,11,17,17,6,17,19,4,202,1022,7,0.0,0.0,11.6,6,49,5,Columbia County,Georgia
2020-05-11,22,22,12,16,16,6,17,19,8,312,1020,12,0.0,0.0,11.6,4,47,5,Columbia County,Georgia
2020-05-12,23,23,10,16,16,6,16,18,6,170,1024,8,0.0,0.0,11.6,3,43,5,Columbia County,Georgia
2020-05-13,26,26,14,20,20,6,20,22,4,156,1025,6,0.0,0.0,11.6,11,58,6,Columbia County,Georgia
2020-05-14,28,28,16,22,22,6,22,24,8,162,1024,11,0.0,0.0,11.6,14,64,6,Columbia County,Georgia
2020-05-15,27,27,17,22,22,6,22,24,6,166,1021,9,0.0,0.0,11.6,15,67,5,Columbia County,Georgia
2020-05-16,30,30,17,24,24,6,24,26,5,178,1018,8,0.0,0.0,11.6,15,63,7,Columbia County,Georgia
2020-05-17,31,31,19,25,25,5,25,27,5,232,1017,8,0.0,0.0,11.6,17,65,7,Columbia County,Georgia
2020-05-18,28,28,21,23,25,5,25,25,6,177,1011,9,5.7,0.0,7.0,19,77,5,Columbia County,Georgia
2020-05-19,28,28,20,23,24,6,24,25,8,225,1008,11,0.7,0.0,7.0,17,70,5,Columbia County,Georgia
2020-05-20,23,23,19,20,20,5,21,21,7,160,1011,11,10.7,0.0,7.0,17,85,5,Columbia County,Georgia
2020-05-21,26,26,15,21,22,4,22,23,5,262,1015,6,0.0,0.0,11.6,15,72,6,Columbia County,Georgia
2020-05-22,31,31,18,24,25,5,25,26,5,266,1018,7,15.3,0.0,9.3,18,71,6,Columbia County,Georgia
2020-05-23,32,32,19,26,27,6,27,28,6,254,1017,9,0.0,0.0,11.6,18,66,6,Columbia County,Georgia
2020-05-24,33,33,22,27,29,6,29,29,3,119,1017,6,1.7,0.0,9.3,19,64,6,Columbia County,Georgia
2020-05-25,29,29,22,25,27,5,27,27,6,115,1018,9,10.0,0.0,10.5,20,74,6,Columbia County,Georgia
2020-05-26,20,20,13,19,19,6,20,20,8,71,1018,13,2.6,0.0,8.2,17,83,5,Columbia County,Georgia
2020-05-27,27,27,20,23,25,6,25,25,8,54,1015,10,0.1,0.0,9.3,18,76,5,Columbia County,Georgia
2020-05-28,31,31,21,25,27,5,27,27,5,215,1016,8,5.7,0.0,7.1,21,78,6,Columbia County,Georgia
2020-05-29,30,30,22,26,28,5,28,28,5,211,1016,7,5.1,0.0,9.3,20,74,6,Columbia County,Georgia
2020-05-30,32,32,21,26,27,6,27,28,6,290,1015,8,1.0,0.0,11.6,18,67,7,Columbia County,Georgia
2020-05-31,29,29,21,24,26,6,26,26,8,42,1017,11,0.1,0.0,11.6,16,63,7,Columbia County,Georgia
2020-06-01,29,29,20,24,25,6,25,25,7,79,1023,10,0.0,0.0,11.6,14,57,7,Columbia County,Georgia
2020-06-02,29,29,19,24,24,6,24,26,6,205,1022,9,0.0,0.0,11.6,15,58,7,Columbia County,Georgia
2020-06-03,31,31,20,25,26,6,26,27,8,229,1016,11,0.0,0.0,11.6,17,62,7,Columbia County,Georgia
2020-06-04,32,32,22,26,28,6,28,28,7,187,1015,10,0.0,0.0,11.6,18,64,7,Columbia County,Georgia
2020-06-05,33,33,21,26,28,6,28,29,7,223,1014,11,1.8,0.0,10.5,20,70,6,Columbia County,Georgia
2020-06-06,32,32,22,26,28,6,28,28,7,255,1014,10,2.6,0.0,8.2,20,72,6,Columbia County,Georgia
2020-06-07,32,32,22,26,29,6,29,28,6,212,1014,8,0.6,0.0,10.5,21,73,6,Columbia County,Georgia
2020-06-08,32,32,22,27,30,6,30,29,4,164,1014,6,0.6,0.0,10.5,21,74,6,Columbia County,Georgia
2020-06-09,34,34,24,28,31,6,31,31,6,226,1014,8,0.6,0.0,9.4,21,69,7,Columbia County,Georgia
2020-06-10,32,32,23,27,30,5,30,28,7,213,1015,11,3.1,0.0,9.4,21,72,6,Columbia County,Georgia
2020-06-11,34,34,23,28,30,6,30,31,6,241,1017,8,4.0,0.0,10.5,19,61,8,Columbia County,Georgia
2020-06-12,32,32,22,27,28,6,28,29,9,44,1018,12,0.1,0.0,11.6,16,55,7,Columbia County,Georgia
2020-06-13,31,31,21,26,27,6,27,27,8,52,1018,11,0.4,0.0,11.6,15,54,7,Columbia County,Georgia
2020-06-14,30,30,19,24,25,6,25,26,9,55,1020,12,0.2,0.0,11.6,14,57,7,Columbia County,Georgia
2020-06-15,25,25,17,21,22,6,22,23,9,53,1021,13,1.3,0.0,10.5,15,70,5,Columbia County,Georgia
2020-06-16,22,22,16,18,18,5,18,19,10,17,1021,14,0.3,0.0,7.1,13,74,4,Columbia County,Georgia
2020-06-17,26,26,13,20,21,6,21,22,5,302,1018,7,0.0,0.0,8.2,13,67,5,Columbia County,Georgia
2020-06-18,28,28,18,23,24,5,24,25,5,218,1017,7,2.3,0.0,9.4,16,67,5,Columbia County,Georgia
2020-06-19,31,31,20,26,27,5,27,28,4,227,1018,6,6.5,0.0,9.4,18,65,6,Columbia County,Georgia
2020-06-20,33,33,21,27,28,6,28,29,4,276,1016,5,0.3,0.0,11.6,17,59,7,Columbia County,Georgia
2020-06-21,35,35,22,28,30,6,30,31,5,231,1015,8,1.6,0.0,11.6,18,56,8,Columbia County,Georgia
2020-06-22,34,34,22,28,30,6,30,30,7,236,1016,10,0.9,0.0,11.6,19,60,8,Columbia County,Georgia
