date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-9,-10,-10,6,-5,-4,8,322,1019,11,0.0,0.0,11.2,-11,64,2,Columbia County,New York
2020-03-02,10,10,-3,-1,-1,6,3,5,9,186,1013,16,0.2,0.0,11.2,-2,72,1,Columbia County,New York
2020-03-03,13,13,3,6,6,4,8,9,6,169,1004,10,0.7,0.0,8.6,6,88,2,Columbia County,New York
2020-03-04,7,7,2,1,1,5,4,5,9,274,1004,12,1.8,0.0,5.6,0,76,2,Columbia County,New York
2020-03-05,6,6,-1,-1,-1,6,2,4,7,323,1017,10,0.0,0.0,11.3,-3,71,2,Columbia County,New York
2020-03-06,8,8,0,1,1,5,3,6,6,102,1014,8,0.8,0.2,8.6,-3,67,2,Columbia County,New York
2020-03-07,3,3,-5,-6,-6,6,-1,0,12,346,1023,16,0.0,0.0,11.3,-9,61,2,Columbia County,New York
2020-03-08,12,12,-4,3,3,6,4,6,3,263,1027,5,0.0,0.0,11.4,-5,57,3,Columbia County,New York
2020-03-09,16,16,1,7,7,6,9,11,6,205,1024,10,0.0,0.0,11.4,3,70,4,Columbia County,New York
2020-03-10,15,15,7,8,8,5,10,12,11,204,1015,17,2.2,0.0,7.2,7,80,3,Columbia County,New York
2020-03-11,6,6,0,0,0,6,3,4,7,224,1020,10,1.7,0.0,8.7,-3,68,1,Columbia County,New York
2020-03-12,10,10,0,3,3,6,4,7,6,177,1020,8,0.0,0.0,8.7,0,72,3,Columbia County,New York
2020-03-13,14,14,4,6,6,5,9,12,12,243,1011,19,9.0,0.0,7.2,5,81,3,Columbia County,New York
2020-03-14,7,7,0,-1,-1,6,3,5,10,305,1025,14,0.0,0.0,10.2,-3,67,1,Columbia County,New York
2020-03-15,4,4,-3,-2,-2,6,1,2,8,231,1032,10,0.0,0.0,11.6,-6,63,2,Columbia County,New York
2020-03-16,6,6,-4,-1,-1,6,1,3,7,175,1034,9,0.0,0.0,10.2,-8,55,1,Columbia County,New York
2020-03-17,8,8,-1,0,0,4,4,6,9,223,1022,14,0.9,0.2,6.0,2,88,2,Columbia County,New York
2020-03-18,9,9,-2,1,1,6,4,5,5,265,1030,9,0.0,0.0,8.8,-4,61,2,Columbia County,New York
2020-03-19,8,8,2,3,3,3,5,6,5,121,1026,7,10.1,0.0,6.2,3,90,2,Columbia County,New York
2020-03-20,18,18,4,10,10,5,11,14,12,205,1012,20,4.3,0.0,6.3,9,89,3,Columbia County,New York
2020-03-21,5,5,-2,-3,-3,6,1,2,10,230,1027,13,0.0,0.0,11.6,-7,56,2,Columbia County,New York
2020-03-22,8,8,-5,-1,-1,6,2,3,5,328,1037,7,0.0,0.0,11.6,-11,44,2,Columbia County,New York
2020-03-23,5,5,-1,-3,-3,5,1,2,9,146,1030,12,1.2,0.0,6.3,-3,76,1,Columbia County,New York
2020-03-24,4,4,-4,-3,-3,4,0,1,6,344,1021,9,0.1,0.5,6.3,-1,94,1,Columbia County,New York
2020-03-25,5,5,-3,-1,-1,5,1,3,4,107,1020,6,0.1,0.0,6.3,0,91,1,Columbia County,New York
2020-03-26,10,10,-3,3,3,6,4,7,5,190,1015,8,0.0,0.0,11.6,2,86,2,Columbia County,New York
2020-03-27,12,12,5,7,7,4,9,9,6,326,1012,9,0.3,0.0,11.6,3,77,3,Columbia County,New York
2020-03-28,11,11,1,5,5,5,6,8,4,179,1020,6,6.6,0.0,9.0,3,82,2,Columbia County,New York
2020-03-29,11,11,6,6,6,5,9,9,8,141,1015,13,6.1,0.0,6.4,7,93,2,Columbia County,New York
2020-03-30,8,8,4,4,4,3,6,7,4,108,1013,6,9.9,0.0,6.4,5,93,2,Columbia County,New York
2020-03-31,6,6,2,3,3,4,4,5,3,137,1016,4,1.0,0.0,6.4,2,90,1,Columbia County,New York
2020-04-01,8,8,0,1,1,5,3,6,6,347,1010,9,0.0,0.0,10.3,-1,76,2,Columbia County,New York
2020-04-02,8,8,0,-1,-1,5,4,5,13,339,1007,18,3.0,0.0,6.4,1,80,2,Columbia County,New York
2020-04-03,8,8,5,3,3,2,6,7,11,349,1007,15,6.8,0.0,6.5,5,92,2,Columbia County,New York
2020-04-04,12,12,5,8,8,4,8,10,3,141,1016,4,0.0,0.0,6.5,6,83,2,Columbia County,New York
2020-04-05,15,15,7,9,9,5,10,12,3,253,1017,4,0.6,0.0,6.5,7,82,3,Columbia County,New York
2020-04-06,13,13,3,6,6,5,8,10,7,316,1017,11,0.0,0.0,11.6,0,64,3,Columbia County,New York
2020-04-07,15,15,3,9,9,6,10,11,5,301,1011,7,0.1,0.0,11.6,1,59,4,Columbia County,New York
2020-04-08,13,13,6,8,8,5,9,11,4,336,1001,5,4.7,0.0,9.1,6,84,3,Columbia County,New York
