date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,-1,0,0,6,4,4,10,204,1012,18,0.2,0.0,8.6,0,78,1,Cook County,Illinois
2020-03-02,8,8,1,3,3,4,5,5,5,304,1009,7,1.0,0.0,11.2,0,70,3,Cook County,Illinois
2020-03-03,9,9,1,2,2,6,5,6,9,262,1005,12,0.2,0.0,7.1,-2,63,2,Cook County,Illinois
2020-03-04,7,7,1,2,2,5,4,4,6,303,1014,8,0.0,0.0,11.3,-3,60,2,Cook County,Illinois
2020-03-05,10,10,3,2,2,5,6,7,12,241,1015,16,0.3,0.0,7.1,-3,54,2,Cook County,Illinois
2020-03-06,3,3,-1,-4,-4,4,1,1,12,235,1026,15,0.4,0.3,8.6,-5,62,1,Cook County,Illinois
2020-03-07,10,10,0,2,2,6,4,5,8,195,1031,11,0.0,0.0,11.3,-6,51,2,Cook County,Illinois
2020-03-08,15,15,4,6,6,6,9,10,14,203,1022,21,0.0,0.0,11.4,-1,49,3,Cook County,Illinois
2020-03-09,13,13,8,9,9,5,12,12,15,197,1016,24,10.5,0.0,5.7,8,76,3,Cook County,Illinois
2020-03-10,9,9,4,5,5,5,7,6,7,34,1020,8,4.8,0.0,10.1,1,66,2,Cook County,Illinois
2020-03-11,11,11,4,6,6,6,7,8,5,240,1018,7,0.0,0.0,7.2,1,66,2,Cook County,Illinois
2020-03-12,16,16,5,8,8,5,10,10,10,181,1008,13,0.7,0.0,5.7,6,78,3,Cook County,Illinois
2020-03-13,8,8,1,1,1,6,5,5,13,278,1022,16,0.6,0.0,11.5,-7,43,2,Cook County,Illinois
2020-03-14,4,4,1,-1,-1,5,3,3,8,50,1034,10,0.3,0.1,5.8,-4,62,1,Cook County,Illinois
2020-03-15,5,5,1,-1,-1,5,3,3,8,56,1036,10,0.6,0.5,8.7,-3,69,1,Cook County,Illinois
2020-03-16,6,6,2,1,1,6,3,4,6,218,1027,8,0.0,0.0,5.8,0,81,1,Cook County,Illinois
2020-03-17,12,12,2,4,4,6,6,7,5,302,1025,7,0.1,0.0,11.6,-5,50,3,Cook County,Illinois
2020-03-18,10,10,4,5,5,4,7,8,5,142,1022,7,0.6,0.0,6.2,1,69,2,Cook County,Illinois
2020-03-19,12,12,4,5,5,4,7,8,8,140,1013,14,4.8,0.0,6.2,8,95,2,Cook County,Illinois
2020-03-20,7,7,0,3,3,5,6,5,11,227,1020,15,0.6,0.0,6.3,1,69,2,Cook County,Illinois
2020-03-21,3,3,-2,-3,-3,6,0,1,8,50,1035,10,0.0,0.0,11.6,-8,54,2,Cook County,Illinois
2020-03-22,4,4,0,-2,-2,4,1,2,6,137,1030,8,3.5,2.0,7.6,-5,68,1,Cook County,Illinois
2020-03-23,9,9,1,3,3,4,4,5,3,318,1023,4,2.5,2.9,8.9,1,80,2,Cook County,Illinois
2020-03-24,11,11,2,5,5,6,6,7,5,96,1019,6,0.0,0.0,11.6,1,71,3,Cook County,Illinois
2020-03-25,16,16,4,9,9,6,10,11,6,209,1013,8,0.0,0.0,11.6,4,71,4,Cook County,Illinois
2020-03-26,12,12,5,7,7,6,9,10,8,111,1010,10,2.9,0.0,6.3,6,82,2,Cook County,Illinois
2020-03-27,13,13,5,7,7,4,8,9,7,75,1012,9,2.0,0.0,6.4,6,83,2,Cook County,Illinois
2020-03-28,16,16,10,12,12,4,13,13,7,67,1003,12,8.1,0.0,6.4,12,92,3,Cook County,Illinois
2020-03-29,11,11,7,7,7,5,10,10,18,247,1003,23,3.5,0.0,6.4,4,66,2,Cook County,Illinois
2020-03-30,9,9,5,3,3,6,6,7,9,324,1020,12,0.1,0.0,6.4,0,67,2,Cook County,Illinois
