date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,25,25,13,16,16,6,18,19,19,203,1009,29,0.0,0.0,10.2,11,69,4,Cooke County,Texas
2020-03-02,19,19,14,16,16,6,16,17,8,295,1008,14,0.0,0.0,10.2,7,57,5,Cooke County,Texas
2020-03-03,18,18,13,15,15,6,15,16,6,62,1010,10,0.0,0.0,11.6,7,61,5,Cooke County,Texas
2020-03-04,13,13,11,11,11,4,12,12,10,49,1016,15,26.5,0.0,5.9,9,81,3,Cooke County,Texas
2020-03-05,20,20,8,12,12,5,13,14,8,317,1024,14,0.6,0.0,11.6,4,58,4,Cooke County,Texas
2020-03-06,16,16,6,10,10,6,11,11,7,73,1033,12,0.0,0.0,11.6,-2,43,4,Cooke County,Texas
2020-03-07,16,16,7,10,10,6,11,12,12,164,1028,19,0.0,0.0,11.6,3,55,4,Cooke County,Texas
2020-03-08,15,15,9,10,10,6,12,12,17,183,1022,27,0.1,0.0,5.9,8,77,3,Cooke County,Texas
2020-03-09,26,26,15,19,19,6,20,20,19,221,1017,27,0.3,0.0,10.2,13,70,4,Cooke County,Texas
2020-03-10,22,22,9,15,15,6,16,15,9,126,1022,14,0.0,0.0,11.6,9,67,5,Cooke County,Texas
2020-03-11,25,25,18,21,21,6,21,22,12,265,1014,19,0.2,0.0,10.2,15,69,5,Cooke County,Texas
2020-03-12,29,29,19,23,24,6,24,25,13,262,1009,20,0.0,0.0,11.6,15,63,7,Cooke County,Texas
2020-03-13,14,14,12,13,13,4,14,13,16,71,1016,23,13.8,0.0,6.0,11,83,3,Cooke County,Texas
2020-03-14,22,22,13,18,18,4,19,20,11,265,1018,17,5.3,0.0,6.0,16,90,4,Cooke County,Texas
2020-03-15,12,12,9,8,8,6,10,10,11,33,1027,15,2.9,0.0,6.0,8,87,3,Cooke County,Texas
2020-03-16,19,19,11,13,13,5,14,14,9,144,1022,14,10.9,0.0,6.0,13,92,3,Cooke County,Texas
2020-03-17,17,17,12,14,14,4,15,15,10,92,1019,16,3.9,0.0,6.0,15,95,4,Cooke County,Texas
2020-03-18,25,25,17,20,20,5,21,21,14,192,1013,22,16.7,0.0,6.0,18,87,5,Cooke County,Texas
2020-03-19,25,25,18,21,22,5,22,22,19,224,1012,30,23.5,0.0,10.2,16,73,5,Cooke County,Texas
2020-03-20,14,14,8,11,11,6,13,12,14,10,1025,20,0.0,0.0,11.6,5,63,3,Cooke County,Texas
2020-03-21,15,15,4,7,7,5,9,9,9,66,1028,12,3.3,0.0,10.2,4,72,2,Cooke County,Texas
2020-03-22,18,18,11,14,14,4,15,15,6,188,1019,8,1.8,0.0,6.1,13,91,4,Cooke County,Texas
2020-03-23,21,21,12,16,16,4,16,17,9,143,1016,15,0.0,0.0,6.1,15,91,4,Cooke County,Texas
2020-03-24,25,25,18,20,20,6,21,22,12,289,1010,19,1.5,0.0,11.6,14,69,6,Cooke County,Texas
2020-03-25,27,27,13,19,19,6,20,21,11,179,1011,18,0.0,0.0,11.6,14,72,6,Cooke County,Texas
2020-03-26,31,31,20,24,26,6,26,25,16,204,1007,25,0.0,0.0,11.6,19,74,7,Cooke County,Texas
2020-03-27,25,25,21,23,25,6,25,23,17,196,1005,25,1.4,0.0,7.5,19,80,5,Cooke County,Texas
2020-03-28,21,21,15,19,19,6,20,19,15,272,1008,23,3.4,0.0,11.6,8,51,5,Cooke County,Texas
2020-03-29,20,20,9,14,14,6,14,15,7,117,1020,12,0.0,0.0,7.5,5,55,3,Cooke County,Texas
2020-03-30,14,14,9,12,12,5,13,14,12,122,1017,20,7.7,0.0,6.2,10,80,3,Cooke County,Texas
2020-03-31,19,19,8,12,12,5,13,14,10,136,1017,14,0.0,0.0,10.2,9,78,3,Cooke County,Texas
2020-04-01,19,19,10,13,13,6,14,15,12,169,1014,18,0.0,0.0,11.6,10,76,5,Cooke County,Texas
2020-04-02,20,20,12,15,15,6,16,17,19,178,1010,28,1.6,0.0,6.2,14,85,4,Cooke County,Texas
2020-04-03,17,17,5,9,9,5,11,10,14,354,1016,22,9.6,0.0,6.2,9,87,3,Cooke County,Texas
2020-04-04,13,13,3,4,4,6,7,7,9,251,1020,12,0.9,0.0,6.2,3,74,2,Cooke County,Texas
2020-04-05,20,20,8,13,13,4,14,14,7,163,1017,10,0.0,0.0,7.6,11,87,3,Cooke County,Texas
2020-04-06,22,22,13,17,17,4,18,18,11,182,1015,17,0.2,0.0,6.2,16,90,4,Cooke County,Texas
2020-04-07,29,29,18,23,23,6,23,24,11,235,1011,18,0.1,0.0,11.6,17,74,6,Cooke County,Texas
2020-04-08,31,31,19,24,26,6,26,26,10,248,1008,17,0.0,0.0,11.6,15,58,7,Cooke County,Texas
2020-04-09,21,21,15,18,18,6,18,18,13,66,1013,19,0.0,0.0,10.3,11,64,4,Cooke County,Texas
2020-04-10,19,19,11,14,14,6,15,15,11,108,1018,17,0.0,0.0,11.6,7,57,5,Cooke County,Texas
2020-04-11,19,19,13,15,15,5,16,17,14,179,1009,25,21.4,0.0,7.6,14,86,4,Cooke County,Texas
2020-04-12,25,25,19,21,21,5,22,22,19,230,1000,27,7.4,0.0,7.6,13,75,5,Cooke County,Texas
2020-04-13,11,11,2,2,2,6,6,6,15,21,1022,20,0.0,0.0,11.6,-2,56,3,Cooke County,Texas
2020-04-14,9,9,2,2,2,6,5,6,11,129,1025,15,0.0,0.0,6.7,1,72,2,Cooke County,Texas
2020-04-15,15,15,2,7,7,6,8,9,6,204,1022,9,0.0,0.0,11.6,2,66,3,Cooke County,Texas
2020-04-16,20,20,7,12,12,6,14,14,16,176,1017,26,0.0,0.0,11.6,8,71,4,Cooke County,Texas
2020-04-17,15,15,8,10,10,6,12,12,13,351,1018,20,0.2,0.0,6.7,9,80,3,Cooke County,Texas
2020-04-18,19,19,4,10,10,6,11,12,8,134,1017,11,0.1,0.0,9.2,7,75,3,Cooke County,Texas
2020-04-19,25,25,12,17,17,6,18,20,10,249,1006,15,3.3,0.0,8.0,15,87,5,Cooke County,Texas
2020-04-20,23,23,11,17,17,4,19,18,5,144,1011,9,0.0,0.0,11.6,13,79,5,Cooke County,Texas
2020-04-21,25,25,13,19,19,6,20,20,10,122,1013,16,0.7,0.0,9.2,15,79,5,Cooke County,Texas
2020-04-22,28,28,17,22,22,6,23,21,16,188,1004,27,4.1,0.0,8.0,17,81,5,Cooke County,Texas
2020-04-23,26,26,12,19,19,6,20,20,10,308,1007,16,0.0,0.0,11.6,12,65,6,Cooke County,Texas
2020-04-24,26,26,17,21,22,6,22,22,18,257,1005,28,0.0,0.0,11.6,13,60,6,Cooke County,Texas
2020-04-25,22,22,11,16,16,6,17,17,11,346,1017,17,0.0,0.0,11.6,9,61,5,Cooke County,Texas
2020-04-26,25,25,13,19,19,6,20,20,7,193,1021,10,0.0,0.0,11.6,11,60,6,Cooke County,Texas
2020-04-27,25,25,15,20,20,6,21,20,18,187,1015,28,3.8,0.0,9.2,13,66,5,Cooke County,Texas
2020-04-28,29,29,20,24,25,5,25,25,17,199,1009,25,9.7,0.0,8.0,20,84,5,Cooke County,Texas
2020-04-29,21,21,14,18,18,5,18,18,14,337,1017,22,15.2,0.0,11.6,10,64,5,Cooke County,Texas
2020-04-30,25,25,12,18,18,6,19,19,6,221,1018,10,0.0,0.0,11.6,9,59,5,Cooke County,Texas
2020-05-01,28,28,16,21,22,6,22,22,19,191,1012,30,0.0,0.0,11.6,13,60,6,Cooke County,Texas
2020-05-02,30,30,17,24,25,6,25,24,21,187,1010,30,0.3,0.0,11.6,19,74,6,Cooke County,Texas
