date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,-3,2,2,4,3,5,2,277,1028,3,0.2,0.0,5.5,0,86,2,Cowlitz County,Washington
2020-03-02,5,5,0,2,2,3,4,4,4,167,1026,6,3.7,0.0,5.8,3,95,1,Cowlitz County,Washington
2020-03-03,10,10,4,6,6,2,7,8,3,208,1023,6,1.3,0.0,7.2,6,94,2,Cowlitz County,Washington
2020-03-04,12,12,3,7,7,6,8,8,2,233,1023,3,0.9,0.0,11.6,2,76,3,Cowlitz County,Washington
2020-03-05,13,13,0,5,5,6,6,9,4,183,1017,7,0.0,0.0,10.2,2,74,2,Cowlitz County,Washington
2020-03-06,8,8,2,5,5,4,5,6,2,149,1016,2,3.8,0.0,5.8,4,91,2,Cowlitz County,Washington
2020-03-07,7,7,-1,2,2,4,3,5,2,199,1012,3,6.0,0.0,5.8,2,94,1,Cowlitz County,Washington
2020-03-08,9,9,-3,3,3,4,4,5,2,235,1018,4,0.0,0.0,7.3,-1,81,2,Cowlitz County,Washington
2020-03-09,13,13,-5,3,3,5,5,7,2,239,1023,3,0.0,0.0,11.6,-3,74,3,Cowlitz County,Washington
2020-03-10,13,13,-2,6,6,6,6,9,2,224,1024,3,0.0,0.0,11.6,0,75,3,Cowlitz County,Washington
2020-03-11,10,10,2,6,6,5,7,9,5,304,1024,6,0.1,0.0,10.2,2,78,3,Cowlitz County,Washington
2020-03-12,11,11,-3,4,4,4,5,7,3,321,1025,5,0.0,0.0,11.6,-1,78,3,Cowlitz County,Washington
2020-03-13,6,6,0,2,2,3,2,4,2,145,1009,3,1.3,0.1,5.9,1,91,1,Cowlitz County,Washington
2020-03-14,5,5,-1,1,1,3,2,3,4,105,1013,5,15.1,9.9,7.4,-1,87,1,Cowlitz County,Washington
