date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,12,13,13,6,14,15,17,196,1009,27,1.7,0.0,5.8,10,77,3,Craig County,Oklahoma
2020-03-02,12,12,8,9,9,5,10,10,8,26,1009,12,2.1,0.0,5.8,8,83,2,Craig County,Oklahoma
2020-03-03,17,17,6,10,10,6,11,12,5,298,1012,8,0.0,0.0,11.6,3,63,4,Craig County,Oklahoma
2020-03-04,15,15,8,10,10,6,11,12,6,28,1017,10,0.0,0.0,5.9,2,55,3,Craig County,Oklahoma
2020-03-05,16,16,5,9,9,6,10,12,9,210,1023,15,0.0,0.0,11.6,0,53,4,Craig County,Oklahoma
2020-03-06,13,13,3,5,5,6,7,8,7,141,1033,13,0.0,0.0,11.6,-3,50,3,Craig County,Oklahoma
2020-03-07,16,16,5,8,8,6,10,11,12,180,1029,19,0.0,0.0,10.2,2,58,3,Craig County,Oklahoma
2020-03-08,17,17,8,10,10,6,12,13,18,191,1022,28,0.0,0.0,11.6,5,61,4,Craig County,Oklahoma
2020-03-09,18,18,10,12,12,4,14,16,20,199,1016,31,13.0,0.0,5.9,11,83,4,Craig County,Oklahoma
2020-03-10,16,16,3,8,8,6,9,9,5,116,1024,8,0.0,0.0,11.6,4,74,3,Craig County,Oklahoma
2020-03-11,22,22,11,15,15,5,16,17,9,72,1014,15,12.0,0.0,7.4,11,77,4,Craig County,Oklahoma
2020-03-12,23,23,14,18,18,6,19,21,13,271,1008,20,0.0,0.0,11.6,13,74,6,Craig County,Oklahoma
2020-03-13,12,12,8,6,6,4,9,10,15,70,1023,21,0.7,0.0,8.8,1,58,2,Craig County,Oklahoma
2020-03-14,10,10,6,5,5,4,8,8,13,52,1024,18,22.0,0.0,6.0,6,90,2,Craig County,Oklahoma
2020-03-15,12,12,5,4,4,6,7,7,11,49,1031,16,0.0,0.0,6.0,4,80,2,Craig County,Oklahoma
2020-03-16,11,11,4,6,6,5,8,9,6,165,1024,9,5.2,0.0,6.0,7,88,2,Craig County,Oklahoma
2020-03-17,18,18,8,11,11,6,12,12,9,90,1023,13,0.1,0.0,6.0,9,81,3,Craig County,Oklahoma
2020-03-18,22,22,12,17,17,5,18,19,11,200,1014,16,30.5,0.0,7.4,15,88,4,Craig County,Oklahoma
2020-03-19,25,25,18,20,20,5,21,22,19,210,1010,33,17.5,0.0,7.4,16,77,5,Craig County,Oklahoma
2020-03-20,11,11,4,7,7,6,10,8,16,129,1025,23,0.0,0.0,7.4,4,66,2,Craig County,Oklahoma
2020-03-21,11,11,0,3,3,6,6,6,7,68,1031,11,0.0,0.0,11.6,-1,62,3,Craig County,Oklahoma
2020-03-22,14,14,6,7,7,4,9,10,10,166,1021,13,12.6,0.0,6.1,7,86,2,Craig County,Oklahoma
2020-03-23,19,19,8,13,13,5,13,14,6,112,1018,9,0.0,0.0,11.6,9,81,4,Craig County,Oklahoma
2020-03-24,21,21,11,14,14,5,15,17,9,46,1011,15,37.1,0.0,8.8,12,82,4,Craig County,Oklahoma
2020-03-25,24,24,8,15,15,4,16,17,10,191,1011,17,0.0,0.0,11.6,12,80,5,Craig County,Oklahoma
2020-03-26,28,28,17,22,22,6,22,23,13,213,1005,22,0.0,0.0,11.6,17,76,6,Craig County,Oklahoma
2020-03-27,25,25,20,22,23,6,23,23,14,200,1003,20,1.4,0.0,6.1,20,87,5,Craig County,Oklahoma
2020-03-28,20,20,12,18,18,6,19,20,19,231,1004,31,1.8,0.0,10.2,11,63,4,Craig County,Oklahoma
2020-03-29,19,19,7,11,11,6,13,14,10,254,1019,15,0.0,0.0,11.6,5,60,4,Craig County,Oklahoma
2020-03-30,20,20,11,15,15,5,16,16,7,134,1020,10,5.6,0.0,8.9,7,64,4,Craig County,Oklahoma
2020-03-31,18,18,10,12,12,5,13,14,7,217,1016,10,25.4,0.0,8.9,9,77,3,Craig County,Oklahoma
2020-04-01,20,20,9,14,14,6,14,15,9,182,1014,15,0.0,0.0,8.9,9,72,4,Craig County,Oklahoma
2020-04-02,19,19,13,15,15,5,16,17,16,177,1012,24,0.5,0.0,6.2,11,74,4,Craig County,Oklahoma
2020-04-03,6,6,1,3,3,5,7,5,13,352,1018,18,7.5,0.0,6.2,5,90,2,Craig County,Oklahoma
2020-04-04,9,9,1,2,2,6,5,6,9,37,1021,12,0.0,0.0,6.2,2,81,2,Craig County,Oklahoma
2020-04-05,18,18,8,12,12,5,13,14,6,193,1018,10,0.0,0.0,6.2,10,84,3,Craig County,Oklahoma
2020-04-06,20,20,12,16,16,6,16,17,13,199,1014,20,0.6,0.0,6.5,14,90,4,Craig County,Oklahoma
2020-04-07,25,25,17,21,21,6,21,22,13,206,1009,20,0.1,0.0,9.0,18,86,5,Craig County,Oklahoma
2020-04-08,28,28,16,21,22,6,22,23,8,230,1007,13,0.1,0.0,11.6,16,75,6,Craig County,Oklahoma
2020-04-09,17,17,10,12,12,6,13,14,10,135,1017,16,0.0,0.0,11.6,6,62,4,Craig County,Oklahoma
2020-04-10,15,15,1,7,7,6,9,9,6,126,1021,10,0.0,0.0,11.6,-1,53,3,Craig County,Oklahoma
2020-04-11,19,19,8,12,12,6,13,15,15,194,1009,23,1.8,0.0,6.5,9,74,3,Craig County,Oklahoma
2020-04-12,22,22,16,19,19,5,20,21,18,191,1000,29,47.2,0.0,6.5,13,85,5,Craig County,Oklahoma
2020-04-13,8,8,-1,0,0,5,4,4,12,122,1023,16,0.2,0.0,7.8,-5,56,1,Craig County,Oklahoma
2020-04-14,11,11,2,5,5,6,7,7,3,120,1026,5,0.2,0.0,10.3,-1,61,3,Craig County,Oklahoma
2020-04-15,15,15,1,5,5,6,8,9,9,236,1021,15,0.0,0.0,11.6,1,64,3,Craig County,Oklahoma
2020-04-16,18,18,5,9,9,6,11,12,13,187,1018,22,0.0,0.0,10.3,5,66,3,Craig County,Oklahoma
2020-04-17,10,10,6,7,7,4,10,8,12,120,1018,19,7.2,0.0,6.6,6,82,2,Craig County,Oklahoma
2020-04-18,17,17,0,7,7,6,8,10,7,182,1017,12,0.1,0.0,11.6,3,70,3,Craig County,Oklahoma
2020-04-19,15,15,7,11,11,5,12,14,7,59,1008,11,8.9,0.0,7.8,11,91,3,Craig County,Oklahoma
2020-04-20,21,21,10,16,16,5,17,17,7,238,1010,11,7.7,0.0,10.4,12,79,4,Craig County,Oklahoma
2020-04-21,23,23,11,16,16,6,17,18,5,100,1015,9,1.5,0.0,11.6,10,68,5,Craig County,Oklahoma
