date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,2,3,3,6,7,7,11,333,1008,19,0.0,0.0,11.6,2,73,3,Crawford County,Iowa
2020-03-02,7,7,-2,-1,-1,6,2,3,9,270,1011,13,0.0,0.0,11.6,-4,65,2,Crawford County,Iowa
2020-03-03,11,11,1,2,2,6,5,6,12,292,1006,19,0.1,0.0,11.6,-2,63,3,Crawford County,Iowa
2020-03-04,12,12,2,4,4,4,7,7,9,274,1014,14,0.2,0.0,10.2,1,69,2,Crawford County,Iowa
2020-03-05,8,8,1,1,1,6,6,7,22,307,1019,30,0.0,0.0,11.6,-2,57,2,Crawford County,Iowa
2020-03-06,9,9,-3,-1,-1,6,2,3,8,225,1032,13,0.0,0.0,11.6,-5,62,2,Crawford County,Iowa
2020-03-07,16,16,4,6,6,6,9,10,19,194,1020,30,0.0,0.0,11.6,-1,49,4,Crawford County,Iowa
2020-03-08,17,17,8,10,10,6,12,13,19,195,1011,30,0.0,0.0,11.6,5,61,4,Crawford County,Iowa
2020-03-09,6,6,-5,0,0,3,4,3,13,239,1016,18,21.1,2.3,5.9,2,85,1,Crawford County,Iowa
2020-03-10,6,6,-3,-1,-1,5,2,3,6,196,1023,10,2.2,0.1,8.8,-3,74,1,Crawford County,Iowa
2020-03-11,14,14,0,5,5,6,7,7,8,233,1014,14,0.0,0.0,11.6,1,71,3,Crawford County,Iowa
2020-03-12,13,13,3,6,6,6,10,11,19,322,1008,28,0.3,0.0,7.4,3,64,3,Crawford County,Iowa
2020-03-13,7,7,-1,1,1,5,3,4,6,330,1027,10,0.6,0.0,7.4,-5,55,1,Crawford County,Iowa
2020-03-14,2,2,-1,-4,-4,3,1,0,11,78,1034,14,8.6,7.1,6.0,-1,86,1,Crawford County,Iowa
2020-03-15,3,3,-3,-4,-4,6,0,1,8,138,1036,11,0.2,0.0,7.4,-3,80,1,Crawford County,Iowa
2020-03-16,7,7,-1,0,0,5,3,4,6,243,1025,8,0.1,0.1,6.0,0,85,1,Crawford County,Iowa
2020-03-17,8,8,-1,1,1,6,3,4,6,220,1025,9,0.0,0.0,10.2,-2,69,2,Crawford County,Iowa
2020-03-18,13,13,5,6,6,3,8,9,8,149,1015,12,2.0,0.0,6.0,7,92,2,Crawford County,Iowa
2020-03-19,17,17,8,9,9,4,11,13,13,115,1008,21,30.8,0.0,6.0,8,92,3,Crawford County,Iowa
2020-03-20,-1,-1,-7,-10,-10,4,-4,-4,15,347,1033,20,10.2,0.0,11.6,-9,68,2,Crawford County,Iowa
2020-03-21,5,5,-5,-4,-4,6,-1,0,7,177,1033,10,0.0,0.0,11.6,-7,66,2,Crawford County,Iowa
2020-03-22,6,6,-1,-2,-2,6,2,3,11,155,1022,16,0.0,0.0,7.5,0,85,1,Crawford County,Iowa
2020-03-23,10,10,2,3,3,4,6,7,7,187,1020,10,0.0,0.0,6.1,4,87,2,Crawford County,Iowa
2020-03-24,12,12,4,5,5,6,8,7,11,154,1014,15,0.0,0.0,6.1,5,87,2,Crawford County,Iowa
2020-03-25,16,16,8,9,9,6,12,13,13,199,1008,18,0.9,0.0,6.1,8,86,3,Crawford County,Iowa
2020-03-26,11,11,4,3,3,4,7,7,11,51,1010,16,0.6,0.0,8.9,4,85,2,Crawford County,Iowa
2020-03-27,9,9,6,4,4,6,7,7,10,92,1008,14,0.2,0.0,6.2,6,90,2,Crawford County,Iowa
2020-03-28,17,17,6,9,9,4,11,12,14,130,998,22,12.6,0.0,6.2,7,86,3,Crawford County,Iowa
2020-03-29,12,12,3,3,3,6,7,8,17,300,1011,24,1.0,0.0,11.6,0,63,3,Crawford County,Iowa
2020-03-30,16,16,3,8,8,6,9,10,6,99,1022,10,0.0,0.0,11.6,0,56,4,Crawford County,Iowa
